Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,750.00,740.00,740.00,740.00,,-1.33,,32560.00
2014-08-04,730.00,770.00,735.00,755.00,,3.42,,32560.00
2014-08-04,755.00,755.00,740.00,750.00,,-0.66,,32560.00
2014-08-04,745.00,750.00,732.00,732.00,,-1.74,,32560.00
2014-08-04,732.00,740.00,730.00,730.00,,-0.27,,32560.00
2014-08-05,740.00,740.00,730.00,735.00,,-0.68,,370930.00
2014-08-06,735.00,723.00,722.00,722.00,,-1.77,,68658.00
2014-08-12,710.00,710.00,710.00,710.00,,0,,9940.00
2014-08-13,710.00,696.00,683.00,683.00,,-3.8,,283344.00
2014-08-14,683.00,680.00,672.00,680.00,,-0.44,,410554.00
2014-08-18,680.00,692.00,690.00,692.00,,1.76,,185932.00
2014-08-19,692.00,695.00,653.00,695.00,,0.43,,3533293.00
2014-08-20,695.00,708.00,682.00,682.00,,-1.87,,708005.00
2014-08-24,682.00,690.00,659.00,659.00,,-3.37,,453590.00
2014-08-25,659.00,646.00,610.00,610.00,,-7.44,,69174.00
2014-08-26,610.00,624.00,598.00,615.00,,0.82,,758191.00
2014-08-27,615.00,630.00,627.00,630.00,,2.44,,1598088.00
2014-08-31,630.00,642.00,620.00,620.00,,-1.59,,147424.00
2014-09-04,620.00,610.00,610.00,610.00,,-1.61,,632570.00
2014-09-07,610.00,598.00,565.00,565.00,,-7.38,,295336.00
2014-09-10,565.00,576.00,555.00,555.00,,-1.77,,938075.00
2014-09-14,555.00,550.00,550.00,212.00,,-0.9,,35624690.00
2014-09-15,550.00,599.00,539.00,599.00,,8.91,,242619.00
2014-09-16,599.00,658.00,610.00,658.00,,9.85,,514874.00
2014-09-17,658.00,684.00,671.00,680.00,,3.34,,144642.00
2014-09-21,699.00,686.00,665.00,670.00,,-4.15,,4184246.00
2014-09-23,670.00,660.00,660.00,660.00,,-1.49,,3317820.00
2014-09-24,660.00,699.00,673.00,699.00,,5.91,,27570.00
2014-09-28,699.00,714.00,700.00,700.00,,0.14,,194068.00
2014-09-29,700.00,705.00,700.00,700.00,,0,,192235.00
2014-09-30,700.00,700.00,700.00,700.00,,0,,114100.00
2014-10-08,700.00,700.00,700.00,700.00,,0,,37800.00
2014-10-09,700.00,700.00,686.00,700.00,,0,,3104044.00
2014-10-13,700.00,714.00,710.00,714.00,,2,,29218.00
2014-10-14,714.00,700.00,700.00,700.00,,-1.96,,1772400.00
2014-10-15,700.00,700.00,695.00,700.00,,0,,1310945.00
2014-10-16,700.00,770.00,686.00,770.00,,10,,13262449.00
2014-10-19,770.00,781.00,771.00,780.00,,1.3,,2154004.00
2014-10-20,780.00,790.00,775.00,783.00,,0.38,,368234.00
2014-10-21,783.00,775.00,775.00,775.00,,-1.02,,163525.00
2014-10-22,775.00,810.00,775.00,810.00,,4.52,,2187588.00
2014-10-26,810.00,826.00,820.00,826.00,,1.98,,579800.00
2014-10-28,826.00,819.00,819.00,819.00,,-0.85,,44226.00
2014-10-30,819.00,820.00,820.00,820.00,,0.12,,780640.00
