Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-02-23,232.20,232.20,213.20,216.00,,-8.8,,60028868.90
2023-02-26,212.00,212.00,204.00,207.50,,-3.94,,26760453.20
2023-02-27,207.00,210.60,203.10,206.00,,-0.72,,18158254.80
2023-02-28,206.00,207.00,203.20,203.70,,-1.12,,12738254.90
2023-03-01,205.00,205.90,203.70,204.00,,0.15,,8392332.10
2023-03-02,207.80,207.80,200.00,200.50,,-1.72,,11525044.80
2023-03-05,202.00,202.00,197.10,197.50,,-1.5,,15576014.80
2023-03-07,196.10,199.80,196.10,197.00,,-0.25,,7914615.10
2023-03-09,199.50,202.90,199.20,201.20,,2.13,,13592062.70
2023-03-12,204.00,204.00,196.00,198.20,,-1.49,,11691012.50
2023-03-13,196.10,198.50,195.10,197.00,,-0.61,,9015160.30
2023-03-14,200.90,200.90,195.00,195.00,,-1.02,,11243144.40
2023-03-15,197.00,197.00,192.60,193.20,,-0.92,,11302234.20
2023-03-16,192.00,193.00,190.60,192.00,,-0.62,,10731353.60
2023-03-19,192.10,193.00,189.70,190.90,,-0.57,,13758464.90
2023-03-20,192.00,194.00,190.20,191.40,,0.26,,8025938.10
2023-03-22,194.50,194.50,190.00,191.50,,0.05,,9849554.60
2023-03-23,191.00,193.80,188.50,192.00,,0.26,,10691172.40
2023-03-26,193.00,193.00,186.20,187.90,,-2.14,,16079760.10
2023-03-27,189.00,190.70,184.30,188.30,,0.21,,11668533.20
2023-03-28,191.00,193.00,187.20,191.00,,1.43,,7467494.60
2023-03-29,190.00,191.90,186.00,191.40,,0.21,,14042749.00
2023-03-30,189.00,191.00,187.30,187.50,,-2.04,,14052794.50
2023-04-02,187.50,191.20,183.00,184.90,,-1.39,,13755187.80
2023-04-03,184.00,186.00,182.00,184.00,,-0.49,,17978397.30
2023-04-04,181.50,184.80,179.10,181.10,,-1.58,,14186265.80
2023-04-05,181.00,184.00,180.50,183.30,,1.21,,7021362.90
2023-04-06,183.90,185.00,181.00,182.80,,-0.27,,14949710.10
2023-04-09,181.00,182.00,179.00,181.00,,-0.98,,18186103.90
2023-04-10,180.10,182.70,179.30,180.50,,-0.28,,11161240.50
2023-04-11,177.00,187.20,177.00,183.50,,1.66,,15162176.40
2023-04-12,186.00,193.20,184.60,192.90,,5.12,,21507712.70
2023-04-13,196.00,196.00,187.00,191.00,,-0.98,,18150614.90
2023-04-16,193.00,193.00,186.20,186.50,,-2.36,,12560642.00
2023-04-17,185.00,190.00,184.60,185.00,,-0.8,,7876751.60
2023-04-18,188.00,188.70,182.50,185.00,,0,,8588419.00
2023-04-19,183.00,188.00,182.60,185.00,,0,,12536848.70
2023-04-20,184.10,186.00,181.50,184.00,,-0.54,,8956758.70
2023-04-23,187.60,187.60,180.10,181.00,,-1.63,,14531664.00
2023-04-24,181.90,183.00,180.00,182.50,,0.83,,8795838.40
2023-04-25,180.20,184.70,180.20,183.80,,0.71,,6887161.90
2023-04-26,185.00,186.00,182.40,184.00,,0.11,,16454727.70
2023-04-27,187.00,187.00,182.10,183.50,,-0.27,,6435512.50
2023-04-30,183.00,185.00,182.00,182.90,,-0.33,,35709381.60
2023-05-02,184.00,184.00,181.00,182.00,,-0.49,,10189882.30
2023-05-03,180.00,184.00,180.00,181.90,,-0.05,,10118270.00
2023-05-04,182.00,182.50,180.10,181.60,,-0.16,,13487716.30
2023-05-07,181.60,185.00,180.00,180.50,,-0.61,,13734765.40
2023-05-08,180.00,183.00,179.50,179.60,,-0.5,,14067679.30
2023-05-09,182.00,182.50,179.20,179.20,,-0.22,,6143627.80
2023-05-10,180.10,182.90,180.00,180.30,,0.61,,3915797.10
2023-05-11,176.70,183.00,176.70,180.00,,-0.17,,12014141.00
2023-05-14,182.00,182.60,178.40,179.20,,-0.44,,10089630.80
2023-05-15,179.00,180.70,178.00,178.30,,-0.5,,13626259.90
2023-05-16,180.00,180.00,178.20,179.50,,0.67,,5598226.50
2023-05-17,179.00,183.00,179.00,180.00,,0.28,,9672253.70
2023-05-18,180.50,184.00,180.00,182.00,,1.11,,12211319.00
2023-05-21,185.00,186.00,182.00,183.80,,0.99,,9670782.10
2023-05-22,182.30,183.60,180.50,181.10,,-1.47,,8084819.40
2023-05-23,183.00,184.80,180.00,184.70,,1.99,,13101408.80
2023-05-24,182.50,185.00,182.00,184.50,,-0.11,,9194780.50
2023-05-28,185.00,187.00,183.20,183.60,,-0.49,,12747372.00
2023-05-30,183.00,183.00,179.00,179.10,,-2.45,,13641886.20
2023-05-31,179.00,179.90,177.00,177.00,,-1.17,,14090893.10
2023-06-01,180.00,180.10,175.50,177.00,,0,,10738144.80
2023-06-04,175.80,182.80,175.80,178.30,,0.73,,8382248.80
2023-06-05,181.70,181.70,176.60,176.60,,-0.95,,11524156.70
2023-06-06,176.00,178.00,176.00,177.00,,0.23,,8766454.90
2023-06-07,177.00,179.90,176.00,176.10,,-0.51,,9942351.50
2023-06-08,179.30,179.30,176.00,176.10,,0,,13692570.40
2023-06-11,176.00,179.00,176.00,176.20,,0.06,,9929943.30
2023-06-12,176.60,179.50,176.60,178.00,,1.02,,8924345.30
2023-06-13,181.50,181.50,176.50,179.50,,0.84,,17766754.40
2023-06-14,179.50,188.00,178.00,180.70,,0.67,,25678144.20
2023-06-15,179.00,184.30,179.00,182.50,,1,,11656067.90
2023-06-18,181.00,184.00,181.00,183.00,,0.27,,26821978.50
2023-06-19,185.00,185.00,180.50,180.50,,-1.37,,24805024.60
2023-06-20,182.00,184.10,180.00,180.10,,-0.22,,17909409.10
2023-06-21,183.50,183.50,178.10,178.60,,-0.83,,31510854.10
2023-06-22,182.00,182.00,176.90,176.90,,-0.95,,24122336.90
