Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,850.00,850.00,830.00,845.00,,-0.59,,2043814.00
2014-08-04,835.00,867.00,830.00,867.00,,3.83,,2043814.00
2014-08-04,867.00,860.00,839.00,850.00,,-1.96,,2043814.00
2014-08-04,845.00,851.00,830.00,840.00,,-0.59,,2043814.00
2014-08-04,840.00,856.00,845.00,855.00,,1.79,,2043814.00
2014-08-04,855.00,854.00,835.00,835.00,,-2.34,,2043814.00
2014-08-05,845.00,850.00,835.00,841.00,,-0.47,,934219.00
2014-08-06,841.00,865.00,839.00,865.00,,2.85,,1188122.00
2014-08-07,865.00,850.00,836.00,836.00,,-3.35,,230440.00
2014-08-12,836.00,834.00,820.00,820.00,,-1.91,,821624.00
2014-08-13,820.00,840.00,830.00,831.00,,1.34,,415538.00
2014-08-14,831.00,835.00,816.00,835.00,,0.48,,582208.00
2014-08-18,835.00,867.00,845.00,847.00,,1.44,,4175606.00
2014-08-19,847.00,858.00,840.00,854.00,,0.83,,2239604.00
2014-08-20,854.00,850.00,814.00,815.00,,-4.57,,5642520.00
2014-08-21,815.00,800.00,780.00,785.00,,-3.68,,1525176.00
2014-08-24,785.00,790.00,770.00,776.00,,-1.15,,2036121.00
2014-08-25,776.00,761.00,716.00,716.00,,-7.73,,964208.00
2014-08-26,716.00,748.00,718.00,745.00,,4.05,,1738873.00
2014-08-27,745.00,806.00,759.00,802.00,,7.65,,3478069.00
2014-08-28,802.00,840.00,794.00,794.00,,-1,,1833771.00
2014-08-31,794.00,795.00,775.00,795.00,,0.13,,1498610.00
2014-09-01,795.00,790.00,750.00,781.00,,-1.76,,2006583.00
2014-09-03,781.00,785.00,760.00,770.00,,-1.41,,1803850.00
2014-09-04,770.00,760.00,746.00,752.00,,-2.34,,651890.00
2014-09-07,752.00,745.00,720.00,725.00,,-3.59,,1023320.00
2014-09-09,725.00,753.00,725.00,750.00,,3.45,,2170361.00
2014-09-10,750.00,770.00,745.00,745.00,,-0.67,,2333883.00
2014-09-11,745.00,759.00,726.00,745.00,,0,,1216158.00
2014-09-14,745.00,735.00,725.00,725.00,,-2.68,,179562.00
2014-09-15,725.00,739.00,725.00,731.00,,0.83,,146801.00
2014-09-16,731.00,750.00,715.00,750.00,,2.6,,504226.00
2014-09-17,750.00,750.00,740.00,750.00,,0,,1041302.00
2014-09-18,750.00,740.00,740.00,740.00,,-1.33,,767213.00
2014-09-21,740.00,728.00,720.00,728.00,,-1.62,,572367.00
2014-09-22,728.00,730.00,718.00,730.00,,0.27,,552558.00
2014-09-23,730.00,758.00,730.00,741.00,,1.51,,540649.00
2014-09-24,741.00,744.00,730.00,740.00,,-0.13,,88636.00
2014-09-28,740.00,791.00,740.00,791.00,,6.89,,540958.00
2014-09-29,791.00,809.00,800.00,802.00,,1.39,,1784720.00
2014-09-30,802.00,818.00,785.00,801.00,,-0.12,,2443357.00
2014-10-08,801.00,785.00,759.00,770.00,,-3.87,,626330.00
2014-10-09,770.00,787.00,775.00,787.00,,2.21,,427658.00
2014-10-12,787.00,787.00,771.00,784.00,,-0.38,,1655240.00
2014-10-13,784.00,791.00,780.00,781.00,,-0.38,,477764.00
2014-10-14,781.00,790.00,778.00,778.00,,-0.38,,1742920.00
2014-10-15,778.00,810.00,773.00,800.00,,2.83,,1223221.00
2014-10-16,800.00,816.00,790.00,805.00,,0.62,,3348778.00
2014-10-19,805.00,821.00,806.00,818.00,,1.61,,295180.00
2014-10-20,818.00,814.00,801.00,814.00,,-0.49,,934223.00
2014-10-21,814.00,800.00,795.00,800.00,,-1.72,,209815.00
2014-10-22,800.00,829.00,790.00,815.00,,1.88,,1079432.00
2014-10-26,815.00,831.00,821.00,831.00,,1.96,,189218.00
2014-10-27,831.00,858.00,825.00,858.00,,3.25,,1679063.00
2014-10-28,858.00,855.00,841.00,855.00,,-0.35,,623168.00
2014-10-30,855.00,858.00,821.00,830.00,,-2.92,,1196915.00
2014-11-02,830.00,840.00,824.00,825.00,,-0.6,,937159.00
2014-11-03,825.00,812.00,797.00,797.00,,-3.39,,994751.00
2014-11-04,797.00,799.00,786.00,790.00,,-0.88,,306606.00
2014-11-05,790.00,800.00,800.00,800.00,,1.27,,10400.00
2014-11-06,800.00,800.00,790.00,791.00,,-1.12,,356019.00
2014-11-09,791.00,800.00,785.00,795.00,,0.51,,651704.00
2014-11-10,795.00,795.00,788.00,790.00,,-0.63,,197595.00
2014-11-11,790.00,800.00,775.00,800.00,,1.27,,826620.00
2014-11-12,800.00,805.00,772.00,791.00,,-1.12,,630607.00
2014-11-13,791.00,796.00,787.00,787.00,,-0.51,,70557.00
2014-11-16,787.00,813.00,800.00,804.00,,2.16,,474640.00
2014-11-17,804.00,829.00,797.00,816.00,,1.49,,309102.00
2014-11-18,816.00,800.00,765.00,766.00,,-6.13,,2056884.00
2014-11-19,766.00,755.00,742.00,755.00,,-1.44,,1228594.00
2014-11-20,755.00,780.00,752.00,770.00,,1.99,,669490.00
2014-11-24,770.00,770.00,755.00,755.00,,-1.95,,127110.00
2014-11-24,770.00,786.00,760.00,770.00,,0,,127110.00
