Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,4480.00,4490.00,4450.00,4450.00,,-0.67,,2539198.00
2014-08-04,4400.00,4500.00,4400.00,4500.00,,2.27,,2539198.00
2014-08-04,4500.00,4532.00,4480.00,4480.00,,-0.44,,2539198.00
2014-08-04,4400.00,4540.00,4400.00,4451.00,,1.16,,2539198.00
2014-08-04,4450.00,4450.00,4380.00,4400.00,,-1.12,,2539198.00
2014-08-05,4450.00,4521.00,4470.00,4470.00,,0.45,,2546330.00
2014-08-06,4470.00,4505.00,4460.00,4500.00,,0.67,,8445729.00
2014-08-07,4500.00,4500.00,4410.00,4488.00,,-0.27,,10252655.00
2014-08-12,4488.00,4425.00,4420.00,4425.00,,-1.4,,353650.00
2014-08-13,4425.00,4475.00,4449.00,4475.00,,1.13,,4138399.00
2014-08-14,4475.00,4520.00,4460.00,4520.00,,1.01,,8938715.00
2014-08-18,4520.00,4610.00,4465.00,4465.00,,-1.22,,20969915.00
2014-08-19,4465.00,4510.00,4477.00,4500.00,,0.78,,10099733.00
2014-08-20,4500.00,4495.00,4400.00,4400.00,,-2.22,,8076192.00
2014-08-21,4400.00,4312.00,4142.00,4302.00,,-2.23,,5319259.00
2014-08-24,4302.00,4300.00,4200.00,4230.00,,-1.67,,1796825.00
2014-08-25,4230.00,4146.00,3963.00,3963.00,,-6.31,,534020.00
2014-08-26,3963.00,4042.00,3760.00,3760.00,,-5.12,,4708049.00
2014-08-27,3760.00,4136.00,3790.00,4002.00,,6.44,,9608555.00
2014-08-28,4002.00,4230.00,4082.00,4146.00,,3.6,,2813470.00
2014-08-31,4146.00,4100.00,3920.00,3990.00,,-3.76,,5129510.00
2014-09-01,3990.00,3990.00,3911.00,3911.00,,-1.98,,1572300.00
2014-09-03,3911.00,3905.00,3810.00,3810.00,,-2.58,,8460870.00
2014-09-04,3810.00,3770.00,3700.00,3750.00,,-1.57,,7546085.00
2014-09-07,3750.00,3750.00,3580.00,3580.00,,-4.53,,8386121.00
2014-09-09,3580.00,3775.00,3650.00,3702.00,,3.41,,2987024.00
2014-09-10,3702.00,3851.00,3750.00,3750.00,,1.3,,6656060.00
2014-09-11,3750.00,3715.00,3700.00,3715.00,,-0.93,,3480700.00
2014-09-14,3715.00,3750.00,3715.00,3750.00,,0.94,,5273505.00
2014-09-15,3750.00,3850.00,3800.00,3850.00,,2.67,,1722050.00
2014-09-16,3850.00,3920.00,3825.00,3920.00,,1.82,,14859631.00
2014-09-17,3920.00,3939.00,3842.00,3875.00,,-1.15,,4971145.00
2014-09-18,3875.00,3850.00,3850.00,3850.00,,-0.65,,8419579.00
2014-09-21,3810.00,3785.00,3720.00,3732.00,,-2.05,,4948839.00
2014-09-22,3732.00,3702.00,3660.00,3700.00,,-0.86,,10513970.00
2014-09-23,3700.00,3790.00,3725.00,3765.00,,1.76,,7194600.00
2014-09-24,3765.00,3850.00,3771.00,3850.00,,2.26,,2056706.00
2014-09-28,3850.00,3978.00,3900.00,3978.00,,3.32,,769860.00
2014-09-29,3978.00,4264.00,4040.00,4245.00,,6.71,,4351208.00
2014-09-30,4245.00,4420.00,4200.00,4260.00,,0.35,,6078850.00
2014-10-08,4260.00,4295.00,4130.00,4130.00,,-3.05,,2190519.00
2014-10-09,4130.00,4150.00,4130.00,4150.00,,0.48,,862185.00
2014-10-12,4150.00,4080.00,3980.00,3999.00,,-3.64,,6236935.00
2014-10-13,3999.00,4020.00,3900.00,4000.00,,0.03,,3446875.00
