Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,2525.00,2520.00,2444.00,2444.00,,-3.21,,6070042.00
2014-08-04,2552.00,2565.00,2530.00,2552.00,,0,,6070042.00
2014-08-04,2552.00,2565.00,2521.00,2525.00,,-1.06,,6070042.00
2014-08-04,2620.00,2620.00,2570.00,2570.00,,-1.91,,6070042.00
2014-08-04,2570.00,2620.00,2600.00,2600.00,,1.17,,6070042.00
2014-08-05,2444.00,2535.00,2451.00,2495.00,,2.09,,4582429.00
2014-08-06,2495.00,2524.00,2490.00,2510.00,,0.6,,11365462.00
2014-08-07,2510.00,2540.00,2461.00,2540.00,,1.2,,6061827.00
2014-08-12,2540.00,2505.00,2490.00,2505.00,,-1.38,,5747010.00
2014-08-13,2505.00,2520.00,2460.00,2500.00,,-0.2,,3780441.00
2014-08-14,2500.00,2550.00,2498.00,2550.00,,2,,3566717.00
2014-08-18,2550.00,2500.00,2450.00,2465.00,,-3.33,,12963350.00
2014-08-19,2465.00,2530.00,2450.00,2475.00,,0.41,,4415753.00
2014-08-20,2475.00,2460.00,2405.00,2405.00,,-2.83,,8873759.00
2014-08-21,2405.00,2357.00,2205.00,2270.00,,-5.61,,20648313.00
2014-08-24,2270.00,2250.00,2187.00,2187.00,,-3.66,,3937416.00
2014-08-25,2187.00,2144.00,1980.00,2000.00,,-8.55,,1586436.00
2014-08-26,2000.00,2085.00,2000.00,2030.00,,1.5,,7493725.00
2014-08-27,2030.00,2233.00,2070.00,2233.00,,10,,14347412.00
2014-08-28,2233.00,2385.00,2277.00,2322.00,,3.99,,10208475.00
2014-08-31,2322.00,2305.00,2280.00,2296.00,,-1.12,,1538640.00
2014-09-01,2296.00,2251.00,2150.00,2200.00,,-4.18,,3713050.00
2014-09-03,2200.00,2249.00,2120.00,2150.00,,-2.27,,2511579.00
2014-09-04,2150.00,2115.00,2081.00,2100.00,,-2.33,,2486361.00
2014-09-07,2100.00,2058.00,1930.00,1960.00,,-6.67,,4817692.00
2014-09-09,1960.00,2150.00,1999.00,2150.00,,9.69,,3614794.00
2014-09-10,2150.00,2140.00,2021.00,2060.00,,-4.19,,3450760.00
2014-09-11,2060.00,2050.00,1985.00,2050.00,,-0.49,,3972165.00
2014-09-14,2050.00,2030.00,2000.00,2000.00,,-2.44,,4481158.00
2014-09-15,2000.00,2080.00,2000.00,2080.00,,4,,1867040.00
