Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,519.00,520.00,505.00,505.00,,-2.7,,4368574.00
2014-08-04,520.00,536.00,510.00,524.00,,0.77,,4368574.00
2014-08-04,524.00,534.00,515.00,519.00,,-0.95,,4368574.00
2014-08-04,537.00,555.00,540.00,545.00,,1.49,,4368574.00
2014-08-04,545.00,554.00,535.00,540.00,,-0.92,,4368574.00
2014-08-04,540.00,540.00,520.00,520.00,,-3.7,,4368574.00
2014-08-05,505.00,538.00,515.00,531.00,,5.15,,6860559.00
2014-08-06,531.00,539.00,516.00,521.00,,-1.88,,3375422.00
2014-08-07,521.00,522.00,500.00,517.00,,-0.77,,5846143.00
2014-08-12,517.00,512.00,505.00,510.00,,-1.35,,2530638.00
2014-08-13,510.00,527.00,500.00,518.00,,1.57,,8652412.00
2014-08-14,518.00,524.00,514.00,518.00,,0,,4873241.00
2014-08-18,518.00,518.00,505.00,505.00,,-2.51,,1793149.00
2014-08-19,505.00,520.00,502.00,505.00,,0,,4188318.00
2014-08-20,505.00,505.00,490.00,494.00,,-2.18,,4818544.00
2014-08-21,494.00,505.00,476.00,501.00,,1.42,,5733065.00
2014-08-24,501.00,503.00,480.00,489.00,,-2.4,,3308300.00
2014-08-25,489.00,480.00,463.00,470.00,,-3.89,,1046082.00
2014-08-26,470.00,499.00,452.00,455.00,,-3.19,,2928164.00
2014-08-27,455.00,499.00,464.00,486.00,,6.81,,7534166.00
2014-08-28,486.00,500.00,481.00,484.00,,-0.41,,5583177.00
2014-08-31,484.00,484.00,468.00,477.00,,-1.45,,2208389.00
2014-09-01,477.00,475.00,461.00,475.00,,-0.42,,2045769.00
2014-09-03,475.00,472.00,466.00,469.00,,-1.26,,989378.00
2014-09-04,469.00,469.00,458.00,465.00,,-0.85,,3322065.00
2014-09-07,465.00,463.00,436.00,444.00,,-4.52,,2542704.00
2014-09-09,444.00,488.00,452.00,488.00,,9.91,,3768609.00
2014-09-10,488.00,505.00,460.00,468.00,,-4.1,,4546514.00
2014-09-11,468.00,483.00,441.00,466.00,,-0.43,,3189102.00
2014-09-14,466.00,467.00,453.00,453.00,,-2.79,,2196800.00
2014-09-15,453.00,489.00,459.00,489.00,,7.95,,2791925.00
