Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2016-05-17,1224.00,1224.00,1224.00,1224.00,,4.97,,12240.00
2016-06-14,2064.00,2105.00,2064.00,2105.00,,4,,41690.00
2016-06-15,2147.00,2315.00,2147.00,2315.00,,9.98,,157890.00
2016-06-22,3007.00,3243.00,3007.00,3243.00,,9.97,,513080.00
2016-07-06,4100.00,4180.00,4000.00,4151.00,,1.05,,1934070.00
2016-07-14,3980.00,4124.00,3980.00,4100.00,,5.07,,1299320.00
2016-07-19,3650.00,3835.00,3650.00,3835.00,,3.34,,2229880.00
2016-07-20,3800.00,3800.00,3701.00,3800.00,,-0.91,,1845760.00
2016-08-11,4187.00,4299.00,4152.00,4155.00,,1.22,,838342.00
2016-08-14,4155.00,4220.00,4102.00,4200.00,,1.08,,1146310.00
2016-08-15,4120.00,4120.00,4031.00,4035.00,,-3.93,,728440.00
2016-08-16,4036.00,4060.00,4035.00,4045.00,,0.25,,509652.00
2016-08-17,4125.00,4161.00,4053.00,4161.00,,2.87,,1034681.00
2016-08-21,4160.00,4160.00,4038.00,4038.00,,-2.96,,1261357.00
2016-08-22,4118.00,4118.00,3960.00,3965.00,,-1.81,,468624.00
2016-08-23,3965.00,4010.00,3950.00,4010.00,,1.13,,716115.00
2016-08-24,4010.00,4010.00,4000.00,4010.00,,0,,212310.00
2016-08-28,3960.00,4050.00,3950.00,4050.00,,1,,1083348.00
2016-08-29,4050.00,4050.00,3950.00,4000.00,,-1.23,,1869890.00
2016-08-30,4080.00,4100.00,4050.00,4060.00,,1.5,,1197450.00
2016-08-31,4005.00,4005.00,4005.00,4005.00,,-1.35,,124155.00
2016-09-01,4100.00,4100.00,4024.00,4024.00,,0.47,,1015060.00
2016-09-04,4050.00,4130.00,4026.00,4130.00,,2.63,,389271.00
2016-09-05,4140.00,4400.00,4140.00,4205.00,,1.82,,893552.00
2016-09-06,4200.00,4300.00,4165.00,4250.00,,1.07,,1310211.00
2016-09-07,4260.00,4275.00,4260.00,4275.00,,0.59,,136470.00
2016-09-08,4275.00,4340.00,4250.00,4250.00,,-0.58,,1204604.00
2016-09-11,4250.00,4360.00,4250.00,4360.00,,2.59,,5139359.00
2016-09-12,4400.00,4488.00,4350.00,4480.00,,2.75,,2240845.00
2016-09-14,4499.00,4692.00,4470.00,4601.00,,2.7,,2608551.00
2016-09-18,4520.00,4600.00,4500.00,4501.00,,-2.17,,1384970.00
2016-09-20,4550.00,4570.00,4410.00,4520.00,,0.42,,6028662.00
2016-09-21,4530.00,4540.00,4402.00,4440.00,,-1.77,,3738844.00
2016-09-22,4440.00,4528.00,4425.00,4490.00,,1.13,,1845982.00
2016-09-26,4180.00,4348.00,4051.00,4170.00,,0.36,,1219268.00
2016-09-27,4100.00,4233.00,4100.00,4232.00,,1.49,,1673175.00
2016-09-28,4200.00,4200.00,4170.00,4170.00,,-1.46,,478470.00
2016-09-29,4253.00,4406.00,4232.00,4300.00,,3.12,,1993318.00
2016-10-02,4300.00,4350.00,4250.00,4260.00,,-0.93,,1784335.00
2016-10-03,4345.00,4345.00,4095.00,4176.00,,-1.97,,1331360.00
2016-10-04,4100.00,4170.00,4096.00,4170.00,,-0.14,,802162.00
2016-10-05,4200.00,4200.00,4120.00,4200.00,,0.72,,1655377.00
2016-10-06,4150.00,4190.00,4149.00,4190.00,,-0.24,,1332669.00
2016-10-16,4150.00,4190.00,4134.00,4136.00,,-1.29,,411456.00
2016-10-17,4100.00,4120.00,4060.00,4060.00,,-1.84,,360140.00
2016-10-18,4050.00,4050.00,4030.00,4030.00,,-0.74,,307600.00
2016-10-19,4000.00,4031.00,4000.00,4030.00,,0,,414181.00
2016-10-20,4050.00,4100.00,4010.00,4100.00,,1.74,,478775.00
2016-10-23,4100.00,4180.00,4100.00,4120.00,,0.49,,2994309.00
2016-10-24,4120.00,4222.00,4095.00,4200.00,,1.94,,5960034.00
