Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2017-02-08,506.00,506.00,506.00,506.00,,0,,5060.00
2017-02-19,526.00,567.00,526.00,567.00,,9.88,,565960.00
2017-02-23,578.00,600.00,578.00,600.00,,5.82,,23670.00
2017-03-14,612.00,612.00,612.00,612.00,,2,,6120.00
2017-03-20,624.00,624.00,624.00,624.00,,1.96,,6240.00
2017-03-21,636.00,648.00,636.00,660.00,,3.85,,19380.00
2017-04-09,0.00,0.00,0.00,660.00,,0,,12540.00
2017-05-02,706.00,706.00,706.00,706.00,,1.88,,7060.00
2017-05-18,706.00,741.00,741.00,741.00,,4.96,,14820.00
2017-05-22,755.00,815.00,755.00,815.00,,9.99,,55550.00
2017-05-30,880.00,914.00,880.00,914.00,,5.91,,26910.00
2017-06-06,0.00,0.00,0.00,932.00,,0,,37280.00
2017-06-08,932.00,932.00,932.00,932.00,,1.97,,9320.00
2017-06-12,978.00,997.00,978.00,997.00,,6.97,,28723.00
2017-06-13,1016.00,1036.00,1016.00,1036.00,,3.91,,20520.00
2017-06-14,0.00,0.00,0.00,1056.00,,0,,10560.00
2017-06-15,1056.00,1119.00,1056.00,1119.00,,8.01,,63453.00
2017-06-20,1141.00,1186.00,1141.00,1186.00,,5.99,,34900.00
2017-06-21,1209.00,1233.00,1209.00,1233.00,,3.96,,36510.00
2017-06-27,1294.00,1294.00,1294.00,1294.00,,4.95,,12940.00
2017-07-03,1319.00,1345.00,1319.00,1345.00,,3.94,,52195.00
2017-07-04,1371.00,1371.00,1371.00,1398.00,,1.93,,54009.00
2017-07-05,1398.00,1425.00,1398.00,1425.00,,3.94,,28230.00
2017-07-06,1453.00,1453.00,1453.00,1453.00,,1.96,,14530.00
2017-07-10,1482.00,1511.00,1482.00,1511.00,,3.99,,29930.00
2017-07-12,1541.00,1571.00,1541.00,1571.00,,3.97,,46830.00
2017-07-13,1649.00,1714.00,1649.00,1714.00,,9.1,,84423.00
2017-07-16,1748.00,1782.00,1748.00,1782.00,,3.97,,35300.00
2017-07-17,1817.00,1927.00,1817.00,1927.00,,8.14,,264240.00
