Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2025-04-08,302.30,332.50,302.30,332.50,,9.99,,68624.00
2025-04-09,332.60,365.70,332.60,365.70,,9.98,,60856.00
2025-04-10,373.00,402.20,373.00,402.20,,9.98,,110382.90
2025-04-13,410.20,442.40,410.20,442.40,,10,,91147.00
2025-04-15,449.70,486.60,449.70,486.60,,9.99,,110614.00
2025-04-16,496.30,535.20,496.30,535.20,,9.99,,175662.00
2025-04-17,536.30,588.70,536.30,588.70,,10,,216289.00
2025-04-20,600.40,647.50,600.40,647.50,,9.99,,283744.00
2025-04-21,660.40,712.20,660.40,712.20,,9.99,,376195.00
2025-04-22,712.20,783.40,712.20,783.40,,10,,459384.00
2025-04-23,799.00,861.70,799.00,861.70,,9.99,,558564.00
2025-04-24,878.90,947.80,878.90,947.80,,9.99,,500643.00
2025-04-27,966.70,1042.50,966.70,1042.50,,9.99,,978092.00
2025-04-28,1042.00,1146.70,1042.00,1146.70,,10,,971581.00
2025-04-29,1169.60,1261.30,1169.60,1261.30,,9.99,,1057242.00
2025-04-30,1238.50,1387.40,1238.50,1387.40,,10,,1118666.00
2025-05-04,1387.60,1526.10,1387.60,1526.10,,10,,2147703.00
2025-05-05,1556.60,1678.70,1556.60,1678.70,,10,,2510172.00
2025-05-06,1712.00,1846.50,1712.00,1846.50,,10,,2840310.00
2025-05-07,1883.40,2031.10,1883.40,2031.10,,10,,9823949.00
2025-05-08,2071.70,2234.20,2071.70,2234.20,,10,,35623382.00
2025-05-11,2278.80,2457.60,2278.80,2457.60,,10,,71697241.00
2025-05-13,2506.70,2703.30,2274.00,2304.70,,-6.22,,512531348.20
2025-05-14,2305.00,2310.00,2080.10,2081.02,,-9.71,,310363492.00
2025-05-15,2050.00,2255.00,1960.00,2190.06,,5.24,,125400472.50
2025-05-18,2146.30,2180.00,2018.00,2025.07,,-7.53,,107261698.00
2025-05-19,2020.00,2060.00,1939.00,1955.69,,-3.43,,117971125.50
2025-05-20,1956.00,1990.00,1891.00,1965.58,,0.51,,88140469.50
2025-05-21,2000.00,2040.00,1907.00,1913.70,,-2.64,,54128686.50
2025-05-22,1890.00,2055.00,1872.00,1988.55,,3.91,,147968103.00
2025-05-25,1985.00,2023.00,1933.60,1992.70,,0.21,,70140995.30
2025-05-26,2032.50,2073.00,1936.50,1952.32,,-2.03,,40318242.10
2025-05-27,1920.00,1940.00,1896.70,1899.79,,-2.69,,42404383.60
2025-05-28,1900.00,1900.00,1805.00,1822.27,,-4.08,,63717963.50
2025-06-02,1822.00,1854.00,1766.00,1823.42,,0.06,,122350614.60
2025-06-03,1823.00,1890.00,1800.00,1808.45,,-0.82,,54539213.40
2025-06-04,1801.00,1835.00,1801.00,1822.85,,0.8,,43655099.40
2025-06-05,1820.10,1831.00,1766.30,1769.73,,-2.91,,48452119.90
2025-06-08,1755.00,1755.00,1592.80,1595.79,,-9.83,,95728132.00
2025-06-09,1595.00,1720.00,1536.00,1711.76,,7.27,,76547474.10
2025-06-10,1680.00,1820.00,1680.00,1794.47,,4.83,,62835627.80
2025-06-11,1830.00,1830.00,1725.00,1776.05,,-1.03,,65774292.70
2025-06-12,1777.00,1795.50,1656.30,1676.88,,-5.58,,50961454.30
2025-06-15,1650.10,1800.00,1650.10,1721.91,,2.69,,56088741.20
2025-06-16,1756.00,1756.00,1680.00,1680.71,,-2.39,,22190594.80
2025-06-17,1680.00,1700.00,1646.70,1650.29,,-1.81,,23442685.00
2025-06-18,1650.00,1703.40,1636.00,1651.26,,0.06,,26832291.80
2025-06-19,1630.10,1664.00,1578.00,1583.13,,-4.13,,31656926.10
2025-06-22,1580.00,1640.00,1565.00,1610.02,,1.7,,57493418.00
2025-06-23,1607.00,1669.00,1576.00,1588.29,,-1.35,,24180286.80
2025-06-24,1580.00,1614.00,1560.00,1566.31,,-1.38,,21018535.60
2025-06-25,1570.00,1646.00,1561.30,1599.75,,2.13,,41222425.70
2025-06-26,1600.00,1621.00,1545.50,1562.40,,-2.33,,24482280.70
2025-06-29,1593.60,1593.60,1535.00,1539.80,,-1.45,,19520906.60
2025-06-30,1510.00,1649.90,1510.00,1613.24,,4.77,,39895851.30
2025-07-01,1613.00,1634.00,1585.00,1589.27,,-1.49,,18125037.50
2025-07-02,1585.00,1620.00,1572.90,1579.88,,-0.59,,19456123.30
2025-07-03,1560.00,1620.00,1560.00,1585.18,,0.34,,27655561.90
2025-07-06,1570.00,1625.00,1570.00,1573.58,,-0.73,,22509141.80
2025-07-07,1600.00,1630.00,1578.10,1586.46,,0.82,,29105742.90
2025-07-08,1571.50,1601.00,1571.50,1582.28,,-0.26,,9890946.00
2025-07-09,1582.00,1590.00,1570.00,1577.98,,-0.27,,19482366.20
2025-07-10,1575.00,1590.00,1561.10,1566.66,,-0.72,,19397320.10
2025-07-13,1597.90,1611.00,1555.00,1562.20,,-0.28,,19026327.30
2025-07-14,1570.00,1570.00,1543.00,1544.88,,-1.11,,16182372.70
2025-07-15,1546.00,1560.00,1525.10,1552.39,,0.49,,20637156.40
2025-07-16,1542.10,1575.00,1542.10,1559.40,,0.45,,23683016.70
2025-07-17,1545.00,1624.00,1545.00,1612.91,,3.43,,33203335.20
2025-07-20,1605.00,1750.00,1601.00,1732.81,,7.43,,94039235.10
2025-07-21,1730.00,1770.00,1682.10,1759.08,,1.52,,62920133.00
2025-07-22,1732.00,1762.00,1723.00,1755.71,,-0.19,,33255671.70
2025-07-23,1725.10,1745.00,1725.10,1740.00,,-0.89,,28157634.90
2025-07-24,1711.10,1744.00,1711.00,1720.00,,-0.89,,38674997.10
2025-07-27,1708.00,1744.00,1688.00,1696.39,,-1.3,,43910187.10
2025-07-28,1706.90,1707.00,1670.10,1687.28,,-0.54,,26020671.20
2025-07-29,1687.00,1724.60,1656.00,1700.91,,0.81,,36916363.50
2025-07-30,1705.00,1720.00,1651.00,1670.64,,-1.78,,23739621.40
2025-07-31,1660.00,1669.00,1640.00,1649.06,,-1.29,,22667228.90
2025-08-03,1625.00,1639.00,1590.00,1593.31,,-3.38,,25942779.90
2025-08-04,1600.00,1625.00,1565.00,1586.95,,-0.4,,17133138.90
2025-08-05,1558.10,1589.00,1555.00,1561.61,,-1.6,,21073329.20
2025-08-06,1542.00,1581.00,1541.60,1562.28,,0.04,,13373798.90
2025-08-07,1555.00,1589.90,1550.00,1563.64,,0.09,,9614199.20
2025-08-11,1545.00,1570.00,1540.50,1544.21,,-1.24,,12435294.10
2025-08-12,1540.10,1555.00,1525.00,1530.28,,-0.9,,12141367.50
2025-08-13,1520.00,1560.00,1520.00,1545.47,,0.99,,21226197.60
2025-08-14,1514.60,1555.00,1507.10,1514.59,,-2,,15046818.20
2025-08-17,1512.00,1519.00,1476.00,1480.45,,-2.25,,18428288.80
2025-08-18,1480.00,1482.00,1439.70,1443.05,,-2.53,,15629307.40
2025-08-19,1445.00,1465.00,1435.00,1442.17,,-0.06,,12417545.00
2025-08-20,1436.00,1450.00,1416.20,1420.90,,-1.47,,10863492.30
2025-08-21,1400.00,1430.00,1382.00,1396.26,,-1.73,,20458373.20
2025-08-24,1396.00,1420.00,1350.00,1364.30,,-2.29,,20293320.50
2025-08-25,1390.00,1390.00,1338.40,1380.89,,1.22,,17259058.00
2025-08-26,1355.00,1379.90,1352.00,1374.83,,-0.44,,15004672.00
2025-08-27,1351.00,1460.00,1351.00,1450.85,,5.53,,28057058.30
2025-08-28,1422.00,1460.60,1400.00,1403.88,,-3.24,,19193678.00
2025-08-31,1410.00,1410.00,1360.00,1362.46,,-2.95,,17568161.00
2025-09-01,1350.00,1380.00,1340.00,1355.93,,-0.48,,9623360.00
2025-09-02,1355.00,1365.00,1339.00,1340.42,,-1.14,,7098350.90
2025-09-03,1335.10,1350.00,1290.20,1300.85,,-2.95,,16663860.90
2025-09-04,1286.10,1300.00,1277.00,1286.27,,-1.12,,10893475.80
2025-09-07,1285.00,1285.00,1250.00,1255.73,,-2.37,,11195900.20
2025-09-08,1235.00,1240.00,1190.00,1199.97,,-4.44,,35050564.50
2025-09-18,1180.10,1180.10,1080.00,1080.00,,-10,,2996134.00
2025-09-21,1058.40,1140.00,1036.00,1131.00,,4.72,,18534522.70
2025-09-23,1131.00,1191.30,1109.00,1191.30,,5.33,,12676454.70
2025-09-24,1199.00,1199.00,1150.00,1159.00,,-2.71,,8545686.50
2025-09-25,1141.10,1155.00,1141.10,1146.00,,-1.12,,6945147.00
2025-09-28,1165.00,1168.00,1130.10,1145.00,,-0.09,,3802230.90
2025-10-07,1145.00,1188.00,1125.00,1130.00,,-1.31,,12304220.80
2025-10-08,1108.00,1130.00,1080.00,1100.00,,-2.65,,8462461.50
2025-10-09,1122.00,1165.00,1113.40,1115.00,,1.36,,12004571.40
2025-10-12,1130.00,1182.00,1080.10,1182.00,,6.01,,83809467.70
2025-10-13,1200.00,1300.20,1158.10,1300.20,,10,,51679359.90
2025-10-14,1300.50,1377.00,1300.50,1354.00,,4.14,,46767984.80
2025-10-15,1353.00,1379.00,1301.00,1355.00,,0.07,,44379875.60
2025-10-16,1327.90,1375.90,1250.00,1375.90,,1.54,,28328987.60
2025-10-19,1403.40,1403.40,1310.00,1325.00,,-3.7,,18088282.90
2025-10-26,1298.50,1347.00,1254.40,1316.00,,-0.68,,7865896.60
2025-10-28,1340.00,1386.90,1291.00,1373.00,,4.33,,25057746.30
2025-10-29,1380.00,1416.70,1340.00,1348.00,,-1.82,,18019252.40
2025-10-30,1370.00,1458.00,1326.50,1458.00,,8.16,,33694040.90
2025-11-02,1428.90,1438.00,1373.00,1405.00,,-3.64,,81549962.70
2025-11-03,1405.00,1418.90,1345.00,1364.00,,-2.92,,23118816.10
2025-11-04,1390.00,1476.00,1327.10,1335.00,,-2.13,,15670188.20
2025-11-05,1360.00,1361.70,1335.10,1355.00,,1.5,,6549399.10
2025-11-06,1335.00,1369.70,1325.00,1337.00,,-1.33,,7163209.20
2025-11-09,1313.00,1356.60,1275.00,1356.60,,1.47,,17665478.80
2025-11-10,1329.50,1347.00,1285.10,1296.50,,-4.43,,8543737.00
2025-11-11,1270.60,1321.00,1270.60,1280.00,,-1.27,,2901499.50
2025-11-12,1270.00,1328.00,1244.70,1328.00,,3.75,,8704144.20
2025-11-13,1354.00,1354.00,1260.00,1264.00,,-4.82,,7921065.20
2025-11-16,1289.00,1367.00,1240.10,1340.00,,6.01,,7651514.30
2025-11-17,1315.00,1315.00,1265.00,1297.00,,-3.21,,6284946.20
2025-11-18,1280.00,1300.00,1280.00,1299.00,,0.15,,7765738.10
2025-11-19,1280.10,1295.00,1260.10,1260.10,,-2.99,,6732145.80
2025-11-20,1285.00,1325.00,1241.00,1280.00,,1.58,,14018575.50
2025-11-23,1300.00,1377.00,1260.00,1332.00,,4.06,,15147513.10
2025-11-24,1333.00,1339.90,1306.00,1327.90,,-0.31,,13424023.10
2025-11-25,1320.00,1380.00,1302.00,1325.00,,-0.22,,10676907.60
2025-11-26,1306.10,1320.00,1300.00,1314.00,,-0.83,,9881160.90
2025-11-27,1301.00,1317.00,1292.00,1296.30,,-1.35,,6165127.90
2025-11-30,1320.00,1375.00,1287.30,1300.00,,0.29,,8063946.30
2025-12-01,1299.00,1324.00,1282.10,1282.10,,-1.38,,3377288.50
2025-12-02,1307.70,1333.80,1281.10,1289.00,,0.54,,3474546.80
2025-12-03,1285.00,1313.00,1284.00,1296.00,,0.54,,20340553.00
2025-12-07,1297.00,1304.00,1268.00,1275.00,,-1.62,,13942709.40
2025-12-08,1300.00,1352.50,1251.20,1326.00,,4,,19779050.70
2025-12-09,1352.50,1352.50,1280.00,1315.50,,-0.79,,14417661.20
2025-12-10,1290.20,1315.00,1280.10,1285.00,,-2.32,,5575369.30
2025-12-11,1290.00,1350.00,1262.00,1288.00,,0.23,,9784412.00
2025-12-14,1270.00,1280.00,1256.10,1257.00,,-2.41,,9159841.70
2025-12-15,1255.00,1306.00,1241.10,1267.00,,0.8,,5623306.20
2025-12-16,1245.00,1280.00,1245.00,1257.00,,-0.79,,7434647.40
2025-12-17,1250.00,1269.00,1244.00,1249.90,,-0.56,,11390953.60
2025-12-18,1249.70,1256.00,1230.00,1230.00,,-1.59,,7912138.10
2025-12-21,1230.00,1230.00,1195.00,1196.00,,-2.76,,16378567.50
2025-12-22,1185.00,1196.00,1182.10,1183.00,,-1.09,,5730376.50
2025-12-23,1165.10,1219.90,1165.10,1200.00,,1.44,,6776001.40
2025-12-24,1200.00,1223.00,1180.00,1191.00,,-0.75,,4583879.50
2025-12-28,1191.00,1213.00,1191.00,1207.90,,1.42,,5515166.80
2025-12-29,1200.00,1224.00,1190.20,1195.00,,-1.07,,6333579.20
2025-12-31,1171.10,1215.00,1171.10,1196.00,,0.08,,6580371.50
2026-01-01,1182.00,1225.00,1182.00,1206.90,,0.91,,8658469.20
2026-01-04,1210.00,1232.00,1190.00,1232.00,,2.08,,11307753.10
2026-01-05,1230.00,1294.00,1229.00,1280.00,,3.9,,33007647.50
2026-01-06,1298.00,1305.00,1250.00,1250.00,,-2.34,,16905236.10
2026-01-07,1273.00,1273.00,1225.10,1233.00,,-1.36,,15017205.60
2026-01-08,1233.00,1255.00,1211.00,1225.00,,-0.65,,10045945.30
2026-01-12,1220.00,1253.00,1215.50,1242.00,,1.39,,11571439.30
2026-01-13,1245.00,1265.00,1222.00,1240.00,,-0.16,,10827947.00
2026-01-14,1230.00,1264.00,1220.00,1220.00,,-1.61,,22111769.60
2026-01-18,1230.00,1264.00,1230.00,1236.10,,1.32,,17709312.20
2026-01-20,1260.00,1285.20,1250.00,1253.00,,1.37,,23820782.40
2026-01-21,1250.10,1290.00,1250.00,1266.20,,1.05,,25252307.90
2026-01-22,1270.00,1317.00,1262.20,1316.00,,3.93,,53548223.90
2026-01-25,1340.00,1447.60,1340.00,1447.60,,10,,86279031.20
2026-01-26,1447.60,1516.00,1441.00,1460.00,,0.86,,105015295.30
2026-01-27,1455.00,1512.00,1364.30,1395.00,,-4.45,,76474823.50
2026-01-28,1395.00,1410.00,1350.00,1375.00,,-1.43,,30643132.40
