Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2024-05-19,599.60,646.60,599.60,646.60,,9.99,,557461.60
2024-05-20,659.50,711.20,659.50,711.20,,9.99,,3200390.80
2024-05-21,725.40,782.30,725.40,782.30,,10,,35434502.40
2024-05-22,797.90,860.50,782.10,790.00,,0.98,,244280413.70
2024-05-26,790.00,790.00,750.00,751.00,,-4.94,,51259280.80
2024-05-27,746.90,759.00,736.10,746.00,,-0.67,,21602144.90
2024-05-29,757.00,757.00,714.60,717.90,,-3.77,,30527261.70
2024-05-30,732.20,732.20,689.00,689.00,,-4.03,,24014128.00
2024-06-02,700.00,727.00,691.00,710.10,,3.06,,17003758.30
2024-06-03,724.30,759.00,706.20,733.00,,3.22,,18518029.90
2024-06-04,747.00,747.60,726.00,729.00,,-0.55,,20556895.00
2024-06-05,735.00,741.00,720.10,729.80,,0.11,,14747920.70
2024-06-06,739.00,739.00,721.00,723.70,,-0.84,,25075204.40
2024-06-09,725.00,735.00,710.00,710.00,,-1.89,,15510924.60
2024-06-10,710.00,719.00,705.00,712.00,,0.28,,19668197.30
2024-06-11,708.20,717.00,703.00,708.00,,-0.56,,16130568.90
2024-06-12,710.00,724.00,710.00,719.00,,1.55,,18875699.40
2024-06-13,728.00,729.00,709.00,709.00,,-1.39,,21789755.50
2024-06-16,717.00,717.00,688.90,694.00,,-2.12,,31602662.30
2024-06-18,686.20,698.90,686.00,690.00,,-0.58,,8236940.20
2024-06-19,690.00,700.00,681.00,690.00,,0,,14083524.60
2024-06-20,693.40,700.00,685.00,687.00,,-0.43,,7162775.80
2024-06-23,688.00,690.00,678.00,679.00,,-1.16,,8753044.70
2024-06-24,680.00,690.00,676.00,683.00,,0.59,,11194561.80
2024-06-25,696.00,696.00,680.00,684.50,,0.22,,7402877.90
2024-06-26,693.00,694.00,670.00,674.00,,-1.53,,11500694.30
2024-06-27,686.80,694.00,667.40,667.40,,-0.98,,8429353.90
2024-06-30,665.00,673.00,661.00,661.00,,-0.96,,5361435.10
2024-07-01,673.00,673.00,660.00,663.00,,0.3,,4022863.00
2024-07-02,676.20,703.40,664.60,670.00,,1.06,,14690509.40
2024-07-03,681.00,681.00,665.70,671.20,,0.18,,6936285.60
2024-07-04,675.00,690.00,671.00,675.00,,0.57,,10271485.50
2024-07-07,688.50,693.00,680.00,683.00,,1.19,,20468277.90
2024-07-08,685.00,694.00,685.00,689.00,,0.88,,12302950.10
2024-07-09,689.00,727.00,688.00,717.00,,4.06,,44914289.70
2024-07-10,725.00,748.90,725.00,742.50,,3.56,,37393874.20
2024-07-11,754.00,754.00,722.10,727.10,,-2.07,,23081695.60
2024-07-14,741.60,771.00,726.80,738.00,,1.5,,21624840.10
2024-07-15,732.00,743.00,718.10,720.20,,-2.41,,19721776.00
2024-07-16,732.80,739.90,718.00,735.00,,2.05,,19823889.60
2024-07-17,748.00,749.00,731.10,745.00,,1.36,,21962842.00
2024-07-18,749.00,808.00,745.00,789.00,,5.91,,93253078.60
2024-07-21,790.00,818.00,777.10,804.50,,1.96,,48028734.00
2024-07-22,815.00,815.00,785.00,795.00,,-1.18,,35453579.20
2024-07-23,788.00,824.00,788.00,820.00,,3.14,,29749928.00
2024-07-24,820.00,835.00,795.00,800.00,,-2.44,,28332725.30
2024-07-25,800.00,875.00,800.00,871.00,,8.88,,102371600.60
2024-07-28,888.40,897.00,839.00,875.00,,0.46,,60387321.00
2024-07-29,865.00,873.00,845.00,845.00,,-3.43,,64040905.20
2024-07-30,836.10,861.00,832.00,849.00,,0.47,,49267509.20
2024-07-31,865.90,883.20,849.00,856.00,,0.82,,44349933.30
2024-08-01,870.00,877.00,845.10,848.20,,-0.91,,49889830.30
2024-08-05,855.00,860.00,840.00,849.00,,0.09,,26957923.80
2024-08-06,852.00,853.00,791.00,803.00,,-5.42,,39849392.40
2024-08-07,818.90,837.00,805.00,837.00,,4.23,,33092565.50
2024-08-08,840.00,846.90,814.00,820.00,,-2.03,,32698984.00
2024-08-11,836.40,902.00,836.40,902.00,,10,,206311262.40
2024-08-12,920.00,988.00,920.00,935.10,,3.67,,149515797.90
2024-08-13,950.00,980.00,901.90,905.10,,-3.21,,87448430.90
2024-08-14,906.00,906.00,867.30,892.00,,-1.45,,61656410.90
2024-08-15,900.00,908.00,882.20,887.90,,-0.46,,90353469.80
2024-08-18,895.00,919.00,870.00,870.00,,-2.02,,97184031.40
2024-08-21,887.40,923.00,880.00,882.00,,1.38,,69369598.40
2024-08-22,895.00,900.00,883.00,890.00,,0.91,,54068636.60
2024-08-25,907.80,925.00,880.00,897.00,,0.79,,102892993.50
2024-08-27,905.00,920.00,863.00,867.00,,-3.34,,52304774.30
2024-08-28,884.30,899.00,849.00,850.00,,-1.96,,33022133.60
2024-08-29,860.00,860.00,820.10,821.00,,-3.41,,47826811.70
2024-09-01,822.00,835.00,820.00,821.00,,0,,16809982.70
2024-09-02,835.00,840.00,819.30,839.00,,2.19,,29714009.80
2024-09-03,840.00,874.10,838.00,844.00,,0.6,,28011047.30
2024-09-04,844.00,865.00,820.30,823.00,,-2.49,,36124609.10
2024-09-05,823.00,850.00,807.00,832.00,,1.09,,27259400.90
2024-09-08,815.40,860.00,815.40,840.00,,0.96,,33332775.90
2024-09-09,832.10,832.10,811.30,818.00,,-2.62,,22012971.90
2024-09-10,832.00,832.00,795.00,799.00,,-2.32,,19440000.20
2024-09-11,810.00,814.00,785.00,790.00,,-1.13,,16369080.60
2024-09-12,800.00,805.80,786.00,799.00,,1.14,,19698566.90
2024-09-15,814.90,819.00,777.20,777.20,,-2.73,,15790184.50
2024-09-16,792.00,792.00,755.00,755.20,,-2.83,,14888071.30
2024-09-18,760.00,770.00,750.00,750.50,,-0.62,,10342122.60
2024-09-22,765.50,781.80,757.00,763.00,,1.67,,12779173.00
2024-09-23,763.00,778.00,746.00,754.00,,-1.18,,16368664.80
2024-09-24,740.00,757.00,735.00,737.00,,-2.25,,11454584.80
2024-09-25,750.00,750.00,735.00,737.00,,0,,16289642.70
2024-09-26,737.00,750.00,723.00,729.00,,-1.09,,13265281.40
2024-09-29,726.00,743.50,719.00,726.00,,-0.41,,5767301.30
2024-09-30,721.00,740.50,716.00,740.00,,1.93,,9372947.50
2024-10-01,754.80,775.00,746.00,775.00,,4.73,,19227230.60
2024-10-02,780.00,788.90,761.00,766.10,,-1.15,,11539607.10
2024-10-06,781.00,781.40,770.00,779.00,,1.68,,7851412.20
2024-10-07,780.00,810.00,780.00,800.00,,2.7,,16871768.60
2024-10-08,800.00,815.90,783.10,784.00,,-2,,8395389.60
2024-10-09,785.00,800.00,780.00,793.90,,1.26,,5321201.40
2024-10-15,809.70,809.70,788.90,806.00,,1.52,,2669765.60
2024-10-16,814.00,817.90,803.10,814.00,,0.99,,5287138.80
2024-10-17,805.50,824.00,805.50,807.20,,-0.84,,15296993.40
2024-10-20,823.30,823.30,775.00,784.00,,-2.87,,16098447.60
2024-10-21,795.00,795.00,760.00,760.10,,-3.05,,9163578.20
2024-10-22,760.00,780.30,760.00,780.00,,2.62,,7398796.90
2024-10-23,768.00,779.90,760.20,770.00,,-1.28,,9169302.30
2024-10-24,770.00,770.00,756.00,758.00,,-1.56,,8987656.90
2024-10-27,758.00,760.10,750.30,750.30,,-1.02,,5667833.30
2024-10-28,760.00,769.00,755.00,769.00,,2.49,,4647178.60
2024-10-29,761.00,789.90,761.00,789.90,,2.72,,7640037.20
2024-10-30,782.30,789.70,770.00,772.00,,-2.27,,7107435.30
2024-11-05,770.00,780.00,766.10,780.00,,1.04,,5104306.30
2024-11-06,795.60,795.60,766.10,778.00,,-0.26,,4864447.30
2024-11-10,773.00,790.00,773.00,787.00,,1.16,,15420442.70
2024-11-11,797.00,818.00,791.00,818.00,,3.94,,34462993.30
2024-11-12,808.00,825.00,807.00,812.00,,-0.73,,13203545.00
2024-11-13,828.20,828.20,789.10,795.00,,-2.09,,14991514.70
2024-11-14,779.10,779.10,750.00,766.30,,-3.61,,57499405.80
2024-11-17,760.10,780.00,760.00,765.00,,-0.17,,23412592.20
2024-11-19,765.00,765.00,740.10,745.00,,-2.61,,24692972.30
2024-11-20,757.00,757.00,736.10,740.00,,-0.67,,12023259.90
2024-11-21,735.00,742.50,714.00,720.00,,-2.7,,31843576.80
2024-11-24,728.00,733.00,717.00,717.00,,-0.42,,8585928.60
2024-11-25,720.00,729.00,717.00,719.00,,0.28,,3994503.40
2024-11-26,723.10,725.00,714.00,723.00,,0.56,,8794353.20
2024-11-27,730.00,735.00,724.70,731.50,,1.18,,8409695.60
2024-11-28,718.10,746.00,718.10,726.00,,-0.75,,11835032.00
2024-12-01,724.00,725.00,712.00,712.00,,-1.93,,12505082.70
2024-12-02,720.00,722.60,706.00,707.00,,-0.7,,9629576.10
2024-12-03,717.00,729.00,706.00,706.00,,-0.14,,8421803.40
2024-12-04,716.00,720.00,705.00,710.00,,0.57,,7813306.50
2024-12-05,712.00,715.00,698.10,699.90,,-1.42,,7403931.70
2024-12-08,699.90,700.00,686.00,686.10,,-1.97,,7157169.30
2024-12-09,699.00,699.00,677.30,681.00,,-0.74,,5933644.50
2024-12-10,681.00,694.60,680.00,687.00,,0.88,,3909774.00
2024-12-11,677.00,690.00,676.50,690.00,,0.44,,4896060.00
2024-12-12,690.00,700.00,687.00,688.10,,-0.28,,9004162.50
2024-12-16,681.00,690.00,670.00,672.00,,-2.34,,7562611.10
2024-12-17,680.00,680.00,668.00,668.00,,-0.6,,6631840.40
2024-12-18,675.00,678.00,663.00,663.00,,-0.75,,5175819.50
2024-12-19,660.10,668.90,660.10,664.00,,0.15,,4551573.00
2024-12-22,661.00,670.00,655.00,662.00,,-0.3,,3295906.50
2024-12-23,667.90,671.00,660.00,671.00,,1.36,,5332414.70
2024-12-24,679.90,684.00,675.00,680.00,,1.34,,5917817.30
2024-12-26,680.00,690.00,673.00,675.00,,-0.74,,7974292.70
2024-12-29,675.00,689.00,675.00,676.00,,0.15,,9178071.60
2024-12-31,684.00,684.00,645.20,652.00,,-3.55,,13749081.40
2025-01-01,651.00,670.00,650.00,655.00,,0.46,,4384686.50
2025-01-02,652.00,656.00,650.00,650.40,,-0.7,,4444021.70
2025-01-05,650.00,660.00,641.10,645.00,,-0.83,,9862456.20
2025-01-06,652.00,667.00,646.00,664.70,,3.05,,10220972.10
2025-01-07,664.70,680.00,658.20,679.80,,2.27,,6519033.90
2025-01-08,685.00,702.90,683.00,699.00,,2.82,,14073358.60
2025-01-09,688.00,700.00,682.10,683.00,,-2.29,,4492938.20
2025-01-12,683.00,683.00,660.00,662.00,,-3.07,,6989926.60
2025-01-13,662.00,670.00,650.00,657.00,,-0.76,,5286949.50
2025-01-15,654.00,667.10,651.00,651.00,,-0.91,,2584375.20
2025-01-16,661.00,661.00,652.40,652.40,,0.22,,3964713.10
2025-01-19,662.00,662.00,652.20,657.90,,0.84,,5641346.30
2025-01-20,651.10,664.00,650.00,656.70,,-0.18,,4015843.10
2025-01-21,651.00,660.00,648.00,659.00,,0.35,,7249763.60
2025-01-22,669.00,670.00,660.00,665.00,,0.91,,3420395.60
2025-01-23,675.00,675.00,661.00,665.70,,0.11,,7638478.90
2025-01-26,665.70,684.00,665.70,678.90,,1.98,,13008894.70
2025-01-27,678.00,685.00,670.10,681.20,,0.34,,11966000.20
2025-01-28,683.10,695.00,683.10,693.00,,1.73,,13021007.80
2025-02-02,703.00,730.10,692.10,724.30,,4.52,,35860787.20
2025-02-03,733.00,740.00,711.00,717.10,,-0.99,,17301706.00
2025-02-04,726.00,736.00,711.00,715.00,,-0.29,,14570416.20
2025-02-05,725.00,725.00,713.00,718.00,,0.42,,8272585.60
2025-02-06,718.50,722.00,707.00,710.10,,-1.1,,8196142.60
2025-02-09,700.00,705.00,691.00,697.90,,-1.72,,14659311.20
2025-02-10,700.00,704.00,686.00,690.00,,-1.13,,8278199.60
2025-02-11,701.00,701.00,680.10,690.00,,0,,9995996.60
2025-02-12,690.30,701.00,685.00,687.00,,-0.43,,6528285.70
2025-02-13,684.20,697.80,683.00,684.50,,-0.36,,7348123.10
2025-02-16,693.00,715.00,683.10,706.00,,3.14,,17966625.30
2025-02-17,718.90,725.00,710.00,712.00,,0.85,,16516643.10
2025-02-18,712.00,720.00,700.00,702.00,,-1.4,,12489389.70
2025-02-20,700.00,703.00,695.10,699.00,,-0.43,,8162603.50
2025-02-23,685.10,699.90,673.00,692.00,,-1,,11610475.50
2025-02-24,700.00,705.00,685.00,685.00,,-1.01,,8870523.40
2025-02-25,683.10,710.90,683.00,685.10,,0.01,,8548893.70
2025-02-27,698.80,740.00,693.50,695.10,,1.46,,8094517.80
2025-03-02,709.00,721.90,701.50,711.00,,2.29,,9597681.20
2025-03-03,720.00,727.00,711.00,713.00,,0.28,,19251327.00
2025-03-04,727.20,727.20,699.00,699.00,,-1.96,,10596420.00
2025-03-05,711.00,711.00,691.00,704.00,,0.72,,6972021.30
2025-03-06,694.10,704.00,694.10,696.10,,-1.12,,6984038.80
2025-03-09,696.00,696.00,683.00,685.00,,-1.59,,7298934.80
2025-03-10,686.20,689.00,680.10,685.00,,0,,3941640.60
2025-03-11,680.50,690.00,675.00,675.00,,-1.46,,6270401.50
2025-03-12,675.00,680.00,670.40,670.40,,-0.68,,6744336.00
2025-03-16,665.00,672.00,664.30,665.00,,-0.81,,7145846.80
2025-03-17,663.00,676.30,662.20,675.40,,1.56,,8879216.00
2025-03-18,662.00,688.10,662.00,672.20,,-0.47,,2631764.50
2025-03-19,668.00,675.00,663.00,663.10,,-1.35,,3577840.70
2025-03-20,661.20,670.00,661.20,664.72,,0.24,,7242458.80
2025-03-23,659.00,668.00,650.00,651.18,,-2.04,,9191724.90
2025-03-24,651.00,660.00,642.00,659.00,,1.2,,4627973.90
2025-03-25,665.00,665.00,642.00,644.42,,-2.21,,4383924.30
2025-03-26,650.00,662.90,640.20,657.27,,1.99,,5804434.00
2025-03-27,661.00,670.00,651.70,666.00,,1.33,,5912567.30
2025-03-30,669.00,678.00,669.00,670.28,,0.64,,7311217.60
2025-04-01,680.00,680.00,656.60,657.15,,-1.96,,2707998.60
2025-04-02,656.00,666.00,654.00,659.39,,0.34,,4921169.50
2025-04-03,660.00,670.00,658.10,663.26,,0.59,,6971051.30
2025-04-07,676.00,676.00,658.00,659.52,,-0.56,,4723695.30
2025-04-08,651.00,669.00,651.00,665.82,,0.96,,3074477.00
2025-04-09,669.00,669.00,653.00,664.22,,-0.24,,4235244.70
2025-04-10,660.00,664.00,655.00,656.84,,-1.11,,4486589.90
2025-04-13,651.00,664.00,651.00,656.47,,-0.06,,1498758.60
2025-04-15,654.00,669.50,654.00,658.79,,0.35,,5118132.50
2025-04-16,660.10,665.00,655.30,657.30,,-0.23,,3861149.60
2025-04-17,662.70,670.40,654.00,663.98,,1.02,,8142799.50
2025-04-20,662.00,669.00,660.10,664.59,,0.09,,3935648.80
2025-04-21,677.80,677.80,655.00,662.00,,-0.39,,1551090.20
2025-04-22,665.00,665.00,656.20,658.10,,-0.59,,3906717.00
2025-04-23,659.90,660.00,648.10,653.90,,-0.64,,4385799.70
2025-04-24,652.00,660.00,641.00,650.16,,-0.57,,2617274.00
2025-04-27,651.30,651.30,640.20,642.11,,-1.24,,9978401.10
2025-04-28,645.00,650.00,635.60,636.67,,-0.85,,7724507.40
2025-04-29,649.40,649.40,630.00,632.09,,-0.72,,4312011.20
2025-04-30,640.00,640.00,625.20,634.01,,0.3,,7477716.10
2025-05-04,634.00,634.00,620.00,620.88,,-2.07,,5392354.60
2025-05-05,619.00,625.00,612.50,622.65,,0.29,,9302909.30
2025-05-06,630.00,632.00,611.00,614.42,,-1.32,,4696643.50
2025-05-07,614.00,645.00,608.20,635.29,,3.4,,8916785.50
2025-05-08,627.00,643.00,627.00,640.79,,0.87,,3335275.20
2025-05-11,640.00,645.70,620.00,624.06,,-2.61,,4755809.60
2025-05-13,617.10,629.00,608.80,616.73,,-1.17,,6559590.10
2025-05-14,616.73,624.00,613.10,618.46,,0.28,,2297909.80
2025-05-15,609.00,621.00,609.00,618.28,,-0.03,,4078807.80
2025-05-18,620.00,642.00,620.00,625.66,,1.19,,9732735.50
2025-05-19,622.00,632.00,610.00,620.72,,-0.79,,10188851.80
2025-05-20,633.10,633.10,617.40,627.23,,1.05,,2945936.10
2025-05-21,639.70,652.40,620.00,621.28,,-0.95,,5445558.70
2025-05-22,621.28,645.00,621.00,636.51,,2.45,,13491798.90
2025-05-25,631.00,675.00,630.00,673.76,,5.85,,28762594.90
2025-05-26,687.20,697.90,667.10,673.43,,-0.05,,29283362.40
2025-05-27,665.00,670.00,656.10,664.34,,-1.35,,5173357.90
2025-05-28,660.00,663.00,650.10,660.11,,-0.64,,7449147.00
2025-06-02,673.30,684.90,658.00,659.48,,-0.1,,5166055.50
2025-06-03,650.00,660.00,649.00,650.21,,-1.41,,4265713.10
2025-06-04,652.00,659.90,642.00,647.19,,-0.46,,4860982.40
2025-06-05,642.10,658.00,638.50,640.89,,-0.97,,4958580.80
2025-06-08,650.00,650.00,635.00,637.47,,-0.53,,1928313.00
2025-06-09,632.20,647.30,632.20,643.89,,1.01,,2765587.40
2025-06-10,637.30,651.00,637.30,648.56,,0.73,,2202592.20
2025-06-11,650.00,657.50,640.00,643.39,,-0.8,,3359035.00
2025-06-12,635.00,665.00,635.00,638.96,,-0.69,,3945167.00
2025-06-15,640.00,640.00,635.00,637.71,,-0.2,,6038344.60
2025-06-16,636.00,650.00,630.00,645.63,,1.24,,7678645.10
2025-06-17,645.00,665.10,645.00,656.69,,1.71,,10079882.30
2025-06-18,655.00,655.00,642.00,644.23,,-1.9,,5109660.80
2025-06-19,644.00,645.60,633.00,638.95,,-0.82,,1684693.10
2025-06-22,635.10,640.00,627.00,628.18,,-1.69,,6892017.90
2025-06-23,640.70,640.70,628.10,630.64,,0.39,,2002596.40
2025-06-24,643.00,646.00,628.00,630.52,,-0.02,,5078417.10
2025-06-25,630.00,636.00,628.30,630.51,,0,,1190991.60
2025-06-26,630.00,635.00,626.10,627.39,,-0.49,,2401038.00
2025-06-29,636.00,647.60,630.00,645.71,,2.92,,6977076.50
2025-06-30,633.00,654.20,633.00,649.48,,0.58,,6518860.90
2025-07-01,654.00,662.40,647.00,661.13,,1.79,,9524040.30
2025-07-02,655.00,680.00,655.00,668.15,,1.06,,12644096.60
2025-07-03,681.50,681.50,650.10,662.00,,-0.92,,10693744.40
2025-07-06,663.00,670.00,660.00,660.67,,-0.2,,7095518.80
2025-07-07,660.00,670.00,651.00,660.81,,0.02,,10661340.50
2025-07-08,657.10,668.00,650.00,661.93,,0.17,,7988704.00
2025-07-09,665.00,675.00,663.00,673.21,,1.7,,12384820.70
2025-07-10,675.10,695.00,675.10,684.09,,1.62,,16944055.10
2025-07-13,697.70,711.00,691.00,692.70,,1.26,,22856764.40
2025-07-14,679.60,698.00,672.00,677.78,,-2.15,,10119821.40
2025-07-15,685.00,694.30,678.00,688.75,,1.62,,7381823.90
2025-07-16,699.90,705.00,694.00,700.35,,1.68,,11119444.60
2025-07-17,713.00,722.00,700.00,717.03,,2.38,,23031606.70
2025-07-20,707.00,729.90,701.20,705.00,,-1.68,,38555449.70
2025-07-21,700.00,730.00,692.00,726.66,,3.07,,41902783.80
2025-07-22,730.00,795.00,730.00,774.00,,6.51,,70795656.30
2025-07-23,774.10,782.70,747.10,769.70,,-0.56,,37461891.90
2025-07-24,765.00,765.00,740.10,752.90,,-1.57,,35351915.70
2025-07-27,764.00,794.00,750.00,763.05,,1.37,,88483113.60
2025-07-28,763.10,775.00,748.00,770.40,,0.96,,34728373.80
2025-07-29,785.00,807.00,771.00,795.72,,3.29,,63342015.60
2025-07-30,800.00,800.00,754.00,756.56,,-4.92,,43441195.10
2025-07-31,771.60,771.60,740.00,747.72,,-1.17,,28156468.10
2025-08-03,747.00,747.00,722.30,723.27,,-3.27,,21205618.80
2025-08-04,737.50,737.50,710.00,727.43,,0.58,,16320257.30
2025-08-05,720.00,754.80,720.00,730.46,,0.42,,28356627.80
2025-08-06,728.10,752.00,728.10,746.03,,2.13,,24562201.60
2025-08-07,732.10,760.00,732.10,742.03,,-0.54,,15466966.50
2025-08-11,740.00,740.00,707.00,708.67,,-4.5,,34619538.80
2025-08-12,700.00,714.00,690.10,694.41,,-2.01,,17679318.70
2025-08-13,699.00,708.00,692.10,696.74,,0.34,,4680036.40
2025-08-14,706.90,725.00,703.00,703.67,,0.99,,18515867.40
2025-08-17,715.00,715.00,685.10,688.76,,-2.12,,4924487.70
2025-08-18,701.70,701.70,682.00,685.03,,-0.54,,6518153.40
2025-08-19,698.00,698.00,685.00,685.28,,0.04,,5638634.10
2025-08-20,676.00,698.00,676.00,690.04,,0.69,,6899802.10
2025-08-21,703.80,712.00,676.30,684.30,,-0.83,,4906529.60
2025-08-24,697.00,710.00,680.10,690.91,,0.97,,18206932.80
2025-08-25,704.70,718.00,683.00,697.29,,0.92,,14167269.00
2025-08-26,705.10,705.10,683.50,689.99,,-1.05,,11026768.30
2025-08-27,700.00,700.00,687.30,695.49,,0.8,,7089940.50
2025-08-28,695.00,704.00,676.00,678.52,,-2.44,,6763457.70
2025-08-31,671.00,678.00,656.60,658.74,,-2.92,,12180240.40
2025-09-01,664.00,671.90,651.00,658.69,,-0.01,,4690481.30
2025-09-02,655.20,667.00,652.00,655.00,,-0.56,,4880625.00
2025-09-03,647.60,660.00,647.60,654.61,,-0.06,,3955346.20
2025-09-04,650.20,656.00,648.00,655.69,,0.16,,5347920.20
2025-09-07,644.00,665.00,644.00,652.83,,-0.44,,1650277.60
2025-09-08,647.00,653.00,637.00,638.92,,-2.13,,6797078.10
2025-09-18,626.20,626.20,613.70,613.70,,-3.95,,49846.00
2025-09-21,602.00,642.40,602.00,638.72,,4.08,,6950431.00
2025-09-23,648.00,657.00,635.10,654.00,,2.39,,6211960.60
2025-09-24,667.00,667.00,643.00,658.00,,0.61,,1196512.60
2025-09-25,650.00,650.00,644.10,649.00,,-1.37,,1806427.90
2025-09-28,655.00,669.10,645.00,654.00,,0.77,,909041.20
2025-10-07,666.00,666.00,634.10,645.00,,-1.38,,1697874.20
2025-10-08,633.10,633.90,612.00,623.00,,-3.41,,9881773.10
2025-10-09,635.00,677.00,626.00,635.00,,1.93,,6451658.70
2025-10-12,623.00,629.90,610.60,612.00,,-3.62,,6186504.50
2025-10-13,612.00,622.90,612.00,620.90,,1.45,,3795006.20
2025-10-14,620.00,623.80,613.00,619.00,,-0.31,,1590132.60
2025-10-15,614.10,621.90,605.00,605.00,,-2.26,,3556387.20
2025-10-16,605.00,608.00,600.00,603.50,,-0.25,,3005072.80
2025-10-19,615.50,625.00,602.00,610.00,,1.08,,801678.00
2025-10-26,604.00,618.00,603.10,610.10,,0.02,,1488837.70
2025-10-28,621.00,632.50,618.40,627.00,,2.77,,4754992.90
2025-10-29,630.00,636.50,615.00,624.90,,-0.33,,2554187.50
2025-10-30,620.00,644.00,612.60,640.00,,2.42,,15145220.70
2025-11-02,640.00,665.00,638.00,653.00,,2.03,,12237937.80
2025-11-03,662.00,668.50,651.00,654.00,,0.15,,11522155.30
2025-11-04,641.00,663.00,640.00,640.00,,-2.14,,9028254.50
2025-11-05,628.00,652.00,628.00,640.00,,0,,2419447.50
2025-11-06,652.80,665.00,631.00,631.90,,-1.27,,2290210.00
2025-11-09,630.00,631.00,614.00,625.50,,-1.01,,4698205.10
2025-11-10,638.00,638.00,624.00,628.90,,0.54,,7292649.70
2025-11-11,641.40,641.40,624.00,634.00,,0.81,,12050699.60
2025-11-12,645.90,645.90,625.60,632.00,,-0.32,,9537968.40
2025-11-13,627.00,635.00,627.00,628.00,,-0.63,,1188088.60
2025-11-16,640.00,640.00,626.30,628.00,,0,,1782681.80
2025-11-17,639.90,639.90,621.00,625.00,,-0.48,,4754557.00
