Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2020-06-29,424.00,432.00,382.00,382.00,,-9.91,,3314428.00
2020-06-30,363.00,363.00,344.00,344.00,,-9.95,,7016590.00
2020-07-01,327.00,378.00,315.00,378.00,,9.88,,14761825.00
2020-07-02,396.00,415.00,368.00,390.00,,3.17,,60682125.00
2020-07-05,380.00,405.00,370.00,389.00,,1.57,,151241987.00
2020-07-06,400.00,440.00,400.00,440.00,,10,,145331380.00
2020-07-07,462.00,484.00,453.00,484.00,,10,,91267083.00
2020-07-08,508.00,532.00,480.00,508.00,,4.96,,255799681.00
2020-07-09,515.00,516.00,486.00,504.00,,-0.79,,151845830.00
2020-07-12,504.00,535.00,501.00,509.00,,0.99,,143448460.00
2020-07-13,512.00,517.00,501.00,508.00,,-0.2,,102812349.00
2020-07-14,505.00,510.00,497.00,500.00,,-1.57,,111012243.00
2020-07-15,500.00,510.00,500.00,504.00,,0.8,,97362529.00
2020-07-16,529.00,529.00,503.00,521.00,,3.37,,94172564.00
2020-07-19,547.00,573.00,547.00,570.00,,9.4,,25371293.00
2020-07-20,598.00,618.00,537.00,565.00,,-0.88,,176382799.00
2020-07-21,565.00,567.00,550.00,557.00,,-1.42,,124291832.00
2020-07-22,560.00,561.00,528.00,535.00,,-3.95,,162376267.00
2020-07-23,535.00,547.00,520.00,545.00,,1.87,,113239679.00
2020-07-27,559.00,575.00,553.00,558.00,,1.64,,148861194.00
2020-07-28,562.00,569.00,555.00,566.00,,0.71,,103576159.00
2020-07-29,567.00,588.00,557.00,584.00,,3.18,,157100105.00
2020-07-30,595.00,615.00,576.00,599.00,,2.57,,229155063.00
2020-08-02,610.00,610.00,584.00,586.00,,-2.17,,226517075.00
2020-08-03,590.00,594.00,575.00,589.00,,0.51,,100417639.00
2020-08-05,588.00,590.00,576.00,581.00,,-1.36,,136119907.00
2020-08-06,575.00,585.00,565.00,575.00,,-0.17,,118115188.00
2020-08-09,575.00,580.00,563.00,572.00,,-0.52,,89114877.00
2020-08-10,572.00,597.00,566.00,591.00,,3.32,,69203338.00
2020-08-11,590.00,599.00,585.00,587.00,,-0.68,,121607806.00
2020-08-12,616.00,616.00,584.00,588.00,,0.17,,60381444.00
2020-08-13,588.00,588.00,580.00,580.00,,-1.36,,71937184.00
2020-08-16,575.00,584.00,571.00,575.00,,-0.86,,77110577.00
2020-08-17,570.00,590.00,570.00,588.00,,2.26,,65830289.00
2020-08-18,589.00,595.00,585.00,590.00,,0.34,,63932746.00
2020-08-19,585.00,587.00,578.00,579.00,,-1.86,,68180359.00
2020-08-20,579.00,585.00,575.00,583.00,,0.69,,23017814.00
2020-08-23,583.00,599.00,581.00,596.00,,2.23,,66811330.00
2020-08-24,596.00,624.00,596.00,624.00,,4.7,,216040975.00
2020-08-25,624.00,679.00,623.00,672.00,,7.69,,287405902.00
2020-08-27,710.00,722.00,703.00,709.00,,-0.42,,231294334.00
2020-08-31,775.00,847.00,775.00,847.00,,10,,287457233.00
2020-09-02,889.00,931.00,887.00,901.00,,6.38,,674242272.00
2020-09-03,920.00,920.00,856.00,889.00,,-1.33,,415707246.00
2020-09-06,933.00,933.00,860.00,871.00,,-2.02,,401301091.00
2020-09-07,871.00,880.00,854.00,856.00,,-1.72,,284037071.00
2020-09-08,856.00,870.00,837.00,859.00,,0.35,,275539970.00
2020-09-09,865.00,899.00,857.00,891.00,,3.73,,223122288.00
2020-09-10,900.00,918.00,891.00,895.00,,0.45,,172172125.00
2020-09-13,925.00,925.00,895.00,898.00,,0.34,,243165063.00
2020-09-14,942.00,942.00,882.00,882.00,,-1.78,,204308671.00
2020-09-15,908.00,908.00,874.00,881.00,,-0.11,,131382847.00
2020-09-16,880.00,890.00,873.00,884.00,,0.34,,96196246.00
2020-09-17,885.00,897.00,873.00,876.00,,-0.9,,149806832.00
2020-09-20,900.00,900.00,858.00,858.00,,-2.05,,162940197.00
2020-09-21,900.00,900.00,845.00,862.00,,0.47,,149036920.00
2020-09-22,862.00,870.00,855.00,862.00,,0,,124476825.00
2020-09-23,819.00,870.00,819.00,869.00,,0.81,,87323701.00
2020-09-24,870.00,870.00,861.00,864.00,,-0.58,,93824702.00
2020-09-27,870.00,875.00,860.00,860.00,,-0.46,,90001415.00
2020-09-28,850.00,867.00,850.00,856.00,,-0.47,,64033445.00
2020-09-29,856.00,856.00,851.00,853.00,,-0.35,,78161176.00
2020-09-30,860.00,860.00,846.00,851.00,,-0.23,,112435136.00
2020-10-01,850.00,870.00,850.00,863.00,,1.41,,84173747.00
2020-10-04,863.00,898.00,863.00,891.00,,3.24,,208153684.00
2020-10-05,891.00,908.00,885.00,887.00,,-0.45,,149100463.00
2020-10-06,885.00,895.00,875.00,877.00,,-1.13,,62902371.00
2020-10-07,920.00,920.00,870.00,873.00,,-0.46,,68569172.00
2020-10-08,865.00,887.00,865.00,868.00,,-0.57,,63332030.00
2020-10-11,868.00,877.00,856.00,861.00,,-0.81,,57928083.00
2020-10-12,858.00,865.00,857.00,860.00,,-0.12,,53276432.00
2020-10-13,860.00,865.00,855.00,856.00,,-0.47,,63289400.00
