Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-08-06,250.40,275.40,250.40,275.40,,0,,17074308.20
2023-08-07,280.80,302.90,275.00,302.90,,9.99,,82519074.30
2023-08-08,308.90,333.10,308.90,333.10,,9.97,,20236379.80
2023-08-09,339.70,354.70,299.80,306.70,,-6.63,,75599039.40
2023-08-10,307.00,310.00,295.00,297.00,,-3.16,,39789597.70
2023-08-13,297.00,299.00,278.60,282.00,,-5.05,,31093494.20
2023-08-14,276.50,305.00,276.50,296.00,,4.96,,24363370.60
2023-08-15,291.00,293.00,284.00,285.00,,-3.72,,12174426.20
2023-08-16,280.00,285.00,277.00,278.00,,-2.46,,12640691.20
2023-08-17,278.00,285.60,275.00,278.00,,0,,13090193.00
2023-08-20,273.00,278.00,267.50,267.50,,-3.78,,10909831.20
2023-08-21,265.00,279.70,261.00,264.80,,-1.01,,8983001.20
2023-08-22,261.00,270.00,261.00,267.50,,1.02,,10013261.70
2023-08-23,269.70,275.00,264.50,272.80,,1.98,,9662487.00
2023-08-24,270.00,274.00,259.70,263.00,,-3.59,,15060025.90
2023-08-27,263.00,263.00,250.50,255.00,,-3.04,,10695757.00
2023-08-28,260.00,265.00,249.60,251.10,,-1.53,,9207719.60
2023-08-29,251.00,255.00,248.80,251.50,,0.16,,5610285.10
2023-08-30,251.50,252.00,245.00,245.00,,-2.58,,7173079.50
2023-09-03,241.00,243.00,233.70,234.00,,-4.49,,8862265.00
2023-09-04,230.20,244.00,227.40,237.00,,1.28,,9445333.20
2023-09-05,237.00,241.50,230.70,233.00,,-1.69,,2900259.00
2023-09-07,237.00,237.60,225.20,230.00,,-1.29,,5170264.50
2023-09-10,226.10,234.00,225.30,229.50,,-0.22,,5593460.10
2023-09-11,227.00,243.00,227.00,241.00,,5.01,,6444611.80
2023-09-12,238.00,245.00,230.70,234.90,,-2.53,,6364894.70
2023-09-13,238.00,244.00,231.60,240.20,,2.26,,6421637.70
2023-09-17,236.20,237.00,230.60,233.00,,-3,,4843643.20
2023-09-18,228.40,244.00,228.40,234.20,,0.52,,2767857.00
2023-09-19,231.00,239.80,231.00,237.40,,1.37,,3294662.00
2023-09-21,242.00,255.00,240.00,249.00,,4.89,,20851090.60
2023-09-24,244.50,261.50,244.20,255.00,,2.41,,17596420.60
2023-09-25,252.20,257.00,248.30,248.30,,-2.63,,7753728.50
2023-09-26,248.00,263.40,245.00,260.00,,4.71,,12750693.50
2023-09-27,255.00,265.00,250.00,255.00,,-1.92,,9826876.30
2023-10-01,255.00,259.60,240.20,241.30,,-5.37,,10146186.60
2023-10-02,237.00,249.90,237.00,244.00,,1.12,,8062054.40
2023-10-03,243.00,253.00,239.10,241.20,,-1.15,,5754463.50
2023-10-04,238.20,250.00,238.20,247.60,,2.65,,5555144.50
2023-10-05,243.00,255.00,242.10,244.00,,-1.45,,5242095.70
2023-10-08,246.00,246.00,237.50,237.60,,-2.62,,5829161.30
2023-10-09,237.60,239.00,231.20,238.90,,0.55,,3018953.50
2023-10-10,239.00,243.60,231.10,233.00,,-2.47,,3338422.90
2023-10-11,233.00,240.00,230.00,239.70,,2.88,,2549859.00
2023-10-12,239.00,244.00,231.20,234.40,,-2.21,,4520899.50
2023-10-16,230.00,233.00,227.90,231.70,,-1.15,,4011766.30
2023-10-17,228.10,241.00,226.10,229.00,,-1.17,,5559848.00
2023-10-18,233.50,236.00,225.20,232.00,,1.31,,2243589.10
2023-10-19,228.40,236.30,228.40,229.30,,-1.16,,3535326.50
2023-10-29,225.00,235.00,225.00,226.20,,-1.35,,2349719.60
2023-10-30,221.70,230.00,218.00,226.00,,-0.09,,1849688.50
2023-10-31,224.00,224.10,219.70,222.00,,-1.77,,3301509.10
2023-11-01,222.00,226.00,218.00,221.00,,-0.45,,2329010.50
2023-11-02,219.00,220.00,214.00,215.00,,-2.71,,3704642.30
2023-11-05,211.00,213.00,206.10,207.00,,-3.72,,4088230.50
2023-11-06,210.00,223.30,205.90,219.00,,5.8,,4118653.80
2023-11-07,223.30,229.30,216.60,220.00,,0.46,,3645332.20
2023-11-08,220.00,225.90,213.30,218.20,,-0.82,,3804189.20
2023-11-09,215.10,226.00,210.50,213.00,,-2.38,,2441986.60
2023-11-20,213.00,222.50,213.00,222.50,,4.46,,3754644.10
2023-11-21,218.20,223.30,214.00,215.00,,-3.37,,1432337.00
2023-11-22,211.00,222.00,211.00,222.00,,3.26,,3362748.10
2023-11-23,217.60,236.00,215.20,228.50,,2.93,,7506603.80
2023-11-26,233.00,241.00,224.10,241.00,,5.47,,9367999.60
2023-11-27,236.20,240.00,230.10,232.60,,-3.49,,7686731.70
2023-11-28,228.70,250.00,228.70,241.50,,3.83,,14361638.90
2023-11-29,241.50,249.90,233.00,238.00,,-1.45,,10485496.00
2023-11-30,235.00,236.00,226.00,230.00,,-3.36,,8416399.60
2023-12-03,226.10,238.00,223.50,231.00,,0.43,,3923609.50
2023-12-04,226.50,237.00,226.50,233.90,,1.26,,5372706.50
2023-12-05,230.10,240.70,229.10,230.50,,-1.45,,5917706.60
2023-12-06,226.00,239.00,226.00,233.90,,1.48,,3911172.50
2023-12-07,230.10,245.00,230.10,241.00,,3.04,,10657955.50
2023-12-10,245.80,258.00,245.80,258.00,,7.05,,2623906.00
2023-12-11,260.00,266.00,241.30,261.00,,1.16,,30378425.50
2023-12-12,255.80,287.10,253.00,287.10,,10,,53078258.00
2023-12-13,287.00,303.00,284.10,287.00,,-0.03,,32437553.00
2023-12-14,290.00,315.70,282.10,315.70,,10,,63286035.20
2023-12-17,315.00,347.20,304.00,340.00,,7.7,,70532526.50
2023-12-18,346.00,363.00,328.00,350.20,,3,,67776660.30
2023-12-19,355.00,386.10,350.00,386.10,,10,,55912559.20
2023-12-20,393.80,424.70,390.00,424.70,,10,,56083791.80
2023-12-21,433.10,467.10,418.00,467.10,,9.98,,119390182.10
2023-12-24,467.10,492.50,420.40,420.40,,-10,,123243180.60
2023-12-27,420.40,430.00,378.40,389.10,,-7.45,,127454449.70
2023-12-28,396.80,428.00,385.10,423.20,,8.76,,68853117.00
2024-01-01,431.60,435.00,400.00,409.00,,-3.36,,73121030.40
2024-01-02,408.00,413.00,395.10,404.00,,-1.22,,43621066.80
2024-01-03,410.00,438.90,401.10,437.50,,8.29,,68994300.40
2024-01-04,437.50,458.00,427.30,443.80,,0.57,,117675490.10
2024-01-07,443.80,443.80,413.00,415.80,,-6.49,,62994059.00
2024-01-08,424.10,430.00,407.50,417.00,,0.29,,52414002.90
2024-01-09,425.30,430.00,402.10,404.30,,-3.05,,69203522.60
2024-01-10,412.00,417.00,405.20,408.00,,0.92,,34887961.10
2024-01-11,401.00,416.10,401.00,402.90,,-1.25,,30884751.10
2024-01-14,410.00,424.00,405.20,410.00,,1.76,,46682697.10
2024-01-16,412.50,438.00,410.50,429.90,,5.86,,75386785.60
2024-01-17,429.90,459.00,416.00,419.90,,-2.33,,92171205.70
2024-01-18,420.00,436.80,412.00,419.00,,-0.21,,52782967.80
2024-01-21,419.10,433.50,409.00,410.50,,-2.03,,30732456.80
2024-01-22,407.00,419.90,398.00,399.50,,-2.68,,36463792.00
2024-01-23,396.50,409.00,396.50,403.00,,0.88,,32069976.10
2024-01-24,412.00,413.00,396.90,397.50,,-1.61,,21614705.50
2024-01-25,400.00,405.00,388.50,393.00,,-1.13,,20765911.10
2024-01-28,388.00,410.90,388.00,396.00,,0.76,,16055989.40
2024-01-29,396.00,408.00,391.00,401.00,,1.26,,25835933.40
2024-01-30,409.00,409.90,400.80,400.80,,-0.05,,24655562.20
2024-01-31,400.00,406.00,384.30,389.00,,-2.94,,38138298.00
2024-02-01,382.30,390.00,373.10,373.40,,-4.01,,20520053.80
2024-02-04,373.40,378.00,365.00,373.00,,-0.11,,15658644.30
2024-02-05,373.00,385.00,373.00,376.00,,0.8,,11200719.20
2024-02-06,371.00,395.20,371.00,390.00,,3.72,,16194845.60
2024-02-07,397.70,397.70,385.00,388.00,,-0.51,,13581371.50
2024-02-08,382.00,391.00,382.00,385.10,,-0.75,,10674571.40
2024-02-11,385.10,387.00,372.00,374.00,,-2.88,,20251605.30
2024-02-12,368.00,383.40,368.00,380.00,,1.6,,12940191.00
2024-02-13,381.00,381.00,367.50,370.00,,-2.63,,13233210.90
2024-02-14,377.40,381.30,358.00,375.00,,1.35,,15613970.70
2024-02-15,367.50,382.00,367.00,369.50,,-1.47,,8707790.10
2024-02-18,364.10,375.00,362.20,365.00,,-1.22,,12183929.40
2024-02-20,357.70,370.00,357.70,363.90,,-0.3,,7451803.10
2024-02-21,361.50,370.00,355.80,358.00,,-1.62,,8368611.70
2024-02-22,358.00,365.10,343.00,345.00,,-3.63,,11653970.20
2024-02-25,340.00,365.00,330.40,339.00,,-1.74,,18575032.30
2024-02-26,333.00,370.00,333.00,360.00,,6.19,,13571457.40
2024-02-27,360.00,369.90,356.40,357.40,,-0.72,,12400931.10
2024-02-28,356.00,371.40,351.10,360.00,,0.73,,12420587.00
2024-02-29,367.00,367.00,335.00,338.00,,-6.11,,17886729.50
2024-03-03,338.00,359.00,335.00,345.00,,2.07,,13214033.60
2024-03-04,351.00,375.00,351.00,375.00,,8.7,,2211563.00
2024-03-05,382.50,382.50,360.00,364.80,,-2.72,,26640557.40
2024-03-06,358.10,396.70,357.60,392.00,,7.46,,72353652.20
2024-03-07,399.00,409.90,390.00,407.00,,3.83,,44471334.60
2024-03-10,407.00,420.00,402.20,407.00,,0,,37393951.80
2024-03-12,407.00,414.20,395.30,407.00,,0,,43507870.50
2024-03-13,415.10,415.10,396.00,398.00,,-2.21,,38983135.20
2024-03-14,393.00,407.00,389.00,390.00,,-2.01,,26723542.60
