Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2020-08-27,352.00,369.00,352.00,369.00,,9.82,,10526150.00
2020-08-31,425.00,445.00,425.00,445.00,,9.88,,33530480.00
2020-09-02,467.00,489.00,467.00,489.00,,9.89,,13140815.00
2020-09-03,513.00,537.00,513.00,537.00,,9.82,,23893475.00
2020-09-06,563.00,590.00,484.00,484.00,,-9.87,,25695122.00
2020-09-07,460.00,460.00,436.00,436.00,,-9.92,,3420000.00
2020-09-08,415.00,415.00,393.00,393.00,,-9.86,,4032930.00
2020-09-09,374.00,374.00,354.00,354.00,,-9.92,,5145882.00
2020-09-10,337.00,389.00,319.00,389.00,,9.89,,28589709.00
2020-09-13,408.00,427.00,408.00,427.00,,9.77,,30413883.00
2020-09-14,448.00,456.00,400.00,416.00,,-2.58,,48817754.00
2020-09-15,436.00,436.00,400.00,408.00,,-1.92,,16625804.00
2020-09-16,408.00,412.00,400.00,406.00,,-0.49,,11725930.00
2020-09-17,401.00,405.00,398.00,401.00,,-1.23,,15184272.00
2020-09-20,395.00,396.00,385.00,387.00,,-3.49,,14379455.00
2020-09-21,370.00,380.00,370.00,371.00,,-4.13,,16918850.00
2020-09-22,366.00,367.00,358.00,364.00,,-1.89,,15355897.00
2020-09-23,358.00,386.00,355.00,375.00,,4.17,,9547070.00
2020-09-24,375.00,380.00,369.00,375.00,,0,,7183145.00
2020-09-27,371.00,374.00,364.00,368.00,,-1.87,,6193073.00
2020-09-28,351.00,369.00,351.00,365.00,,-0.82,,6307747.00
2020-09-29,361.00,366.00,358.00,359.00,,-1.64,,11525000.00
2020-09-30,355.00,360.00,355.00,357.00,,-0.56,,8761426.00
2020-10-01,352.00,377.00,352.00,359.00,,0.56,,10918760.00
2020-10-04,359.00,368.00,356.00,362.00,,0.84,,8719500.00
2020-10-05,357.00,363.00,357.00,358.00,,-1.1,,5505303.00
2020-10-06,365.00,365.00,355.00,357.00,,-0.28,,5103312.00
2020-10-07,352.00,371.00,352.00,371.00,,3.92,,9246946.00
2020-10-08,364.00,371.00,359.00,360.00,,-2.96,,5460448.00
2020-10-11,365.00,370.00,351.00,357.00,,-0.83,,3253860.00
2020-10-12,354.00,357.00,353.00,354.00,,-0.84,,4540357.00
2020-10-13,350.00,358.00,350.00,354.00,,0,,3865880.00
2020-10-14,352.00,353.00,345.00,350.00,,-1.13,,6099140.00
2020-10-15,350.00,355.00,347.00,350.00,,0,,3794565.00
2020-10-18,344.00,350.00,342.00,346.00,,-1.14,,2624720.00
2020-10-19,342.00,361.00,342.00,347.00,,0.29,,2480040.00
2020-10-20,343.00,360.00,343.00,353.00,,1.73,,2079340.00
2020-10-21,360.00,364.00,350.00,353.00,,0,,5056432.00
2020-10-22,346.00,360.00,346.00,352.00,,-0.28,,2592780.00
2020-10-28,345.00,353.00,345.00,351.00,,-0.28,,3111115.00
2020-10-29,340.00,353.00,340.00,350.00,,-0.28,,5722450.00
2020-11-01,350.00,354.00,341.00,348.00,,-0.57,,4107665.00
2020-11-02,342.00,350.00,342.00,347.00,,-0.29,,4052815.00
2020-11-03,341.00,350.00,341.00,345.00,,-0.58,,3200632.00
2020-11-04,350.00,350.00,343.00,347.00,,0.58,,3564840.00
2020-11-05,355.00,355.00,342.00,342.00,,-1.44,,4475911.00
2020-11-08,340.00,345.00,340.00,342.00,,0,,6976230.00
