Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2015-08-31,640.00,640.00,640.00,640.00,,-1.69,,54400.00
2015-09-01,640.00,640.00,636.00,637.00,,-0.47,,1878700.00
2015-09-02,649.00,661.00,649.00,661.00,,3.77,,78720.00
2015-09-03,674.00,674.00,670.00,670.00,,1.36,,348480.00
2015-09-06,665.00,675.00,660.00,675.00,,0.75,,1373930.00
2015-09-07,670.00,670.00,660.00,665.00,,-1.48,,1340250.00
2015-09-08,660.00,660.00,660.00,660.00,,-0.75,,330000.00
2015-09-09,656.00,656.00,656.00,656.00,,-0.61,,656000.00
2015-09-10,646.00,659.00,646.00,659.00,,0.46,,495300.00
2015-09-13,646.00,666.00,646.00,666.00,,1.06,,1148260.00
2015-09-14,679.00,680.00,670.00,670.00,,0.6,,242750.00
2015-09-15,660.00,664.00,660.00,664.00,,-0.89,,908200.00
2015-09-16,660.00,678.00,652.00,672.00,,1.2,,1140050.00
2015-09-17,672.00,675.00,665.00,670.00,,-0.3,,2742580.00
2015-09-22,657.00,662.00,652.00,662.00,,-1.19,,2116105.00
2015-09-23,665.00,665.00,665.00,665.00,,0.45,,332500.00
2015-09-24,655.00,655.00,652.00,652.00,,-1.95,,1022845.00
2015-09-28,650.00,650.00,650.00,650.00,,-0.31,,195000.00
2015-09-30,651.00,655.00,651.00,652.00,,0.31,,1342820.00
2015-10-01,651.00,654.00,651.00,654.00,,0.31,,1174700.00
2015-10-04,655.00,660.00,655.00,656.00,,0.31,,348000.00
2015-10-05,652.00,652.00,650.00,650.00,,-0.91,,1744400.00
2015-10-06,648.00,650.00,648.00,650.00,,0,,776550.00
2015-10-07,648.00,650.00,643.00,643.00,,-1.08,,4019675.00
2015-10-08,650.00,655.00,650.00,654.00,,1.87,,434150.00
2015-10-11,645.00,645.00,644.00,644.00,,-1.68,,967350.00
2015-10-14,641.00,641.00,640.00,640.00,,-0.62,,1063400.00
2015-10-15,640.00,650.00,640.00,650.00,,1.56,,3450450.00
2015-10-18,639.00,644.00,636.00,641.00,,-1.38,,1122110.00
2015-10-19,640.00,640.00,638.00,638.00,,-0.47,,447100.00
2015-10-27,638.00,638.00,629.00,632.00,,-0.94,,641650.00
2015-10-28,626.00,626.00,620.00,622.00,,-1.58,,733300.00
2015-10-29,625.00,635.00,625.00,635.00,,2.09,,847050.00
2015-11-01,630.00,640.00,630.00,640.00,,0.79,,1331300.00
2015-11-02,650.00,650.00,650.00,650.00,,1.56,,3253250.00
2015-11-03,650.00,650.00,641.00,650.00,,0,,1873030.00
2015-11-04,645.00,650.00,640.00,650.00,,0,,1536260.00
2015-11-05,650.00,655.00,650.00,655.00,,0.77,,339140.00
2015-11-08,664.00,664.00,645.00,653.00,,-0.31,,2026230.00
2015-11-09,650.00,655.00,650.00,652.00,,-0.15,,714850.00
2015-11-10,645.00,652.00,641.00,647.00,,-0.77,,1364070.00
2015-11-15,636.00,636.00,636.00,636.00,,-1.7,,591480.00
2015-11-16,645.00,655.00,645.00,645.00,,1.42,,1690375.00
2015-11-18,640.00,650.00,640.00,646.00,,0.15,,1313190.00
2015-11-19,646.00,646.00,644.00,644.00,,-0.31,,135640.00
2015-11-22,640.00,642.00,640.00,642.00,,-0.31,,641000.00
2015-11-23,642.00,689.00,642.00,689.00,,7.32,,7722710.00
2015-11-24,676.00,676.00,645.00,646.00,,-6.24,,920315.00
2015-11-25,645.00,645.00,645.00,645.00,,-0.15,,64500.00
2015-11-26,641.00,645.00,641.00,645.00,,0,,128600.00
2015-11-29,640.00,645.00,640.00,644.00,,-0.15,,3424930.00
2015-11-30,644.00,646.00,644.00,646.00,,0.31,,966500.00
2015-12-01,646.00,650.00,648.00,650.00,,0.62,,981300.00
2015-12-02,645.00,652.00,640.00,652.00,,0.31,,1477610.00
2015-12-03,652.00,655.00,647.00,647.00,,-0.77,,892870.00
2015-12-06,650.00,650.00,647.00,647.00,,0,,1319945.00
