Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,1425.00,1397.00,1350.00,1365.00,,-4.21,,1620878.00
2014-08-04,1538.00,1510.00,1485.00,1485.00,,-3.45,,1620878.00
2014-08-04,1485.00,1460.00,1410.00,1425.00,,-4.04,,1620878.00
2014-08-04,1601.00,1569.00,1569.00,1569.00,,-2,,1620878.00
2014-08-04,1569.00,1540.00,1538.00,1538.00,,-1.98,,1620878.00
2014-08-05,1365.00,1407.00,1370.00,1395.00,,2.2,,1381044.00
2014-08-06,1395.00,1534.00,1422.00,1534.00,,9.96,,5965967.00
2014-08-07,1534.00,1601.00,1501.00,1601.00,,4.37,,3895874.00
2014-08-12,1601.00,1664.00,1600.00,1621.00,,1.25,,5438720.00
2014-08-13,1621.00,1625.00,1610.00,1625.00,,0.25,,4880981.00
2014-08-14,1625.00,1625.00,1600.00,1600.00,,-1.54,,3391277.00
2014-08-18,1600.00,1620.00,1583.00,1583.00,,-1.06,,1561613.00
2014-08-19,1583.00,1552.00,1530.00,1550.00,,-2.08,,694140.00
2014-08-20,1550.00,1535.00,1505.00,1505.00,,-2.9,,3358960.00
2014-08-21,1505.00,1480.00,1475.00,1480.00,,-1.66,,1243355.00
2014-08-24,1480.00,1452.00,1422.00,1422.00,,-3.92,,529600.00
2014-08-26,1422.00,1405.00,1394.00,1394.00,,-1.97,,203925.00
2014-08-27,1394.00,1415.00,1400.00,1401.00,,0.5,,600670.00
2014-08-28,1401.00,1429.00,1401.00,1405.00,,0.29,,960031.00
2014-08-31,1405.00,1401.00,1365.00,1365.00,,-2.85,,1778997.00
2014-09-03,1365.00,1340.00,1310.00,1310.00,,-4.03,,323020.00
2014-09-04,1310.00,1284.00,1261.00,1261.00,,-3.74,,386031.00
2014-09-07,1261.00,1236.00,1188.00,1188.00,,-5.79,,504588.00
2014-09-09,1188.00,1221.00,1175.00,1197.00,,0.76,,670511.00
2014-09-10,1197.00,1272.00,1200.00,1215.00,,1.5,,2351848.00
2014-09-11,1215.00,1273.00,1201.00,1273.00,,4.77,,1099582.00
2014-09-14,1273.00,1298.00,1298.00,1298.00,,1.96,,389400.00
2014-09-15,1298.00,1375.00,1323.00,1350.00,,4.01,,738620.00
2014-09-16,1350.00,1445.00,1377.00,1425.00,,5.56,,1569158.00
2014-09-17,1425.00,1482.00,1452.00,1452.00,,1.89,,2820521.00
2014-09-21,1400.00,1398.00,1398.00,1398.00,,-0.14,,88074.00
2014-09-22,1398.00,1371.00,1370.00,1370.00,,-2,,154893.00
2014-09-23,1370.00,1366.00,1350.00,1350.00,,-1.46,,1207295.00
2014-09-24,1350.00,1377.00,1377.00,1377.00,,2,,201042.00
2014-09-29,1377.00,1432.00,1404.00,1430.00,,3.85,,2147982.00
2014-09-30,1430.00,1420.00,1410.00,1410.00,,-1.4,,378880.00
2014-10-08,1410.00,1410.00,1390.00,1390.00,,-1.42,,477800.00
2014-10-09,1390.00,1368.00,1363.00,1363.00,,-1.94,,949836.00
2014-10-13,1363.00,1350.00,1340.00,1350.00,,-0.95,,200980.00
2014-10-14,1350.00,1370.00,1360.00,1360.00,,0.74,,293400.00
2014-10-15,1360.00,1424.00,1365.00,1424.00,,4.71,,2905589.00
2014-10-16,1424.00,1465.00,1440.00,1440.00,,1.12,,3171916.00
2014-10-19,1440.00,1556.00,1468.00,1499.00,,4.1,,6879147.00
2014-10-20,1499.00,1553.00,1490.00,1553.00,,3.6,,7373013.00
2014-10-21,1553.00,1584.00,1550.00,1556.00,,0.19,,4883996.00
2014-10-22,1556.00,1575.00,1550.00,1560.00,,0.26,,5304103.00
2014-10-26,1560.00,1560.00,1560.00,1560.00,,0,,143520.00
2014-10-27,1560.00,1573.00,1560.00,1565.00,,0.32,,1174161.00
2014-10-28,1565.00,1541.00,1520.00,1520.00,,-2.88,,1208160.00
2014-10-30,1520.00,1549.00,1540.00,1549.00,,1.91,,278100.00
2014-11-02,1549.00,1534.00,1520.00,1530.00,,-1.23,,418820.00
2014-11-04,1530.00,1500.00,1455.00,1455.00,,-4.9,,721990.00
2014-11-05,1455.00,1520.00,1484.00,1500.00,,3.09,,747703.00
2014-11-09,1500.00,1500.00,1500.00,1500.00,,0,,1347000.00
2014-11-10,1500.00,1495.00,1460.00,1460.00,,-2.67,,835902.00
2014-11-11,1460.00,1520.00,1480.00,1520.00,,4.11,,1153927.00
2014-11-12,1520.00,1530.00,1490.00,1490.00,,-1.97,,1213680.00
2014-11-13,1490.00,1490.00,1477.00,1490.00,,0,,423350.00
2014-11-16,1490.00,1500.00,1500.00,1500.00,,0.67,,657000.00
2014-11-17,1500.00,1480.00,1451.00,1451.00,,-3.27,,404756.00
2014-11-18,1451.00,1468.00,1420.00,1468.00,,1.17,,1657652.00
2014-11-19,1468.00,1480.00,1470.00,1470.00,,0.14,,614680.00
2014-11-20,1470.00,1500.00,1470.00,1480.00,,0.68,,1022700.00
2014-12-01,1440.00,1520.00,1468.00,1520.00,,5.56,,695570.00
2014-12-02,1520.00,1490.00,1478.00,1482.00,,-2.5,,2648500.00
2014-12-03,1482.00,1500.00,1480.00,1489.00,,0.47,,2238120.00
2014-12-04,1489.00,1500.00,1480.00,1500.00,,0.74,,2837099.00
2014-12-07,1500.00,1500.00,1490.00,1495.00,,-0.33,,1278229.00
2014-12-08,1495.00,1483.00,1454.00,1458.00,,-2.47,,2060227.00
2014-12-09,1458.00,1495.00,1460.00,1490.00,,2.19,,2698182.00
2014-12-10,1064.00,1043.00,1043.00,1043.00,,-1.97,,31290.00
2014-12-11,1043.00,1030.00,1030.00,1030.00,,-1.25,,36050.00
2014-12-14,1030.00,1062.00,1050.00,1062.00,,3.11,,94260.00
2014-12-15,1062.00,1090.00,1075.00,1090.00,,2.64,,359180.00
2014-12-18,1090.00,1090.00,1090.00,1090.00,,0,,62130.00
2014-12-23,1090.00,1070.00,1070.00,1070.00,,-1.83,,39590.00
2014-12-24,1070.00,1144.00,1080.00,1144.00,,6.92,,736669.00
2014-12-28,1144.00,1185.00,1140.00,1185.00,,3.58,,579196.00
2014-12-29,1185.00,1208.00,1190.00,1208.00,,1.94,,157656.00
2014-12-31,1208.00,1220.00,1220.00,1220.00,,0.99,,122000.00
2015-01-01,1220.00,1233.00,1209.00,1209.00,,-0.9,,432417.00
2015-01-04,1209.00,1225.00,1225.00,1225.00,,1.32,,245000.00
2015-01-05,1225.00,1298.00,1249.00,1277.00,,4.24,,2783000.00
2015-01-06,1277.00,1300.00,1275.00,1300.00,,1.8,,124175.00
2015-01-07,1300.00,1300.00,1275.00,1300.00,,0,,1558600.00
2015-01-08,1300.00,1300.00,1300.00,1300.00,,0,,304200.00
2015-01-12,1300.00,1320.00,1300.00,1300.00,,0,,607010.00
2015-01-13,1300.00,1300.00,1299.00,1300.00,,0,,298955.00
2015-01-14,1300.00,1310.00,1304.00,1310.00,,0.77,,368408.00
2015-01-19,1310.00,1330.00,1310.00,1320.00,,0.76,,660660.00
2015-01-25,1320.00,1320.00,1300.00,1300.00,,-1.52,,344840.00
2015-01-27,1300.00,1310.00,1310.00,1310.00,,0.77,,39300.00
2015-01-29,1310.00,1310.00,1310.00,1310.00,,0,,526620.00
2015-02-04,1310.00,1336.00,1320.00,1336.00,,1.98,,1797170.00
2015-02-08,1336.00,1315.00,1315.00,1315.00,,-1.57,,368200.00
2015-02-09,1315.00,1344.00,1340.00,1344.00,,2.21,,785154.00
2015-02-10,1344.00,1360.00,1335.00,1335.00,,-0.67,,1073397.00
2015-02-11,1335.00,1330.00,1310.00,1313.00,,-1.65,,4881729.00
2015-02-12,1313.00,1359.00,1320.00,1359.00,,3.5,,4845073.00
2015-02-15,1359.00,1385.00,1380.00,1380.00,,1.55,,569048.00
2015-02-16,1380.00,1435.00,1380.00,1400.00,,1.45,,1878410.00
2015-02-18,1400.00,1430.00,1350.00,1350.00,,-3.57,,733305.00
2015-02-22,1350.00,1350.00,1323.00,1323.00,,-2,,1473450.00
2015-02-23,1323.00,1332.00,1272.00,1332.00,,0.68,,1746715.00
2015-02-24,1332.00,1310.00,1310.00,1310.00,,-1.65,,412650.00
2015-02-25,1310.00,1310.00,1300.00,1310.00,,0,,1004620.00
2015-02-26,1310.00,1290.00,1290.00,1290.00,,-1.53,,821610.00
2015-03-01,1330.00,1330.00,1330.00,1330.00,,0,,114380.00
2015-03-02,1330.00,1340.00,1340.00,1340.00,,0.75,,274700.00
2015-03-04,1340.00,1316.00,1316.00,1316.00,,-1.79,,90804.00
2015-03-09,1316.00,1340.00,1340.00,1340.00,,1.82,,223780.00
2015-03-10,1340.00,1340.00,1330.00,1330.00,,-0.75,,782899.00
2015-03-11,1330.00,1325.00,1320.00,1325.00,,-0.38,,745900.00
2015-03-12,1325.00,1330.00,1320.00,1320.00,,-0.38,,892760.00
2015-03-15,1320.00,1325.00,1325.00,1325.00,,0.38,,173575.00
2015-03-16,1325.00,1321.00,1300.00,1300.00,,-1.89,,807625.00
2015-03-17,1300.00,1305.00,1290.00,1295.00,,-0.38,,1468485.00
2015-03-18,1295.00,1300.00,1300.00,1300.00,,0.39,,650000.00
2015-03-19,1300.00,1300.00,1285.00,1298.00,,-0.15,,971415.00
2015-03-22,1298.00,1273.00,1273.00,1273.00,,-1.93,,112024.00
2015-03-23,1273.00,1270.00,1261.00,1270.00,,-0.24,,131720.00
2015-03-26,1270.00,1290.00,1270.00,1290.00,,1.57,,471010.00
2015-03-29,1290.00,1290.00,1290.00,1290.00,,0,,54180.00
2015-03-30,1290.00,1265.00,1265.00,1265.00,,-1.94,,674245.00
2015-03-31,1265.00,1290.00,1241.00,1290.00,,1.98,,937212.00
2015-04-01,1290.00,1265.00,1250.00,1250.00,,-3.1,,772630.00
2015-04-02,1250.00,1249.00,1225.00,1249.00,,-0.08,,487834.00
2015-04-08,1249.00,1251.00,1236.00,1236.00,,-1.04,,338921.00
2015-04-09,1236.00,1273.00,1240.00,1270.00,,2.75,,858314.00
2015-04-12,1270.00,1270.00,1270.00,1270.00,,0,,165100.00
2015-04-13,1270.00,1265.00,1246.00,1246.00,,-1.89,,1187460.00
2015-04-15,1246.00,1242.00,1236.00,1236.00,,-0.8,,613150.00
2015-04-16,1236.00,1240.00,1225.00,1230.00,,-0.49,,817162.00
2015-04-20,1230.00,1206.00,1206.00,1206.00,,-1.95,,211050.00
2015-04-23,1196.00,1220.00,1200.00,1220.00,,2.01,,2084292.00
2015-05-26,1220.00,1196.00,1098.00,1098.00,,-10,,710738.00
2015-05-27,1098.00,1077.00,1030.00,1031.00,,-6.1,,867002.00
2015-05-28,1031.00,1045.00,1011.00,1045.00,,1.36,,433001.00
2015-05-31,1045.00,1107.00,1045.00,1107.00,,5.93,,629450.00
2015-06-02,1129.00,1129.00,1129.00,1129.00,,0,,112900.00
2015-06-03,1129.00,1150.00,1150.00,1150.00,,1.86,,702650.00
2015-06-08,1180.00,1219.00,1196.00,1219.00,,3.31,,549677.00
2015-06-09,1219.00,1243.00,1173.00,1174.00,,-3.69,,1496498.00
2015-06-10,1174.00,1197.00,1151.00,1174.00,,0,,2595960.00
2015-06-11,1174.00,1153.00,1153.00,1153.00,,-1.79,,11530.00
2015-06-14,1153.00,1160.00,1160.00,1160.00,,0.61,,63800.00
2015-06-16,1160.00,1170.00,1147.00,1147.00,,-1.12,,1609210.00
2015-06-17,1147.00,1150.00,1131.00,1150.00,,0.26,,388340.00
2015-06-18,1150.00,1173.00,1170.00,1170.00,,1.74,,585600.00
2015-06-21,1170.00,1200.00,1190.00,1200.00,,2.56,,420140.00
2015-06-22,1190.00,1190.00,1151.00,1151.00,,-4.08,,1134577.00
2015-06-23,1151.00,1160.00,1150.00,1150.00,,-0.09,,1611600.00
2015-06-24,1135.00,1149.00,1135.00,1145.00,,-0.43,,1197360.00
2015-06-25,1148.00,1170.00,1148.00,1170.00,,2.18,,797595.00
2015-06-28,1165.00,1211.00,1165.00,1211.00,,3.5,,544565.00
2015-06-29,1210.00,1230.00,1200.00,1230.00,,1.57,,1677680.00
2015-06-30,1230.00,1254.00,1225.00,1250.00,,1.63,,1071080.00
2015-07-01,1270.00,1285.00,1265.00,1275.00,,2,,1914855.00
2015-07-02,1271.00,1293.00,1265.00,1293.00,,1.41,,664564.00
2015-07-05,1271.00,1271.00,1270.00,1270.00,,-1.78,,385013.00
2015-07-06,1260.00,1270.00,1250.00,1270.00,,0,,4552910.00
2015-07-07,1287.00,1287.00,1230.00,1272.00,,0.16,,3930261.00
2015-07-08,1280.00,1299.00,1280.00,1280.00,,0.63,,1557568.00
2015-07-09,1290.00,1326.00,1285.00,1318.00,,2.97,,2181310.00
2015-07-12,1344.00,1381.00,1344.00,1376.00,,4.4,,2180278.00
2015-07-13,1374.00,1374.00,1350.00,1350.00,,-1.89,,351630.00
2015-07-14,1351.00,1360.00,1340.00,1350.00,,0,,1309383.00
2015-07-15,1350.00,1377.00,1350.00,1377.00,,2,,1086725.00
2015-07-22,1425.00,1515.00,1425.00,1515.00,,8.14,,4202308.00
2015-07-23,1515.00,1545.00,1500.00,1545.00,,1.98,,7695740.00
2015-07-27,1575.00,1606.00,1570.00,1570.00,,-0.32,,295504.00
2015-07-27,1545.00,1575.00,1575.00,1575.00,,1.94,,295504.00
2015-07-28,1570.00,1550.00,1460.00,1460.00,,-7.01,,1038820.00
2015-07-29,1460.00,1431.00,1380.00,1380.00,,-5.48,,249813.00
2015-07-30,1380.00,1435.00,1400.00,1435.00,,3.98,,503867.00
2015-08-02,1435.00,1435.00,1435.00,1435.00,,0,,264040.00
2015-08-03,1435.00,1448.00,1429.00,1429.00,,-0.42,,552097.00
2015-08-04,1429.00,1440.00,1425.00,1425.00,,-0.28,,1201170.00
2015-08-05,1425.00,1427.00,1426.00,1426.00,,0.07,,442251.00
2015-08-09,1509.00,1569.00,1539.00,1569.00,,3.98,,674187.00
2015-08-10,1569.00,1625.00,1590.00,1625.00,,3.57,,1569212.00
2015-08-11,1625.00,1657.00,1620.00,1630.00,,0.31,,971220.00
2015-08-12,1640.00,1640.00,1640.00,1640.00,,0.61,,250920.00
2015-08-16,1608.00,1608.00,1608.00,1608.00,,-1.95,,160800.00
2015-08-17,1640.00,1640.00,1608.00,1615.00,,0.44,,1051400.00
2015-08-18,1625.00,1625.00,1620.00,1620.00,,0.31,,653890.00
2015-08-20,1652.00,1685.00,1652.00,1685.00,,4.01,,251100.00
2015-08-23,1700.00,1710.00,1700.00,1710.00,,1.48,,341000.00
2015-08-24,1744.00,1785.00,1744.00,1785.00,,4.39,,892250.00
2015-08-25,1750.00,1750.00,1740.00,1740.00,,-2.52,,469560.00
2015-08-27,1774.00,1774.00,1774.00,1774.00,,1.95,,88700.00
2015-08-31,1809.00,1809.00,1809.00,1809.00,,1.97,,90450.00
2015-09-01,1809.00,1881.00,1820.00,1881.00,,3.98,,221365.00
2015-09-02,1844.00,1844.00,1808.00,1808.00,,-3.88,,3619600.00
2015-09-07,1808.00,1808.00,1805.00,1805.00,,-0.17,,628884.00
2015-09-08,1780.00,1780.00,1775.00,1775.00,,-1.66,,266500.00
2015-09-09,1760.00,1760.00,1760.00,1760.00,,-0.85,,88000.00
2015-09-13,1760.00,1760.00,1725.00,1725.00,,-1.99,,650545.00
2015-09-14,1759.00,1759.00,1730.00,1730.00,,0.29,,190590.00
2015-09-15,1764.00,1764.00,1764.00,1764.00,,1.97,,35280.00
2015-09-16,1799.00,1800.00,1790.00,1800.00,,2.04,,992730.00
2015-09-17,1810.00,1846.00,1800.00,1846.00,,2.56,,1585360.00
2015-09-22,1810.00,1810.00,1740.00,1740.00,,-5.74,,693465.00
2015-09-28,1721.00,1725.00,1721.00,1725.00,,-0.86,,448100.00
2015-09-29,1759.00,1759.00,1759.00,1759.00,,1.97,,35180.00
2015-09-30,1760.00,1775.00,1760.00,1775.00,,0.91,,171470.00
2015-10-01,1740.00,1740.00,1740.00,1740.00,,-1.97,,34800.00
2015-10-04,1706.00,1740.00,1706.00,1740.00,,0,,120100.00
2015-10-05,1710.00,1744.00,1710.00,1740.00,,0,,333640.00
2015-10-06,1774.00,1881.00,1774.00,1881.00,,8.1,,178650.00
2015-10-07,1918.00,1918.00,1895.00,1895.00,,0.74,,689040.00
2015-10-08,1895.00,1895.00,1820.00,1820.00,,-3.96,,1679495.00
2015-10-14,1856.00,1856.00,1784.00,1784.00,,-1.98,,2465612.00
2015-10-19,1819.00,1938.00,1810.00,1930.00,,8.18,,4819777.00
2015-10-25,1930.00,1930.00,1930.00,1930.00,,0,,965000.00
2015-10-27,1920.00,1922.00,1920.00,1920.00,,-0.52,,1063980.00
2015-10-28,1899.00,1899.00,1899.00,1899.00,,-1.09,,715923.00
2015-11-01,1900.00,1900.00,1860.00,1860.00,,-2.05,,650920.00
2015-11-02,1897.00,1897.00,1850.00,1850.00,,-0.54,,943135.00
2015-11-03,1820.00,1820.00,1820.00,1820.00,,-1.62,,100100.00
2015-11-04,1820.00,1860.00,1820.00,1850.00,,1.65,,1414470.00
2015-11-05,1850.00,1881.00,1850.00,1875.00,,1.08,,979760.00
2015-11-08,1850.00,1850.00,1825.00,1825.00,,-2.41,,954300.00
2015-11-09,1840.00,1880.00,1840.00,1880.00,,3.01,,1128840.00
2015-11-10,1865.00,1905.00,1860.00,1900.00,,1.06,,1139780.00
2015-11-15,1900.00,1900.00,1860.00,1860.00,,-2.11,,890350.00
2015-11-16,1880.00,1897.00,1880.00,1897.00,,1.99,,206970.00
2015-11-18,1866.00,1930.00,1866.00,1893.00,,-0.21,,2044113.00
2015-11-19,1893.00,1893.00,1880.00,1880.00,,-0.69,,1025460.00
2015-11-22,1866.00,1865.00,1830.00,1830.00,,-2.66,,325890.00
2015-11-23,1824.00,1825.00,1800.00,1800.00,,-1.64,,979864.00
2015-11-24,1809.00,1809.00,1800.00,1800.00,,0,,126180.00
2015-11-25,1780.00,1785.00,1730.00,1730.00,,-3.89,,509720.00
2015-11-26,1700.00,1701.00,1680.00,1680.00,,-2.89,,1148700.00
2015-11-29,1647.00,1650.00,1617.00,1620.00,,-3.57,,705650.00
2015-11-30,1652.00,1689.00,1650.00,1686.00,,4.26,,2981460.00
2015-12-01,1689.00,1800.00,1722.00,1800.00,,6.57,,677320.00
2015-12-02,1805.00,1867.00,1784.00,1867.00,,3.72,,10185253.00
2015-12-03,1900.00,2014.00,1900.00,2010.00,,7.66,,4219419.00
2015-12-06,2040.00,2095.00,1970.00,2095.00,,4.23,,11873198.00
2015-12-07,2100.00,2115.00,2060.00,2100.00,,0.24,,7156550.00
2015-12-08,2115.00,2155.00,2080.00,2150.00,,2.38,,17021045.00
2015-12-09,1445.00,1589.00,1473.00,1570.00,,8.65,,8933802.00
2015-12-10,1540.00,1550.00,1510.00,1516.00,,-3.44,,1511620.00
2015-12-13,1520.00,1520.00,1500.00,1500.00,,-1.06,,317200.00
2015-12-14,1470.00,1470.00,1460.00,1460.00,,-2.67,,626690.00
2015-12-15,1435.00,1435.00,1410.00,1431.00,,-3.42,,692695.00
2015-12-16,1410.00,1410.00,1390.00,1400.00,,-0.71,,2232510.00
2015-12-17,1428.00,1428.00,1428.00,1428.00,,2,,357000.00
2015-12-22,1430.00,1430.00,1430.00,1430.00,,-0.69,,35750.00
2015-12-23,1430.00,1485.00,1450.00,1485.00,,3.85,,382410.00
2015-12-24,1490.00,1510.00,1465.00,1465.00,,-1.35,,2317090.00
2015-12-27,1494.00,1523.00,1494.00,1515.00,,3.41,,1144920.00
2015-12-28,1515.00,1515.00,1500.00,1500.00,,-0.99,,1253465.00
2015-12-29,1500.00,1579.00,1500.00,1579.00,,5.27,,3015160.00
2015-12-31,1580.00,1604.00,1580.00,1604.00,,1.58,,1995824.00
2016-01-03,1607.00,1672.00,1605.00,1655.00,,3.18,,4358616.00
2016-01-04,1655.00,1690.00,1670.00,1688.00,,1.99,,1672610.00
2016-01-05,1655.00,1655.00,1625.00,1625.00,,-3.73,,1036650.00
2016-01-06,1618.00,1618.00,1618.00,1618.00,,-0.43,,705448.00
2016-01-07,1601.00,1601.00,1590.00,1595.00,,-1.42,,925800.00
2016-01-10,1595.00,1590.00,1575.00,1590.00,,-0.31,,791000.00
2016-01-11,1600.00,1660.00,1599.00,1660.00,,4.4,,3511817.00
2016-01-12,1660.00,1713.00,1658.00,1713.00,,3.19,,2323918.00
2016-01-13,1713.00,1700.00,1679.00,1700.00,,-0.76,,404900.00
2016-01-14,1699.00,1699.00,1680.00,1680.00,,-1.18,,1094850.00
2016-01-17,1713.00,1721.00,1710.00,1714.00,,2.02,,1858415.00
2016-01-18,1680.00,1700.00,1680.00,1700.00,,-0.82,,444420.00
2016-01-19,1700.00,1715.00,1700.00,1715.00,,0.88,,1164856.00
2016-01-20,1700.00,1720.00,1700.00,1720.00,,0.29,,799520.00
2016-01-24,1705.00,1840.00,1720.00,1840.00,,7.92,,3327954.00
2016-01-24,1720.00,1705.00,1700.00,1705.00,,-0.87,,3327954.00
2016-01-25,1860.00,1876.00,1750.00,1780.00,,-3.26,,5911996.00
2016-01-26,1780.00,1800.00,1780.00,1790.00,,0.56,,3362735.00
2016-01-27,1790.00,1790.00,1790.00,1790.00,,0,,179000.00
2016-01-28,1755.00,1790.00,1750.00,1790.00,,0,,1013560.00
2016-01-31,1765.00,1800.00,1762.00,1790.00,,0,,8946295.00
2016-02-01,1790.00,1856.00,1799.00,1805.00,,0.84,,2873907.00
2016-02-02,1805.00,1860.00,1800.00,1839.00,,1.94,,2827165.00
2016-02-03,1840.00,1938.00,1840.00,1938.00,,5.33,,12223742.00
2016-02-04,1938.00,1975.00,1920.00,1920.00,,-0.93,,2776964.00
2016-02-07,1920.00,1890.00,1855.00,1855.00,,-3.39,,629930.00
2016-02-14,1740.00,1740.00,1700.00,1700.00,,-4.23,,798420.00
2016-02-14,1855.00,1830.00,1820.00,1820.00,,-1.89,,798420.00
2016-02-14,1820.00,1790.00,1775.00,1775.00,,-2.47,,798420.00
2016-02-15,1691.00,1724.00,1691.00,1720.00,,1.41,,714725.00
2016-02-16,1724.00,1749.00,1725.00,1749.00,,1.45,,381140.00
2016-02-18,1749.00,1730.00,1725.00,1730.00,,-1.09,,2072000.00
2016-02-22,1750.00,1760.00,1750.00,1750.00,,-0.57,,1093000.00
2016-02-23,1750.00,1760.00,1730.00,1760.00,,0.57,,1367630.00
