Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-12-21,208.80,229.60,208.80,229.60,,0,,226869.30
2023-12-24,234.10,252.50,234.10,252.50,,9.97,,367533.30
2023-12-27,252.00,277.70,252.00,277.70,,9.98,,382642.20
2023-12-28,277.70,305.40,277.70,305.40,,9.97,,598844.20
2024-01-01,311.50,335.90,311.50,335.90,,9.99,,798723.30
2024-01-02,342.60,369.40,342.60,369.40,,9.97,,752666.00
2024-01-03,376.70,406.30,376.70,406.30,,9.99,,1038427.50
2024-01-04,414.40,446.90,414.40,446.90,,9.99,,1062470.00
2024-01-07,455.80,491.50,455.80,491.50,,9.98,,1123626.50
2024-01-08,481.80,540.60,481.80,540.60,,9.99,,1685689.30
2024-01-09,551.20,594.60,551.20,594.60,,9.99,,1288878.90
2024-01-10,594.00,654.00,594.00,654.00,,9.99,,1332188.60
2024-01-11,655.40,719.40,655.40,719.40,,10,,1566260.00
2024-01-14,733.70,791.30,733.70,791.30,,9.99,,1990792.60
2024-01-16,791.00,870.40,791.00,870.40,,10,,1842572.40
2024-01-17,887.80,957.40,887.80,957.40,,10,,7303523.40
2024-01-18,976.50,996.00,861.70,902.00,,-5.79,,152836608.70
2024-01-21,900.00,915.00,885.00,892.60,,-1.04,,42479454.60
2024-01-22,889.60,889.60,836.60,855.00,,-4.21,,49415401.50
2024-01-23,838.00,876.00,838.00,863.00,,0.94,,28194529.60
2024-01-24,860.00,900.00,860.00,877.50,,0.29,,22679466.80
2024-01-25,868.00,891.00,858.00,865.00,,-1.42,,23529756.70
2024-01-28,850.00,871.00,849.00,860.00,,-0.58,,18249614.90
2024-01-29,850.00,892.00,850.00,857.00,,-0.35,,12908121.50
2024-01-30,850.00,871.50,847.30,856.00,,-0.12,,16921923.80
2024-01-31,839.00,850.00,798.00,836.00,,-2.34,,46741084.00
2024-02-01,820.00,837.00,815.00,820.00,,-1.91,,15971286.50
2024-02-04,810.00,811.10,780.00,789.00,,-3.78,,14789133.80
2024-02-05,775.10,804.00,767.00,767.00,,-2.79,,12238316.90
2024-02-06,755.50,785.50,755.50,780.00,,1.69,,10245541.50
2024-02-07,787.00,787.00,761.50,772.80,,-0.92,,7312224.50
2024-02-08,760.00,780.00,760.00,777.00,,0.54,,5205662.00
2024-02-11,761.50,785.40,761.50,765.00,,-1.54,,8708271.80
2024-02-12,760.00,777.00,760.00,775.00,,1.31,,6835694.00
2024-02-13,760.10,767.00,743.60,750.00,,-3.23,,11177053.40
2024-02-14,742.00,751.00,733.00,734.00,,-2.13,,5855828.50
2024-02-15,722.40,768.00,722.40,723.40,,-1.44,,8922215.60
2024-02-18,712.00,717.00,695.80,699.00,,-3.37,,13721797.10
2024-02-20,710.00,752.90,687.00,710.00,,1.57,,9949040.20
2024-02-21,695.80,748.70,695.80,748.70,,5.45,,17274834.40
2024-02-22,734.30,790.00,734.30,765.00,,2.18,,25751714.30
2024-02-25,750.00,765.20,739.00,745.00,,-2.61,,19678367.40
2024-02-26,754.20,815.00,739.20,802.00,,7.65,,24654489.80
2024-02-27,786.00,815.00,780.00,800.00,,-0.25,,23313669.60
2024-02-28,801.00,803.90,775.00,775.00,,-3.12,,10852467.20
2024-02-29,764.00,775.00,731.00,739.90,,-4.53,,12165718.70
2024-03-03,740.00,750.00,730.00,730.10,,-1.32,,7566839.10
2024-03-04,744.70,803.10,744.70,800.00,,9.57,,501050.00
2024-03-05,808.00,808.00,746.50,755.00,,-5.62,,20115000.80
2024-03-06,741.00,775.20,735.60,764.00,,1.19,,14313323.50
2024-03-07,778.00,779.20,751.50,769.00,,0.65,,5801665.70
2024-03-10,769.00,780.00,755.00,774.00,,0.65,,8828153.30
2024-03-12,765.20,786.40,765.20,784.50,,1.36,,13673379.40
2024-03-13,799.00,800.00,770.10,773.00,,-1.47,,12717672.70
2024-03-14,761.10,788.00,761.10,770.00,,-0.39,,9931938.10
2024-03-17,761.00,779.00,761.00,773.90,,0.51,,6809418.80
2024-03-18,763.00,780.00,763.00,766.50,,-0.96,,4278270.00
2024-03-19,766.00,780.00,760.00,765.00,,-0.2,,6632162.80
2024-03-20,777.90,777.90,735.00,761.00,,-0.52,,12803109.70
2024-03-21,776.20,776.20,742.00,750.00,,-1.45,,4460498.70
2024-03-25,738.00,750.00,738.00,750.00,,0,,7445501.50
2024-03-26,760.00,760.00,738.00,748.00,,-0.27,,4271243.50
2024-03-27,740.00,777.00,735.50,747.90,,-0.01,,5466555.00
2024-03-28,737.00,750.00,735.10,736.20,,-1.56,,7394357.50
2024-03-31,738.00,750.90,726.00,736.00,,-0.03,,4822239.60
2024-04-01,730.00,740.00,723.80,735.00,,-0.14,,4456083.30
2024-04-02,729.00,740.00,723.50,730.00,,-0.68,,6558313.30
2024-04-03,725.00,739.00,720.00,726.00,,-0.55,,7045292.70
2024-04-04,724.00,738.00,718.00,723.00,,-0.41,,8739015.40
2024-04-07,723.00,745.00,713.50,745.00,,3.04,,7334706.40
2024-04-09,750.00,764.00,735.00,764.00,,2.55,,27608332.90
2024-04-10,777.00,777.00,750.00,750.00,,-1.83,,8291580.10
2024-04-14,735.00,750.00,730.00,745.00,,-0.67,,6652042.50
2024-04-15,740.10,759.90,740.10,748.00,,0.4,,7458928.40
2024-04-16,735.10,755.00,735.00,741.00,,-0.94,,4161561.50
2024-04-18,735.00,735.00,715.00,724.00,,-2.29,,6371631.40
2024-04-21,735.00,735.00,712.10,730.00,,0.83,,3447174.00
2024-04-22,744.60,759.30,716.00,717.00,,-1.78,,3755911.40
2024-04-24,708.00,730.00,708.00,717.00,,0,,2593543.70
2024-04-25,715.60,734.40,715.60,729.00,,1.67,,3240929.80
2024-04-28,729.00,742.00,720.00,734.00,,0.69,,2046860.80
2024-04-29,722.00,733.00,720.10,728.00,,-0.82,,2615365.10
2024-04-30,715.00,745.00,715.00,735.00,,0.96,,5962994.00
2024-05-02,723.10,745.00,721.00,726.90,,-1.1,,3569419.60
2024-05-05,725.00,738.80,708.00,710.00,,-2.32,,6261323.10
2024-05-06,709.00,709.00,688.00,691.00,,-2.68,,5185888.00
2024-05-07,678.00,715.00,678.00,705.00,,2.03,,7275088.50
2024-05-08,691.20,711.00,691.20,707.90,,0.41,,1100595.50
2024-05-09,700.00,734.40,700.00,724.00,,2.27,,8601839.50
2024-05-12,720.30,760.00,720.20,749.00,,3.45,,15973940.00
2024-05-13,745.00,749.00,734.10,740.00,,-1.2,,17296942.70
2024-05-14,737.00,737.00,721.00,733.80,,-0.84,,10672787.90
2024-05-15,739.00,739.00,719.60,720.10,,-1.87,,6520594.60
2024-05-16,712.00,735.40,712.00,735.40,,2.12,,7962461.30
2024-05-19,722.00,750.00,722.00,732.20,,-0.44,,5936024.90
2024-05-20,730.00,758.40,725.00,730.00,,-0.3,,6689478.10
2024-05-21,730.00,735.00,720.30,733.00,,0.41,,7625631.50
2024-05-22,721.10,745.00,721.10,730.00,,-0.41,,5616157.20
2024-05-26,720.00,735.00,711.00,720.00,,-1.37,,6480208.00
2024-05-27,734.00,792.00,711.60,792.00,,10,,65722708.00
2024-05-29,807.80,871.20,800.00,840.00,,6.06,,75415349.40
