Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2021-11-29,282.30,310.50,282.30,310.50,,9.99,,57717.70
2021-11-30,316.70,341.50,316.70,341.50,,9.98,,57762.70
2021-12-01,348.30,375.60,348.30,375.60,,9.99,,55348.00
2021-12-02,375.60,413.10,375.60,413.10,,9.98,,159850.00
2021-12-05,421.30,454.40,421.30,454.40,,10,,695114.20
2021-12-06,463.40,499.80,409.00,433.00,,-4.71,,35157169.30
2021-12-07,441.00,459.00,414.00,416.00,,-3.93,,13054412.00
2021-12-08,408.00,410.00,400.00,408.00,,-1.92,,4365534.00
2021-12-09,399.90,404.00,385.00,393.00,,-3.68,,4881113.00
2021-12-12,387.00,391.60,364.00,365.00,,-7.12,,6665237.80
2021-12-13,358.00,386.00,332.00,347.00,,-4.93,,3666838.10
2021-12-14,350.00,381.70,350.00,381.70,,10,,1786201.50
2021-12-15,389.30,412.00,363.00,372.00,,-2.54,,6820720.50
2021-12-16,365.00,385.50,360.00,363.00,,-2.42,,2139034.10
2021-12-20,362.00,362.00,343.00,347.00,,-4.41,,1693137.50
2021-12-21,349.00,356.90,344.00,356.90,,2.85,,1819310.00
2021-12-22,357.00,378.00,357.00,378.00,,5.91,,2739578.50
2021-12-23,378.10,380.00,365.10,371.00,,-1.85,,2996923.70
2021-12-26,370.10,377.00,362.60,375.00,,1.08,,2981678.10
2021-12-27,375.00,375.00,358.00,360.00,,-4,,4337568.60
2021-12-28,355.00,362.40,351.00,358.00,,-0.56,,1445544.00
2021-12-29,351.20,372.00,351.20,364.00,,1.68,,1453923.00
2022-01-02,356.80,386.10,353.00,383.00,,5.22,,4225588.00
2022-01-03,375.40,390.00,362.00,379.00,,-1.04,,5284335.00
2022-01-04,371.50,388.00,367.10,384.00,,1.32,,2930709.50
2022-01-05,384.00,397.80,371.00,382.00,,-0.52,,5784544.60
2022-01-06,375.00,393.00,369.10,393.00,,2.88,,4478146.20
2022-01-09,390.10,432.30,390.10,430.00,,9.41,,10257910.60
2022-01-10,430.00,439.90,420.00,439.00,,2.09,,8944679.00
2022-01-11,431.00,482.00,431.00,482.00,,9.79,,14442356.70
2022-01-12,482.00,486.00,460.00,482.00,,0,,12149344.50
2022-01-13,472.40,485.00,463.00,481.00,,-0.21,,9595904.30
2022-01-16,481.00,489.60,469.00,470.10,,-2.27,,15373548.60
2022-01-17,463.00,492.00,460.00,492.00,,4.66,,13648695.90
2022-01-18,492.00,505.00,490.00,499.00,,1.42,,15266600.00
2022-01-19,499.00,499.00,481.00,484.10,,-2.99,,6529765.10
2022-01-20,475.00,529.00,474.60,527.00,,8.86,,17495226.50
2022-01-23,530.00,545.00,510.00,517.00,,-1.9,,16434622.20
2022-01-24,517.00,520.00,480.00,492.00,,-4.84,,18122049.10
