Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,800.00,805.00,775.00,776.00,,-3,,1233440.00
2014-08-04,776.00,816.00,761.00,800.00,,3.09,,1233440.00
2014-08-04,800.00,832.00,790.00,790.00,,-1.25,,1233440.00
2014-08-04,790.00,800.00,790.00,795.00,,0.63,,1233440.00
2014-08-04,795.00,799.00,790.00,791.00,,-0.5,,1233440.00
2014-08-05,776.00,791.00,788.00,790.00,,1.8,,971600.00
2014-08-06,790.00,785.00,776.00,776.00,,-1.77,,690770.00
2014-08-07,776.00,776.00,761.00,770.00,,-0.77,,2729570.00
2014-08-12,770.00,780.00,760.00,780.00,,1.3,,4207950.00
2014-08-13,780.00,778.00,752.00,775.00,,-0.64,,617150.00
2014-08-14,775.00,780.00,760.00,775.00,,0,,1191180.00
2014-08-18,775.00,800.00,761.00,761.00,,-1.81,,1165180.00
2014-08-19,761.00,759.00,730.00,730.00,,-4.07,,1451630.00
2014-08-20,730.00,735.00,688.00,715.00,,-2.05,,2616330.00
2014-08-21,715.00,701.00,694.00,700.00,,-2.1,,251680.00
2014-08-24,700.00,687.00,648.00,648.00,,-7.43,,921250.00
2014-08-25,648.00,636.00,636.00,636.00,,-1.85,,146280.00
2014-08-26,636.00,673.00,640.00,673.00,,5.82,,248030.00
2014-08-27,673.00,687.00,660.00,680.00,,1.04,,814900.00
2014-08-28,680.00,667.00,654.00,654.00,,-3.82,,79780.00
2014-08-31,654.00,650.00,641.00,643.00,,-1.68,,629900.00
2014-09-01,643.00,634.00,619.00,634.00,,-1.4,,935290.00
2014-09-03,634.00,650.00,622.00,650.00,,2.52,,438210.00
2014-09-04,650.00,637.00,613.00,613.00,,-5.69,,593440.00
2014-09-07,613.00,602.00,602.00,602.00,,-1.79,,60200.00
2014-09-09,602.00,650.00,602.00,650.00,,7.97,,741400.00
2014-09-10,650.00,714.00,655.00,655.00,,0.77,,1457420.00
2014-09-11,655.00,649.00,618.00,630.00,,-3.82,,1741580.00
2014-09-14,630.00,665.00,618.00,650.00,,3.17,,2172430.00
2014-09-15,650.00,668.00,640.00,668.00,,2.77,,786990.00
2014-09-16,668.00,681.00,655.00,681.00,,1.95,,1362660.00
2014-09-17,681.00,730.00,676.00,730.00,,7.2,,2903830.00
2014-09-21,630.00,618.00,583.00,583.00,,-7.46,,108380.00
2014-09-22,583.00,597.00,594.00,597.00,,2.4,,77470.00
2014-09-23,597.00,604.00,590.00,604.00,,1.17,,125990.00
2014-09-24,604.00,604.00,604.00,604.00,,0,,12080.00
2014-09-28,604.00,601.00,600.00,601.00,,-0.5,,384010.00
2014-09-29,601.00,613.00,613.00,613.00,,2,,18390.00
2014-10-09,613.00,620.00,620.00,620.00,,1.14,,124000.00
2014-10-12,620.00,625.00,625.00,625.00,,0.81,,25000.00
2014-10-13,625.00,637.00,637.00,637.00,,1.92,,63700.00
2014-10-14,637.00,661.00,645.00,661.00,,3.77,,104400.00
2014-10-15,661.00,687.00,661.00,687.00,,3.93,,278040.00
2014-10-16,687.00,710.00,675.00,710.00,,3.35,,1023060.00
2014-10-20,710.00,724.00,696.00,696.00,,-1.97,,2570830.00
2014-10-21,696.00,710.00,686.00,699.00,,0.43,,1786250.00
2014-10-22,699.00,714.00,696.00,710.00,,1.57,,1922280.00
2014-10-26,710.00,715.00,710.00,710.00,,0,,426500.00
2014-10-27,710.00,715.00,715.00,715.00,,0.7,,57200.00
2014-10-28,715.00,717.00,701.00,708.00,,-0.98,,2308340.00
2014-10-30,708.00,718.00,710.00,712.00,,0.56,,272240.00
2014-11-02,712.00,700.00,698.00,700.00,,-1.69,,489000.00
2014-11-03,700.00,700.00,687.00,700.00,,0,,1012650.00
2014-11-04,700.00,686.00,676.00,676.00,,-3.43,,319220.00
2014-11-05,676.00,685.00,670.00,672.00,,-0.59,,1988540.00
2014-11-06,672.00,660.00,659.00,660.00,,-1.79,,138590.00
2014-11-09,660.00,650.00,647.00,650.00,,-1.52,,713500.00
2014-11-11,650.00,650.00,637.00,650.00,,0,,784164.00
2014-11-13,650.00,637.00,637.00,637.00,,-2,,44590.00
2014-11-16,637.00,640.00,625.00,640.00,,0.47,,357980.00
2014-11-17,640.00,629.00,629.00,629.00,,-1.72,,94350.00
2014-11-18,629.00,628.00,620.00,620.00,,-1.43,,2281150.00
2014-11-19,620.00,620.00,619.00,620.00,,0,,2132410.00
2014-11-20,620.00,644.00,615.00,627.00,,1.13,,570320.00
2014-11-30,654.00,641.00,613.00,628.00,,-3.98,,400520.00
2014-12-01,628.00,618.00,618.00,618.00,,-1.59,,129780.00
2014-12-02,618.00,620.00,620.00,620.00,,0.32,,725400.00
2014-12-03,620.00,615.00,610.00,610.00,,-1.61,,1299210.00
2014-12-04,610.00,622.00,610.00,610.00,,0,,55500.00
2014-12-09,610.00,605.00,599.00,600.00,,-1.64,,926500.00
2014-12-10,600.00,625.00,610.00,625.00,,4.17,,1245740.00
2014-12-11,625.00,637.00,625.00,625.00,,0,,287620.00
2014-12-14,625.00,637.00,635.00,637.00,,1.92,,762410.00
2014-12-15,637.00,649.00,649.00,649.00,,1.88,,12980.00
2014-12-16,649.00,637.00,625.00,630.00,,-2.93,,81690.00
2014-12-17,630.00,619.00,619.00,619.00,,-1.75,,24760.00
2014-12-18,619.00,648.00,625.00,648.00,,4.68,,133370.00
2014-12-21,648.00,638.00,626.00,638.00,,-1.54,,344900.00
2014-12-22,638.00,638.00,620.00,620.00,,-2.82,,4528080.00
2014-12-23,620.00,632.00,620.00,632.00,,1.94,,75000.00
2014-12-24,632.00,620.00,616.00,616.00,,-2.53,,18560.00
2014-12-28,616.00,620.00,605.00,620.00,,0.65,,798110.00
2014-12-29,620.00,632.00,632.00,632.00,,1.94,,12640.00
2014-12-31,632.00,620.00,618.00,620.00,,-1.9,,5003290.00
2015-01-01,620.00,620.00,609.00,617.00,,-0.48,,3178260.00
2015-01-04,617.00,633.00,615.00,620.00,,0.49,,7918360.00
2015-01-05,620.00,630.00,620.00,629.00,,1.45,,753150.00
2015-01-06,629.00,635.00,620.00,635.00,,0.95,,4573550.00
2015-01-07,635.00,670.00,633.00,669.00,,5.35,,1984300.00
2015-01-08,669.00,704.00,650.00,704.00,,5.23,,12017480.00
2015-01-11,704.00,710.00,685.00,710.00,,0.85,,8702360.00
2015-01-12,710.00,723.00,669.00,681.00,,-4.08,,2260850.00
2015-01-13,681.00,737.00,681.00,737.00,,8.22,,5004890.00
2015-01-14,737.00,724.00,710.00,721.00,,-2.17,,3135870.00
2015-01-18,721.00,730.00,720.00,728.00,,0.97,,3653650.00
2015-01-19,728.00,770.00,730.00,741.00,,1.79,,3387610.00
2015-01-20,741.00,751.00,725.00,730.00,,-1.48,,2892590.00
2015-01-22,730.00,745.00,725.00,735.00,,0.68,,1104870.00
2015-01-25,735.00,750.00,722.00,745.00,,1.36,,1115270.00
2015-01-26,745.00,755.00,730.00,735.00,,-1.34,,2507400.00
2015-01-27,735.00,760.00,735.00,745.00,,1.36,,877950.00
2015-01-28,745.00,740.00,740.00,740.00,,-0.67,,370000.00
2015-01-29,740.00,754.00,739.00,739.00,,-0.14,,126230.00
2015-02-01,739.00,725.00,724.00,725.00,,-1.89,,385678.00
2015-02-02,725.00,725.00,711.00,725.00,,0,,1844040.00
2015-02-03,725.00,753.00,727.00,730.00,,0.69,,5482930.00
2015-02-04,730.00,748.00,730.00,748.00,,2.47,,4078710.00
2015-02-05,748.00,739.00,724.00,739.00,,-1.2,,7329330.00
2015-02-08,739.00,725.00,720.00,720.00,,-2.57,,165700.00
2015-02-09,720.00,734.00,720.00,725.00,,0.69,,588640.00
2015-02-10,725.00,720.00,715.00,715.00,,-1.38,,179650.00
2015-02-11,715.00,725.00,720.00,720.00,,0.7,,374500.00
2015-02-12,720.00,724.00,707.00,724.00,,0.56,,488020.00
2015-02-15,724.00,738.00,724.00,738.00,,1.93,,14620.00
2015-02-16,738.00,725.00,725.00,725.00,,-1.76,,290000.00
2015-02-18,725.00,725.00,716.00,720.00,,-0.69,,1638890.00
2015-02-22,720.00,725.00,711.00,720.00,,0,,4407680.00
2015-02-23,720.00,720.00,706.00,710.00,,-1.39,,2344170.00
2015-02-24,710.00,730.00,715.00,725.00,,2.82,,1574280.00
2015-02-25,730.00,725.00,721.00,725.00,,-0.68,,1522340.00
2015-03-01,721.00,725.00,717.00,717.00,,-0.55,,3336070.00
2015-03-02,717.00,745.00,723.00,737.00,,2.79,,4755550.00
2015-03-03,737.00,736.00,733.00,734.00,,-0.41,,2112220.00
2015-03-04,734.00,751.00,730.00,751.00,,2.32,,4094380.00
2015-03-09,751.00,760.00,740.00,760.00,,1.2,,2285830.00
2015-03-10,760.00,764.00,749.00,754.00,,-0.79,,1297930.00
2015-03-11,754.00,755.00,748.00,752.00,,-0.27,,961280.00
2015-03-12,752.00,742.00,740.00,742.00,,-1.33,,44440.00
2015-03-15,742.00,735.00,722.00,722.00,,-2.7,,4256910.00
2015-03-16,722.00,736.00,734.00,736.00,,1.94,,117560.00
2015-03-17,736.00,739.00,725.00,739.00,,0.41,,324220.00
2015-03-18,739.00,725.00,725.00,725.00,,-1.89,,50750.00
2015-03-19,725.00,735.00,726.00,735.00,,1.38,,462270.00
2015-03-22,735.00,730.00,726.00,726.00,,-1.22,,865920.00
2015-03-23,726.00,720.00,718.00,718.00,,-1.1,,445340.00
2015-03-24,718.00,720.00,710.00,720.00,,0.28,,481890.00
2015-03-25,720.00,715.00,710.00,715.00,,-0.69,,875640.00
2015-03-26,715.00,714.00,702.00,714.00,,-0.14,,761400.00
2015-03-30,714.00,714.00,710.00,710.00,,-0.56,,745780.00
2015-03-31,710.00,757.00,706.00,757.00,,6.62,,1734400.00
2015-04-01,757.00,757.00,725.00,725.00,,-4.23,,1517112.00
2015-04-02,725.00,716.00,715.00,716.00,,-1.24,,743640.00
2015-04-06,702.00,708.00,701.00,701.00,,-0.14,,154290.00
2015-04-06,716.00,702.00,700.00,702.00,,-1.96,,154290.00
2015-04-07,701.00,715.00,715.00,715.00,,2,,464750.00
2015-04-08,715.00,725.00,716.00,716.00,,0.14,,739320.00
2015-04-09,716.00,724.00,710.00,724.00,,1.12,,234600.00
2015-04-12,724.00,721.00,721.00,721.00,,-0.41,,28840.00
2015-04-13,721.00,735.00,722.00,725.00,,0.55,,1100470.00
2015-04-15,725.00,711.00,711.00,711.00,,-1.93,,7110.00
2015-04-16,711.00,720.00,711.00,715.00,,0.56,,1222480.00
2015-04-19,715.00,725.00,718.00,724.00,,1.26,,2174900.00
2015-04-20,724.00,715.00,710.00,715.00,,-1.24,,714900.00
2015-04-21,715.00,725.00,715.00,725.00,,1.4,,1018500.00
2015-04-23,719.00,715.00,715.00,715.00,,-0.56,,357500.00
2015-06-03,715.00,701.00,644.00,650.00,,-9.09,,5014970.00
2015-06-07,650.00,663.00,650.00,661.00,,1.69,,222670.00
2015-06-07,650.00,655.00,641.00,650.00,,0,,222670.00
2015-06-08,661.00,674.00,636.00,657.00,,-0.61,,2056950.00
2015-06-09,657.00,695.00,669.00,682.00,,3.81,,7862400.00
2015-06-10,682.00,669.00,669.00,669.00,,-1.91,,46830.00
2015-06-11,669.00,669.00,669.00,669.00,,0,,26760.00
2015-06-21,669.00,656.00,616.00,616.00,,-7.92,,1705710.00
2015-06-22,616.00,620.00,610.00,610.00,,-0.97,,4235730.00
2015-06-23,610.00,615.00,610.00,612.00,,0.33,,2558750.00
2015-06-24,617.00,620.00,608.00,610.00,,-0.33,,12092040.00
2015-06-28,610.00,612.00,606.00,609.00,,-0.16,,2379550.00
2015-06-29,607.00,607.00,605.00,606.00,,-0.49,,1175265.00
2015-06-30,600.00,603.00,600.00,603.00,,-0.49,,612060.00
2015-07-01,610.00,622.00,605.00,605.00,,0.33,,5076488.00
2015-07-02,605.00,610.00,604.00,604.00,,-0.17,,1716510.00
2015-07-05,602.00,610.00,602.00,610.00,,0.99,,311020.00
2015-07-06,601.00,601.00,590.00,590.00,,-3.28,,1553200.00
2015-07-07,580.00,600.00,580.00,600.00,,1.69,,2147600.00
2015-07-08,604.00,622.00,604.00,622.00,,3.67,,97600.00
2015-07-09,634.00,646.00,622.00,622.00,,0,,248110.00
2015-07-12,620.00,632.00,620.00,620.00,,-0.32,,198640.00
2015-07-13,608.00,608.00,606.00,606.00,,-2.26,,297020.00
2015-07-14,615.00,614.00,611.00,611.00,,0.83,,380320.00
2015-07-15,623.00,654.00,623.00,647.00,,5.89,,849720.00
2015-07-22,669.00,669.00,643.00,655.00,,-3.96,,98510.00
2015-07-29,655.00,642.00,630.00,630.00,,-3.82,,768840.00
2015-07-30,630.00,618.00,600.00,600.00,,-4.76,,1464120.00
2015-08-02,600.00,605.00,600.00,600.00,,0,,541000.00
2015-08-03,600.00,610.00,586.00,610.00,,1.67,,847220.00
2015-08-04,610.00,612.00,600.00,600.00,,-1.64,,216220.00
2015-08-05,600.00,605.00,593.00,593.00,,-1.17,,919650.00
2015-08-09,613.00,621.00,615.00,621.00,,1.31,,743060.00
2015-08-10,621.00,609.00,605.00,605.00,,-2.58,,260970.00
2015-08-11,605.00,609.00,595.00,595.00,,-1.65,,504150.00
2015-08-12,584.00,604.00,584.00,604.00,,1.51,,1007850.00
2015-08-13,595.00,601.00,585.00,585.00,,-3.15,,1324546.00
2015-08-16,596.00,627.00,596.00,615.00,,5.13,,2492106.00
2015-08-17,620.00,630.00,616.00,625.00,,1.63,,643869.00
2015-08-18,615.00,649.00,595.00,630.00,,0.8,,1773076.00
2015-08-19,618.00,693.00,618.00,693.00,,10,,718920.00
2015-08-20,700.00,742.00,687.00,687.00,,-0.87,,208009.00
2015-08-23,675.00,675.00,649.00,660.00,,-3.93,,42185.00
2015-08-25,647.00,647.00,647.00,647.00,,-1.97,,14234.00
