Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,612.00,612.00,592.00,597.00,,-2.45,,6336734.00
2014-08-04,613.00,621.00,606.00,621.00,,1.31,,6336734.00
2014-08-04,621.00,633.00,606.00,612.00,,-1.45,,6336734.00
2014-08-04,620.00,640.00,620.00,625.00,,0.81,,6336734.00
2014-08-04,625.00,632.00,619.00,631.00,,0.96,,6336734.00
2014-08-04,631.00,635.00,602.00,613.00,,-2.85,,6336734.00
2014-08-05,597.00,621.00,595.00,599.00,,0.34,,9127687.00
2014-08-06,599.00,608.00,590.00,602.00,,0.5,,14706085.00
2014-08-07,602.00,610.00,588.00,604.00,,0.33,,9549567.00
2014-08-12,604.00,600.00,574.00,580.00,,-3.97,,5110604.00
2014-08-13,580.00,595.00,560.00,587.00,,1.21,,8322571.00
2014-08-14,587.00,587.00,570.00,587.00,,0,,6501932.00
2014-08-18,587.00,596.00,561.00,571.00,,-2.73,,5774433.00
2014-08-19,571.00,595.00,564.00,576.00,,0.88,,10434593.00
2014-08-20,576.00,576.00,560.00,560.00,,-2.78,,6657885.00
2014-08-21,560.00,588.00,539.00,572.00,,2.14,,8766715.00
2014-08-24,572.00,570.00,556.00,564.00,,-1.4,,5905405.00
2014-08-25,564.00,553.00,522.00,525.00,,-6.91,,8299066.00
2014-08-26,525.00,555.00,510.00,519.00,,-1.14,,8822345.00
2014-08-27,519.00,555.00,529.00,540.00,,4.05,,13591850.00
2014-08-28,540.00,566.00,543.00,547.00,,1.3,,7808255.00
2014-08-31,547.00,548.00,515.00,520.00,,-4.94,,7367140.00
2014-09-01,520.00,529.00,502.00,528.00,,1.54,,6674828.00
2014-09-03,528.00,528.00,508.00,510.00,,-3.41,,2044760.00
2014-09-04,510.00,510.00,496.00,500.00,,-1.96,,7251222.00
2014-09-07,500.00,505.00,474.00,485.00,,-3,,6774753.00
2014-09-09,485.00,520.00,486.00,520.00,,7.22,,7195676.00
2014-09-10,520.00,530.00,490.00,498.00,,-4.23,,7432891.00
2014-09-11,498.00,506.00,483.00,496.00,,-0.4,,3265759.00
2014-09-14,496.00,498.00,483.00,496.00,,0,,1595286.00
2014-09-15,496.00,505.00,479.00,497.00,,0.2,,3585168.00
2014-09-16,497.00,546.00,492.00,546.00,,9.86,,8250115.00
2014-09-17,546.00,556.00,510.00,520.00,,-4.76,,5320780.00
2014-09-18,520.00,521.00,520.00,521.00,,0.19,,4830354.00
2014-09-21,512.00,512.00,478.00,486.00,,-5.08,,4202805.00
2014-09-22,486.00,494.00,483.00,492.00,,1.23,,1228563.00
2014-09-23,492.00,514.00,490.00,507.00,,3.05,,3027184.00
2014-09-24,507.00,513.00,499.00,510.00,,0.59,,1700135.00
2014-09-28,510.00,530.00,510.00,529.00,,3.73,,1893598.00
2014-09-29,529.00,539.00,519.00,525.00,,-0.76,,5041103.00
2014-09-30,525.00,534.00,520.00,521.00,,-0.76,,3623420.00
2014-10-08,521.00,515.00,500.00,515.00,,-1.15,,1724390.00
2014-10-09,515.00,518.00,507.00,512.00,,-0.58,,2051929.00
2014-10-12,512.00,515.00,500.00,502.00,,-1.95,,2790656.00
2014-10-13,502.00,519.00,500.00,510.00,,1.59,,1119574.00
2014-10-14,510.00,519.00,503.00,504.00,,-1.18,,2566090.00
2014-10-15,504.00,515.00,500.00,510.00,,1.19,,3732211.00
2014-10-16,510.00,521.00,511.00,512.00,,0.39,,2815565.00
2014-10-19,512.00,516.00,510.00,515.00,,0.59,,5686384.00
2014-10-20,515.00,524.00,510.00,510.00,,-0.97,,1890994.00
2014-10-21,510.00,504.00,481.00,491.00,,-3.73,,5935381.00
2014-10-22,491.00,499.00,488.00,488.00,,-0.61,,5062660.00
2014-10-26,488.00,496.00,481.00,492.00,,0.82,,1451713.00
2014-10-27,492.00,505.00,495.00,502.00,,2.03,,2375788.00
2014-10-28,502.00,509.00,495.00,495.00,,-1.39,,4013991.00
2014-10-30,495.00,507.00,497.00,499.00,,0.81,,3342153.00
2014-11-02,499.00,501.00,485.00,490.00,,-1.8,,4354466.00
2014-11-03,490.00,498.00,481.00,486.00,,-0.82,,2235968.00
2014-11-04,486.00,485.00,474.00,485.00,,-0.21,,2322358.00
2014-11-05,485.00,489.00,478.00,481.00,,-0.82,,2018122.00
2014-11-06,481.00,489.00,480.00,485.00,,0.83,,1659586.00
2014-11-09,485.00,485.00,478.00,482.00,,-0.62,,3802178.00
2014-11-10,482.00,484.00,470.00,479.00,,-0.62,,7298631.00
2014-11-11,479.00,500.00,463.00,490.00,,2.3,,2462085.00
2014-11-12,490.00,490.00,466.00,480.00,,-2.04,,3511331.00
2014-11-13,480.00,495.00,476.00,486.00,,1.25,,7388694.00
2014-11-16,486.00,489.00,480.00,482.00,,-0.82,,3900334.00
2014-11-17,482.00,478.00,459.00,470.00,,-2.49,,4093508.00
2014-11-18,470.00,475.00,437.00,463.00,,-1.49,,3448580.00
2014-11-19,463.00,480.00,458.00,472.00,,1.94,,3453062.00
2014-11-20,472.00,488.00,471.00,475.00,,0.64,,4158865.00
2014-11-24,485.00,485.00,461.00,484.00,,-0.21,,2251120.00
2014-11-24,475.00,499.00,474.00,485.00,,2.11,,2251120.00
2014-11-25,484.00,485.00,475.00,481.00,,-0.62,,3372426.00
2014-11-30,481.00,485.00,473.00,480.00,,-0.21,,1402960.00
2014-12-01,480.00,492.00,470.00,492.00,,2.5,,1019166.00
2014-12-02,492.00,492.00,467.00,478.00,,-2.85,,2793003.00
2014-12-03,478.00,487.00,474.00,479.00,,0.21,,4569056.00
2014-12-04,479.00,485.00,476.00,484.00,,1.04,,5019044.00
2014-12-07,484.00,498.00,481.00,481.00,,-0.62,,3478861.00
2014-12-08,481.00,489.00,480.00,489.00,,1.66,,864622.00
2014-12-09,489.00,495.00,481.00,495.00,,1.23,,2431613.00
2014-12-10,495.00,500.00,486.00,499.00,,0.81,,1087139.00
2014-12-11,499.00,508.00,496.00,505.00,,1.2,,3504240.00
2014-12-14,505.00,539.00,515.00,535.00,,5.94,,10190356.00
2014-12-15,535.00,550.00,515.00,539.00,,0.75,,11612297.00
2014-12-16,539.00,544.00,517.00,536.00,,-0.56,,3898434.00
2014-12-17,536.00,531.00,520.00,526.00,,-1.87,,4200034.00
2014-12-18,526.00,528.00,515.00,528.00,,0.38,,3406584.00
2014-12-21,528.00,526.00,513.00,523.00,,-0.95,,3824618.00
2014-12-22,523.00,533.00,520.00,521.00,,-0.38,,9576825.00
2014-12-23,521.00,528.00,509.00,518.00,,-0.58,,15610306.00
2014-12-24,518.00,527.00,515.00,520.00,,0.39,,15469768.00
2014-12-28,437.00,460.00,438.00,448.00,,2.52,,2469739.00
2014-12-29,448.00,448.00,431.00,447.00,,-0.22,,1153755.00
2014-12-31,447.00,442.00,439.00,440.00,,-1.57,,564059.00
2015-01-01,440.00,442.00,434.00,434.00,,-1.36,,2071285.00
2015-01-04,434.00,447.00,427.00,447.00,,3,,1511397.00
2015-01-05,447.00,453.00,440.00,441.00,,-1.34,,2548350.00
2015-01-06,441.00,447.00,434.00,443.00,,0.45,,2427558.00
2015-01-07,443.00,447.00,440.00,441.00,,-0.45,,806756.00
2015-01-08,441.00,453.00,442.00,442.00,,0.23,,1499075.00
2015-01-11,442.00,446.00,438.00,446.00,,0.9,,2075286.00
2015-01-12,446.00,450.00,440.00,445.00,,-0.22,,682230.00
2015-01-13,445.00,448.00,441.00,445.00,,0,,1552512.00
2015-01-14,445.00,451.00,442.00,449.00,,0.9,,1316066.00
2015-01-18,449.00,457.00,440.00,454.00,,1.11,,5483449.00
2015-01-19,454.00,499.00,463.00,479.00,,5.51,,3960776.00
2015-01-20,479.00,483.00,462.00,470.00,,-1.88,,2720952.00
2015-01-22,470.00,469.00,458.00,461.00,,-1.91,,1039238.00
2015-01-25,461.00,481.00,460.00,468.00,,1.52,,1407214.00
2015-01-26,468.00,481.00,471.00,479.00,,2.35,,4253609.00
2015-01-27,479.00,481.00,475.00,481.00,,0.42,,2076901.00
2015-01-28,481.00,489.00,481.00,489.00,,1.66,,1420612.00
2015-01-29,489.00,495.00,482.00,483.00,,-1.23,,3698736.00
2015-02-01,483.00,500.00,484.00,494.00,,2.28,,2348120.00
2015-02-02,494.00,503.00,487.00,495.00,,0.2,,2292806.00
2015-02-03,495.00,504.00,484.00,485.00,,-2.02,,999872.00
2015-02-04,485.00,490.00,480.00,480.00,,-1.03,,2364639.00
2015-02-05,480.00,480.00,470.00,475.00,,-1.04,,1383756.00
2015-02-08,475.00,484.00,469.00,478.00,,0.63,,994936.00
2015-02-09,478.00,481.00,470.00,472.00,,-1.26,,1277408.00
2015-02-10,472.00,468.00,460.00,466.00,,-1.27,,1257488.00
2015-02-11,466.00,470.00,466.00,468.00,,0.43,,603322.00
2015-02-12,468.00,470.00,462.00,470.00,,0.43,,1924675.00
2015-02-15,470.00,466.00,461.00,465.00,,-1.06,,870163.00
2015-02-16,465.00,466.00,461.00,464.00,,-0.22,,1853406.00
