Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,295.00,290.00,290.00,290.00,,-1.69,,20010.00
2014-08-04,299.00,303.00,295.00,295.00,,-1.34,,20010.00
2014-08-04,280.00,285.00,285.00,285.00,,1.79,,20010.00
2014-08-04,285.00,305.00,290.00,299.00,,4.91,,20010.00
2014-08-05,290.00,285.00,285.00,285.00,,-1.72,,28500.00
2014-08-06,285.00,285.00,285.00,285.00,,0,,712500.00
2014-08-07,285.00,280.00,280.00,280.00,,-1.75,,137200.00
2014-08-13,280.00,285.00,285.00,285.00,,1.79,,5700.00
2014-08-14,285.00,280.00,280.00,280.00,,-1.75,,28000.00
2014-08-19,280.00,275.00,270.00,270.00,,-3.57,,5534675.00
2014-08-25,270.00,265.00,265.00,265.00,,-1.85,,7950.00
2014-08-26,265.00,270.00,270.00,270.00,,1.89,,27000.00
2014-09-09,270.00,270.00,270.00,270.00,,0,,270000.00
2014-09-10,270.00,265.00,265.00,265.00,,-1.85,,299450.00
2014-09-30,265.00,260.00,255.00,255.00,,-3.77,,320890.00
2014-10-13,255.00,255.00,255.00,255.00,,0,,206550.00
2014-10-21,255.00,255.00,238.00,238.00,,-6.67,,140250.00
2014-10-22,238.00,234.00,234.00,234.00,,-1.68,,168480.00
2014-10-28,234.00,238.00,238.00,238.00,,1.71,,35700.00
2014-10-30,238.00,242.00,236.00,240.00,,0.84,,1958200.00
2014-11-13,226.00,222.00,222.00,222.00,,-1.77,,4440.00
2014-11-24,200.00,200.00,180.00,195.00,,-2.5,,21290927.00
2014-11-24,222.00,218.00,200.00,200.00,,-9.91,,21290927.00
2015-01-04,195.00,198.00,198.00,198.00,,1.54,,9900.00
2015-01-06,198.00,201.00,201.00,201.00,,1.52,,10050.00
2015-01-12,201.00,205.00,205.00,205.00,,1.99,,10250.00
2015-01-13,205.00,209.00,209.00,209.00,,1.95,,10450.00
2015-01-20,209.00,213.00,213.00,213.00,,1.91,,21300.00
2015-01-27,213.00,217.00,217.00,217.00,,1.88,,10850.00
2015-02-04,217.00,221.00,221.00,221.00,,1.84,,11050.00
2015-02-05,221.00,217.00,217.00,217.00,,-1.81,,21700.00
2015-02-11,217.00,228.00,220.00,228.00,,5.07,,660360.00
2015-02-12,228.00,248.00,232.00,248.00,,8.77,,163496.00
2015-02-15,248.00,272.00,252.00,272.00,,9.68,,131000.00
2015-02-16,272.00,277.00,272.00,272.00,,0,,531527.00
2015-02-18,272.00,272.00,267.00,267.00,,-1.84,,106152.00
2015-02-22,267.00,267.00,267.00,267.00,,0,,57672.00
2015-03-19,267.00,272.00,272.00,272.00,,1.87,,13600.00
2015-03-31,272.00,277.00,277.00,277.00,,1.84,,1282510.00
2015-04-02,277.00,282.00,282.00,282.00,,1.81,,14100.00
2015-04-08,289.00,289.00,289.00,289.00,,0,,4335.00
2015-04-09,289.00,290.00,290.00,290.00,,0.35,,62640.00
2015-04-12,290.00,285.00,285.00,285.00,,-1.72,,442320.00
2015-04-16,285.00,295.00,290.00,295.00,,3.51,,372280.00
2015-05-26,295.00,295.00,290.00,295.00,,0,,75900.00
2015-05-27,295.00,300.00,294.00,294.00,,-0.34,,128868.00
2015-06-02,294.00,299.00,299.00,299.00,,1.7,,64584.00
2015-06-03,299.00,310.00,304.00,310.00,,3.68,,313040.00
2015-06-07,313.00,311.00,310.00,311.00,,-0.64,,40330.00
2015-06-07,310.00,316.00,310.00,313.00,,0.97,,40330.00
2015-06-08,311.00,315.00,315.00,315.00,,1.29,,18900.00
2015-06-09,315.00,337.00,321.00,330.00,,4.76,,722386.00
2015-06-10,330.00,335.00,335.00,335.00,,1.52,,12395.00
2015-06-14,335.00,330.00,312.00,312.00,,-6.87,,866400.00
2015-06-15,312.00,307.00,296.00,296.00,,-5.13,,623701.00
2015-06-16,296.00,296.00,291.00,296.00,,0,,274060.00
2015-06-17,296.00,292.00,291.00,292.00,,-1.35,,563584.00
2015-06-22,297.00,302.00,297.00,302.00,,3.42,,150000.00
2015-06-24,297.00,302.00,297.00,302.00,,0,,16385.00
2015-07-05,300.00,300.00,300.00,300.00,,-0.66,,66000.00
2015-07-06,306.00,306.00,306.00,306.00,,2,,55080.00
2015-07-07,300.00,300.00,300.00,300.00,,-1.96,,69600.00
2015-07-08,300.00,300.00,300.00,300.00,,0,,192900.00
2015-07-09,306.00,306.00,300.00,300.00,,0,,43548.00
2015-07-13,301.00,301.00,301.00,301.00,,0.33,,3010.00
2015-07-15,307.00,331.00,307.00,331.00,,9.97,,2484243.00
2015-07-22,344.00,344.00,340.00,344.00,,1.78,,1028484.00
2015-07-23,344.00,357.00,350.00,357.00,,3.78,,396354.00
2015-07-27,364.00,378.00,370.00,374.00,,2.75,,474500.00
2015-07-27,357.00,364.00,364.00,364.00,,1.96,,474500.00
2015-07-28,374.00,370.00,356.00,356.00,,-4.81,,542650.00
