Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2022-12-14,300.00,300.00,270.00,270.00,,0,,3559832.10
2022-12-15,264.60,264.60,243.00,243.00,,-10,,1511562.00
2022-12-18,238.20,238.20,218.70,218.70,,-10,,1446098.30
2022-12-19,214.40,214.40,196.90,205.50,,-6.04,,32818434.20
2022-12-20,201.40,209.20,198.50,205.80,,0.15,,11332632.40
2022-12-21,202.00,205.50,200.50,204.90,,-0.44,,5952650.00
2022-12-22,204.00,204.00,197.10,199.00,,-2.88,,7725879.80
2022-12-26,202.90,210.10,197.00,205.00,,3.02,,9820817.00
2022-12-27,202.00,215.00,202.00,210.00,,2.44,,14760081.20
2022-12-28,207.00,213.90,203.50,208.00,,-0.95,,7880651.90
2022-12-29,208.00,219.00,205.10,214.10,,2.93,,7209104.30
2023-01-01,214.10,225.40,213.90,218.00,,1.82,,19795547.40
2023-01-02,213.80,229.90,213.70,228.00,,4.59,,16736897.20
2023-01-03,228.00,239.30,225.00,234.00,,2.63,,10053290.10
2023-01-04,229.40,252.90,229.40,250.00,,6.84,,16583247.40
2023-01-05,250.00,258.00,238.10,249.00,,-0.4,,16825083.20
2023-01-08,253.90,268.00,240.30,253.80,,1.93,,22956423.80
2023-01-09,249.00,279.10,249.00,279.10,,9.97,,25401267.20
2023-01-10,281.00,300.00,267.00,275.00,,-1.47,,24059548.40
2023-01-12,277.00,288.00,270.00,270.00,,-1.82,,21940980.50
2023-01-17,270.00,297.00,270.00,297.00,,10,,24277578.50
2023-01-18,302.00,326.70,302.00,326.70,,10,,17585093.50
2023-01-19,333.20,359.30,316.00,345.00,,5.6,,104058502.20
2023-01-23,345.00,379.50,339.00,374.50,,8.55,,46908726.60
2023-01-24,370.00,402.00,353.00,390.00,,4.14,,28293009.40
2023-01-25,391.60,405.00,372.50,377.00,,-3.33,,59439642.50
2023-01-26,372.00,384.40,365.00,370.00,,-1.86,,35219250.70
2023-01-29,362.60,374.00,355.40,361.80,,-2.22,,21041302.20
2023-01-30,357.20,394.00,357.20,380.00,,5.03,,95629697.20
2023-01-31,378.00,416.10,376.10,397.60,,4.63,,46025010.30
2023-02-01,397.00,405.00,385.00,399.00,,0.35,,39184414.00
2023-02-02,392.00,403.90,377.30,383.00,,-4.01,,32208679.90
2023-02-05,376.00,400.00,370.20,377.00,,-1.57,,22233297.20
2023-02-06,376.00,384.50,371.20,379.90,,0.77,,17775160.20
2023-02-07,380.00,398.40,375.00,390.50,,2.79,,36937417.50
2023-02-08,383.00,399.00,383.00,384.90,,-1.43,,20417180.70
2023-02-09,384.00,397.50,380.00,394.80,,2.57,,20888937.60
2023-02-12,387.00,387.00,371.80,375.00,,-5.02,,35617999.80
2023-02-14,368.00,375.00,362.00,375.00,,0,,11202819.50
2023-02-15,368.00,377.00,362.00,370.00,,-1.33,,13411945.00
2023-02-16,362.70,373.00,359.00,364.00,,-1.62,,8289075.20
2023-02-20,360.00,363.00,353.00,356.00,,-2.2,,12814195.40
2023-02-22,356.00,376.90,355.00,367.10,,3.12,,12591715.00
2023-02-23,360.00,367.00,354.10,362.00,,-1.39,,10740106.00
2023-02-26,354.80,366.00,342.70,364.90,,0.8,,17367005.70
2023-02-27,358.00,365.10,343.00,360.00,,-1.34,,12881693.50
2023-02-28,355.00,374.00,355.00,368.00,,2.22,,15566999.50
2023-03-01,368.00,368.00,357.00,358.10,,-2.69,,4054387.00
2023-03-02,351.00,355.00,350.00,350.10,,-2.23,,8910087.00
2023-03-05,345.50,350.50,335.10,337.50,,-3.6,,8862582.90
2023-03-07,334.00,349.00,334.00,343.00,,1.63,,6503070.80
2023-03-09,336.50,377.00,336.50,364.10,,6.15,,14189988.10
2023-03-12,365.00,371.30,359.00,360.10,,-1.1,,14248424.00
2023-03-13,360.00,369.90,353.00,363.10,,0.83,,11667604.90
2023-03-14,356.30,378.40,356.30,365.10,,0.55,,20521440.80
2023-03-15,365.00,367.90,358.10,362.90,,-0.6,,6781283.00
2023-03-16,356.10,370.00,356.10,359.10,,-1.05,,16438665.00
2023-03-19,353.00,386.00,353.00,362.70,,1,,11700777.50
2023-03-20,357.00,370.00,357.00,364.30,,0.44,,7012641.50
2023-03-22,364.00,371.00,359.00,359.00,,-1.45,,7709712.00
2023-03-23,352.10,357.00,349.00,351.30,,-2.14,,9023692.50
2023-03-26,346.00,355.90,346.00,350.00,,-0.37,,11615046.00
2023-03-27,344.00,361.00,338.00,361.00,,3.14,,6369350.50
2023-03-28,356.00,369.80,356.00,362.00,,0.28,,6963553.30
2023-03-29,355.10,365.10,355.10,361.20,,-0.22,,7106621.00
2023-03-30,360.00,367.00,353.20,354.00,,-1.99,,6736034.70
2023-04-02,354.00,361.00,343.00,344.90,,-2.57,,7045151.20
2023-04-03,338.20,347.00,335.30,336.40,,-2.46,,8781925.20
2023-04-04,343.10,343.60,331.10,338.00,,0.48,,6784974.20
2023-04-05,332.00,343.00,331.50,339.90,,0.56,,3843364.90
2023-04-06,339.00,342.00,334.40,340.00,,0.03,,5615066.00
2023-04-09,333.20,335.00,322.00,329.90,,-2.97,,6238898.40
2023-04-10,323.40,343.00,321.10,323.10,,-2.06,,4030624.50
2023-04-11,320.00,332.00,318.10,320.00,,-0.96,,4963355.50
2023-04-12,320.00,345.00,320.00,344.60,,7.69,,8582211.00
2023-04-13,345.00,351.00,331.10,336.90,,-2.23,,5292957.60
2023-04-16,332.00,337.00,328.00,334.00,,-0.86,,4067886.00
2023-04-17,330.00,340.00,325.50,325.50,,-2.54,,3607536.50
2023-04-18,319.00,336.00,319.00,330.00,,1.38,,3186428.50
2023-04-19,325.50,337.00,325.50,335.00,,1.52,,3226644.00
