Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2018-10-10,307.00,160.00,144.00,144.00,,0,,1617410.00
2018-10-11,142.00,142.00,130.00,136.00,,-5.56,,1774960.00
2018-10-14,134.00,134.00,123.00,127.00,,-6.62,,909280.00
2018-10-15,125.00,130.00,123.00,127.00,,0,,576750.00
2018-10-21,128.00,130.00,122.00,125.00,,-1.57,,671079.00
2018-10-22,123.00,123.00,119.00,121.00,,-3.2,,886461.00
2018-10-23,123.00,123.00,119.00,120.00,,-0.83,,857630.00
2018-10-24,119.00,127.00,118.00,127.00,,5.83,,714820.00
2018-10-25,127.00,130.00,121.00,125.00,,-1.57,,556860.00
2018-10-28,127.00,129.00,121.00,125.00,,0,,436240.00
2018-10-29,123.00,127.00,121.00,123.00,,-1.6,,308280.00
2018-10-30,121.00,128.00,121.00,126.00,,2.44,,379960.00
2018-10-31,124.00,126.00,123.00,124.00,,-1.59,,202740.00
2018-11-01,122.00,130.00,120.00,128.00,,3.23,,345060.00
2018-11-04,126.00,126.00,122.00,124.00,,-3.12,,130990.00
2018-11-05,122.00,124.00,122.00,124.00,,0,,165700.00
2018-11-15,124.00,125.00,120.00,123.00,,-0.81,,174390.00
2018-11-18,123.00,127.00,121.00,126.00,,2.44,,391560.00
2018-11-19,125.00,126.00,123.00,124.00,,-0.8,,392720.00
2018-11-20,124.00,126.00,118.00,124.00,,0,,325120.00
2018-11-21,124.00,126.00,122.00,126.00,,1.61,,245555.00
2018-11-22,126.00,126.00,122.00,123.00,,-2.38,,111030.00
2018-11-25,123.00,125.00,120.00,123.00,,0,,281711.00
2018-11-26,123.00,125.00,123.00,124.00,,0.81,,155970.00
2018-11-27,124.00,126.00,123.00,123.00,,-0.81,,179450.00
2018-11-28,123.00,123.00,122.00,123.00,,0,,98930.00
2018-11-29,123.00,125.00,122.00,123.00,,0,,83700.00
2018-12-02,123.00,123.00,119.00,120.00,,-2.44,,121220.00
2018-12-03,120.00,121.00,117.00,120.00,,0,,149870.00
2018-12-04,120.00,124.00,120.00,121.00,,0.83,,137740.00
2018-12-06,118.00,120.00,117.00,120.00,,1.69,,88890.00
2018-12-09,120.00,120.00,118.00,118.00,,-1.67,,29530.00
2018-12-10,118.00,122.00,118.00,122.00,,3.39,,72790.00
2018-12-11,122.00,122.00,117.00,117.00,,-4.1,,64320.00
2018-12-12,117.00,120.00,113.00,120.00,,2.56,,48710.00
2018-12-13,120.00,122.00,116.00,116.00,,-3.33,,81090.00
2018-12-16,116.00,120.00,116.00,120.00,,3.45,,45840.00
2018-12-17,120.00,120.00,117.00,118.00,,-1.67,,18900.00
2018-12-18,118.00,120.00,116.00,118.00,,0,,160960.00
2018-12-19,118.00,119.00,116.00,116.00,,-1.69,,164788.00
2018-12-20,116.00,117.00,113.00,115.00,,-0.86,,117100.00
2018-12-23,115.00,119.00,114.00,115.00,,0,,165380.00
2018-12-24,115.00,115.00,110.00,113.00,,-1.74,,239350.00
2018-12-25,113.00,113.00,109.00,110.00,,-2.65,,65300.00
2018-12-26,110.00,115.00,110.00,114.00,,3.64,,189600.00
2018-12-30,112.00,112.00,109.00,112.00,,0,,49080.00
2018-12-31,112.00,115.00,112.00,113.00,,0.89,,57700.00
2019-01-01,113.00,115.00,112.00,114.00,,0.88,,62300.00
2019-01-02,114.00,115.00,113.00,114.00,,0,,22720.00
2019-01-03,114.00,116.00,112.00,116.00,,1.75,,49050.00
2019-01-06,116.00,116.00,114.00,115.00,,-0.86,,41130.00
2019-01-07,115.00,118.00,113.00,115.00,,0,,53180.00
2019-01-08,115.00,117.00,114.00,115.00,,0,,68070.00
2019-01-09,115.00,119.00,113.00,118.00,,2.61,,117170.00
2019-01-10,118.00,118.00,114.00,115.00,,-2.54,,55390.00
2019-01-13,115.00,115.00,109.00,113.00,,-1.74,,194060.00
2019-01-15,116.00,118.00,113.00,118.00,,1.72,,102769.00
2019-01-16,118.00,120.00,115.00,115.00,,-2.54,,128170.00
2019-01-17,115.00,116.00,111.00,113.00,,-1.74,,156110.00
2019-01-20,113.00,113.00,108.00,110.00,,-2.65,,90620.00
2019-01-21,110.00,110.00,106.00,108.00,,-1.82,,156190.00
2019-01-23,108.00,110.00,104.00,104.00,,-3.7,,316300.00
2019-01-24,104.00,109.00,104.00,105.00,,0.96,,210870.00
2019-01-27,105.00,109.00,103.00,105.00,,0,,165530.00
2019-01-28,105.00,107.00,103.00,105.00,,0,,273110.00
2019-01-29,105.00,107.00,104.00,106.00,,0.95,,131490.00
2019-01-30,106.00,110.00,105.00,109.00,,2.83,,185310.00
2019-01-31,109.00,110.00,105.00,107.00,,-1.83,,109260.00
2019-02-03,105.00,109.00,105.00,109.00,,1.87,,100860.00
2019-02-04,107.00,109.00,103.00,108.00,,-0.92,,215250.00
2019-02-05,106.00,108.00,106.00,106.00,,-1.85,,380650.00
2019-02-06,105.00,109.00,105.00,108.00,,1.89,,345800.00
2019-02-07,106.00,109.00,104.00,109.00,,0.93,,254080.00
2019-02-10,107.00,109.00,106.00,107.00,,-1.83,,102260.00
2019-02-11,106.00,109.00,106.00,108.00,,0.93,,171910.00
2019-02-12,108.00,109.00,107.00,108.00,,0,,92790.00
2019-02-13,107.00,109.00,107.00,108.00,,0,,115040.00
2019-02-14,106.00,108.00,104.00,105.00,,-2.78,,328590.00
2019-02-17,105.00,109.00,105.00,109.00,,3.81,,1195590.00
2019-02-18,109.00,110.00,105.00,107.00,,-2.73,,81320.00
2019-02-19,106.00,108.00,105.00,107.00,,0,,542630.00
2019-02-20,105.00,108.00,105.00,106.00,,-0.93,,58600.00
2019-02-21,105.00,108.00,105.00,106.00,,0,,84430.00
2019-02-24,105.00,107.00,105.00,105.00,,-0.94,,113700.00
2019-02-25,105.00,107.00,105.00,106.00,,0.95,,356640.00
2019-02-26,105.00,109.00,105.00,108.00,,1.89,,58960.00
2019-02-27,107.00,109.00,107.00,107.00,,-0.93,,33280.00
2019-03-03,106.00,109.00,106.00,108.00,,0.93,,123140.00
2019-03-05,106.00,109.00,106.00,108.00,,0,,48959.00
