Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-12-19,598.00,598.00,542.00,589.00,,0.34,,46328067.80
2023-12-20,589.00,647.80,580.00,613.90,,4.23,,35432619.50
2023-12-21,615.00,617.00,585.00,601.80,,-1.97,,14135698.20
2023-12-24,610.00,620.00,573.00,590.00,,-1.96,,39962240.50
2023-12-27,590.00,617.00,588.30,601.00,,1.86,,29242889.10
2023-12-28,590.00,623.70,590.00,623.70,,3.78,,28614414.50
2024-01-01,612.00,624.00,596.10,598.00,,-4.12,,23476972.80
2024-01-02,598.00,598.00,575.00,575.90,,-3.7,,6605156.10
2024-01-03,587.00,587.00,557.30,577.00,,0.19,,7953395.70
2024-01-04,582.40,597.00,565.00,579.00,,0.35,,10824921.40
2024-01-07,567.50,579.00,556.70,557.00,,-3.8,,7709400.60
2024-01-08,557.00,588.80,556.00,578.30,,3.82,,7789478.00
2024-01-09,580.00,596.00,565.00,569.00,,-1.61,,9319918.20
2024-01-10,558.00,600.00,558.00,565.00,,-0.7,,4649795.30
2024-01-11,555.00,577.40,553.70,568.00,,0.53,,9999809.70
2024-01-14,565.00,575.00,560.00,564.00,,-0.7,,5741639.70
2024-01-16,575.00,575.20,565.00,571.00,,1.24,,11913878.30
2024-01-17,579.50,580.00,561.20,569.00,,-0.35,,11720546.70
2024-01-18,558.00,580.30,558.00,568.00,,-0.18,,13000376.10
2024-01-21,560.00,571.00,557.60,557.60,,-1.83,,12464603.80
2024-01-22,547.00,568.70,547.00,547.50,,-1.81,,6275144.90
2024-01-23,542.00,558.40,535.00,539.10,,-1.53,,5961191.60
2024-01-24,530.10,561.00,529.00,529.00,,-2.04,,7258711.40
2024-01-25,539.00,539.50,525.00,530.00,,0.19,,6821789.20
2024-01-28,530.00,539.50,526.00,534.00,,0.75,,3151789.30
2024-01-29,526.20,545.00,526.20,544.00,,1.87,,5614887.00
2024-01-30,541.00,561.80,541.00,554.00,,1.84,,8793620.00
2024-01-31,550.00,554.00,531.00,538.00,,-2.89,,6029756.00
2024-02-01,528.10,535.00,525.00,525.00,,-2.42,,7463508.00
2024-02-04,525.00,525.00,516.10,516.10,,-1.7,,5570828.20
2024-02-05,510.10,535.00,510.00,524.00,,1.53,,4594534.30
2024-02-06,530.00,534.40,515.00,525.00,,0.19,,4767455.00
2024-02-07,533.00,535.40,525.00,529.90,,0.93,,6336830.50
2024-02-08,521.30,535.00,521.30,526.00,,-0.74,,4976215.20
2024-02-11,525.00,534.00,518.00,526.00,,0,,5192605.70
2024-02-12,526.00,530.00,523.00,528.10,,0.4,,4612472.40
2024-02-13,520.00,529.00,518.00,525.00,,-0.59,,5840294.80
2024-02-14,514.50,528.00,514.50,523.00,,-0.38,,3027037.10
2024-02-15,517.20,523.00,511.00,518.00,,-0.96,,3588826.90
2024-02-18,508.90,530.00,508.90,514.00,,-0.77,,4967724.30
2024-02-20,510.00,515.00,510.00,514.00,,0,,3535517.60
2024-02-21,515.00,524.00,508.00,514.00,,0,,4544948.00
2024-02-22,506.50,520.00,505.00,510.00,,-0.78,,3467436.40
2024-02-25,508.00,519.80,499.00,501.50,,-1.67,,6331039.10
2024-02-26,511.50,511.50,493.00,500.00,,-0.3,,2863761.70
2024-02-27,490.20,510.00,490.20,492.00,,-1.6,,2681505.70
2024-02-28,501.00,503.00,493.20,495.00,,0.61,,2458835.10
2024-02-29,497.20,497.20,489.00,493.00,,-0.4,,3305553.60
2024-03-03,493.00,496.00,480.50,491.50,,-0.3,,2806814.40
2024-03-04,500.00,530.60,500.00,530.60,,7.96,,124458.00
2024-03-05,540.20,540.20,498.00,507.00,,-4.45,,5900130.40
2024-03-06,517.10,517.10,490.00,499.00,,-1.58,,6557831.00
2024-03-07,499.00,510.00,494.00,506.00,,1.4,,2638026.00
2024-03-10,512.00,515.00,503.00,513.00,,1.38,,5584953.20
2024-03-12,520.00,555.00,520.00,550.00,,7.21,,20071094.10
2024-03-13,555.00,566.00,545.00,550.00,,0,,11754794.40
2024-03-14,550.00,553.00,529.10,531.00,,-3.45,,11331253.60
2024-03-17,531.00,535.00,520.50,529.00,,-0.38,,7794855.80
2024-03-18,528.00,530.00,520.00,526.10,,-0.55,,3392099.50
2024-03-19,526.00,550.00,520.60,544.00,,3.4,,19882082.40
2024-03-20,550.00,550.00,533.00,533.00,,-2.02,,4031593.70
2024-03-21,524.10,538.90,524.10,532.00,,-0.19,,2880307.50
2024-03-25,527.00,529.00,521.10,526.00,,-1.13,,3690738.70
2024-03-26,525.00,536.00,518.00,523.00,,-0.57,,4308441.30
2024-03-27,512.90,523.00,512.90,517.90,,-0.98,,4873761.60
2024-03-28,510.10,528.00,510.00,517.90,,0,,3538862.20
2024-03-31,510.00,518.00,508.00,509.00,,-1.72,,4604259.90
2024-04-01,504.00,517.00,504.00,514.00,,0.98,,3227533.60
2024-04-02,505.40,515.90,500.10,512.00,,-0.39,,4446027.60
2024-04-03,512.00,519.00,510.00,515.00,,0.59,,2933468.00
2024-04-04,510.00,515.00,508.10,511.00,,-0.78,,4019795.20
2024-04-07,508.00,538.00,504.00,525.00,,2.74,,7005857.20
2024-04-09,525.00,533.00,516.00,516.00,,-1.71,,11931976.90
2024-04-10,516.00,521.00,512.00,512.40,,-0.7,,5882754.30
2024-04-14,508.10,513.00,505.00,508.00,,-0.86,,3653364.90
2024-04-15,500.20,510.00,500.20,508.00,,0,,2712564.10
2024-04-16,505.50,508.00,500.00,505.50,,-0.49,,2631286.80
2024-04-18,501.00,505.50,489.10,499.30,,-1.23,,4341237.40
2024-04-21,490.00,509.00,490.00,509.00,,1.94,,2579049.60
2024-04-22,518.90,518.90,495.00,501.00,,-1.57,,3626358.30
2024-04-24,491.00,502.00,491.00,497.00,,-0.8,,1891294.80
2024-04-25,491.00,497.00,491.00,495.00,,-0.4,,2424485.10
2024-04-28,503.00,513.00,495.00,501.80,,1.37,,3976441.50
2024-04-29,511.00,511.00,495.10,499.00,,-0.56,,2039620.40
2024-04-30,489.10,510.00,489.10,510.00,,2.2,,4818316.80
2024-05-02,520.00,520.00,505.00,509.00,,-0.2,,5873378.00
2024-05-05,512.00,515.00,500.00,500.00,,-1.77,,4701591.10
2024-05-06,510.00,510.00,498.00,499.50,,-0.1,,3098834.30
2024-05-07,497.90,500.00,495.00,495.00,,-0.9,,2786142.10
2024-05-08,489.50,497.00,473.00,494.50,,-0.1,,11354191.30
