Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2019-05-05,260.00,260.00,255.00,255.00,,0,,10250.00
2019-05-06,243.00,243.00,239.00,239.00,,-6.27,,9600.00
2019-05-07,228.00,228.00,216.00,216.00,,-9.62,,13280.00
2019-05-08,206.00,206.00,206.00,206.00,,-4.63,,2060.00
2019-05-20,196.00,196.00,190.00,190.00,,-7.77,,9710.00
2019-05-23,181.00,181.00,181.00,181.00,,-4.74,,3620.00
2019-05-30,172.00,172.00,163.00,163.00,,-9.94,,34410.00
2019-06-02,155.00,155.00,147.00,147.00,,-9.82,,327750.00
2019-06-03,140.00,140.00,133.00,133.00,,-9.52,,62210.00
2019-06-04,127.00,137.00,120.00,137.00,,3.01,,7925935.00
2019-06-06,131.00,131.00,124.00,130.00,,-5.11,,1692330.00
2019-06-10,124.00,129.00,122.00,126.00,,-3.08,,2245180.00
2019-06-11,126.00,138.00,123.00,138.00,,9.52,,9316743.00
2019-06-12,140.00,144.00,134.00,139.00,,0.72,,2742026.00
2019-06-13,137.00,141.00,133.00,139.00,,0,,2276440.00
2019-06-16,137.00,140.00,132.00,136.00,,-2.16,,1259556.00
2019-06-17,134.00,140.00,133.00,136.00,,0,,1504070.00
2019-06-18,134.00,140.00,133.00,136.00,,0,,616125.00
2019-06-19,136.00,140.00,136.00,138.00,,1.47,,850180.00
2019-06-20,136.00,148.00,134.00,146.00,,5.8,,1347096.00
2019-06-23,144.00,144.00,136.00,139.00,,-4.79,,444506.00
2019-06-24,137.00,141.00,136.00,141.00,,1.44,,152570.00
2019-06-25,139.00,141.00,136.00,139.00,,-1.42,,398410.00
2019-06-26,137.00,148.00,136.00,148.00,,6.47,,1258550.00
2019-06-27,146.00,146.00,138.00,141.00,,-4.73,,1311410.00
2019-06-30,135.00,148.00,135.00,142.00,,0.71,,314160.00
2019-07-01,140.00,140.00,137.00,137.00,,-3.52,,121035.00
2019-07-02,137.00,140.00,136.00,140.00,,2.19,,693940.00
2019-07-03,139.00,143.00,138.00,143.00,,2.14,,444210.00
2019-07-04,144.00,144.00,138.00,138.00,,-3.5,,300310.00
2019-07-07,139.00,140.00,138.00,140.00,,1.45,,521580.00
2019-07-08,138.00,138.00,136.00,137.00,,-2.14,,569330.00
2019-07-09,135.00,139.00,135.00,139.00,,1.46,,155160.00
2019-07-10,137.00,138.00,135.00,136.00,,-2.16,,309164.00
2019-07-11,135.00,137.00,135.00,136.00,,0,,137670.00
2019-07-14,134.00,138.00,134.00,136.00,,0,,133220.00
2019-07-15,134.00,137.00,134.00,137.00,,0.74,,234800.00
2019-07-16,135.00,137.00,135.00,137.00,,0,,157863.00
2019-07-17,135.00,139.00,135.00,139.00,,1.46,,219620.00
2019-07-18,137.00,140.00,135.00,135.00,,-2.88,,37070.00
2019-07-21,137.00,137.00,134.00,135.00,,0,,55560.00
2019-07-22,135.00,138.00,134.00,136.00,,0.74,,223796.00
2019-07-23,138.00,139.00,135.00,139.00,,2.21,,201010.00
2019-07-24,134.00,140.00,134.00,140.00,,0.72,,224040.00
2019-07-28,138.00,138.00,132.00,132.00,,-5.71,,257050.00
2019-07-29,130.00,136.00,130.00,133.00,,0.76,,170570.00
2019-07-30,131.00,137.00,130.00,137.00,,3.01,,193986.00
2019-07-31,135.00,135.00,132.00,135.00,,-1.46,,116652.00
2019-08-01,133.00,137.00,131.00,135.00,,0,,96770.00
2019-08-04,133.00,133.00,130.00,131.00,,-2.96,,243710.00
2019-08-05,129.00,132.00,129.00,132.00,,0.76,,126710.00
2019-08-06,130.00,133.00,128.00,133.00,,0.76,,109220.00
2019-08-07,131.00,137.00,128.00,137.00,,3.01,,137440.00
2019-08-11,135.00,135.00,126.00,126.00,,-8.03,,110760.00
2019-08-12,125.00,127.00,124.00,126.00,,0,,233940.00
2019-08-13,125.00,126.00,119.00,122.00,,-3.17,,1025560.00
2019-08-14,120.00,122.00,120.00,120.00,,-1.64,,108580.00
2019-08-15,118.00,119.00,114.00,116.00,,-3.33,,142760.00
2019-08-18,116.00,117.00,113.00,117.00,,0.86,,114110.00
2019-08-19,115.00,117.00,113.00,115.00,,-1.71,,133935.00
2019-08-20,113.00,113.00,104.00,104.00,,-9.57,,2101114.00
