Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2022-10-16,284.10,305.80,255.70,255.70,,0,,6326271.50
2022-10-17,256.00,256.00,230.20,230.20,,-9.97,,1710688.40
2022-10-19,225.60,225.60,207.30,213.00,,-7.47,,9830954.50
2022-10-20,208.80,225.00,205.00,217.00,,1.88,,3055821.10
2022-10-23,213.00,217.80,207.10,216.00,,-0.46,,1660922.50
2022-10-31,213.00,214.90,209.00,210.00,,-2.78,,2427566.00
2022-11-01,205.80,221.20,204.10,220.80,,5.14,,4237046.90
2022-11-02,225.20,225.20,213.00,219.80,,-0.45,,4280323.00
2022-11-03,215.50,221.00,211.50,213.00,,-3.09,,1807773.00
2022-11-06,210.00,219.00,210.00,217.50,,2.11,,1585612.00
2022-11-07,221.00,222.60,213.00,213.00,,-2.07,,5938953.00
2022-11-08,208.80,216.50,208.80,213.00,,0,,1196512.50
2022-11-09,213.00,215.00,207.00,207.00,,-2.82,,1606438.60
2022-11-10,207.00,209.00,202.00,203.00,,-1.93,,2528795.70
2022-11-13,203.00,203.00,199.80,203.00,,0,,12066.00
2022-11-15,203.00,206.50,200.00,202.00,,-2.37,,1459286.10
2022-11-16,202.00,209.00,200.90,203.00,,0.5,,1715703.00
2022-11-17,203.00,212.80,203.00,206.00,,1.48,,2364587.00
2022-11-22,202.10,211.00,202.10,204.20,,-0.87,,1357139.30
2022-11-23,201.30,214.50,201.30,214.40,,5,,1526255.60
2022-11-24,211.00,215.00,205.00,211.00,,-1.59,,1471709.50
2022-11-27,207.00,215.20,207.00,212.00,,0.47,,1584431.40
2022-11-28,208.00,216.20,208.00,211.80,,-0.09,,1372940.00
2022-11-29,207.80,212.00,205.20,210.00,,-0.85,,1478290.50
2022-11-30,210.00,214.00,206.00,208.00,,-0.95,,1390918.00
2022-12-01,205.00,211.00,204.80,210.90,,1.39,,1653644.40
2022-12-04,210.00,218.40,209.00,209.10,,-0.85,,1702168.80
2022-12-05,209.00,211.10,202.40,204.00,,-2.44,,2615164.80
2022-12-06,201.00,210.00,201.00,204.50,,0.25,,1387708.00
2022-12-07,200.80,205.00,200.80,201.50,,-1.47,,1339905.20
2022-12-11,201.60,201.60,198.00,198.00,,-1.74,,1374769.00
2022-12-12,201.90,203.50,195.00,202.00,,2.02,,619057.00
2022-12-13,198.20,206.00,198.20,204.90,,1.44,,673837.00
2022-12-14,208.90,208.90,199.90,204.00,,-0.44,,914333.00
2022-12-15,204.00,207.00,196.20,200.00,,-1.96,,1263801.80
2022-12-18,198.00,204.00,195.00,198.00,,-1,,1238213.60
2022-12-19,194.20,203.70,194.20,194.80,,-1.62,,2733486.50
2022-12-20,198.60,200.00,191.30,199.00,,2.16,,1578761.50
2022-12-21,195.10,200.00,191.20,192.50,,-3.27,,808503.00
2022-12-22,190.00,196.00,190.00,196.00,,1.82,,680676.10
2022-12-26,192.10,202.80,190.00,202.80,,3.47,,2794071.00
2022-12-27,206.80,211.00,202.00,208.00,,2.56,,5706989.00
2022-12-28,207.00,216.10,200.00,207.70,,-0.14,,4636795.40
2022-12-29,211.00,220.30,204.70,218.50,,5.2,,8086387.60
2023-01-01,220.00,238.60,217.00,228.00,,4.35,,10772533.20
2023-01-02,224.00,242.30,219.30,235.00,,3.07,,4935750.50
2023-01-03,235.00,235.00,223.80,227.00,,-3.4,,4745440.10
2023-01-04,222.80,249.70,222.80,249.70,,10,,8564883.00
2023-01-05,254.60,270.00,241.00,262.00,,4.93,,9214053.70
2023-01-08,261.80,280.90,251.70,276.00,,5.34,,11983162.90
2023-01-09,270.50,300.00,267.00,300.00,,8.7,,11672886.80
2023-01-10,300.00,330.00,285.00,309.00,,3,,15918344.50
2023-01-12,315.00,327.00,285.20,290.30,,-6.05,,13613832.90
2023-01-17,285.00,308.00,274.40,304.00,,4.72,,13745864.60
2023-01-18,310.00,329.00,305.00,319.00,,4.93,,16710020.90
2023-01-19,319.00,321.00,312.70,314.00,,-1.57,,9643324.00
2023-01-23,314.00,315.00,298.10,300.00,,-4.46,,11712388.00
2023-01-24,296.00,306.00,285.00,305.00,,1.67,,9678145.00
2023-01-25,299.00,335.50,299.00,325.90,,6.85,,15574888.90
2023-01-26,325.00,336.00,320.00,325.00,,-0.28,,11190685.50
