Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2015-06-07,373.00,382.00,373.00,374.00,,0.27,,1170888.00
2015-06-07,380.00,373.00,373.00,373.00,,-1.84,,1170888.00
2015-06-08,374.00,370.00,359.00,360.00,,-3.74,,287407.00
2015-06-09,360.00,372.00,365.00,372.00,,3.33,,201406.00
2015-06-11,372.00,366.00,366.00,366.00,,-1.61,,3660.00
2015-06-23,359.00,359.00,352.00,352.00,,-3.83,,146564.00
2015-06-24,359.00,359.00,345.00,345.00,,-1.99,,209814.00
2015-06-29,345.00,379.00,345.00,379.00,,9.86,,1009836.00
2015-06-30,386.00,405.00,385.00,405.00,,6.86,,2093579.00
2015-07-01,410.00,421.00,405.00,408.00,,0.74,,1444820.00
2015-07-02,407.00,407.00,379.00,379.00,,-7.11,,249184.00
2015-07-06,378.00,381.00,378.00,381.00,,0.53,,277687.00
2015-07-07,375.00,375.00,375.00,375.00,,-1.57,,58125.00
2015-07-08,368.00,368.00,368.00,368.00,,-1.87,,22448.00
2015-07-09,375.00,375.00,375.00,375.00,,1.9,,75000.00
2015-07-12,370.00,375.00,368.00,368.00,,-1.87,,195850.00
2015-07-13,361.00,367.00,355.00,367.00,,-0.27,,850662.00
2015-07-14,360.00,360.00,360.00,360.00,,-1.91,,111600.00
2015-07-15,355.00,365.00,350.00,365.00,,1.39,,1468835.00
2015-07-22,350.00,350.00,339.00,345.00,,-1.43,,338039.00
2015-07-23,345.00,346.00,345.00,345.00,,0,,132925.00
2015-07-27,358.00,365.00,360.00,360.00,,0.56,,22630.00
2015-07-27,345.00,358.00,351.00,358.00,,3.77,,22630.00
2015-07-28,360.00,355.00,345.00,345.00,,-4.17,,453205.00
2015-07-29,345.00,348.00,348.00,348.00,,0.87,,69600.00
2015-07-30,348.00,354.00,345.00,354.00,,1.72,,203968.00
2015-08-03,354.00,347.00,335.00,335.00,,-5.37,,340241.00
2015-08-04,335.00,340.00,340.00,340.00,,1.49,,102000.00
2015-08-05,340.00,339.00,334.00,339.00,,-0.29,,368146.00
2015-08-09,340.00,340.00,337.00,337.00,,-0.88,,605074.00
2015-08-12,340.00,347.00,340.00,347.00,,2.97,,294489.00
2015-08-13,353.00,353.00,353.00,353.00,,1.73,,10943.00
2015-08-16,360.00,372.00,360.00,372.00,,5.38,,269075.00
2015-08-17,379.00,409.00,379.00,409.00,,9.95,,2558224.00
2015-08-18,415.00,432.00,410.00,432.00,,5.62,,5406405.00
2015-08-19,435.00,475.00,435.00,475.00,,9.95,,3429434.00
2015-08-20,484.00,493.00,480.00,480.00,,1.05,,1541993.00
2015-08-23,471.00,484.00,470.00,484.00,,0.83,,1561016.00
2015-08-24,493.00,502.00,480.00,480.00,,-0.83,,2083973.00
2015-08-25,471.00,475.00,461.00,470.00,,-2.08,,501421.00
2015-08-26,475.00,482.00,470.00,478.00,,1.7,,2157960.00
2015-08-27,485.00,500.00,485.00,496.00,,3.77,,6364991.00
2015-08-31,491.00,500.00,485.00,500.00,,0.81,,2716346.00
2015-09-01,500.00,490.00,476.00,476.00,,-4.8,,333692.00
2015-09-02,467.00,467.00,460.00,460.00,,-3.36,,387027.00
2015-09-03,451.00,451.00,451.00,451.00,,-1.96,,45100.00
2015-09-06,460.00,460.00,451.00,452.00,,0.22,,393077.00
2015-09-07,444.00,444.00,443.00,443.00,,-1.99,,504716.00
2015-09-08,447.00,447.00,446.00,446.00,,0.68,,399016.00
2015-09-09,454.00,456.00,446.00,446.00,,0,,1049448.00
2015-09-10,446.00,446.00,437.00,445.00,,-0.22,,2409792.00
2015-09-13,440.00,442.00,440.00,442.00,,-0.67,,266252.00
2015-09-14,440.00,440.00,439.00,439.00,,-0.68,,1451700.00
2015-09-16,440.00,447.00,432.00,447.00,,1.82,,906821.00
2015-09-17,455.00,455.00,445.00,445.00,,-0.45,,770100.00
2015-09-22,441.00,441.00,433.00,433.00,,-2.7,,234777.00
2015-09-23,425.00,425.00,420.00,420.00,,-3,,278020.00
2015-09-24,422.00,425.00,422.00,425.00,,1.19,,88920.00
2015-09-28,420.00,420.00,420.00,420.00,,-1.18,,190680.00
2015-09-30,420.00,420.00,420.00,420.00,,0,,1047060.00
