Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,116.00,116.00,116.00,116.00,,0,,18560.00
2014-08-04,115.00,119.00,104.00,112.00,,-2.61,,18560.00
2014-08-14,116.00,126.00,118.00,126.00,,8.62,,6100.00
2014-08-18,126.00,136.00,128.00,136.00,,7.94,,79420.00
2014-08-19,136.00,140.00,138.00,140.00,,2.94,,85840.00
2014-08-21,140.00,144.00,138.00,144.00,,2.86,,1456660.00
2014-08-28,144.00,148.00,146.00,146.00,,1.39,,52640.00
2014-09-21,146.00,147.00,147.00,147.00,,0.68,,11760.00
2014-09-22,147.00,145.00,145.00,145.00,,-1.36,,73950.00
2014-11-20,145.00,145.00,145.00,145.00,,0,,75400.00
2015-01-01,146.00,144.00,144.00,144.00,,-1.37,,20160.00
2015-01-18,144.00,142.00,142.00,142.00,,-1.39,,17040.00
2015-01-19,142.00,156.00,144.00,156.00,,9.86,,49620.00
2015-01-20,156.00,157.00,157.00,157.00,,0.64,,18840.00
2015-01-26,157.00,172.00,160.00,172.00,,9.55,,138760.00
2015-01-28,172.00,175.00,172.00,172.00,,0,,22390.00
2015-02-04,172.00,175.00,175.00,175.00,,1.74,,43750.00
2015-02-10,175.00,175.00,172.00,172.00,,-1.71,,48400.00
2015-02-11,172.00,178.00,175.00,176.00,,2.33,,45720.00
2015-02-18,176.00,179.00,176.00,179.00,,1.7,,53280.00
2015-02-22,179.00,176.00,176.00,176.00,,-1.68,,35200.00
2015-02-23,176.00,179.00,176.00,179.00,,1.7,,383920.00
2015-02-24,179.00,181.00,175.00,175.00,,-2.23,,35360.00
2015-04-15,175.00,172.00,169.00,169.00,,-3.43,,15240.00
2015-04-21,169.00,166.00,166.00,166.00,,-1.78,,16600.00
2015-05-27,166.00,166.00,166.00,166.00,,0,,26560.00
2015-06-24,163.00,163.00,160.00,160.00,,-3.61,,126180.00
2015-07-02,161.00,161.00,161.00,161.00,,0.62,,162610.00
2015-07-05,158.00,158.00,145.00,145.00,,-9.94,,1523570.00
2015-07-06,143.00,143.00,141.00,141.00,,-2.76,,14140.00
2015-07-07,141.00,145.00,141.00,143.00,,1.42,,8212080.00
2015-07-15,127.00,135.00,127.00,135.00,,8,,13120.00
2015-07-29,145.00,145.00,145.00,145.00,,0,,6875900.00
2015-08-18,147.00,147.00,147.00,147.00,,1.38,,2940.00
2015-09-03,149.00,149.00,149.00,149.00,,1.36,,2980.00
2015-09-06,151.00,151.00,151.00,151.00,,1.34,,3020.00
2015-09-09,154.00,154.00,153.00,153.00,,1.32,,52120.00
2015-09-10,156.00,160.00,151.00,154.00,,0.65,,132340.00
2015-09-17,157.00,161.00,157.00,161.00,,4.54,,25660.00
2015-09-22,158.00,158.00,158.00,158.00,,-1.86,,3160.00
2015-09-23,161.00,161.00,161.00,161.00,,1.9,,3220.00
2015-11-03,164.00,164.00,158.00,158.00,,-1.86,,80700.00
2015-11-16,158.00,158.00,158.00,158.00,,1.93,,316000.00
2015-11-22,161.00,161.00,161.00,161.00,,1.9,,6440.00
2015-12-01,161.00,158.00,149.00,149.00,,-7.45,,73020.00
2015-12-02,151.00,151.00,151.00,151.00,,1.34,,4530.00
2015-12-21,151.00,148.00,146.00,146.00,,-3.31,,19140.00
2015-12-24,144.00,144.00,144.00,144.00,,-1.37,,5760.00
2015-12-27,142.00,142.00,136.00,136.00,,-5.56,,41700.00
2015-12-28,136.00,136.00,132.00,132.00,,-2.94,,62760.00
2015-12-29,132.00,132.00,130.00,132.00,,0,,32820.00
2015-12-31,130.00,130.00,130.00,130.00,,-1.52,,7800.00
2016-01-03,128.00,128.00,128.00,128.00,,-1.54,,11520.00
2016-01-04,128.00,126.00,126.00,126.00,,-1.56,,30240.00
2016-01-05,124.00,124.00,124.00,124.00,,-1.59,,19840.00
2016-01-11,122.00,122.00,122.00,122.00,,-1.61,,3660.00
2016-01-12,122.00,122.00,122.00,122.00,,0,,39040.00
2016-01-13,122.00,120.00,118.00,118.00,,-3.28,,8320.00
2016-01-14,116.00,126.00,116.00,126.00,,6.78,,1308080.00
2016-02-14,130.00,140.00,130.00,140.00,,9.37,,8100.00
2016-02-15,142.00,154.00,142.00,154.00,,10,,324530.00
2016-02-16,154.00,169.00,157.00,169.00,,9.74,,447090.00
2016-02-17,169.00,175.00,172.00,175.00,,3.55,,6080.00
2016-02-18,175.00,178.00,178.00,178.00,,1.71,,3560.00
2016-02-22,181.00,187.00,181.00,184.00,,5.06,,11975.00
2016-02-23,187.00,184.00,182.00,183.00,,-2.14,,106229.00
2016-04-03,183.00,180.00,174.00,174.00,,-4.92,,5310.00
2016-04-04,174.00,171.00,160.00,160.00,,-8.05,,121440.00
2016-04-06,157.00,154.00,148.00,148.00,,-5.73,,60100.00
2016-04-10,148.00,159.00,149.00,159.00,,7.43,,196600.00
2016-04-11,159.00,168.00,149.00,153.00,,-3.77,,1007550.00
2016-04-12,153.00,157.00,150.00,154.00,,0.65,,450490.00
2016-04-14,154.00,153.00,152.00,153.00,,-0.65,,134440.00
2016-04-17,156.00,156.00,150.00,153.00,,0,,513690.00
2016-04-18,153.00,156.00,150.00,156.00,,1.96,,330120.00
2016-04-19,156.00,158.00,155.00,155.00,,-0.64,,188500.00
2016-04-20,155.00,158.00,152.00,158.00,,1.94,,1287210.00
2016-04-21,158.00,161.00,154.00,154.00,,-2.53,,925150.00
2016-04-24,154.00,151.00,151.00,151.00,,-1.95,,45300.00
2016-04-25,151.00,157.00,153.00,157.00,,3.97,,771710.00
2016-04-26,157.00,157.00,154.00,154.00,,-1.91,,160280.00
2016-04-27,154.00,164.00,157.00,163.00,,5.84,,536963.00
2016-04-28,163.00,167.00,160.00,160.00,,-1.84,,865520.00
2016-05-02,160.00,166.00,163.00,166.00,,3.75,,613260.00
2016-05-03,166.00,167.00,162.00,167.00,,0.6,,816085.00
2016-05-04,167.00,165.00,165.00,165.00,,-1.2,,17325.00
2016-05-05,165.00,162.00,159.00,159.00,,-3.64,,63900.00
2016-05-09,162.00,171.00,162.00,171.00,,7.55,,103990.00
2016-05-10,171.00,171.00,171.00,171.00,,0,,17100.00
2016-05-16,171.00,168.00,165.00,165.00,,-3.51,,16650.00
2016-05-17,163.00,163.00,163.00,163.00,,-1.21,,112470.00
2016-05-18,163.00,166.00,165.00,166.00,,1.84,,41450.00
2016-05-19,166.00,169.00,163.00,163.00,,-1.81,,65950.00
