Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2015-01-04,207.00,227.00,211.00,227.00,,9.66,,10950.00
2015-01-05,227.00,249.00,231.00,249.00,,9.69,,25072947.00
2015-01-06,249.00,273.00,253.00,273.00,,9.64,,46064997.00
2015-01-07,273.00,288.00,268.00,271.00,,-0.73,,54548014.00
2015-01-08,271.00,276.00,268.00,271.00,,0,,14362285.00
2015-01-11,271.00,271.00,263.00,265.00,,-2.21,,12013379.00
2015-01-12,265.00,267.00,261.00,267.00,,0.75,,10431636.00
2015-01-13,267.00,268.00,257.00,265.00,,-0.75,,7114650.00
2015-01-14,265.00,271.00,263.00,269.00,,1.51,,4585946.00
2015-01-18,269.00,294.00,271.00,294.00,,9.29,,53537200.00
2015-01-19,294.00,323.00,294.00,303.00,,3.06,,29071310.00
2015-01-20,303.00,311.00,285.00,299.00,,-1.32,,16472523.00
2015-01-22,299.00,299.00,290.00,297.00,,-0.67,,9443800.00
2015-01-25,297.00,302.00,295.00,300.00,,1.01,,9612160.00
2015-01-26,300.00,315.00,297.00,304.00,,1.33,,32887879.00
2015-01-27,304.00,306.00,300.00,302.00,,-0.66,,41657709.00
2015-01-28,302.00,312.00,300.00,307.00,,1.66,,21757429.00
2015-01-29,307.00,313.00,299.00,304.00,,-0.98,,34527865.00
2015-02-01,304.00,334.00,306.00,326.00,,7.24,,57298818.00
2015-02-02,326.00,328.00,314.00,317.00,,-2.76,,27765816.00
2015-02-03,317.00,320.00,314.00,315.00,,-0.63,,8711729.00
2015-02-04,315.00,315.00,309.00,313.00,,-0.63,,10768197.00
2015-02-05,313.00,314.00,306.00,314.00,,0.32,,9150208.00
2015-02-08,314.00,319.00,310.00,313.00,,-0.32,,19785103.00
2015-02-09,313.00,315.00,310.00,313.00,,0,,19963284.00
2015-02-10,313.00,316.00,309.00,312.00,,-0.32,,15538154.00
2015-02-11,312.00,315.00,303.00,311.00,,-0.32,,14700650.00
2015-02-12,311.00,312.00,308.00,311.00,,0,,8754997.00
2015-02-15,311.00,315.00,310.00,315.00,,1.29,,14076560.00
