Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2025-05-27,289.30,318.20,289.30,318.20,,9.99,,36747.00
2025-05-28,321.30,350.00,321.30,350.00,,9.99,,47929.00
2025-06-02,357.00,385.00,357.00,385.00,,10,,103261.00
2025-06-03,381.70,423.50,381.70,423.50,,10,,113004.00
2025-06-04,431.90,465.80,431.90,465.80,,9.99,,120275.00
2025-06-05,475.10,512.30,475.10,512.30,,9.98,,204007.00
2025-06-08,522.10,563.50,522.10,563.50,,9.99,,324978.00
2025-06-09,574.70,619.80,574.70,619.80,,9.99,,376969.00
2025-06-10,632.10,681.70,632.10,681.70,,9.99,,387350.00
2025-06-11,695.30,749.80,695.30,749.80,,9.99,,477990.00
2025-06-12,739.70,824.70,739.70,824.70,,9.99,,1597084.00
2025-06-15,841.10,907.10,841.10,907.10,,9.99,,9627823.00
2025-06-16,925.20,997.80,925.20,997.80,,10,,7288320.00
2025-06-17,1017.70,1097.50,1017.70,1097.50,,9.99,,5232319.00
2025-06-18,1119.40,1207.20,1119.40,1207.20,,10,,4506627.00
2025-06-19,1231.00,1327.90,1086.50,1086.52,,-10,,268690359.00
2025-06-22,1065.00,1065.00,977.90,977.90,,-10,,48532135.00
2025-06-23,958.40,958.40,880.20,922.40,,-5.68,,81333565.60
2025-06-24,910.00,1000.00,904.00,976.24,,5.84,,26130846.50
2025-06-25,995.70,1025.00,940.00,991.15,,1.53,,32855079.50
2025-06-26,971.40,976.00,941.00,942.94,,-4.86,,42901795.50
2025-06-29,925.00,950.00,901.00,912.83,,-3.19,,29053317.20
2025-06-30,902.00,931.10,902.00,918.58,,0.63,,19629579.00
2025-07-01,912.00,935.90,912.00,917.67,,-0.1,,12648652.90
2025-07-02,919.00,941.40,902.00,936.30,,2.03,,15306451.00
2025-07-03,925.20,930.00,915.20,924.87,,-1.22,,15447659.50
2025-07-06,920.00,920.00,897.00,901.17,,-2.56,,30455776.60
2025-07-07,901.00,914.90,889.00,892.62,,-0.95,,19157459.40
2025-07-08,908.30,909.00,880.10,891.83,,-0.09,,13222323.90
2025-07-09,890.00,908.00,881.20,885.24,,-0.74,,14399360.70
2025-07-10,890.00,895.00,883.00,888.85,,0.41,,24051451.60
2025-07-13,906.60,906.60,881.40,882.17,,-0.75,,14090047.30
2025-07-14,865.00,893.20,865.00,868.07,,-1.6,,15169554.70
2025-07-15,868.00,885.00,864.20,878.33,,1.18,,13068341.80
2025-07-16,860.80,893.00,860.80,871.71,,-0.75,,15880104.40
2025-07-17,870.00,900.00,870.00,890.07,,2.11,,16913295.00
2025-07-20,905.00,910.00,885.10,897.89,,0.88,,19825127.20
2025-07-21,900.00,911.90,885.00,894.87,,-0.34,,17243614.60
2025-07-22,891.00,952.00,891.00,945.88,,5.7,,31273866.20
2025-07-23,950.00,960.00,915.20,926.00,,-2.1,,30163536.20
2025-07-24,939.00,939.00,911.10,915.90,,-0.62,,19502066.80
2025-07-27,896.20,923.00,896.20,901.53,,-1.41,,18336866.70
2025-07-28,901.00,919.00,890.00,905.20,,0.41,,14868300.70
2025-07-29,906.00,944.00,903.10,931.29,,2.88,,41142327.50
2025-07-30,945.00,945.00,915.00,916.02,,-1.64,,17539104.20
2025-07-31,916.00,920.00,900.10,901.23,,-1.61,,15063884.10
2025-08-03,892.00,907.00,877.00,878.38,,-2.54,,18251901.80
2025-08-04,866.00,885.00,865.00,877.04,,-0.15,,14022380.20
2025-08-05,877.04,897.00,863.00,866.15,,-1.24,,13035704.20
2025-08-06,850.00,882.30,850.00,872.08,,0.68,,7210971.10
2025-08-07,865.00,889.40,865.00,873.05,,0.11,,5889264.70
2025-08-11,873.00,893.00,870.00,870.63,,-0.28,,10527098.40
2025-08-12,860.00,883.00,860.00,861.14,,-1.09,,10622078.60
2025-08-13,860.00,867.00,855.00,855.23,,-0.69,,5810811.80
2025-08-14,851.10,870.00,851.10,866.34,,1.3,,10578741.10
2025-08-17,850.00,884.00,850.00,858.54,,-0.9,,5509274.20
2025-08-18,850.00,878.00,850.00,872.51,,1.63,,8240191.60
2025-08-19,880.00,946.00,867.00,925.61,,6.09,,72175136.70
2025-08-20,926.00,955.00,925.00,927.03,,0.15,,38010382.80
2025-08-21,915.00,959.80,915.00,951.15,,2.6,,42694142.70
2025-08-24,950.00,954.00,900.00,909.80,,-4.35,,14437504.50
2025-08-25,891.70,978.00,891.70,939.96,,3.32,,32601361.50
2025-08-26,921.20,993.00,921.20,959.66,,2.1,,99548719.80
2025-08-27,960.00,960.00,935.00,940.30,,-2.02,,23951252.70
2025-08-28,925.10,950.00,912.00,917.76,,-2.4,,15329476.50
2025-08-31,904.10,920.00,900.20,908.04,,-1.06,,7972705.30
2025-09-01,890.00,900.00,850.00,865.27,,-4.71,,43710900.10
2025-09-02,882.50,882.50,840.00,841.82,,-2.71,,27556844.70
2025-09-03,832.00,875.70,808.00,813.93,,-3.31,,18811502.00
2025-09-04,825.00,825.00,799.50,806.98,,-0.85,,9925734.60
2025-09-07,802.00,808.90,791.10,795.37,,-1.44,,6765482.40
2025-09-08,787.00,811.00,774.40,775.87,,-2.45,,13149890.80
2025-09-18,770.00,770.00,715.00,715.00,,-7.85,,537562.00
2025-09-21,710.00,772.00,710.00,768.95,,7.55,,8706895.50
2025-09-23,780.00,805.00,755.00,791.70,,2.96,,6460100.50
2025-09-24,804.90,804.90,770.00,795.00,,0.42,,4027349.50
2025-09-25,795.00,799.90,772.80,799.00,,0.5,,2872244.60
2025-09-28,799.00,813.00,785.00,797.00,,-0.25,,2569076.20
2025-10-07,783.30,795.00,765.20,775.00,,-2.76,,6733834.00
2025-10-08,760.00,772.00,751.00,766.00,,-1.16,,6718142.00
2025-10-09,781.30,810.00,768.10,780.00,,1.83,,5076224.20
2025-10-12,765.30,770.00,750.00,751.30,,-3.68,,11374250.30
