Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-07-05,249.30,274.20,249.30,274.20,,0,,440365.60
2023-07-06,279.60,301.60,279.60,301.60,,9.99,,7428062.80
2023-07-09,307.60,331.70,307.60,331.70,,9.98,,5478942.10
2023-07-10,338.30,364.80,332.50,364.80,,9.98,,11550826.10
2023-07-11,372.00,401.20,365.00,401.20,,9.98,,4016220.00
2023-07-12,401.00,415.00,361.10,361.10,,-10,,14186587.30
2023-07-13,360.00,363.00,333.20,357.00,,-1.14,,6528373.10
2023-07-16,357.00,364.00,350.10,353.20,,-1.06,,3961376.50
2023-07-17,346.20,358.00,346.20,354.00,,0.23,,2864496.00
2023-07-18,361.00,361.00,351.00,355.90,,0.54,,2246927.00
2023-07-19,351.00,360.00,345.10,356.00,,0.03,,3380191.40
2023-07-20,349.00,373.00,348.90,370.00,,3.93,,3216819.00
2023-07-23,377.40,394.00,364.00,393.00,,6.22,,7562376.60
2023-07-24,394.00,410.00,387.00,387.10,,-1.5,,5774490.20
2023-07-25,387.10,396.70,382.50,392.00,,1.27,,2930691.00
2023-07-26,388.10,414.00,385.10,399.10,,1.81,,11525108.30
2023-07-27,393.00,407.00,393.00,399.00,,-0.03,,3266926.00
2023-07-30,393.00,399.00,375.00,379.00,,-5.01,,4404189.00
2023-07-31,379.00,389.60,370.00,370.00,,-2.37,,2917521.50
2023-08-01,364.20,377.40,363.00,369.00,,-0.27,,2295201.40
2023-08-02,370.00,376.00,356.00,368.90,,-0.03,,1692880.00
2023-08-03,366.00,387.00,363.00,364.00,,-1.33,,2439168.70
2023-08-06,370.00,370.00,348.60,360.00,,-1.1,,4622432.20
2023-08-07,352.80,369.00,352.80,363.80,,1.06,,2435925.80
2023-08-08,363.00,367.00,352.00,357.70,,-1.68,,2145235.90
2023-08-09,350.60,361.90,342.10,360.00,,0.64,,1468118.80
2023-08-10,353.00,360.00,346.20,355.00,,-1.39,,2145246.80
2023-08-13,348.00,357.00,348.00,357.00,,0.56,,2985533.00
2023-08-14,351.00,355.00,345.20,348.00,,-2.52,,740709.00
2023-08-15,345.00,350.80,331.00,336.00,,-3.45,,1902883.20
2023-08-16,330.10,345.00,330.00,339.00,,0.89,,1845754.50
2023-08-17,332.40,345.70,332.40,344.00,,1.47,,980610.50
2023-08-20,337.20,340.00,326.00,327.10,,-4.91,,1486155.00
2023-08-21,322.00,328.00,316.20,322.00,,-1.56,,1662882.60
2023-08-22,315.60,326.40,310.20,325.00,,0.93,,1075250.40
2023-08-23,318.50,336.00,312.20,336.00,,3.38,,822921.80
2023-08-24,334.00,340.00,307.40,310.00,,-7.74,,3779191.00
2023-08-27,304.10,316.20,296.20,316.20,,2,,2805571.40
