Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2015-06-22,5202.00,5202.00,5202.00,5202.00,,2,,57222.00
2015-06-23,5098.00,5098.00,5098.00,5098.00,,-2,,1090972.00
2015-06-24,5098.00,5098.00,5098.00,5098.00,,0,,127450.00
2015-07-01,5199.00,5199.00,5096.00,5096.00,,-0.04,,1470585.00
2015-07-02,4995.00,4995.00,4995.00,4995.00,,-1.98,,254745.00
2015-07-06,5000.00,5000.00,5000.00,5000.00,,0.1,,515000.00
2015-07-12,5100.00,5100.00,5100.00,5100.00,,2,,209100.00
2015-07-22,5100.00,5100.00,5100.00,5100.00,,0,,102000.00
2015-07-27,5100.00,5200.00,5200.00,5200.00,,1.96,,119600.00
2015-07-28,5200.00,5280.00,5280.00,5280.00,,1.54,,195360.00
2015-07-29,5280.00,5304.00,5180.00,5200.00,,-1.52,,983788.00
2015-07-30,5200.00,5250.00,5230.00,5230.00,,0.58,,734240.00
2015-08-09,5250.00,5247.00,5145.00,5247.00,,-0.06,,1166646.00
2015-08-10,5247.00,5300.00,5300.00,5300.00,,1.01,,1653600.00
2015-08-11,5300.00,5300.00,5300.00,5300.00,,0,,201400.00
2015-08-12,5300.00,5301.00,5301.00,5301.00,,0.02,,683730.00
2015-08-16,0.00,5200.00,5200.00,5200.00,,-1.91,,182000.00
2015-08-17,5300.00,5300.00,5300.00,5300.00,,1.92,,106000.00
2015-08-23,5400.00,5400.00,5400.00,5400.00,,1.89,,988200.00
2015-08-25,5500.00,5500.00,5500.00,5500.00,,1.85,,1006500.00
2015-08-26,5600.00,5600.00,5600.00,5600.00,,1.82,,84000.00
2015-08-27,5600.00,5600.00,5600.00,5600.00,,0,,571200.00
2015-08-31,5488.00,5488.00,5379.00,5450.00,,-2.68,,1750057.00
2015-09-01,5450.00,5500.00,5400.00,5460.00,,0.18,,2371040.00
2015-09-02,5435.00,5440.00,5435.00,5440.00,,-0.37,,1109250.00
2015-09-03,5540.00,5580.00,5540.00,5550.00,,2.02,,6481800.00
2015-09-06,5600.00,5710.00,5600.00,5710.00,,2.88,,836400.00
2015-09-07,5750.00,5750.00,5750.00,5750.00,,0.7,,1230500.00
2015-09-08,5850.00,5850.00,5850.00,5850.00,,1.74,,438750.00
2015-09-10,5967.00,5967.00,5967.00,5967.00,,2,,59670.00
2015-09-13,6086.00,6200.00,6086.00,6175.00,,3.49,,1614200.00
2015-09-15,6175.00,6175.00,6175.00,6175.00,,0,,1210300.00
2015-09-17,6195.00,6195.00,6195.00,6195.00,,0.32,,619500.00
2015-09-28,6072.00,6072.00,6000.00,6000.00,,-3.15,,747672.00
2015-10-01,5900.00,5900.00,5900.00,5900.00,,-1.67,,908600.00
2015-10-04,5800.00,5800.00,5800.00,5800.00,,-1.69,,63800.00
2015-10-05,5800.00,5800.00,5800.00,5800.00,,0,,290000.00
2015-10-06,5750.00,5750.00,5750.00,5750.00,,-0.86,,80500.00
2015-10-07,5700.00,5700.00,5600.00,5600.00,,-2.61,,978100.00
2015-10-11,5690.00,5690.00,5600.00,5600.00,,0,,949060.00
2015-10-14,5600.00,5615.00,5600.00,5615.00,,0.27,,993510.00
2015-11-15,5503.00,5503.00,5503.00,5503.00,,-1.99,,55030.00
2015-12-08,5400.00,5400.00,5400.00,5400.00,,-1.87,,712800.00
2015-12-09,5292.00,5292.00,5292.00,5292.00,,-2,,582120.00
2015-12-10,5397.00,5397.00,5397.00,5397.00,,1.98,,80955.00
2015-12-13,5300.00,5310.00,5300.00,5310.00,,-1.61,,584000.00
2015-12-15,5300.00,5300.00,5300.00,5300.00,,-0.19,,333900.00
2015-12-17,5406.00,5406.00,5406.00,5406.00,,2,,459510.00
2015-12-24,5514.00,5514.00,5514.00,5514.00,,2,,71682.00
2016-01-06,5624.00,5736.00,5624.00,5736.00,,4.03,,170848.00
2016-01-10,5736.00,6207.00,5850.00,6207.00,,8.21,,915978.00
2016-01-11,6331.00,6827.00,6331.00,6827.00,,9.99,,5968547.00
2016-01-12,6963.00,7509.00,6963.00,7509.00,,9.99,,9000484.00
2016-01-13,7509.00,7812.00,7509.00,7812.00,,4.04,,1886832.00
2016-01-14,7800.00,7812.00,7200.00,7446.00,,-4.69,,3797232.00
2016-06-21,7446.00,7745.00,7594.00,7745.00,,4.02,,625835.00
2016-08-01,7745.00,8132.00,8132.00,8132.00,,5,,81320.00
2016-08-07,8132.00,8628.00,8294.00,8628.00,,6.1,,253810.00
2016-08-11,9240.00,9612.00,9240.00,9612.00,,6.1,,282760.00
2016-08-14,9804.00,10573.00,9804.00,10573.00,,10,,700124.00
2016-08-16,10784.00,11218.00,10784.00,11218.00,,6.1,,330010.00
2016-08-17,11442.00,11903.00,11442.00,11903.00,,6.11,,350150.00
2016-08-21,12141.00,12383.00,12141.00,12383.00,,4.03,,245240.00
2016-08-22,12630.00,12882.00,12630.00,12882.00,,4.03,,255120.00
2016-08-23,13139.00,13401.00,13139.00,13401.00,,4.03,,265400.00
2016-08-29,13669.00,14504.00,13669.00,14504.00,,8.23,,563350.00
2016-08-30,14794.00,15954.00,14794.00,15954.00,,10,,15750046.00
2016-08-31,15700.00,16900.00,15635.00,15725.00,,-1.44,,8987895.00
2016-09-01,15700.00,15700.00,15700.00,15700.00,,-0.16,,314000.00
2016-09-04,15750.00,15750.00,15200.00,15500.00,,-1.27,,3850265.00
2016-09-05,15500.00,15500.00,15191.00,15191.00,,-1.99,,1073730.00
2016-09-06,15200.00,15490.00,15000.00,15000.00,,-1.26,,6516020.00
2016-09-07,15300.00,15499.00,15300.00,15499.00,,3.33,,462970.00
2016-09-08,15699.00,15699.00,15386.00,15386.00,,-0.73,,467840.00
2016-09-11,15100.00,15100.00,15079.00,15100.00,,-2,,301790.00
2016-09-12,15380.00,15709.00,15380.00,15700.00,,4.18,,7585800.00
2016-09-14,15400.00,16300.00,15400.00,16295.00,,3.73,,5809530.00
2016-09-18,16295.00,16295.00,15340.00,15640.00,,-4.02,,5693490.00
2016-09-20,15800.00,15900.00,15600.00,15700.00,,-0.26,,6255000.00
2016-09-21,15288.00,15288.00,15000.00,15000.00,,-3.85,,632880.00
2016-09-22,15000.00,15300.00,15000.00,15300.00,,2,,990000.00
2016-09-26,14500.00,14500.00,14500.00,14500.00,,0,,638000.00
2016-09-27,14500.00,14700.00,14500.00,14700.00,,1.38,,2185000.00
2016-09-28,14500.00,14500.00,14500.00,14500.00,,-1.36,,145000.00
2016-10-02,14210.00,14210.00,14210.00,14210.00,,-2,,312620.00
2016-10-04,14210.00,14490.00,14010.00,14490.00,,1.97,,2281600.00
2016-10-05,14700.00,14700.00,14700.00,14700.00,,1.45,,147000.00
2016-10-06,14800.00,14800.00,14800.00,14800.00,,0.68,,1480000.00
2016-10-19,14700.00,14700.00,14406.00,14406.00,,-2.66,,2485180.00
2016-10-23,14250.00,14250.00,14250.00,14250.00,,-1.08,,427500.00
2016-10-26,14500.00,14500.00,14500.00,14500.00,,1.75,,1218000.00
2016-10-27,14450.00,14450.00,14400.00,14400.00,,-0.69,,577000.00
2016-11-13,14115.00,14115.00,13557.00,13557.00,,-5.85,,1909383.00
2016-11-14,13800.00,13800.00,13600.00,13600.00,,1.79,,550000.00
2016-11-15,13526.00,13526.00,12990.00,13200.00,,-4.35,,8066280.00
2016-11-16,12960.00,13000.00,12490.00,12490.00,,-5.38,,7898880.00
2016-11-17,12739.00,12739.00,12739.00,12739.00,,1.99,,229302.00
2016-11-20,12485.00,12485.00,11992.00,11992.00,,-5.86,,986450.00
2016-11-21,11753.00,11753.00,11063.00,11063.00,,-7.75,,1920436.00
2016-11-22,11000.00,11444.00,11000.00,11444.00,,3.44,,5646340.00
2016-11-23,11219.00,11219.00,10773.00,10773.00,,-5.86,,2368455.00
2016-11-24,10988.00,10988.00,10769.00,10769.00,,-0.04,,521292.00
2016-11-27,10555.00,10555.00,10139.00,10139.00,,-5.85,,362115.00
2016-11-28,9937.00,9937.00,9546.00,9736.00,,-3.97,,968190.00
2016-11-29,9930.00,10709.00,9930.00,10709.00,,9.99,,3836120.00
2016-12-01,12014.00,12956.00,12014.00,12600.00,,6.97,,1333856.00
2016-12-04,12600.00,12600.00,12102.00,12102.00,,-3.95,,370500.00
2016-12-05,11900.00,11900.00,11663.00,11664.00,,-3.62,,914493.00
2016-12-07,11897.00,12134.00,11760.00,11760.00,,0.82,,1917080.00
2016-12-08,11990.00,12000.00,11990.00,12000.00,,2.04,,359800.00
2016-12-11,11760.00,11760.00,11760.00,11760.00,,-2,,117600.00
2016-12-12,11525.00,11525.00,11295.00,11295.00,,-3.95,,855175.00
2016-12-15,11520.00,12180.00,11520.00,12180.00,,7.84,,1078650.00
2016-12-18,11940.00,11940.00,11940.00,11940.00,,-1.97,,119400.00
2016-12-19,11940.00,11940.00,11800.00,11940.00,,-1.17,,1418800.00
2016-12-20,11800.00,11800.00,11800.00,11800.00,,0,,236000.00
2016-12-21,11600.00,11600.00,11400.00,11400.00,,-3.39,,710800.00
2016-12-22,11172.00,11172.00,11172.00,11172.00,,-2,,223440.00
2016-12-26,10950.00,10950.00,10732.00,10900.00,,-2.43,,391520.00
2016-12-28,11118.00,11120.00,11118.00,11120.00,,2.02,,333560.00
2016-12-29,11339.00,11342.00,11339.00,11342.00,,2,,691814.00
2017-01-01,11568.00,11799.00,11568.00,11799.00,,4.03,,233670.00
2017-01-03,11600.00,11600.00,11600.00,11600.00,,-1.69,,232000.00
2017-01-04,11400.00,11400.00,11400.00,11400.00,,-1.72,,456000.00
2017-01-10,11172.00,11172.00,11172.00,11172.00,,-2,,558600.00
2017-01-12,10700.00,10914.00,10700.00,10914.00,,0,,485780.00
2017-01-15,10914.00,11000.00,10914.00,11000.00,,0.79,,1903680.00
2017-01-17,11220.00,11220.00,11220.00,11220.00,,2,,504900.00
2017-01-18,11150.00,11373.00,11150.00,11373.00,,1.36,,392480.00
2017-01-19,11600.00,12447.00,11600.00,12447.00,,9.44,,6666300.00
2017-01-22,12695.00,13691.00,12695.00,13691.00,,9.99,,3056005.00
2017-01-23,13964.00,15060.00,13964.00,14122.00,,3.15,,5281290.00
2017-01-24,13840.00,13840.00,13300.00,13300.00,,-5.82,,545440.00
2017-01-25,13034.00,13034.00,11970.00,11970.00,,-10,,2436920.00
2017-01-26,11731.00,11731.00,11268.00,11404.00,,-4.74,,5074318.00
2017-01-30,11175.00,11500.00,11175.00,11500.00,,0.85,,499450.00
2017-01-31,11270.00,11495.00,11266.00,11495.00,,-0.04,,3012645.00
2017-02-02,12430.00,12678.00,12430.00,12430.00,,1.99,,753230.00
2017-02-05,12400.00,12400.00,12182.00,12182.00,,-2,,2478220.00
2017-02-06,11939.00,12000.00,11939.00,12000.00,,-1.49,,1076950.00
2017-02-07,11760.00,11960.00,11760.00,11960.00,,-0.33,,507680.00
2017-02-08,11960.00,11960.00,11493.00,11493.00,,-3.9,,1505750.00
2017-02-09,11722.00,11950.00,11480.00,11800.00,,2.67,,2406535.00
2017-02-12,11565.00,11565.00,10886.00,10886.00,,-7.75,,671130.00
2017-02-13,10669.00,10669.00,10247.00,10450.00,,-4.01,,1422000.00
2017-02-15,10872.00,11668.00,10872.00,11668.00,,9.47,,1030970.00
2017-02-16,11901.00,12000.00,11663.00,12000.00,,2.85,,1288392.00
2017-02-19,12400.00,13420.00,12400.00,13420.00,,10,,1668430.00
2017-02-20,13688.00,13961.00,12889.00,12889.00,,-3.96,,3356610.00
2017-02-21,12633.00,12633.00,12133.00,12133.00,,-5.86,,497780.00
2017-02-23,12375.00,12375.00,12201.00,12201.00,,0.56,,467118.00
2017-02-26,12445.00,12445.00,12290.00,12290.00,,0.73,,606545.00
2017-02-28,12150.00,12150.00,12000.00,12000.00,,-2.36,,965020.00
2017-03-01,12240.00,12240.00,12240.00,12005.00,,2,,280815.00
2017-03-07,12594.00,12594.00,12594.00,12594.00,,1.99,,125940.00
2017-03-09,12600.00,12600.00,12600.00,12600.00,,0.05,,214200.00
2017-03-14,12400.00,12400.00,12349.00,12349.00,,-1.99,,2717500.00
2017-03-15,12222.00,12400.00,12200.00,12350.00,,0.01,,2584600.00
