Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2022-06-16,263.90,290.20,263.90,290.20,,0,,17605819.40
2022-06-17,296.00,301.90,270.00,273.00,,-5.93,,14617918.70
2022-06-19,267.60,267.60,245.80,246.90,,-9.56,,4886187.00
2022-06-20,250.00,250.00,222.30,224.10,,-9.23,,6985049.70
2022-06-21,224.00,246.50,211.30,244.00,,8.88,,4674223.20
2022-06-22,248.80,253.70,227.00,233.50,,-4.3,,1585135.00
2022-06-23,238.10,238.10,212.00,216.00,,-7.49,,2524901.60
2022-06-24,211.70,228.00,200.00,213.00,,-1.39,,2020577.50
2022-06-26,215.00,227.00,212.00,227.00,,6.57,,3294027.70
2022-06-27,231.50,231.50,216.60,224.70,,-1.01,,3055452.20
2022-06-28,224.00,224.00,212.00,216.90,,-3.47,,2000857.00
2022-06-29,213.00,227.00,213.00,225.00,,3.73,,2250339.30
2022-06-30,225.00,235.00,214.10,229.00,,1.78,,5721025.60
2022-07-01,226.00,233.00,222.50,226.00,,-1.31,,2020276.00
2022-07-03,221.50,244.00,218.20,242.00,,7.08,,4281348.40
2022-07-04,242.00,260.00,225.40,231.00,,-4.55,,8009262.90
2022-07-05,228.00,240.00,221.00,223.00,,-3.46,,2804460.10
2022-07-06,223.00,234.00,218.70,225.00,,0.9,,2066905.00
2022-07-07,225.00,234.60,218.20,224.00,,-0.44,,3120943.00
2022-07-08,219.60,220.00,214.00,215.00,,-4.02,,1669379.40
2022-07-11,211.00,214.00,201.00,203.10,,-5.53,,2926275.20
2022-07-12,202.00,211.00,200.00,203.80,,0.34,,1735784.10
2022-07-13,207.00,220.30,205.00,219.00,,7.46,,2099507.50
2022-07-14,216.00,233.30,213.00,233.00,,6.39,,3843840.80
2022-07-15,237.60,237.60,220.00,222.00,,-4.72,,2191828.70
2022-07-17,218.00,225.40,215.00,222.00,,0,,1794447.30
2022-07-18,226.40,226.40,213.30,226.40,,1.98,,2528642.20
2022-07-19,222.00,231.00,218.10,223.00,,-1.5,,2751676.70
2022-07-20,220.00,225.80,219.50,221.00,,-0.9,,1669670.50
2022-07-21,217.20,223.00,215.00,218.00,,-1.36,,2351226.10
2022-07-22,214.00,221.00,210.00,212.00,,-2.75,,1381156.80
2022-07-24,215.00,233.10,212.00,231.50,,9.2,,5811488.20
2022-07-25,231.50,244.80,223.50,237.20,,2.46,,5241343.40
2022-07-26,232.50,241.00,223.00,223.00,,-5.99,,4499867.00
2022-07-27,223.00,242.00,223.00,239.00,,7.17,,13161655.00
2022-07-28,240.00,262.90,240.00,258.00,,7.95,,13898882.70
2022-07-29,263.00,269.00,254.80,264.00,,2.33,,4610705.00
2022-07-31,258.80,267.00,253.70,260.50,,-1.33,,7359317.50
2022-08-01,260.00,270.30,246.10,258.00,,-0.96,,10713102.60
2022-08-02,258.00,282.00,255.30,280.00,,8.53,,9969195.90
2022-08-03,278.00,308.00,274.10,299.00,,6.79,,17770679.10
2022-08-04,304.00,320.00,284.00,315.00,,5.35,,21186252.70
2022-08-05,310.00,321.00,304.00,307.00,,-2.54,,11859510.70
2022-08-07,305.00,313.00,299.00,308.00,,0.33,,12537192.70
2022-08-08,310.00,325.00,307.00,314.00,,1.95,,11028028.20
2022-08-09,317.00,317.00,297.00,299.10,,-4.75,,7123713.10
2022-08-10,293.20,298.00,284.10,290.00,,-3.04,,5814558.80
2022-08-11,295.80,297.00,285.00,288.60,,-0.48,,5117009.50
2022-08-14,282.90,293.00,277.00,277.20,,-3.95,,3873960.00
2022-08-15,273.00,304.90,273.00,304.90,,9.99,,4610657.40
2022-08-16,310.90,317.10,290.00,291.90,,-4.26,,11858243.70
2022-08-17,292.00,308.90,286.20,298.00,,2.09,,3910318.30
