Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2022-08-31,319.00,350.90,319.00,322.10,,0,,32789341.30
2022-09-01,322.00,322.00,298.10,310.10,,-3.73,,9534637.60
2022-09-02,308.00,313.00,298.40,308.90,,0.29,,2709357.00
2022-09-04,310.00,322.00,302.70,310.00,,0.36,,4885445.30
2022-09-05,305.10,312.00,304.00,307.00,,-0.97,,4227495.10
2022-09-06,303.00,307.00,299.00,299.00,,-2.61,,3870205.10
2022-09-07,293.20,296.00,287.30,296.00,,-1,,2901040.80
2022-09-08,296.00,310.00,287.00,303.00,,2.36,,3946593.50
2022-09-11,297.00,309.00,293.00,298.00,,-1.65,,2469996.00
2022-09-12,297.00,297.00,284.20,291.00,,-2.35,,3330455.00
2022-09-13,291.00,299.80,285.00,295.10,,1.41,,1902710.00
2022-09-14,289.20,304.00,289.20,300.00,,1.66,,4309966.00
2022-09-15,294.00,302.10,279.00,284.00,,-5.33,,4690389.20
2022-09-16,278.40,278.40,263.70,274.00,,-3.52,,2860098.10
2022-09-18,268.60,278.00,249.90,254.00,,-7.3,,5872715.50
2022-09-20,249.00,249.00,235.00,239.90,,-5.55,,2033806.20
2022-09-21,244.60,244.60,232.40,232.40,,-3.13,,1359473.90
2022-09-22,232.40,232.50,225.20,230.00,,-1.03,,1960000.70
2022-09-25,225.40,225.40,217.00,224.00,,-2.61,,1366947.60
2022-09-27,224.00,242.00,216.70,231.00,,3.12,,1016435.00
2022-09-28,226.40,240.30,209.00,217.00,,-6.06,,1162605.00
2022-09-29,215.10,225.70,215.10,220.90,,1.8,,401408.00
2022-10-09,220.00,229.00,216.00,226.00,,2.31,,749813.20
2022-10-10,221.50,225.00,216.00,216.10,,-4.38,,1211820.50
2022-10-11,216.00,224.00,212.10,224.00,,3.66,,609047.50
2022-10-12,219.60,224.00,209.00,220.50,,-1.56,,804073.10
2022-10-13,216.10,224.00,212.80,215.20,,-2.4,,974384.10
2022-10-16,212.00,222.00,212.00,222.00,,3.16,,1247468.60
2022-10-17,218.00,222.30,214.00,218.00,,-1.8,,754879.00
2022-10-19,213.70,216.00,210.00,210.40,,-3.49,,1219205.30
2022-10-20,206.20,214.00,203.10,210.00,,-0.19,,992030.00
2022-10-23,206.00,211.10,204.00,210.00,,0,,619044.00
2022-10-31,206.00,211.10,206.00,207.00,,-1.43,,640014.00
2022-11-01,203.30,219.90,203.30,217.10,,4.88,,1682310.00
2022-11-02,215.00,221.40,211.50,220.00,,1.34,,877813.00
2022-11-03,220.00,227.60,215.00,219.00,,-0.45,,2186959.40
2022-11-06,223.00,227.00,211.00,227.00,,3.65,,1517877.70
2022-11-07,222.50,234.00,219.00,223.00,,-1.76,,3149150.00
2022-11-08,220.00,223.90,218.00,223.00,,0,,1111271.40
2022-11-09,220.00,220.00,211.80,213.00,,-4.48,,686072.50
2022-11-10,210.00,210.50,205.00,206.00,,-3.29,,1052469.50
2022-11-13,206.00,210.00,203.10,206.00,,0,,2046.00
2022-11-15,210.70,213.00,200.00,207.00,,-3.68,,12220.00
2022-11-16,205.00,215.00,203.00,214.00,,3.38,,862838.40
2022-11-17,210.00,218.00,210.00,217.00,,1.4,,1554747.30
2022-11-22,213.00,221.00,205.00,214.00,,-1.38,,2493710.30
2022-11-23,209.80,210.00,206.00,209.90,,-1.92,,335218.00
2022-11-24,206.00,212.00,206.00,209.00,,-0.43,,523622.30
2022-11-27,205.10,215.20,205.10,213.00,,1.91,,2341293.50
2022-11-28,212.00,217.20,207.30,213.00,,0,,1125409.00
2022-11-29,208.80,211.90,208.00,211.80,,-0.56,,895215.00
2022-11-30,207.70,213.00,207.70,212.00,,0.09,,462677.00
2022-12-01,216.20,217.20,208.30,211.00,,-0.47,,1382876.00
2022-12-04,210.00,217.00,208.10,214.00,,1.42,,2463065.70
2022-12-05,210.00,217.90,208.00,211.80,,-1.03,,1004003.00
2022-12-06,210.00,212.90,207.70,212.90,,0.52,,1173195.60
2022-12-07,217.10,217.10,206.20,208.00,,-2.3,,603818.60
2022-12-11,204.10,208.00,201.20,205.00,,-1.44,,1917874.40
2022-12-12,201.20,210.00,201.20,207.00,,0.98,,851535.00
2022-12-13,210.90,211.00,203.00,207.90,,0.43,,232889.00
