Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2019-08-06,292.00,292.00,262.80,263.00,,0,,1686340.00
2019-08-07,250.00,250.00,237.00,237.00,,-9.89,,408590.00
2019-08-08,248.00,248.00,214.00,214.00,,-9.7,,97699181.00
2019-08-11,210.00,219.00,207.00,214.00,,0,,45959468.00
2019-08-12,212.00,216.00,210.00,212.00,,-0.93,,25688270.00
2019-08-13,212.00,215.00,210.00,211.00,,-0.47,,14345573.00
2019-08-14,209.00,212.00,207.00,208.00,,-1.42,,15871479.00
2019-08-15,204.00,212.00,204.00,210.00,,0.96,,8952760.00
2019-08-18,210.00,211.00,205.00,205.00,,-2.38,,17052529.00
2019-08-19,205.00,208.00,200.00,206.00,,0.49,,21516357.00
2019-08-20,206.00,207.00,200.00,207.00,,0.49,,16560280.00
2019-08-21,203.00,204.00,200.00,200.00,,-3.38,,9448315.00
2019-08-22,200.00,203.00,200.00,200.00,,0,,6318507.00
2019-08-25,200.00,202.00,192.00,195.00,,-2.5,,10742252.00
2019-08-26,195.00,195.00,187.00,187.00,,-4.1,,8546790.00
2019-08-27,187.00,195.00,185.00,191.00,,2.14,,5290598.00
2019-08-28,188.00,190.00,184.00,185.00,,-3.14,,2896715.00
2019-08-29,182.00,187.00,182.00,185.00,,0,,5802952.00
2019-09-01,185.00,185.00,174.00,174.00,,-5.95,,7034340.00
2019-09-02,172.00,174.00,170.00,173.00,,-0.57,,5584080.00
2019-09-03,173.00,179.00,167.00,179.00,,3.47,,5396414.00
2019-09-04,181.00,181.00,172.00,177.00,,-1.12,,4403430.00
2019-09-05,177.00,177.00,171.00,173.00,,-2.26,,5414465.00
2019-09-08,173.00,176.00,168.00,168.00,,-2.89,,3393376.00
2019-09-09,170.00,170.00,166.00,166.00,,-1.19,,3803325.00
2019-09-10,166.00,170.00,160.00,161.00,,-3.01,,7449020.00
2019-09-11,161.00,164.00,160.00,161.00,,0,,3318470.00
2019-09-15,158.00,159.00,152.00,154.00,,-2.53,,8812910.00
2019-09-16,152.00,159.00,151.00,155.00,,0.65,,6026696.00
2019-09-17,155.00,170.00,153.00,167.00,,7.74,,11517294.00
2019-09-18,168.00,172.00,162.00,169.00,,1.2,,13065398.00
2019-09-19,168.00,169.00,163.00,163.00,,-3.55,,6916190.00
2019-09-22,163.00,163.00,155.00,155.00,,-4.91,,5104320.00
2019-09-23,155.00,161.00,153.00,154.00,,-0.65,,4285448.00
2019-09-24,153.00,156.00,153.00,155.00,,0.65,,2311310.00
2019-09-25,155.00,159.00,153.00,157.00,,1.29,,3716505.00
2019-09-26,155.00,161.00,155.00,157.00,,0,,4626660.00
2019-09-29,155.00,161.00,155.00,156.00,,-0.64,,3919780.00
2019-09-30,156.00,161.00,156.00,160.00,,2.56,,1607130.00
2019-10-01,160.00,161.00,158.00,159.00,,-0.62,,2233706.00
2019-10-02,159.00,162.00,157.00,158.00,,-0.63,,2249340.00
2019-10-03,161.00,161.00,158.00,160.00,,1.27,,2961030.00
2019-10-10,158.00,162.00,158.00,161.00,,0.62,,921630.00
2019-10-14,163.00,163.00,158.00,158.00,,-1.86,,1045780.00
2019-10-15,160.00,161.00,159.00,159.00,,0.63,,1374390.00
2019-10-16,159.00,163.00,159.00,161.00,,1.26,,2449539.00
2019-10-17,161.00,167.00,158.00,167.00,,3.73,,2937949.00
2019-10-20,167.00,167.00,161.00,166.00,,-0.6,,3342590.00
2019-10-21,166.00,166.00,163.00,165.00,,-0.6,,2014510.00
2019-10-22,165.00,174.00,163.00,169.00,,2.42,,3751298.00
2019-10-23,169.00,180.00,167.00,174.00,,2.96,,4571307.00
2019-10-24,175.00,182.00,172.00,180.00,,3.45,,11303825.00
2019-10-31,181.00,184.00,172.00,175.00,,-2.78,,3936640.00
2019-11-03,175.00,177.00,170.00,171.00,,-2.29,,4061574.00
2019-11-05,171.00,174.00,169.00,172.00,,0.58,,1746556.00
2019-11-06,171.00,173.00,170.00,172.00,,0.58,,2243640.00
2019-11-06,172.00,173.00,170.00,171.00,,-0.58,,2243640.00
2019-11-07,172.00,172.00,169.00,171.00,,-0.58,,1672980.00
2019-11-10,170.00,172.00,167.00,172.00,,0.58,,3906770.00
2019-11-11,175.00,176.00,168.00,170.00,,-1.16,,4057100.00
2019-11-12,167.00,176.00,167.00,168.00,,-1.18,,2748740.00
2019-11-13,167.00,169.00,166.00,167.00,,-0.6,,2484780.00
2019-11-14,167.00,170.00,166.00,169.00,,1.2,,4913870.00
2019-11-17,169.00,169.00,166.00,166.00,,-1.78,,3873810.00
2019-11-18,165.00,166.00,162.00,166.00,,0,,2147357.00
2019-11-19,164.00,165.00,163.00,163.00,,-1.81,,1562793.00
2019-11-20,162.00,169.00,162.00,164.00,,0.61,,1949300.00
2019-11-21,164.00,166.00,162.00,166.00,,1.22,,2752744.00
2019-11-24,167.00,167.00,162.00,163.00,,-1.81,,946537.00
2019-11-25,162.00,164.00,162.00,163.00,,0,,2583480.00
2019-11-26,163.00,163.00,162.00,162.00,,-0.61,,2400450.00
2019-11-27,162.00,166.00,161.00,164.00,,1.23,,1592634.00
2019-11-28,165.00,166.00,163.00,163.00,,-0.61,,1340790.00
2019-12-01,163.00,165.00,163.00,164.00,,0.61,,1514268.00
2019-12-02,166.00,169.00,164.00,166.00,,1.22,,2990640.00
2019-12-03,167.00,171.00,166.00,169.00,,1.81,,3732970.00
2019-12-04,169.00,175.00,169.00,172.00,,1.78,,3136410.00
2019-12-05,172.00,175.00,170.00,173.00,,0.58,,2594060.00
2019-12-08,170.00,172.00,169.00,171.00,,-1.16,,1741670.00
2019-12-09,171.00,177.00,170.00,172.00,,0.58,,3252804.00
2019-12-10,174.00,177.00,171.00,171.00,,-0.58,,3206250.00
2019-12-11,170.00,176.00,170.00,173.00,,1.17,,1901390.00
2019-12-12,172.00,185.00,172.00,179.00,,3.47,,5817265.00
2019-12-15,180.00,182.00,174.00,175.00,,-2.23,,4079590.00
2019-12-16,173.00,177.00,171.00,172.00,,-2.27,,2377766.00
2019-12-17,169.00,178.00,169.00,172.00,,0,,2446090.00
2019-12-18,173.00,173.00,170.00,171.00,,-0.58,,1755170.00
2019-12-19,171.00,174.00,170.00,173.00,,1.17,,1365520.00
2019-12-22,170.00,173.00,170.00,172.00,,-0.58,,3521300.00
2019-12-23,172.00,178.00,170.00,175.00,,1.74,,5251281.00
2019-12-24,176.00,179.00,168.00,171.00,,-2.29,,2534946.00
2019-12-25,171.00,173.00,171.00,172.00,,0.58,,881380.00
2019-12-26,172.00,175.00,170.00,171.00,,-0.58,,3448380.00
2019-12-29,172.00,173.00,167.00,169.00,,-1.17,,4839360.00
2019-12-30,170.00,170.00,168.00,168.00,,-0.59,,1482171.00
2019-12-31,168.00,170.00,167.00,170.00,,1.19,,1831680.00
2020-01-01,170.00,171.00,167.00,169.00,,-0.59,,3711910.00
2020-01-02,169.00,171.00,168.00,168.00,,-0.59,,1944840.00
2020-01-05,165.00,172.00,165.00,169.00,,0.6,,3560250.00
2020-01-06,169.00,175.00,168.00,169.00,,0,,2940850.00
2020-01-07,172.00,176.00,169.00,174.00,,2.96,,5427022.00
2020-01-08,175.00,175.00,168.00,170.00,,-2.3,,6336533.00
2020-01-09,170.00,173.00,168.00,168.00,,-1.18,,5188750.00
2020-01-12,170.00,175.00,168.00,172.00,,2.38,,4605930.00
2020-01-13,172.00,183.00,172.00,183.00,,6.4,,14028490.00
2020-01-14,180.00,180.00,171.00,174.00,,-4.92,,8459366.00
2020-01-15,175.00,181.00,173.00,175.00,,0.57,,7400470.00
