Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2022-08-15,694.50,694.50,637.80,637.80,,-9.99,,6332414.30
2022-08-16,625.10,658.90,580.00,628.00,,-1.54,,408247888.90
2022-08-17,615.50,659.00,615.50,644.00,,2.55,,184311898.00
2022-08-18,650.00,650.00,629.00,632.00,,-1.86,,104358855.60
2022-08-21,632.00,632.00,611.00,612.00,,-3.16,,122850968.20
2022-08-22,612.00,618.90,603.00,609.80,,-0.36,,85035696.00
2022-08-23,600.00,625.00,600.00,615.00,,0.85,,76597740.40
2022-08-24,610.00,630.00,610.00,616.00,,0.16,,56467680.60
2022-08-25,616.00,622.00,596.00,600.00,,-2.6,,94128992.00
2022-08-26,594.00,599.70,587.00,591.00,,-1.5,,58713287.80
2022-08-28,588.00,598.00,575.10,575.10,,-2.69,,59429134.50
2022-08-29,563.60,584.00,563.60,578.80,,0.64,,35460656.90
2022-08-30,567.30,589.50,567.30,575.00,,-0.66,,29906610.60
2022-08-31,572.00,580.00,559.00,579.00,,0.7,,64024318.50
2022-09-01,570.00,581.00,566.20,578.00,,-0.17,,41663797.40
2022-09-02,570.00,581.00,562.00,564.00,,-2.59,,22617714.50
2022-09-04,574.90,597.90,568.00,588.00,,4.26,,89100864.90
2022-09-05,591.10,614.00,591.10,607.00,,3.23,,99694721.60
2022-09-06,619.00,619.00,581.00,584.00,,-3.79,,91170147.00
2022-09-07,595.60,595.60,573.00,573.50,,-1.8,,30454236.50
2022-09-08,581.90,585.40,570.00,576.00,,0.44,,44481419.40
2022-09-11,587.50,587.50,563.00,566.00,,-1.74,,27564129.00
2022-09-12,577.30,577.30,558.00,560.40,,-0.99,,27958957.50
2022-09-13,567.00,577.00,560.00,564.00,,0.64,,56310673.70
2022-09-14,575.20,580.00,566.00,577.00,,2.3,,37217910.80
2022-09-15,568.00,576.80,544.00,550.00,,-4.68,,116489654.60
2022-09-16,539.00,540.10,522.20,537.00,,-2.36,,42332677.00
2022-09-18,531.00,541.00,515.00,516.00,,-3.91,,36862359.90
2022-09-20,515.00,515.00,505.00,506.00,,-1.94,,53513749.60
2022-09-21,506.00,518.00,505.00,509.10,,0.61,,24148743.30
2022-09-22,509.00,514.00,499.80,501.00,,-1.59,,15796398.40
2022-09-25,500.00,500.00,484.00,484.00,,-3.39,,34982000.70
2022-09-27,493.00,498.00,481.70,486.00,,0.41,,28531447.50
2022-09-28,490.00,495.70,478.00,480.90,,-1.05,,20415319.60
2022-09-29,476.00,495.00,476.00,479.90,,-0.21,,22088175.20
2022-10-09,489.00,489.00,480.00,487.00,,1.48,,11505789.50
2022-10-10,490.00,496.00,471.50,474.70,,-2.53,,15840354.80
2022-10-11,474.00,474.00,460.50,462.00,,-2.68,,20703872.40
2022-10-12,471.00,471.00,457.00,460.00,,-0.43,,20263986.30
2022-10-13,461.00,470.00,461.00,464.00,,0.87,,28366863.30
2022-10-16,473.20,473.20,457.10,458.00,,-1.29,,27814171.70
2022-10-17,455.00,466.90,455.00,459.80,,0.39,,22699803.70
2022-10-19,456.00,458.00,445.20,446.00,,-3,,23319857.30
2022-10-20,446.00,452.30,439.50,443.00,,-0.67,,10473131.50
2022-10-23,451.80,451.80,437.00,443.50,,0.11,,14499218.20
2022-10-31,450.00,450.00,432.20,437.00,,-1.47,,11485045.30
2022-11-01,445.70,468.00,427.40,458.80,,4.99,,50039290.50
2022-11-02,467.90,470.00,453.00,458.50,,-0.07,,51995858.70
2022-11-03,450.00,465.00,445.00,445.10,,-2.92,,25936002.00
2022-11-06,453.90,465.90,445.00,464.00,,4.25,,31143508.20
2022-11-07,468.90,499.00,464.00,479.00,,3.23,,96004355.00
2022-11-08,481.00,492.00,481.00,483.00,,0.84,,43782562.80
2022-11-09,492.60,492.60,468.00,470.00,,-2.69,,48569281.20
2022-11-10,470.00,475.00,454.00,458.00,,-2.55,,33097594.20
2022-11-13,455.40,465.00,450.10,454.10,,-0.85,,63700.00
2022-11-15,478.00,479.00,456.00,458.00,,-2.35,,283980.00
2022-11-16,450.10,488.00,450.10,482.90,,5.44,,60338630.00
2022-11-17,486.00,522.20,486.00,512.00,,6.03,,143915972.30
2022-11-22,515.00,526.00,511.20,513.00,,0.2,,86763934.10
2022-12-05,523.20,538.00,494.80,497.90,,-2.94,,308357044.60
2022-12-06,495.00,505.00,484.30,498.00,,0.02,,50207274.40
2022-12-07,507.90,507.90,493.20,494.10,,-0.78,,33275505.90
2022-12-11,500.00,500.00,483.00,484.20,,-2,,32028038.70
2022-12-12,490.00,491.90,480.20,490.00,,1.2,,34667764.70
2022-12-13,490.00,493.00,480.20,490.00,,0,,24082189.50
2022-12-14,490.10,490.10,479.00,479.30,,-2.18,,25272409.20
2022-12-15,472.10,483.00,468.30,469.00,,-2.15,,22915553.50
2022-12-18,471.00,471.00,449.00,450.00,,-4.05,,54313095.70
2022-12-19,450.00,459.00,442.00,452.00,,0.44,,22759040.90
2022-12-20,459.90,461.00,454.00,458.00,,1.33,,16675265.00
2022-12-21,467.10,467.10,442.00,445.00,,-2.84,,27896478.80
2022-12-22,450.00,453.90,441.00,444.00,,-0.22,,16771518.30
2022-12-26,452.00,478.00,452.00,477.00,,7.43,,72617407.60
2022-12-27,485.00,495.00,479.00,480.60,,0.75,,66299103.00
2022-12-28,490.20,490.20,470.50,477.00,,-0.75,,80491648.80
2022-12-29,485.90,499.80,473.00,497.00,,4.19,,101427013.70
2023-01-01,506.90,510.00,490.00,495.00,,-0.4,,78184178.50
2023-01-02,494.50,506.00,488.10,497.90,,0.59,,59782721.40
