Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-09-17,486.60,535.20,486.60,495.00,,0,,245293976.20
2023-09-18,500.00,500.00,485.20,489.00,,-1.21,,93880860.00
2023-09-19,489.00,489.00,478.40,485.50,,-0.72,,106442691.70
2023-09-21,487.00,496.00,483.20,484.20,,-0.27,,139658690.50
2023-09-24,479.00,491.00,462.20,463.10,,-4.36,,75416964.50
2023-09-25,460.00,470.00,456.10,460.00,,-0.67,,65861503.70
2023-09-26,460.00,480.10,460.00,477.70,,3.85,,71348296.50
2023-09-27,475.00,486.50,471.00,479.00,,0.27,,58436676.90
2023-10-01,475.00,475.00,461.00,462.50,,-3.44,,54062577.90
2023-10-02,456.00,466.60,456.00,466.00,,0.76,,47253637.00
2023-10-03,460.00,467.00,460.00,460.30,,-1.22,,37262140.20
2023-10-04,457.00,469.90,455.00,463.00,,0.59,,43091944.10
2023-10-05,458.10,465.00,458.10,458.20,,-1.04,,29885210.00
2023-10-08,450.00,457.00,442.10,445.00,,-2.88,,55760572.50
2023-10-09,440.00,449.00,437.40,441.80,,-0.72,,33632504.50
2023-10-10,436.00,441.80,433.30,433.60,,-1.86,,25000799.50
2023-10-11,430.00,445.00,429.30,433.50,,-0.02,,27888363.00
2023-10-12,430.10,435.00,424.00,424.60,,-2.05,,27613460.80
2023-10-16,416.20,420.50,402.00,408.10,,-3.89,,35829584.90
2023-10-17,400.00,422.90,400.00,411.50,,0.83,,21688520.00
2023-10-18,411.00,421.00,404.20,417.00,,1.34,,17113924.00
2023-10-19,411.00,421.00,411.00,415.80,,-0.29,,12054440.30
2023-10-29,409.00,410.00,403.20,405.50,,-2.48,,14032765.20
2023-10-30,405.00,406.00,400.00,406.00,,0.12,,11615704.60
2023-10-31,406.00,406.00,400.20,402.40,,-0.89,,10373242.00
2023-11-01,400.00,407.00,398.20,400.00,,-0.6,,12884200.00
2023-11-02,395.10,408.00,395.10,400.00,,0,,13161711.40
2023-11-05,392.00,401.00,390.00,393.00,,-1.75,,9805480.80
2023-11-06,390.00,400.00,390.00,397.60,,1.17,,9181625.00
2023-11-07,397.00,418.00,396.00,414.00,,4.12,,26513995.70
2023-11-08,420.00,426.00,407.00,417.00,,0.72,,23840277.50
2023-11-09,409.00,425.30,409.00,415.00,,-0.48,,15481664.30
2023-11-20,410.00,428.00,410.00,420.00,,1.2,,22847977.10
2023-11-21,415.00,420.00,411.00,411.90,,-1.93,,18197144.30
2023-11-22,405.10,426.30,405.10,420.00,,1.97,,23157685.60
