Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2017-02-08,334.00,346.00,334.00,346.00,,0,,10200.00
2017-02-21,352.00,352.00,352.00,352.00,,1.73,,3520.00
2017-02-23,359.00,380.00,359.00,380.00,,7.95,,18370.00
2017-02-26,387.00,401.00,387.00,401.00,,5.53,,11820.00
2017-03-01,409.00,441.00,409.00,441.00,,9.98,,30792.00
2017-03-02,449.00,484.00,449.00,484.00,,9.75,,27146.00
2017-03-07,585.00,631.00,585.00,631.00,,9.93,,147606.00
2017-03-09,643.00,694.00,643.00,694.00,,9.98,,38806.00
2017-03-13,728.00,763.00,728.00,763.00,,9.94,,137606.00
2017-03-21,676.00,689.00,676.00,689.00,,3.92,,33982.00
2017-03-22,702.00,702.00,702.00,716.00,,1.89,,9884.00
2017-04-10,751.00,751.00,751.00,751.00,,1.9,,7510.00
2017-04-18,781.00,796.00,781.00,796.00,,3.92,,15770.00
2017-04-24,811.00,811.00,811.00,811.00,,1.88,,8110.00
2017-04-25,827.00,859.00,827.00,859.00,,5.92,,32098.00
2017-04-26,876.00,893.00,876.00,893.00,,3.96,,24766.00
2017-04-27,0.00,0.00,0.00,910.00,,0,,9100.00
2017-04-30,910.00,910.00,910.00,910.00,,1.9,,18200.00
2017-05-02,928.00,983.00,928.00,983.00,,8.02,,42066.00
2017-05-04,1002.00,1002.00,1002.00,1002.00,,1.93,,10020.00
2017-05-08,1022.00,1022.00,1022.00,1022.00,,2,,10220.00
2017-05-09,1022.00,0.00,0.00,0.00,,0,,10420.00
2017-05-11,1073.00,1094.00,1073.00,1094.00,,7.04,,25962.00
2017-05-16,0.00,0.00,0.00,1094.00,,0,,10940.00
2017-05-21,1115.00,1159.00,1115.00,1159.00,,5.94,,34110.00
2017-05-22,1182.00,1205.00,1182.00,1205.00,,3.97,,23870.00
2017-05-23,1229.00,1278.00,1229.00,1278.00,,6.06,,47528.00
2017-05-28,1433.00,1519.00,1433.00,1519.00,,8.11,,59030.00
2017-05-30,1549.00,1579.00,1549.00,1579.00,,3.95,,31280.00
2017-05-31,1579.00,1707.00,1610.00,1707.00,,8.11,,89840.00
2017-06-01,1741.00,1775.00,1741.00,1775.00,,3.98,,35160.00
2017-06-04,1810.00,1952.00,1810.00,1952.00,,9.97,,109574.00
2017-06-05,1991.00,2147.00,1991.00,2147.00,,9.99,,124960.00
2017-06-06,2189.00,2361.00,2189.00,2361.00,,9.97,,137430.00
2017-06-07,2408.00,2597.00,2408.00,2597.00,,10,,171956.00
2017-06-08,2648.00,2856.00,2648.00,2856.00,,9.97,,498974.00
2017-06-11,2913.00,3141.00,2913.00,3141.00,,9.98,,12684335.00
2017-06-12,3203.00,3455.00,2956.00,3070.00,,-2.26,,54493513.00
2017-06-13,3010.00,3035.00,2950.00,3000.00,,-2.28,,18041242.00
2017-06-14,2998.00,2998.00,2882.00,2893.00,,-3.57,,7738952.00
2017-06-15,2860.00,3009.00,2840.00,2901.00,,0.28,,9650718.00
2017-06-18,2901.00,2890.00,2850.00,2861.00,,-1.38,,3664695.00
2017-06-19,2850.00,2864.00,2830.00,2839.00,,-0.77,,2595253.00
2017-06-20,2820.00,2880.00,2815.00,2840.00,,0.04,,4146884.00
2017-06-21,2840.00,2927.00,2821.00,2856.00,,0.56,,2014898.00
2017-06-22,2857.00,2890.00,2821.00,2888.00,,1.19,,4042099.00
2017-06-25,2833.00,2990.00,2833.00,2960.00,,2.42,,3047856.00
2017-06-27,2960.00,2990.00,2900.00,2912.00,,-2.03,,3329363.00
2017-06-28,2900.00,2955.00,2900.00,2926.00,,0.9,,3523409.00
2017-07-02,2900.00,2955.00,2900.00,2930.00,,0.14,,2616970.00
2017-07-03,2900.00,2920.00,2900.00,2915.00,,-0.51,,1520788.00
2017-07-04,2915.00,2930.00,2892.00,2910.00,,-0.17,,1042082.00
2017-07-05,2920.00,3019.00,2910.00,3019.00,,3.75,,1805526.00
2017-07-06,3030.00,3030.00,2970.00,3025.00,,0.2,,5410748.00
2017-07-09,3025.00,3085.00,2905.00,2935.00,,-2.98,,3658338.00
2017-07-10,2980.00,2980.00,2934.00,2950.00,,0.51,,2544783.00
2017-07-11,2950.00,3000.00,2944.00,2980.00,,1.02,,5038000.00
2017-07-12,2980.00,2980.00,2950.00,2975.00,,-0.17,,2937956.00
2017-07-13,2940.00,2950.00,2885.00,2950.00,,-0.84,,2626119.00
2017-07-16,2905.00,2923.00,2903.00,2920.00,,-1.02,,3001349.00
2017-07-17,2930.00,2980.00,2901.00,2941.00,,0.72,,3284541.00
2017-07-20,2940.00,3180.00,2940.00,3140.00,,4.67,,19980220.00
2017-07-23,3170.00,3233.00,3095.00,3110.00,,-0.96,,17899208.00
2017-07-24,3150.00,3150.00,2843.00,3042.00,,-2.19,,5258642.00
2017-07-25,3102.00,3102.00,3040.00,3081.00,,1.28,,5863312.00
2017-07-26,3082.00,3120.00,3050.00,3091.00,,0.32,,4928533.00
2017-07-27,3036.00,3213.00,3035.00,3090.00,,-0.03,,5476314.00
2017-07-30,3030.00,3131.00,3030.00,3090.00,,0,,6660595.00
2017-07-31,3100.00,3120.00,3081.00,3100.00,,0.32,,6407444.00
2017-08-01,3101.00,3225.00,3100.00,3214.00,,3.68,,10492254.00
2017-08-02,3210.00,3240.00,3150.00,3172.00,,-1.31,,8764035.00
2017-08-03,3172.00,3235.00,3155.00,3174.00,,0.06,,8206238.00
2017-08-06,3180.00,3209.00,3150.00,3151.00,,-0.72,,6855452.00
2017-08-07,3160.00,3175.00,3120.00,3150.00,,-0.03,,5887696.00
2017-08-09,3100.00,3179.00,3100.00,3156.00,,0.19,,5085120.00
2017-08-10,3101.00,3190.00,3101.00,3088.00,,-0.16,,8184543.00
2017-08-13,3151.00,3151.00,3090.00,3100.00,,-1.62,,4099419.00
2017-08-15,3150.00,3150.00,3010.00,3025.00,,-2.42,,3877946.00
2017-08-16,3000.00,3100.00,3000.00,3012.00,,-0.43,,4337911.00
2017-08-17,3060.00,3040.00,3000.00,3020.00,,0.27,,2723173.00
2017-08-20,3010.00,3025.00,2985.00,3015.00,,-0.17,,3407728.00
2017-08-21,3015.00,3019.00,2962.00,2962.00,,-1.76,,2041871.00
2017-08-22,2970.00,3060.00,2960.00,2945.00,,1.45,,3137048.00
2017-08-23,3005.00,3200.00,3005.00,3065.00,,1.83,,7971411.00
2017-08-27,3145.00,3200.00,3150.00,3200.00,,1.75,,24909223.00
2017-08-28,3250.00,3250.00,3155.00,3180.00,,-0.62,,14862659.00
2017-08-30,3180.00,3200.00,3130.00,3150.00,,-0.94,,12815389.00
2017-09-04,1129.00,1217.00,1129.00,1217.00,,9.94,,2113639.00
2017-09-06,1241.00,1338.00,1241.00,1338.00,,9.94,,1402857.00
2017-09-07,1364.00,1471.00,1364.00,1410.00,,5.38,,28106619.00
2017-09-10,1400.00,1407.00,1320.00,1333.00,,-5.46,,6091591.00
2017-09-11,1333.00,1333.00,1280.00,1285.00,,-3.6,,3053433.00
2017-09-12,1279.00,1310.00,1265.00,1294.00,,0.7,,2135008.00
2017-09-13,1315.00,1327.00,1265.00,1305.00,,0.85,,2155833.00
2017-09-14,1304.00,1335.00,1295.00,1335.00,,2.3,,1850217.00
2017-09-17,1309.00,1360.00,1300.00,1320.00,,-1.12,,1776468.00
2017-09-18,1320.00,1350.00,1320.00,1325.00,,0.38,,2274528.00
2017-09-20,1301.00,1325.00,1280.00,1280.00,,-3.4,,1451216.00
2017-09-24,1305.00,1366.00,1305.00,1320.00,,3.12,,1581146.00
2017-09-25,1346.00,1350.00,1340.00,1340.00,,1.52,,255632.00
2017-09-26,1340.00,1364.00,1340.00,1349.00,,0.67,,1298125.00
2017-10-03,1330.00,1332.00,1330.00,1330.00,,-1.41,,227460.00
2017-10-04,1310.00,1313.00,1300.00,1301.00,,-2.18,,700112.00
2017-10-08,1285.00,1285.00,1265.00,1265.00,,-2.77,,703372.00
2017-10-09,1270.00,1270.00,1241.00,1269.00,,0.32,,656366.00
2017-10-10,1279.00,1280.00,1260.00,1260.00,,-0.71,,485979.00
2017-10-11,1270.00,1295.00,1252.00,1240.00,,-0.56,,650795.00
2017-10-12,1253.00,1253.00,1235.00,1240.00,,-1.04,,295526.00
2017-10-15,1264.00,1264.00,1250.00,1255.00,,1.21,,242790.00
2017-10-16,1250.00,1295.00,1250.00,1295.00,,3.19,,748034.00
2017-10-18,1261.00,1332.00,1240.00,1329.00,,3.91,,765703.00
2017-10-22,1335.00,1335.00,1320.00,1325.00,,-0.38,,448883.00
2017-10-23,1325.00,1325.00,1300.00,1300.00,,-1.89,,977621.00
2017-10-24,1300.00,1278.00,1265.00,1278.00,,-1.69,,80121.00
2017-10-25,1256.00,1280.00,1256.00,1279.00,,0.16,,859443.00
2017-10-29,1270.00,1270.00,1231.00,1255.00,,-1.95,,631504.00
2017-10-30,1255.00,1257.00,1239.00,1255.00,,0,,943570.00
2017-10-31,1260.00,1305.00,1250.00,1305.00,,3.98,,232135.00
2017-11-01,1279.00,1300.00,1254.00,1297.00,,-0.46,,854332.00
2017-11-02,1290.00,1290.00,1274.00,1275.00,,-1.85,,668638.00
2017-11-05,1300.00,1345.00,1300.00,1332.00,,4.47,,4935276.00
2017-11-06,1332.00,1351.00,1323.00,1345.00,,0.98,,2787936.00
2017-11-07,1345.00,1355.00,1340.00,1341.00,,-0.3,,1386388.00
