Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2021-05-03,356.00,384.00,356.00,384.00,,7.87,,18500.00
2021-05-04,391.00,422.00,391.00,422.00,,9.9,,700942.00
2021-05-05,430.00,454.00,430.00,454.00,,7.58,,17680.00
2021-05-06,463.00,499.00,463.00,499.00,,9.91,,148800.00
2021-05-09,523.00,548.00,523.00,548.00,,9.82,,437200.00
2021-05-10,575.00,602.00,575.00,602.00,,9.85,,624790.00
2021-05-11,632.00,662.00,632.00,662.00,,9.97,,1578601.00
2021-05-12,695.00,728.00,695.00,728.00,,9.97,,799070.00
2021-05-13,764.00,800.00,764.00,800.00,,9.89,,1623010.00
2021-05-16,840.00,880.00,840.00,880.00,,10,,3663210.00
2021-05-17,924.00,968.00,924.00,968.00,,10,,9504188.00
2021-05-18,1016.00,1064.00,1016.00,1064.00,,9.92,,7719160.00
2021-05-19,1117.00,1170.00,1117.00,1170.00,,9.96,,3906910.00
2021-05-20,1228.00,1287.00,1053.00,1125.00,,-3.85,,50201302.00
2021-05-23,1179.00,1179.00,1030.00,1083.00,,-3.73,,11227161.00
2021-05-24,1083.00,1101.00,1045.00,1062.00,,-1.94,,13580615.00
2021-05-25,1062.00,1091.00,1052.00,1073.00,,1.04,,6276660.00
2021-05-27,1050.00,1085.00,1050.00,1085.00,,1.12,,5198017.00
2021-05-30,1099.00,1100.00,1050.00,1052.00,,-3.04,,5661620.00
2021-05-31,1050.00,1070.00,1011.00,1016.00,,-3.42,,8611004.00
2021-06-01,1000.00,1015.00,1000.00,999.00,,-1.67,,6142170.00
2021-06-02,1031.00,1031.00,968.00,1030.00,,3.1,,2632602.00
2021-06-03,1010.00,1048.00,994.00,1012.00,,-1.75,,1708688.00
2021-06-06,1000.00,1021.00,993.00,996.00,,-1.58,,4008115.00
2021-06-07,975.00,1033.00,975.00,990.00,,-0.6,,3865440.00
2021-06-08,1001.00,1021.00,982.00,988.00,,-0.2,,3173870.00
2021-06-09,985.00,1000.00,985.00,1000.00,,0.6,,1800462.00
2021-06-10,1000.00,1000.00,1000.00,968.00,,-3.2,,12024905.00
2021-06-13,1000.00,1004.00,973.00,970.00,,-0.91,,6726265.00
2021-06-14,980.00,999.00,956.00,974.00,,0.41,,3513580.00
2021-06-15,966.00,966.00,943.00,950.00,,-2.46,,4289895.00
2021-06-16,921.00,963.00,885.00,914.00,,-3.79,,3178810.00
2021-06-17,901.00,954.00,889.00,950.00,,3.94,,4035480.00
2021-06-20,932.00,1000.00,925.00,980.00,,3.16,,7894878.00
2021-06-21,980.00,980.00,937.00,954.00,,-2.65,,3271460.00
2021-06-22,955.00,991.00,936.00,951.00,,-0.31,,3761428.00
2021-06-23,951.00,960.00,933.00,936.00,,-1.58,,1050395.00
2021-06-24,920.00,965.00,920.00,960.00,,2.56,,2245770.00
2021-06-27,1008.00,1008.00,931.00,964.00,,0.42,,3331020.00
2021-06-28,964.00,970.00,933.00,950.00,,-1.45,,674120.00
2021-06-29,940.00,940.00,915.00,925.00,,-2.63,,1232050.00
2021-06-30,921.00,943.00,907.00,927.00,,0.22,,1488445.00
2021-07-01,909.00,940.00,891.00,936.00,,0.97,,4122720.00
2021-07-04,918.00,920.00,901.00,913.00,,-2.46,,1489984.00
2021-07-05,898.00,910.00,895.00,905.00,,-0.88,,1773093.00
2021-07-06,905.00,945.00,892.00,910.00,,0.55,,1227810.00
2021-07-07,893.00,907.00,893.00,907.00,,-0.33,,540534.00
2021-07-08,907.00,925.00,896.00,902.00,,-0.55,,2432264.00
2021-07-11,901.00,930.00,900.00,909.00,,0.78,,1933450.00
2021-07-12,915.00,920.00,902.00,903.00,,-0.66,,2421280.00
2021-07-13,903.00,910.00,900.00,910.00,,0.78,,697689.00
2021-07-14,900.00,928.00,900.00,915.00,,0.55,,1187820.00
2021-07-15,905.00,930.00,900.00,906.00,,-0.98,,3620310.00
2021-07-18,924.10,940.00,900.00,939.00,,3.64,,2634206.90
2021-07-19,930.00,930.00,912.00,920.00,,-2.02,,1032987.80
2021-07-20,903.00,937.00,903.00,930.00,,1.09,,982347.00
2021-07-22,945.00,1000.00,941.00,967.00,,3.98,,15839914.40
2021-07-25,986.00,986.00,947.00,967.00,,0,,5553734.00
2021-07-26,955.00,970.00,950.00,950.10,,-1.75,,2753453.50
2021-07-27,940.00,1010.00,940.00,976.10,,2.74,,5713956.00
2021-07-28,995.00,1025.00,975.00,1002.00,,2.65,,6945198.50
2021-07-29,983.00,999.60,965.00,999.00,,-0.3,,4280664.50
2021-08-01,999.00,1005.00,961.00,989.00,,-1,,5841042.00
2021-08-02,1005.00,1005.00,975.00,980.00,,-0.91,,2300174.00
2021-08-03,999.60,1078.00,997.00,1078.00,,10,,18529633.50
2021-08-04,1099.50,1185.80,1099.50,1152.60,,5.75,,17045879.80
2021-08-05,1152.00,1162.80,1085.10,1100.00,,-4.56,,13612815.00
2021-08-08,1079.00,1120.00,1060.00,1100.00,,0,,7418847.50
2021-08-09,1079.50,1125.00,1079.50,1110.00,,0.91,,5989406.00
2021-08-10,1115.00,1143.90,1085.00,1100.00,,-0.9,,9008713.00
2021-08-11,1080.00,1210.00,1080.00,1210.00,,10,,23082752.00
2021-08-12,1234.20,1331.00,1234.00,1331.00,,10,,19553411.50
2021-08-15,1355.00,1400.00,1242.00,1398.00,,5.03,,30842591.90
2021-08-16,1399.00,1537.80,1316.50,1530.00,,9.44,,22489207.80
2021-08-17,1560.60,1683.00,1560.60,1683.00,,10,,19887009.30
2021-08-18,1683.00,1770.00,1536.70,1770.00,,5.17,,33103941.10
