Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-09-07,127.00,139.00,129.00,139.00,,9.45,,8040.00
2014-09-09,139.00,151.00,145.00,151.00,,8.63,,5920.00
2014-09-10,151.00,166.00,154.00,166.00,,9.93,,8000.00
2014-09-11,166.00,182.00,169.00,182.00,,9.64,,10570.00
2014-09-14,182.00,200.00,191.00,200.00,,9.89,,7820.00
2014-09-15,200.00,220.00,210.00,220.00,,10,,34700.00
2014-09-30,220.00,235.00,231.00,235.00,,6.82,,60300.00
2014-10-08,235.00,251.00,239.00,251.00,,6.81,,112460.00
2014-10-09,251.00,266.00,256.00,266.00,,5.98,,111430.00
2014-10-12,266.00,291.00,271.00,291.00,,9.4,,36330.00
2014-10-13,291.00,320.00,296.00,320.00,,9.97,,6718660.00
2014-10-14,320.00,328.00,301.00,320.00,,0,,2162410.00
2014-10-15,320.00,325.00,314.00,320.00,,0,,1513090.00
2014-10-16,320.00,326.00,315.00,321.00,,0.31,,1501325.00
2014-10-19,321.00,327.00,321.00,322.00,,0.31,,243659.00
2014-10-20,322.00,320.00,311.00,314.00,,-2.48,,496832.00
2014-10-21,314.00,320.00,315.00,315.00,,0.32,,180800.00
2014-10-22,315.00,327.00,321.00,325.00,,3.17,,504755.00
2014-10-26,325.00,324.00,318.00,318.00,,-2.15,,404830.00
2014-10-27,318.00,320.00,312.00,318.00,,0,,532906.00
2014-10-28,318.00,325.00,315.00,319.00,,0.31,,794790.00
2014-10-30,319.00,321.00,314.00,321.00,,0.63,,305947.00
2014-11-02,321.00,315.00,309.00,309.00,,-3.74,,46950.00
2014-11-03,309.00,308.00,304.00,308.00,,-0.32,,303260.00
2014-11-04,308.00,302.00,302.00,302.00,,-1.95,,27784.00
2014-11-05,302.00,306.00,294.00,301.00,,-0.33,,1904780.00
2014-11-06,301.00,313.00,303.00,313.00,,3.99,,98207.00
2014-11-09,313.00,311.00,307.00,311.00,,-0.64,,249360.00
2014-11-10,311.00,311.00,305.00,306.00,,-1.61,,239633.00
2014-11-11,306.00,304.00,294.00,298.00,,-2.61,,628714.00
2014-11-12,298.00,305.00,300.00,305.00,,2.35,,1407860.00
2014-11-13,305.00,299.00,294.00,294.00,,-3.61,,50330.00
2014-11-16,294.00,291.00,286.00,290.00,,-1.36,,261790.00
2014-11-17,290.00,290.00,285.00,290.00,,0,,281670.00
2014-11-18,290.00,285.00,275.00,275.00,,-5.17,,188735.00
2014-11-19,275.00,282.00,280.00,282.00,,2.55,,61820.00
2014-11-20,282.00,277.00,277.00,277.00,,-1.77,,138500.00
2014-11-24,285.00,285.00,280.00,280.00,,-1.75,,1975880.00
2014-11-24,277.00,285.00,280.00,285.00,,2.89,,1975880.00
2014-11-30,280.00,288.00,275.00,288.00,,2.86,,688505.00
2014-12-01,288.00,290.00,285.00,286.00,,-0.69,,643520.00
2014-12-02,286.00,284.00,283.00,283.00,,-1.05,,177531.00
2014-12-03,283.00,285.00,280.00,283.00,,0,,755430.00
2014-12-04,283.00,290.00,282.00,282.00,,-0.35,,500082.00
2014-12-07,282.00,284.00,277.00,283.00,,0.35,,511981.00
2014-12-09,283.00,278.00,278.00,278.00,,-1.77,,122320.00
2014-12-11,278.00,283.00,283.00,283.00,,1.8,,56600.00
2014-12-14,283.00,303.00,288.00,303.00,,7.07,,206928.00
2014-12-15,303.00,297.00,297.00,297.00,,-1.98,,131571.00
2014-12-16,297.00,292.00,292.00,292.00,,-1.68,,35040.00
2014-12-17,292.00,295.00,290.00,295.00,,1.03,,637470.00
2014-12-18,295.00,290.00,290.00,290.00,,-1.69,,49300.00
2014-12-21,290.00,285.00,285.00,285.00,,-1.72,,48450.00
2014-12-22,285.00,285.00,285.00,285.00,,0,,1439250.00
2014-12-23,285.00,285.00,280.00,285.00,,0,,301625.00
2014-12-24,285.00,290.00,290.00,290.00,,1.75,,49300.00
2014-12-28,290.00,306.00,295.00,300.00,,3.45,,1365041.00
2014-12-29,300.00,299.00,295.00,298.00,,-0.67,,77240.00
2014-12-31,298.00,295.00,293.00,295.00,,-1.01,,208230.00
2015-01-01,295.00,299.00,294.00,294.00,,-0.34,,94380.00
2015-01-04,294.00,300.00,294.00,296.00,,0.68,,304430.00
2015-01-05,296.00,300.00,296.00,300.00,,1.35,,693150.00
2015-01-06,300.00,300.00,295.00,295.00,,-1.67,,204480.00
2015-01-07,295.00,307.00,300.00,307.00,,4.07,,483470.00
2015-01-08,307.00,310.00,300.00,300.00,,-2.28,,776412.00
2015-01-12,300.00,317.00,297.00,317.00,,5.67,,6100448.00
2015-01-13,317.00,342.00,317.00,340.00,,7.26,,3282678.00
2015-01-14,340.00,352.00,340.00,350.00,,2.94,,7924917.00
2015-01-18,350.00,358.00,345.00,349.00,,-0.29,,4916376.00
2015-01-19,349.00,366.00,349.00,354.00,,1.43,,4437240.00
2015-01-20,354.00,367.00,346.00,361.00,,1.98,,4077686.00
2015-01-22,361.00,372.00,354.00,365.00,,1.11,,3029788.00
2015-01-25,365.00,371.00,359.00,371.00,,1.64,,2577980.00
2015-01-26,371.00,376.00,365.00,365.00,,-1.62,,2584935.00
2015-01-27,365.00,373.00,365.00,372.00,,1.92,,2190620.00
2015-01-28,372.00,377.00,372.00,377.00,,1.34,,2685502.00
2015-01-29,377.00,388.00,378.00,384.00,,1.86,,3400361.00
2015-02-01,384.00,391.00,384.00,385.00,,0.26,,1256768.00
2015-02-02,385.00,391.00,386.00,390.00,,1.3,,1443480.00
2015-02-03,390.00,393.00,390.00,391.00,,0.26,,733631.00
2015-02-04,391.00,400.00,391.00,391.00,,0,,3317390.00
2015-02-05,391.00,397.00,380.00,391.00,,0,,1363220.00
2015-02-08,391.00,397.00,383.00,385.00,,-1.53,,1270160.00
2015-02-09,385.00,391.00,383.00,391.00,,1.56,,1631458.00
2015-02-10,391.00,395.00,385.00,395.00,,1.02,,940160.00
2015-02-11,395.00,400.00,392.00,397.00,,0.51,,1632870.00
2015-02-12,397.00,402.00,386.00,395.00,,-0.5,,1915032.00
2015-02-15,395.00,401.00,391.00,401.00,,1.52,,3096742.00
2015-02-16,401.00,411.00,403.00,403.00,,0.5,,1427778.00
2015-02-18,403.00,421.00,405.00,405.00,,0.5,,3384063.00
2015-02-22,405.00,413.00,400.00,400.00,,-1.23,,1131160.00
2015-02-23,400.00,400.00,393.00,396.00,,-1,,735400.00
2015-02-24,396.00,398.00,391.00,398.00,,0.51,,252550.00
2015-02-26,398.00,406.00,392.00,406.00,,2.01,,2472625.00
2015-03-01,397.00,410.00,383.00,410.00,,3.27,,1132880.00
2015-03-02,410.00,410.00,400.00,404.00,,-1.46,,463250.00
2015-03-03,404.00,404.00,402.00,402.00,,-0.49,,170920.00
2015-03-04,402.00,402.00,400.00,402.00,,0,,180780.00
2015-03-09,402.00,409.00,400.00,403.00,,0.25,,1483449.00
2015-03-10,403.00,418.00,410.00,415.00,,2.98,,466576.00
2015-03-11,415.00,419.00,410.00,410.00,,-1.2,,1297202.00
2015-03-12,410.00,415.00,410.00,410.00,,0,,335862.00
2015-03-15,410.00,410.00,400.00,400.00,,-2.44,,552400.00
2015-03-16,400.00,402.00,395.00,396.00,,-1,,490870.00
2015-03-17,396.00,411.00,395.00,400.00,,1.01,,898190.00
2015-03-18,400.00,408.00,394.00,394.00,,-1.5,,518988.00
2015-03-19,394.00,405.00,394.00,398.00,,1.02,,970248.00
2015-03-22,398.00,407.00,402.00,405.00,,1.76,,5079189.00
2015-03-23,405.00,418.00,405.00,407.00,,0.49,,1099097.00
2015-03-24,407.00,404.00,401.00,403.00,,-0.98,,1237968.00
2015-03-25,403.00,409.00,404.00,406.00,,0.74,,664770.00
2015-03-26,406.00,408.00,400.00,404.00,,-0.49,,2077040.00
2015-03-31,351.00,344.00,340.00,340.00,,-3.13,,75240.00
2015-04-01,340.00,334.00,320.00,320.00,,-5.88,,220392.00
2015-04-02,320.00,330.00,326.00,326.00,,1.88,,949156.00
2015-04-16,326.00,322.00,322.00,322.00,,-1.23,,62146.00
2015-04-19,322.00,318.00,318.00,318.00,,-1.24,,311640.00
2015-04-20,318.00,312.00,312.00,312.00,,-1.89,,286728.00
2015-04-21,312.00,319.00,313.00,319.00,,2.24,,370587.00
2015-04-23,325.00,330.00,325.00,330.00,,1.54,,260150.00
2015-05-28,330.00,324.00,297.00,297.00,,-10,,456840.00
2015-05-31,297.00,299.00,292.00,299.00,,0.67,,878495.00
2015-06-02,300.00,311.00,304.00,310.00,,3.33,,318940.00
2015-06-03,310.00,316.00,315.00,316.00,,1.94,,126200.00
2015-06-07,332.00,330.00,328.00,328.00,,-1.2,,88760.00
2015-06-07,316.00,332.00,320.00,332.00,,5.06,,88760.00
2015-06-08,328.00,336.00,328.00,333.00,,1.52,,808081.00
2015-06-09,333.00,351.00,339.00,340.00,,2.1,,606650.00
2015-06-10,340.00,346.00,345.00,345.00,,1.47,,288630.00
2015-06-11,345.00,342.00,339.00,342.00,,-0.87,,64850.00
2015-06-14,342.00,336.00,330.00,330.00,,-3.51,,115770.00
2015-06-15,330.00,324.00,323.00,323.00,,-2.12,,398925.00
2015-06-16,323.00,330.00,320.00,320.00,,-0.93,,379100.00
2015-06-17,320.00,314.00,310.00,310.00,,-3.12,,747400.00
2015-06-18,310.00,311.00,311.00,311.00,,0.32,,15550.00
2015-06-22,311.00,311.00,311.00,311.00,,0,,34210.00
2015-06-28,317.00,323.00,317.00,318.00,,2.25,,738970.00
2015-06-29,322.00,322.00,322.00,322.00,,1.26,,112056.00
