Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2025-11-09,319.50,351.40,319.50,351.40,,9.98,,33553.00
2025-11-10,345.80,386.50,345.80,386.50,,9.99,,33401.00
2025-11-11,386.50,425.10,386.50,425.10,,9.99,,83874.00
2025-11-12,430.10,467.60,430.10,467.60,,10,,97195.00
2025-11-13,476.90,514.30,476.90,514.30,,9.99,,137943.00
2025-11-16,524.50,565.70,524.50,565.70,,9.99,,320610.00
2025-11-17,577.00,622.20,577.00,622.20,,9.99,,440201.00
2025-11-18,634.60,684.40,634.60,684.40,,10,,306756.00
2025-11-19,684.00,752.80,684.00,752.80,,9.99,,359294.00
2025-11-20,767.80,828.00,767.80,828.00,,9.99,,785122.00
2025-11-23,828.00,910.80,828.00,910.80,,10,,1154259.00
2025-11-24,929.00,1001.80,929.00,1001.80,,9.99,,1601094.00
2025-11-25,1000.90,1101.90,1000.90,1101.90,,9.99,,2178752.00
2025-11-26,1101.90,1212.00,1101.90,1212.00,,9.99,,2189357.00
2025-11-27,1236.20,1333.20,1236.20,1333.20,,10,,3816146.00
2025-11-30,1359.80,1466.50,1359.80,1466.50,,10,,3793482.00
2025-12-01,1495.80,1613.10,1495.80,1613.10,,10,,5288094.00
2025-12-02,1645.30,1774.40,1645.30,1774.40,,10,,5337779.00
2025-12-03,1800.00,1951.80,1800.00,1951.80,,10,,8621519.00
2025-12-07,1990.80,2146.90,1790.10,1817.10,,-6.9,,436955089.90
2025-12-08,1800.00,1892.00,1733.00,1830.00,,0.71,,239760971.00
2025-12-09,1830.00,1836.00,1794.10,1801.00,,-1.58,,58915567.00
2025-12-10,1801.00,1810.40,1752.00,1754.10,,-2.6,,106903538.50
2025-12-11,1741.00,1805.00,1735.00,1796.00,,2.39,,96570613.50
2025-12-14,1796.00,1808.00,1756.10,1765.00,,-1.73,,69845436.00
2025-12-15,1756.00,1805.00,1751.00,1772.00,,0.4,,63588966.80
2025-12-16,1772.00,1785.00,1766.50,1770.00,,-0.11,,37946262.00
2025-12-17,1805.40,1805.40,1740.20,1773.00,,0.17,,38320564.10
2025-12-18,1740.00,1777.00,1740.00,1740.30,,-1.84,,65620505.20
2025-12-21,1720.30,1740.00,1670.00,1680.20,,-3.45,,82956336.70
2025-12-22,1666.00,1679.90,1652.10,1676.10,,-0.24,,56490001.10
2025-12-23,1654.00,1754.80,1653.40,1720.00,,2.62,,85345522.00
2025-12-24,1690.00,1744.20,1685.00,1690.10,,-1.74,,29555653.70
2025-12-28,1690.00,1710.00,1670.00,1687.00,,-0.18,,48606775.10
2025-12-29,1697.00,1700.00,1672.00,1678.90,,-0.48,,50348098.20
2025-12-31,1680.00,1725.00,1676.60,1678.00,,-0.05,,54196375.40
2026-01-01,1650.50,1725.00,1650.50,1699.90,,1.31,,104468595.20
2026-01-04,1666.00,1849.00,1666.00,1833.00,,7.83,,189252275.80
2026-01-05,1833.00,2016.30,1833.00,2016.30,,10,,156892528.10
2026-01-06,2020.00,2060.00,1931.70,1932.00,,-4.18,,184563766.20
2026-01-07,1932.00,2009.00,1915.00,1969.00,,1.92,,156867977.30
2026-01-08,1955.00,2038.80,1955.00,1980.00,,0.56,,150347504.90
2026-01-12,1980.00,2047.00,1980.00,2001.00,,1.06,,186314527.60
2026-01-13,2010.00,2020.00,1960.00,1966.00,,-1.75,,150017921.50
2026-01-14,1960.00,2019.60,1960.00,2005.00,,1.98,,109379702.20
2026-01-18,2039.00,2205.50,2020.00,2205.50,,10,,246989458.40
2026-01-20,2249.60,2320.00,2191.50,2235.00,,1.34,,127408151.60
2026-01-21,2245.00,2268.90,2171.00,2190.00,,-2.01,,101113463.00
2026-01-22,2180.00,2299.90,2168.20,2298.00,,4.93,,138897515.30
2026-01-25,2343.90,2439.00,2280.00,2360.00,,2.7,,182604351.50
2026-01-26,2349.90,2395.00,2286.00,2354.00,,-0.25,,180652816.90
2026-01-27,2360.00,2400.00,2240.00,2300.00,,-2.29,,181330696.90
2026-01-28,2300.00,2376.00,2230.00,2265.00,,-1.52,,147495968.70
2026-01-29,2299.00,2299.00,2103.00,2130.00,,-5.96,,82062707.20
2026-02-01,2172.60,2172.60,2070.00,2085.00,,-2.11,,78369333.10
2026-02-02,2085.00,2293.00,2077.00,2203.00,,5.66,,107809518.90
