Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2025-11-24,301.70,331.80,301.70,331.80,,9.98,,81755.00
2025-11-25,328.70,364.90,328.70,364.90,,9.98,,108304.00
2025-11-26,362.90,401.30,362.90,401.30,,9.98,,103147.00
2025-11-27,409.30,441.40,409.30,441.40,,9.99,,215496.00
2025-11-30,443.60,485.50,443.60,485.50,,9.99,,313961.00
2025-12-01,490.00,534.00,490.00,534.00,,9.99,,420214.00
2025-12-02,534.00,587.40,534.00,587.40,,10,,473139.00
2025-12-03,599.10,646.10,599.10,646.10,,9.99,,599718.00
2025-12-07,655.90,710.70,655.90,710.70,,10,,1796665.00
2025-12-08,724.90,781.70,724.90,781.70,,9.99,,4726185.00
2025-12-09,769.20,859.80,769.20,859.80,,9.99,,32058270.00
2025-12-10,876.90,930.00,814.90,830.20,,-3.44,,263942843.50
2025-12-11,820.00,890.00,800.10,879.90,,5.99,,123512074.50
2025-12-14,862.40,867.00,830.00,839.00,,-4.65,,77074289.00
2025-12-15,839.00,844.00,825.10,834.10,,-0.58,,64237329.60
2025-12-16,825.10,840.00,825.10,833.90,,-0.02,,43736147.90
2025-12-17,827.10,844.00,825.00,825.60,,-1,,40435997.60
2025-12-18,825.60,835.00,811.00,814.00,,-1.41,,57642742.80
2025-12-21,829.90,829.90,800.00,800.00,,-1.72,,52279278.00
2025-12-22,816.00,816.00,780.10,782.00,,-2.25,,44910383.60
2025-12-23,780.00,805.00,767.00,784.60,,0.33,,44842198.60
2025-12-24,785.00,802.00,771.00,773.60,,-1.4,,31515167.90
2025-12-28,760.00,794.80,760.00,778.90,,0.69,,37851431.50
2025-12-29,763.40,827.40,763.40,818.00,,5.02,,84409979.70
2025-12-31,834.30,870.00,810.00,851.20,,4.06,,135846288.20
2026-01-01,851.20,882.00,840.00,854.00,,0.33,,112327193.60
2026-01-04,837.00,939.40,837.00,939.40,,10,,228805289.90
2026-01-05,958.10,1033.30,941.10,1033.30,,10,,161433910.50
2026-01-06,1050.00,1119.90,976.10,980.00,,-5.16,,176564369.70
2026-01-07,960.40,1027.10,952.80,970.10,,-1.01,,235565668.90
2026-01-08,970.10,1019.00,952.00,1013.00,,4.42,,133165515.10
2026-01-12,1000.00,1114.30,1000.00,1114.30,,10,,255217158.80
2026-01-13,1120.00,1182.00,1079.00,1125.00,,0.96,,265722384.30
2026-01-14,1102.50,1142.19,1095.30,1100.00,,-2.22,,116933771.60
2026-01-18,1078.00,1210.00,1078.00,1210.00,,10,,284573620.20
2026-01-20,1230.00,1331.00,1216.00,1282.20,,5.97,,207103094.70
2026-01-21,1307.80,1307.80,1250.00,1271.00,,-0.87,,154339471.70
2026-01-22,1271.00,1398.10,1251.00,1398.10,,10,,249750826.60
2026-01-25,1426.00,1537.90,1416.00,1537.90,,10,,235254478.90
2026-01-26,1568.60,1690.00,1476.90,1555.00,,1.11,,365785732.50
2026-01-27,1523.90,1688.00,1400.00,1515.00,,-2.57,,341656392.60
2026-01-28,1515.00,1579.80,1441.00,1515.00,,0,,260107271.50
2026-01-29,1484.70,1535.00,1365.00,1390.00,,-8.25,,181391335.40
2026-02-01,1380.00,1484.00,1310.00,1344.00,,-3.31,,179887725.50
2026-02-02,1370.80,1478.40,1344.10,1478.40,,10,,161834959.10
2026-02-03,1507.90,1598.00,1496.00,1522.00,,2.95,,224477340.30
2026-02-04,1522.00,1575.00,1452.00,1480.00,,-2.76,,251885836.20
2026-02-05,1508.00,1530.00,1450.00,1499.40,,1.31,,178391057.40
2026-02-08,1501.00,1511.00,1403.00,1450.00,,-3.29,,160248892.50
2026-02-09,1450.00,1455.00,1350.00,1399.90,,-3.46,,144026216.40
2026-02-10,1372.00,1426.00,1347.00,1373.00,,-1.92,,96658149.90
2026-02-11,1350.00,1425.00,1264.20,1320.00,,-3.86,,123604372.90
2026-02-12,1346.40,1403.00,1282.00,1403.00,,6.29,,191238113.90
2026-02-16,1376.60,1463.00,1350.00,1450.00,,3.35,,207896005.40
2026-02-17,1450.00,1451.00,1363.00,1375.00,,-5.17,,108911795.20
2026-02-22,1375.00,1450.00,1315.00,1335.00,,-2.91,,91372229.00
2026-02-23,1350.00,1355.00,1280.00,1315.80,,-1.44,,96718232.00
2026-02-24,1300.00,1376.00,1290.00,1365.00,,3.74,,92065530.20
2026-02-25,1365.00,1428.00,1348.00,1368.80,,0.28,,68238000.70
2026-02-26,1341.50,1395.00,1315.00,1320.00,,-3.57,,59211792.50
2026-03-01,1293.60,1345.00,1293.60,1306.00,,-1.06,,80012480.30
2026-03-03,1303.00,1384.00,1303.00,1335.00,,0.45,,93036846.30
2026-03-09,1361.70,1468.00,1361.70,1466.00,,9.81,,15242797.00
2026-03-10,1470.00,1470.00,1375.00,1400.00,,-4.5,,166248118.40
2026-03-11,1400.00,1424.00,1350.00,1368.00,,-2.29,,96892398.10
2026-03-12,1355.00,1387.00,1330.00,1360.00,,-0.58,,119603092.80
2026-03-15,1360.00,1380.00,1317.20,1336.00,,-1.76,,64622658.30
2026-03-16,1309.30,1388.00,1309.30,1340.00,,0.3,,108258105.10
2026-03-17,1360.00,1360.00,1313.20,1329.00,,-0.82,,63881414.10
2026-03-19,1329.00,1421.00,1311.00,1350.00,,1.58,,135944644.00
2026-03-22,1330.00,1377.00,1310.00,1310.00,,-2.96,,135944644.00
2026-03-23,1300.00,1346.00,1300.00,1315.00,,0.38,,97057640.80
2026-03-24,1315.00,1334.00,1305.00,1333.00,,1.37,,107101159.10
2026-03-25,1333.00,1376.50,1318.00,1360.00,,2.03,,126969570.60
2026-03-26,1370.00,1415.00,1345.00,1392.00,,2.35,,199524321.70
2026-03-29,1392.00,1394.00,1319.10,1321.00,,-5.1,,72561093.50
2026-03-30,1347.40,1347.40,1285.20,1300.00,,-1.59,,101865002.50
2026-03-31,1300.00,1352.50,1270.00,1300.00,,0,,67518598.80
2026-04-01,1300.00,1318.00,1215.20,1218.00,,-6.31,,55407498.30
2026-04-02,1193.70,1300.00,1193.70,1300.00,,6.73,,82656744.40
2026-04-05,1274.00,1274.00,1170.00,1178.80,,-9.32,,55836317.20
2026-04-06,1178.80,1226.00,1156.00,1198.00,,1.63,,103012287.40
2026-04-07,1221.90,1246.00,1170.00,1185.00,,-1.09,,29121080.20
2026-04-08,1185.00,1303.50,1167.00,1303.50,,10,,200245033.70
2026-04-09,1329.50,1400.00,1310.10,1348.90,,3.48,,143910345.60
2026-04-10,1322.00,1395.00,1314.00,1320.00,,-2.14,,192319666.20
2026-04-13,1310.00,1310.00,1285.00,1296.00,,-1.82,,125973389.00
2026-04-15,1321.90,1348.30,1292.00,1309.00,,1,,81070334.00
2026-04-16,1286.00,1324.10,1249.60,1275.00,,-2.6,,60997384.30
2026-04-17,1265.00,1276.10,1237.00,1259.00,,-1.25,,37260090.90
2026-04-20,1250.00,1275.00,1220.00,1231.00,,-2.22,,47658536.40
2026-04-21,1231.00,1258.00,1210.00,1224.90,,-0.5,,44155149.90
2026-04-22,1204.00,1220.00,1180.00,1205.00,,-1.62,,55699052.40
2026-04-23,1200.20,1215.00,1155.80,1161.00,,-3.65,,64480093.40
2026-04-24,1161.00,1246.00,1131.00,1218.00,,4.91,,59766665.50
2026-04-27,1278.90,1278.90,1170.00,1190.00,,-2.3,,53658592.80
2026-04-28,1190.00,1208.00,1147.00,1155.00,,-2.94,,39404311.20
2026-04-29,1155.00,1212.70,1120.00,1122.00,,-2.86,,39931823.10
2026-04-30,1100.00,1290.30,1080.00,1263.00,,12.57,,97202549.10
2026-05-04,1230.00,1404.00,1165.00,1166.00,,-7.68,,86074877.60
2026-05-05,1165.90,1175.00,1120.00,1160.00,,-0.51,,23379048.20
2026-05-06,1218.00,1218.00,1112.20,1119.00,,-3.53,,27483000.70
2026-05-07,1113.20,1136.00,1106.00,1118.00,,-0.09,,25765096.50
2026-05-08,1105.10,1159.00,1105.10,1145.00,,2.42,,36924578.40
2026-05-11,1150.00,1192.00,1137.00,1163.00,,1.57,,48233646.90
2026-05-12,1184.00,1190.00,1121.00,1133.90,,-2.5,,50826875.90
2026-05-13,1111.10,1162.00,1111.10,1157.20,,2.05,,41755322.50
2026-05-14,1160.00,1183.00,1137.00,1155.00,,-0.19,,34288117.90
2026-05-15,1142.00,1175.00,1135.20,1140.00,,-1.3,,20336509.80
2026-05-18,1174.00,1282.00,1122.00,1159.90,,1.75,,21481683.50
2026-05-19,1102.00,1166.00,1102.00,1128.00,,-2.75,,21560482.00
2026-05-20,1125.00,1155.00,1125.00,1147.00,,1.68,,24538186.10
2026-05-21,1156.00,1157.00,1119.40,1122.30,,-2.15,,19935977.40
2026-05-22,1122.30,1155.80,1120.10,1148.00,,2.29,,30947361.80
2026-05-25,1148.00,1173.00,1145.00,1150.00,,0.17,,39235051.90
2026-05-26,1150.00,1158.00,1130.10,1140.00,,-0.87,,26270786.00
2026-05-27,1083.00,1148.00,1083.00,1139.00,,-0.09,,26315873.50
2026-06-01,1183.00,1183.00,1110.00,1117.00,,-1.93,,29684995.50
2026-06-02,1117.00,1122.00,1100.00,1116.90,,-0.01,,29131411.70
2026-06-03,1135.00,1135.00,1105.50,1108.90,,-0.72,,18306638.00
2026-06-04,1108.00,1115.00,1070.00,1088.00,,-1.88,,38984519.20
2026-06-05,1088.00,1110.00,1050.00,1057.00,,-2.85,,38760264.80
2026-06-08,1030.00,1075.00,1025.60,1036.90,,-1.9,,28433262.80
2026-06-09,1054.80,1054.80,1012.00,1049.00,,1.17,,22539208.90
2026-06-10,1066.00,1109.00,1041.10,1078.00,,2.76,,43938243.80
2026-06-11,1131.90,1131.90,1051.90,1065.00,,-1.21,,11858960.20
2026-06-12,1118.20,1118.20,1035.00,1040.00,,-2.35,,19273915.80
2026-06-15,1059.00,1090.00,1030.00,1057.00,,1.63,,26286959.60
2026-06-16,1004.20,1085.00,1004.20,1039.00,,-1.7,,11748466.60
2026-06-17,1000.00,1060.00,1000.00,1035.00,,-0.38,,8227233.40
2026-06-18,1075.00,1075.00,1017.10,1023.00,,-1.16,,10555476.30
2026-06-19,1023.10,1039.00,1000.10,1014.60,,-0.82,,20275475.00
2026-06-22,1000.00,1050.00,1000.00,1029.90,,1.51,,21234849.70
2026-06-23,1000.00,1030.00,999.50,1002.00,,-2.71,,19773493.30
2026-06-24,1020.00,1020.00,941.10,971.00,,-3.09,,30647941.40
2026-06-25,1019.50,1019.50,946.00,964.00,,-0.72,,10237417.20
2026-06-26,964.00,982.00,948.00,955.00,,-0.93,,11675943.30
2026-06-29,955.00,960.00,925.00,929.00,,-2.72,,11159192.70
2026-06-30,913.00,935.00,874.00,878.00,,-5.49,,25446907.80
2026-07-01,834.10,919.90,834.10,919.90,,4.77,,21128346.20
2026-07-02,920.00,930.00,891.30,918.90,,-0.11,,8455495.00
2026-07-03,900.00,924.90,900.00,905.30,,-1.48,,12340382.70
2026-07-06,900.00,910.00,881.20,887.00,,-2.02,,8827871.30
2026-07-07,870.00,902.20,870.00,895.90,,1,,14516244.20
2026-07-08,893.50,896.00,860.50,867.00,,-3.23,,13750706.80
2026-07-09,824.00,874.10,824.00,859.00,,-0.92,,18803446.60
2026-07-10,901.90,901.90,846.30,850.00,,-1.05,,7224973.40
2026-07-13,850.00,851.00,822.00,826.00,,-2.82,,15342906.60
2026-07-14,829.00,841.00,800.00,841.00,,1.82,,12846968.80
2026-07-15,833.00,860.00,833.00,851.00,,1.19,,13885805.70
2026-07-16,893.50,893.50,830.00,838.00,,-1.53,,9769155.10
2026-07-17,796.10,963.70,796.10,963.70,,15,,61510149.20
2026-07-20,980.00,1069.20,950.00,1069.20,,10.95,,79747450.70
2026-07-21,1069.00,1074.00,1021.00,1038.90,,-2.83,,62394916.80
2026-07-22,1000.00,1100.00,1000.00,1083.80,,4.32,,93925791.20
2026-07-23,1050.00,1150.50,1050.00,1145.00,,5.65,,108663415.00
