Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-05-15,611.10,611.10,554.00,560.50,,-6.45,,29875551.40
2023-05-16,558.00,564.00,551.40,558.80,,-0.3,,7947486.50
2023-05-17,560.00,584.00,560.00,584.00,,4.51,,11102241.60
2023-05-18,573.00,606.00,573.00,604.90,,3.58,,24486414.30
2023-05-21,610.00,618.00,600.00,613.70,,1.45,,12896200.90
2023-05-22,610.00,629.00,606.00,628.00,,2.33,,7429584.20
2023-05-23,625.00,665.00,625.00,651.00,,3.66,,18366810.70
2023-05-24,661.00,665.00,647.00,660.00,,1.38,,15156811.00
2023-05-28,669.00,669.00,633.00,639.00,,-3.18,,22093619.50
2023-05-30,627.00,632.90,608.00,622.00,,-2.66,,21165690.40
2023-05-31,609.60,640.00,597.80,606.00,,-2.57,,30602687.30
2023-06-01,612.00,628.00,594.10,615.20,,1.52,,10080849.60
2023-06-04,615.20,650.00,615.20,641.00,,4.19,,9030157.60
2023-06-05,645.00,650.00,635.00,635.00,,-0.94,,11491173.40
2023-06-06,625.00,666.00,624.20,665.00,,4.72,,19393478.00
2023-06-07,678.00,678.00,658.00,658.10,,-1.04,,20951845.00
2023-06-08,655.00,696.90,650.00,696.90,,5.9,,33885291.50
2023-06-11,704.00,708.50,694.30,708.50,,1.66,,28819649.90
2023-06-12,718.00,718.00,700.00,704.00,,-0.64,,34027181.60
2023-06-13,690.00,740.00,690.00,728.90,,3.54,,38437238.30
2023-06-14,738.80,745.00,715.00,720.00,,-1.22,,32914087.70
2023-06-15,729.90,745.00,720.00,740.00,,2.78,,19686562.80
2023-06-18,753.90,784.90,740.00,780.00,,5.41,,41352391.30
2023-06-19,795.60,795.60,751.00,760.00,,-2.56,,23586425.50
2023-06-20,753.10,774.00,726.30,731.10,,-3.8,,24324098.10
2023-06-21,731.00,749.90,731.00,733.00,,0.26,,24084132.80
2023-06-22,745.70,759.80,735.00,752.00,,2.59,,20708648.30
2023-06-25,767.00,800.00,764.90,787.90,,4.77,,57130982.00
2023-06-26,800.00,805.00,776.00,776.00,,-1.51,,35150022.70
2023-06-27,770.00,786.00,767.00,771.90,,-0.53,,22836929.00
2023-06-28,757.20,785.00,747.00,765.00,,-0.89,,27312072.30
2023-07-02,770.00,790.00,755.00,774.90,,1.29,,33694639.20
2023-07-03,772.00,776.00,752.00,758.00,,-2.18,,51962916.20
2023-07-04,760.30,770.00,746.10,752.00,,-0.79,,27935125.30
2023-07-05,739.00,750.00,739.00,739.50,,-1.66,,25860157.50
2023-07-06,738.00,747.90,726.30,733.20,,-0.85,,22992049.50
2023-07-09,747.80,747.80,730.00,732.10,,-0.15,,38078831.50
2023-07-10,745.00,752.00,733.50,736.00,,0.53,,26051130.20
2023-07-11,727.00,750.00,727.00,746.90,,1.48,,24092709.90
2023-07-12,750.00,765.00,743.00,758.00,,1.49,,35968831.80
2023-07-13,751.00,770.00,741.40,750.00,,-1.06,,26400449.90
2023-07-16,750.00,750.00,743.30,748.00,,-0.27,,12497135.50
2023-07-17,760.00,770.00,741.00,765.00,,2.27,,15425563.40
2023-07-18,780.00,790.00,771.00,780.00,,1.96,,32242437.60
2023-07-19,777.00,789.80,767.50,774.00,,-0.77,,22605433.50
2023-07-20,789.00,789.00,766.00,768.10,,-0.76,,11335291.60
2023-07-23,781.00,782.40,766.00,770.10,,0.26,,16262587.50
2023-07-24,766.00,780.00,762.00,770.00,,-0.01,,13927584.90
2023-07-25,760.00,782.00,752.00,760.00,,-1.3,,13253690.90
2023-07-26,759.00,759.70,746.60,749.00,,-1.45,,3731590.40
