Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,620.00,610.00,591.00,600.00,,-3.23,,12908805.00
2014-08-04,625.00,633.00,620.00,625.00,,0,,12908805.00
2014-08-04,625.00,626.00,609.00,620.00,,-0.8,,12908805.00
2014-08-04,630.00,640.00,629.00,640.00,,1.59,,12908805.00
2014-08-04,640.00,641.00,630.00,633.00,,-1.09,,12908805.00
2014-08-05,600.00,620.00,600.00,605.00,,0.83,,7711990.00
2014-08-06,605.00,608.00,595.00,595.00,,-1.65,,6881756.00
2014-08-07,595.00,610.00,579.00,610.00,,2.52,,5346805.00
2014-08-12,610.00,605.00,580.00,591.00,,-3.11,,2401748.00
2014-08-13,591.00,617.00,580.00,617.00,,4.4,,8063997.00
2014-08-14,617.00,615.00,594.00,604.00,,-2.11,,8912567.00
2014-08-18,604.00,612.00,571.00,571.00,,-5.46,,5492736.00
2014-08-19,571.00,605.00,560.00,579.00,,1.4,,6244109.00
2014-08-20,579.00,590.00,566.00,575.00,,-0.69,,7602736.00
2014-08-21,575.00,610.00,564.00,610.00,,6.09,,7860457.00
2014-08-24,610.00,610.00,590.00,590.00,,-3.28,,5553011.00
2014-08-25,590.00,595.00,535.00,571.00,,-3.22,,8187740.00
2014-08-26,571.00,585.00,529.00,534.00,,-6.48,,10915060.00
2014-08-27,534.00,581.00,544.00,580.00,,8.61,,8821268.00
2014-08-28,580.00,601.00,569.00,580.00,,0,,7692238.00
2014-08-31,580.00,591.00,563.00,563.00,,-2.93,,8447461.00
2014-09-01,563.00,573.00,531.00,573.00,,1.78,,5163905.00
2014-09-03,573.00,579.00,559.00,560.00,,-2.27,,6489348.00
2014-09-04,560.00,582.00,551.00,567.00,,1.25,,27233773.00
2014-09-07,567.00,570.00,519.00,527.00,,-7.05,,14666056.00
2014-09-09,527.00,568.00,537.00,565.00,,7.21,,17025864.00
2014-09-10,565.00,587.00,550.00,550.00,,-2.65,,10068089.00
2014-09-11,550.00,556.00,540.00,548.00,,-0.36,,11772618.00
2014-09-14,548.00,563.00,543.00,548.00,,0,,5407606.00
2014-09-15,548.00,565.00,552.00,560.00,,2.19,,6845432.00
2014-09-16,560.00,572.00,560.00,565.00,,0.89,,6427304.00
2014-09-17,565.00,573.00,550.00,560.00,,-0.88,,4451246.00
2014-09-18,560.00,550.00,550.00,550.00,,-1.79,,4791415.00
2014-09-21,556.00,553.00,536.00,550.00,,-1.08,,3627896.00
2014-09-22,550.00,555.00,540.00,545.00,,-0.91,,8437349.00
2014-09-23,545.00,566.00,545.00,565.00,,3.67,,12216895.00
2014-09-24,565.00,577.00,559.00,560.00,,-0.88,,25543829.00
2014-09-28,487.00,479.00,475.00,475.00,,-2.46,,477000.00
2014-09-29,475.00,490.00,477.00,490.00,,3.16,,895949.00
2014-09-30,490.00,499.00,486.00,499.00,,1.84,,1014233.00
2014-10-08,499.00,499.00,481.00,481.00,,-3.61,,811332.00
2014-10-09,481.00,475.00,472.00,475.00,,-1.25,,473500.00
2014-10-12,475.00,480.00,472.00,475.00,,0,,345648.00
2014-10-13,475.00,477.00,472.00,473.00,,-0.42,,905749.00
2014-10-14,473.00,482.00,472.00,480.00,,1.48,,434766.00
2014-10-15,480.00,490.00,471.00,490.00,,2.08,,765667.00
2014-10-16,490.00,508.00,490.00,490.00,,0,,2798304.00
2014-10-19,490.00,490.00,481.00,485.00,,-1.02,,945654.00
2014-10-20,485.00,490.00,481.00,485.00,,0,,571590.00
2014-10-21,485.00,494.00,485.00,494.00,,1.86,,386906.00
2014-10-22,494.00,501.00,495.00,499.00,,1.01,,226163.00
2014-10-26,499.00,505.00,495.00,500.00,,0.2,,1435625.00
2014-10-27,500.00,505.00,495.00,501.00,,0.2,,2013389.00
2014-10-28,501.00,510.00,495.00,503.00,,0.4,,1943970.00
2014-10-30,503.00,520.00,501.00,520.00,,3.38,,4101733.00
2014-11-02,520.00,540.00,510.00,510.00,,-1.92,,1602300.00
2014-11-03,510.00,511.00,498.00,503.00,,-1.37,,3028452.00
2014-11-04,503.00,506.00,484.00,506.00,,0.6,,4782109.00
2014-11-05,506.00,510.00,503.00,503.00,,-0.59,,1978346.00
2014-11-06,503.00,513.00,503.00,513.00,,1.99,,3073238.00
2014-11-10,513.00,503.00,490.00,500.00,,-2.53,,1299692.00
2014-11-11,500.00,505.00,490.00,505.00,,1,,3370196.00
2014-11-12,505.00,502.00,490.00,502.00,,-0.59,,2138124.00
2014-11-13,502.00,500.00,492.00,500.00,,-0.4,,1577478.00
2014-11-16,500.00,492.00,481.00,481.00,,-3.8,,1825966.00
2014-11-17,481.00,480.00,472.00,474.00,,-1.46,,1072904.00
2014-11-18,474.00,484.00,457.00,470.00,,-0.84,,2255889.00
2014-11-19,470.00,485.00,470.00,473.00,,0.64,,4500757.00
2014-11-20,473.00,495.00,481.00,490.00,,3.59,,2071921.00
2014-11-24,482.00,494.00,491.00,494.00,,2.49,,955168.00
2014-11-24,490.00,504.00,481.00,482.00,,-1.63,,955168.00
2014-11-25,494.00,495.00,485.00,495.00,,0.2,,1002957.00
2014-11-30,495.00,495.00,480.00,480.00,,-3.03,,1603284.00
2014-12-01,480.00,489.00,476.00,489.00,,1.88,,2110401.00
2014-12-02,489.00,480.00,470.00,477.00,,-2.45,,2611838.00
2014-12-03,477.00,492.00,479.00,479.00,,0.42,,3111194.00
2014-12-04,479.00,495.00,472.00,490.00,,2.3,,1159369.00
2014-12-07,490.00,497.00,485.00,490.00,,0,,2145007.00
2014-12-08,490.00,493.00,483.00,492.00,,0.41,,1428804.00
2014-12-09,492.00,491.00,485.00,491.00,,-0.2,,2813829.00
