Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2025-07-20,359.00,394.90,359.00,394.90,,10,,136429.00
2025-07-21,388.70,434.30,388.70,434.30,,9.98,,193508.00
2025-07-22,442.90,477.70,442.90,477.70,,9.99,,237994.00
2025-07-23,487.20,525.40,487.20,525.40,,9.99,,372096.00
2025-07-24,535.90,577.90,535.90,577.90,,9.99,,397721.00
2025-07-27,589.40,635.60,589.40,635.60,,9.98,,742517.00
2025-07-28,648.00,699.10,648.00,699.10,,9.99,,1847131.80
2025-07-29,713.00,769.00,713.00,769.00,,10,,2625469.80
2025-07-30,784.30,845.90,784.30,845.90,,10,,3546923.50
2025-07-31,862.80,930.40,845.90,891.50,,5.39,,249481931.40
2025-08-03,900.00,900.00,802.40,802.40,,-9.99,,177676816.90
2025-08-04,787.00,830.00,729.00,778.73,,-2.95,,140552114.60
2025-08-05,770.00,800.00,753.00,760.53,,-2.34,,36465315.20
2025-08-06,775.00,812.00,751.00,794.65,,4.49,,42826017.80
2025-08-07,790.00,800.00,770.00,773.14,,-2.71,,42338593.30
2025-08-11,773.70,773.70,741.90,747.32,,-3.34,,42323797.00
2025-08-12,745.00,748.00,721.00,723.42,,-3.2,,35418004.70
2025-08-13,715.40,729.00,710.20,713.54,,-1.37,,20194429.10
2025-08-14,713.00,719.00,703.00,704.89,,-1.21,,23387648.80
2025-08-17,700.00,705.00,670.20,673.74,,-4.42,,35738071.10
2025-08-18,670.00,690.00,661.00,680.44,,0.99,,17514847.80
2025-08-19,675.00,741.00,675.00,727.93,,6.98,,36009988.50
2025-08-20,730.00,748.90,715.50,722.74,,-0.71,,25713375.40
2025-08-21,720.00,731.50,716.10,729.67,,0.96,,15331724.40
2025-08-24,720.10,722.00,698.80,700.60,,-3.98,,21503655.90
2025-08-25,705.00,710.00,690.10,704.65,,0.58,,11063441.00
2025-08-26,705.00,726.20,696.00,711.06,,0.91,,15626912.00
2025-08-27,725.10,725.10,701.00,711.02,,-0.01,,13214000.50
2025-08-28,710.00,720.00,695.10,696.08,,-2.1,,19218534.20
2025-08-31,700.00,700.00,678.10,680.78,,-2.2,,16091696.40
2025-09-01,670.00,680.00,670.00,674.65,,-0.9,,12578017.80
2025-09-02,669.00,673.00,661.00,663.41,,-1.67,,10610937.00
2025-09-03,670.00,675.00,650.00,650.32,,-1.97,,15848943.00
2025-09-04,645.00,645.00,630.00,634.25,,-2.47,,17922049.40
2025-09-07,637.00,652.00,618.40,619.93,,-2.26,,12631988.30
2025-09-08,620.00,620.00,595.30,599.19,,-3.35,,14156469.20
2025-09-18,590.00,590.00,544.00,544.00,,-9.21,,1205145.00
2025-09-21,545.00,593.00,536.00,588.71,,8.22,,19215782.60
2025-09-23,600.00,627.00,590.00,615.70,,4.58,,12359080.20
2025-09-24,617.00,618.00,605.10,609.90,,-0.94,,7539306.50
2025-09-25,609.00,618.00,600.00,613.00,,0.51,,7355201.40
2025-09-28,613.00,636.90,613.00,636.90,,3.9,,7842562.20
2025-10-07,624.20,624.20,588.00,604.90,,-5.02,,13142930.60
2025-10-08,604.00,607.00,585.20,594.00,,-1.8,,10704204.40
2025-10-09,594.00,642.00,590.00,597.80,,0.64,,10516549.80
2025-10-12,590.00,590.10,575.10,579.00,,-3.14,,9672516.40
2025-10-13,588.90,590.00,570.00,586.00,,1.21,,4126123.40
2025-10-14,588.00,595.00,575.00,580.00,,-1.02,,6182791.60
