Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2019-10-01,141.00,141.00,130.00,130.00,,-9.09,,36100.00
2019-10-02,128.00,132.00,125.00,125.00,,-3.85,,402377.00
2019-10-03,127.00,131.00,127.00,130.00,,4,,179177.00
2019-10-10,128.00,130.00,128.00,130.00,,0,,70176.00
2019-10-14,130.00,130.00,125.00,127.00,,-2.31,,1209901.00
2019-10-15,125.00,126.00,123.00,125.00,,-1.57,,256410.00
2019-10-16,124.00,126.00,123.00,124.00,,-0.8,,106479.00
2019-10-17,123.00,123.00,122.00,123.00,,-0.81,,198831.00
2019-10-20,121.00,122.00,121.00,121.00,,-1.63,,207730.00
2019-10-21,121.00,121.00,119.00,119.00,,-1.65,,593724.00
2019-10-22,119.00,121.00,119.00,121.00,,1.68,,605162.00
2019-10-23,119.00,123.00,119.00,123.00,,1.65,,261874.00
2019-10-24,123.00,123.00,121.00,122.00,,-0.81,,37486.00
2019-10-31,120.00,122.00,116.00,121.00,,-0.82,,143510.00
2019-11-03,121.00,121.00,119.00,121.00,,0,,190408.00
2019-11-05,121.00,121.00,120.00,121.00,,0,,146915.00
2019-11-06,121.00,121.00,120.00,120.00,,-0.83,,16320.00
2019-11-06,121.00,121.00,120.00,121.00,,0,,16320.00
2019-11-07,120.00,123.00,121.00,121.00,,0.83,,356899.00
2019-11-10,121.00,121.00,118.00,119.00,,-1.65,,198817.00
2019-11-11,120.00,122.00,120.00,122.00,,2.52,,64454.00
2019-11-12,121.00,122.00,118.00,119.00,,-2.46,,29740.00
2019-11-13,119.00,122.00,119.00,122.00,,2.52,,145287.00
2019-11-14,122.00,122.00,118.00,121.00,,-0.82,,622546.00
2019-11-17,120.00,120.00,117.00,119.00,,-1.65,,393780.00
2019-11-18,119.00,119.00,117.00,118.00,,-0.84,,544454.00
2019-11-19,118.00,120.00,118.00,120.00,,1.69,,185184.00
2019-11-20,120.00,122.00,119.00,121.00,,0.83,,120922.00
2019-11-21,120.00,123.00,120.00,121.00,,0,,192511.00
2019-11-24,120.00,120.00,119.00,119.00,,-1.65,,419947.00
2019-11-25,119.00,120.00,118.00,120.00,,0.84,,180026.00
2019-11-26,118.00,118.00,118.00,118.00,,-1.67,,130390.00
2019-11-27,116.00,118.00,116.00,118.00,,0,,209467.00
2019-11-28,119.00,119.00,116.00,116.00,,-1.69,,449406.00
2019-12-01,116.00,116.00,116.00,116.00,,0,,13920.00
2019-12-02,116.00,118.00,114.00,114.00,,-1.72,,621904.00
2019-12-03,115.00,118.00,115.00,115.00,,0.88,,249930.00
2019-12-04,116.00,118.00,116.00,118.00,,2.61,,197645.00
2019-12-05,116.00,120.00,116.00,120.00,,1.69,,196168.00
2019-12-08,119.00,119.00,119.00,119.00,,-0.83,,80325.00
2019-12-09,117.00,121.00,117.00,121.00,,1.68,,75552.00
2019-12-18,119.00,121.00,119.00,120.00,,-0.83,,343063.00
2019-12-19,121.00,122.00,119.00,120.00,,0,,1462348.00
2019-12-22,119.00,125.00,119.00,122.00,,1.67,,388459.00
2019-12-23,121.00,129.00,121.00,129.00,,5.74,,363014.00
2019-12-24,127.00,127.00,121.00,123.00,,-4.65,,186433.00
2019-12-25,121.00,125.00,121.00,123.00,,0,,291166.00
2019-12-26,122.00,126.00,122.00,125.00,,1.63,,392389.00
2019-12-29,123.00,125.00,123.00,123.00,,-1.6,,492461.00
2019-12-30,123.00,124.00,122.00,124.00,,0.81,,172728.00
2019-12-31,122.00,125.00,122.00,125.00,,0.81,,69905.00
2020-01-01,127.00,127.00,122.00,127.00,,1.6,,511918.00
2020-01-02,126.00,126.00,122.00,122.00,,-3.94,,270444.00
2020-01-05,124.00,131.00,123.00,131.00,,7.38,,357928.00
2020-01-06,132.00,135.00,127.00,131.00,,0,,488130.00
2020-01-07,129.00,134.00,127.00,134.00,,2.29,,1153846.00
2020-01-08,132.00,135.00,130.00,134.00,,0,,1303093.00
2020-01-09,134.00,138.00,131.00,132.00,,-1.49,,1024760.00
2020-01-12,133.00,141.00,133.00,141.00,,6.82,,1383161.00
2020-01-13,140.00,151.00,140.00,147.00,,4.26,,1537611.00
2020-01-14,145.00,145.00,138.00,138.00,,-6.12,,226570.00
2020-01-15,136.00,141.00,136.00,140.00,,1.45,,231779.00
2020-01-16,142.00,154.00,142.00,153.00,,9.29,,1478500.00
2020-01-19,150.00,168.00,153.00,168.00,,9.8,,2307798.00
2020-01-20,168.00,168.00,154.00,157.00,,-6.55,,3161704.00
2020-01-21,155.00,156.00,151.00,151.00,,-3.82,,657564.00
2020-01-22,148.00,148.00,140.00,147.00,,-2.65,,724189.00
2020-01-23,148.00,150.00,147.00,147.00,,0,,1706220.00
2020-01-26,145.00,146.00,137.00,137.00,,-6.8,,956749.00
2020-01-27,133.00,139.00,133.00,139.00,,2.96,,103792.00
2020-01-28,141.00,142.00,137.00,137.00,,-1.44,,758489.00
2020-01-29,139.00,147.00,139.00,143.00,,4.38,,247795.00
2020-01-30,145.00,147.00,142.00,142.00,,-0.7,,1101382.00
2020-02-02,140.00,147.00,140.00,144.00,,1.41,,589545.00
2020-02-03,145.00,151.00,144.00,150.00,,4.17,,882829.00
2020-02-04,149.00,156.00,149.00,151.00,,0.67,,780431.00
2020-02-05,148.00,151.00,144.00,144.00,,-4.64,,660836.00
2020-02-06,145.00,150.00,142.00,143.00,,-0.69,,673172.00
2020-02-09,142.00,144.00,142.00,143.00,,0,,488887.00
2020-02-10,142.00,145.00,142.00,145.00,,1.4,,131861.00
2020-02-11,147.00,154.00,147.00,153.00,,5.52,,1962005.00
2020-02-12,154.00,154.00,151.00,151.00,,-1.31,,107698.00
2020-02-13,150.00,150.00,147.00,147.00,,-2.65,,501371.00
2020-02-16,146.00,146.00,140.00,144.00,,-1.37,,1187433.00
2020-02-17,144.00,149.00,142.00,147.00,,2.08,,655505.00
2020-02-18,149.00,154.00,143.00,144.00,,-2.04,,2014370.00
2020-02-19,146.00,148.00,146.00,148.00,,2.78,,22695.00
2020-02-20,148.00,153.00,145.00,150.00,,1.35,,558394.00
2020-02-23,153.00,156.00,147.00,153.00,,2,,724274.00
2020-02-24,153.00,161.00,150.00,157.00,,2.61,,2171350.00
2020-02-25,157.00,163.00,157.00,163.00,,3.82,,1526570.00
2020-02-26,161.00,164.00,157.00,164.00,,0.61,,2217011.00
2020-02-27,161.00,163.00,155.00,162.00,,-1.22,,535402.00
2020-03-01,162.00,163.00,160.00,160.00,,-1.23,,19660.00
2020-03-03,160.00,157.00,148.00,151.00,,-5.62,,1327730.00
2020-03-05,142.00,143.00,140.00,140.00,,-2.1,,534200.00
2020-03-05,151.00,148.00,142.00,143.00,,-5.3,,534200.00
2020-03-10,138.00,138.00,128.00,128.00,,-8.57,,150048.00
2020-03-11,129.00,140.00,129.00,138.00,,7.81,,283759.00
2020-03-12,140.00,140.00,132.00,134.00,,-2.9,,1190227.00
2020-03-15,132.00,133.00,129.00,130.00,,-2.99,,586280.00
2020-03-16,128.00,133.00,126.00,129.00,,-0.77,,401017.00
2020-03-17,128.00,128.00,125.00,125.00,,-3.1,,818634.00
2020-03-18,123.00,125.00,117.00,124.00,,-0.8,,1427628.00
2020-03-19,122.00,122.00,114.00,114.00,,-8.06,,5932619.00
2020-05-12,107.00,107.00,105.00,105.00,,-2.78,,147828.00
2020-05-13,104.00,104.00,102.00,102.00,,-2.86,,13280.00
2020-06-30,105.00,107.00,105.00,107.00,,1.9,,119359.00
2020-07-05,106.00,107.00,105.00,107.00,,0,,169066.00
2020-07-06,107.00,114.00,106.00,110.00,,2.8,,173212.00
2020-07-07,112.00,120.00,110.00,120.00,,9.09,,524534.00
2020-07-08,118.00,124.00,118.00,123.00,,2.5,,175117.00
2020-07-09,121.00,125.00,121.00,125.00,,1.63,,478481.00
2020-07-12,123.00,128.00,123.00,126.00,,0.8,,156932.00
2020-07-13,126.00,126.00,122.00,125.00,,-0.79,,155381.00
2020-07-14,127.00,127.00,119.00,121.00,,-3.2,,175488.00
2020-07-15,120.00,122.00,118.00,120.00,,-0.83,,393624.00
2020-07-16,119.00,126.00,118.00,126.00,,5,,304253.00
2020-07-20,128.00,130.00,125.00,126.00,,0,,974986.00
2020-07-21,124.00,130.00,124.00,126.00,,0,,497181.00
2020-07-22,126.00,126.00,120.00,122.00,,-3.17,,870329.00
2020-07-23,120.00,124.00,120.00,122.00,,0,,328162.00
2020-07-27,124.00,127.00,124.00,124.00,,0,,353770.00
2020-07-28,125.00,125.00,123.00,124.00,,0,,227621.00
2020-07-29,123.00,124.00,121.00,122.00,,-1.61,,244444.00
2020-07-30,121.00,124.00,120.00,124.00,,1.64,,264513.00
2020-08-02,122.00,125.00,120.00,123.00,,-0.81,,188880.00
2020-08-03,123.00,124.00,121.00,124.00,,0.81,,369076.00
2020-08-05,122.00,122.00,118.00,120.00,,-3.23,,1269612.00
2020-08-06,120.00,121.00,118.00,121.00,,0.83,,269530.00
2020-08-09,120.00,120.00,118.00,119.00,,-1.65,,467740.00
2020-08-10,119.00,123.00,119.00,121.00,,1.68,,160143.00
2020-08-11,123.00,123.00,119.00,120.00,,-0.83,,349427.00
2020-08-12,118.00,121.00,116.00,118.00,,-1.67,,1075064.00
2020-08-13,120.00,120.00,118.00,118.00,,0,,436462.00
2020-08-16,117.00,119.00,116.00,117.00,,-0.85,,120688.00
2020-08-17,117.00,118.00,117.00,117.00,,0,,211853.00
2020-08-18,116.00,121.00,116.00,120.00,,2.56,,348997.00
2020-08-19,119.00,120.00,119.00,119.00,,-0.83,,209180.00
2020-08-20,118.00,121.00,119.00,120.00,,0.84,,56754.00
2020-08-23,119.00,122.00,118.00,120.00,,0,,347807.00
2020-08-24,122.00,124.00,120.00,121.00,,0.83,,192715.00
2020-08-25,119.00,121.00,117.00,121.00,,0,,72112.00
2020-08-27,119.00,120.00,118.00,119.00,,-0.83,,361407.00
2020-08-31,117.00,122.00,117.00,120.00,,1.69,,382896.00
2020-09-02,118.00,124.00,118.00,121.00,,0.83,,541241.00
2020-09-03,121.00,122.00,120.00,120.00,,-0.83,,596457.00
2020-09-06,126.00,126.00,118.00,121.00,,0.83,,208279.00
2020-09-07,121.00,123.00,118.00,118.00,,-2.48,,921130.00
2020-09-08,118.00,121.00,118.00,119.00,,0.85,,486854.00
2020-09-09,118.00,120.00,118.00,119.00,,0,,507204.00
2020-09-10,119.00,122.00,118.00,119.00,,0,,540473.00
2020-09-13,117.00,120.00,117.00,120.00,,0.84,,128167.00
2020-09-14,120.00,122.00,118.00,120.00,,0,,1081354.00
2020-09-15,121.00,123.00,121.00,121.00,,0.83,,341242.00
2020-09-16,120.00,125.00,120.00,123.00,,1.65,,408330.00
2020-09-17,121.00,135.00,121.00,135.00,,9.76,,1700959.00
2020-09-20,137.00,148.00,137.00,148.00,,9.63,,6387558.00
2020-09-21,146.00,153.00,135.00,150.00,,1.35,,3245286.00
2020-09-22,150.00,150.00,138.00,139.00,,-7.33,,1599675.00
2020-09-23,138.00,146.00,136.00,138.00,,-0.72,,2193922.00
2020-09-24,136.00,147.00,136.00,144.00,,4.35,,1056328.00
2020-09-27,143.00,156.00,143.00,147.00,,2.08,,2409796.00
2020-09-28,149.00,155.00,147.00,149.00,,1.36,,2332421.00
2020-09-29,148.00,151.00,144.00,147.00,,-1.34,,1613964.00
2020-09-30,145.00,150.00,144.00,150.00,,2.04,,1309820.00
2020-10-01,150.00,165.00,149.00,165.00,,10,,10214172.00
2020-10-04,167.00,173.00,162.00,165.00,,0,,7012539.00
2020-10-05,167.00,170.00,157.00,167.00,,1.21,,3859267.00
2020-10-06,167.00,170.00,159.00,163.00,,-2.4,,2746543.00
2020-10-07,162.00,181.00,159.00,174.00,,5.45,,6270532.00
2020-10-08,177.00,180.00,166.00,167.00,,-4.02,,5885646.00
2020-10-11,165.00,170.00,162.00,164.00,,-1.8,,1386842.00
2020-10-12,162.00,178.00,160.00,164.00,,0,,4829676.00
2020-10-13,167.00,172.00,165.00,165.00,,0.61,,3036623.00
2020-10-14,164.00,171.00,160.00,161.00,,-2.42,,1247380.00
2020-10-15,164.00,167.00,159.00,161.00,,0,,1884861.00
2020-10-18,158.00,161.00,158.00,160.00,,-0.62,,336906.00
2020-10-19,160.00,163.00,157.00,163.00,,1.87,,1623468.00
2020-10-20,166.00,166.00,162.00,165.00,,1.23,,1166860.00
2020-10-21,163.00,165.00,162.00,164.00,,-0.61,,237018.00
2020-10-22,162.00,164.00,160.00,160.00,,-2.44,,2494161.00
2020-10-28,163.00,169.00,163.00,165.00,,3.12,,1101038.00
2020-10-29,165.00,168.00,163.00,165.00,,0,,2670014.00
2020-11-01,168.00,170.00,163.00,170.00,,3.03,,3288773.00
2020-11-02,170.00,170.00,164.00,167.00,,-1.76,,1881070.00
2020-11-03,170.00,170.00,164.00,167.00,,0,,999328.00
2020-11-04,164.00,165.00,162.00,164.00,,-1.8,,689106.00
2020-11-05,161.00,165.00,160.00,165.00,,0.61,,1571186.00
2020-11-08,165.00,169.00,164.00,165.00,,0,,1608233.00
2020-11-09,164.00,167.00,163.00,164.00,,-0.61,,795234.00
2020-11-10,161.00,167.00,161.00,167.00,,1.83,,1671231.00
2020-11-11,167.00,167.00,162.00,163.00,,-2.4,,821520.00
2020-11-12,166.00,169.00,162.00,164.00,,0.61,,1385305.00
2020-11-18,164.00,165.00,164.00,164.00,,0,,460948.00
2020-11-19,165.00,166.00,159.00,162.00,,-1.22,,3540897.00
2020-11-22,159.00,162.00,159.00,160.00,,-1.23,,3550172.00
2020-11-23,158.00,165.00,158.00,163.00,,1.87,,1455681.00
2020-11-24,163.00,163.00,158.00,158.00,,-3.07,,1950473.00
2020-11-25,165.00,165.00,159.00,160.00,,1.27,,2278289.00
2020-11-26,162.00,168.00,160.00,160.00,,0.63,,4309911.00
2020-11-29,160.00,176.00,159.00,167.00,,4.37,,5584442.00
2020-11-30,170.00,175.00,167.00,169.00,,1.2,,5399351.00
2020-12-01,172.00,172.00,162.00,162.00,,-4.14,,1994789.00
2020-12-02,163.00,177.00,160.00,162.00,,0,,1282376.00
2020-12-03,162.00,165.00,157.00,157.00,,-3.09,,2018471.00
2020-12-06,157.00,158.00,152.00,152.00,,-3.18,,1555717.00
2020-12-07,155.00,156.00,152.00,155.00,,1.97,,750424.00
2020-12-08,152.00,156.00,151.00,153.00,,-1.29,,1122482.00
2020-12-09,153.00,156.00,149.00,150.00,,-1.96,,574516.00
2020-12-10,150.00,155.00,148.00,149.00,,-0.67,,979973.00
2020-12-13,151.00,151.00,148.00,149.00,,0,,1385580.00
2020-12-14,148.00,156.00,146.00,156.00,,4.7,,3793424.00
2020-12-15,155.00,155.00,150.00,153.00,,-1.92,,770168.00
2020-12-16,150.00,155.00,148.00,155.00,,1.31,,1156744.00
2020-12-17,157.00,161.00,148.00,151.00,,-2.58,,1270867.00
2020-12-20,154.00,154.00,144.00,147.00,,-2.65,,1028538.00
2020-12-21,140.00,146.00,139.00,146.00,,-0.68,,1642964.00
2020-12-22,148.00,150.00,145.00,147.00,,0.68,,1297616.00
2020-12-23,149.00,152.00,144.00,148.00,,0.68,,457460.00
2020-12-24,148.00,148.00,142.00,146.00,,-1.35,,388001.00
2020-12-27,145.00,146.00,143.00,145.00,,-0.68,,597256.00
2020-12-28,144.00,147.00,142.00,145.00,,0,,887944.00
2020-12-29,145.00,145.00,140.00,144.00,,-0.69,,745020.00
2020-12-30,142.00,144.00,140.00,144.00,,0,,326325.00
2020-12-31,143.00,154.00,142.00,145.00,,0.69,,1343872.00
2021-01-03,145.00,147.00,143.00,146.00,,0.69,,1506529.00
2021-01-04,139.00,154.00,139.00,144.00,,-1.37,,3303950.00
2021-01-05,144.00,148.00,144.00,145.00,,0.69,,1718598.00
2021-01-06,138.00,149.00,138.00,148.00,,2.07,,873937.00
2021-01-07,148.00,151.00,145.00,145.00,,-2.03,,2291217.00
2021-01-10,147.00,153.00,147.00,149.00,,2.76,,1334074.00
2021-01-11,149.00,158.00,149.00,157.00,,5.37,,6432302.00
2021-01-12,157.00,159.00,155.00,158.00,,0.64,,1629864.00
2021-01-13,161.00,162.00,158.00,159.00,,0.63,,3541471.00
2021-01-17,162.00,169.00,158.00,169.00,,6.29,,8261289.00
2021-01-18,172.00,177.00,165.00,165.00,,-2.37,,9862722.00
2021-01-19,168.00,177.00,167.00,172.00,,4.24,,8294396.00
2021-01-20,175.00,189.00,172.00,189.00,,9.88,,20951440.00
2021-01-21,195.00,207.00,190.00,192.00,,1.59,,26361959.00
2021-01-24,195.00,201.00,183.00,185.00,,-3.65,,8920206.00
2021-01-25,185.00,193.00,181.00,181.00,,-2.16,,6387693.00
2021-01-26,184.00,186.00,175.00,176.00,,-2.76,,6163086.00
2021-01-27,176.00,180.00,174.00,177.00,,0.57,,3645697.00
2021-01-28,176.00,177.00,170.00,173.00,,-2.26,,3472429.00
2021-01-31,170.00,170.00,165.00,168.00,,-2.89,,4993721.00
2021-02-01,171.00,181.00,166.00,175.00,,4.17,,5849743.00
2021-02-02,178.00,187.00,178.00,178.00,,1.71,,4696845.00
2021-02-03,177.00,183.00,175.00,176.00,,-2.22,,2334665.00
2021-02-04,179.00,179.00,173.00,173.00,,-1.7,,2849633.00
2021-02-07,170.00,180.00,170.00,175.00,,1.16,,3934218.00
2021-02-08,173.00,178.00,170.00,174.00,,-0.57,,4017993.00
2021-02-09,177.00,180.00,172.00,175.00,,0.57,,1827580.00
2021-02-10,176.00,177.00,172.00,174.00,,-0.57,,2046896.00
2021-02-11,174.00,179.00,173.00,173.00,,-0.57,,4542165.00
2021-02-14,176.00,176.00,171.00,172.00,,-0.58,,2671772.00
2021-02-15,172.00,175.00,172.00,172.00,,0,,1869103.00
2021-02-16,175.00,177.00,171.00,172.00,,0,,3962315.00
2021-02-17,171.00,174.00,171.00,173.00,,0.58,,2379374.00
2021-02-18,172.00,186.00,172.00,184.00,,6.36,,14271431.00
2021-02-21,187.00,192.00,183.00,186.00,,1.09,,10970969.00
2021-02-22,186.00,187.00,178.00,181.00,,-2.69,,4159810.00
2021-02-23,180.00,180.00,172.00,176.00,,-2.76,,2398275.00
2021-02-24,179.00,181.00,175.00,176.00,,0,,1904289.00
