Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2024-03-19,556.00,611.60,556.00,611.60,,10,,1479468.10
2024-03-20,619.70,672.70,619.70,672.70,,9.99,,1512576.80
2024-03-21,686.10,739.90,686.10,739.90,,9.99,,5466902.50
2024-03-25,754.60,813.80,754.60,813.80,,9.99,,21870866.30
2024-03-26,830.00,895.10,830.00,895.10,,9.99,,25721611.90
2024-03-27,913.00,984.60,913.00,984.60,,10,,22525161.80
2024-03-28,1004.20,1083.00,1004.20,1082.70,,9.96,,193762869.70
2024-03-31,1061.10,1061.10,974.50,974.50,,-9.99,,286893331.80
2024-04-01,955.10,970.00,882.00,941.00,,-3.44,,472917632.50
2024-04-02,959.80,959.80,911.50,925.00,,-1.7,,95728504.80
2024-04-03,925.00,930.00,895.20,895.50,,-3.19,,126785427.00
2024-04-04,888.00,888.00,843.00,843.10,,-5.85,,182471556.20
2024-04-07,830.00,897.00,829.90,881.00,,4.5,,99394797.10
2024-04-09,895.00,895.00,856.00,860.00,,-2.38,,63827087.30
2024-04-10,877.20,877.20,842.00,847.00,,-1.51,,57065388.30
2024-04-14,832.00,845.00,819.30,821.00,,-3.07,,57118738.60
2024-04-15,821.00,835.00,801.00,804.00,,-2.07,,38319102.90
2024-04-16,804.00,814.00,797.00,799.00,,-0.62,,45981434.30
2024-04-18,795.00,799.00,767.80,767.80,,-3.9,,52346171.90
2024-04-21,765.00,826.20,755.30,818.00,,6.54,,78829476.10
2024-04-22,830.00,833.00,796.00,796.50,,-2.63,,58469846.20
2024-04-24,796.50,814.00,791.00,799.90,,0.43,,27259006.70
2024-04-25,815.80,815.80,785.00,786.00,,-1.74,,23439923.40
2024-04-28,800.00,800.00,786.10,790.00,,0.51,,21707587.10
2024-04-29,790.10,795.10,780.10,781.00,,-1.14,,21073658.80
2024-04-30,790.00,800.00,777.00,785.90,,0.63,,40527151.60
2024-05-02,788.00,798.00,775.90,776.00,,-1.26,,32191936.50
2024-05-05,776.00,789.90,760.00,766.00,,-1.29,,29914270.30
2024-05-06,762.00,775.00,760.20,765.90,,-0.01,,24864718.90
2024-05-07,781.00,781.00,755.00,757.00,,-1.16,,28521301.90
2024-05-08,758.00,760.00,741.00,750.00,,-0.92,,27577723.40
2024-05-09,750.00,760.00,745.20,745.20,,-0.64,,19957626.40
2024-05-12,747.00,784.90,743.00,772.10,,3.61,,53244888.70
2024-05-13,772.10,778.00,760.10,765.00,,-0.92,,13153827.50
2024-05-14,779.00,779.00,765.00,770.00,,0.65,,16985593.10
2024-05-15,776.00,807.00,774.00,790.00,,2.6,,67094375.20
2024-05-16,787.00,815.00,787.00,810.00,,2.53,,49788050.50
2024-05-19,826.20,841.50,807.10,830.00,,2.47,,51655110.20
2024-05-20,838.00,853.50,819.00,820.00,,-1.2,,102575097.30
2024-05-21,823.20,835.90,811.50,811.50,,-1.04,,39734055.00
2024-05-22,817.00,825.00,810.00,810.30,,-0.15,,32802103.50
2024-05-26,810.00,826.50,802.00,805.00,,-0.65,,39195458.60
2024-05-27,814.00,845.50,806.00,818.00,,1.61,,58243627.50
2024-05-29,834.30,877.70,820.00,857.20,,4.79,,141056048.30
2024-05-30,868.00,868.00,838.00,849.00,,-0.96,,50660710.00
2024-06-02,865.90,865.90,833.00,835.00,,-1.65,,46180700.60
2024-06-03,845.00,845.00,824.00,826.00,,-1.08,,32853445.70
2024-06-04,809.50,845.00,809.50,824.00,,-0.24,,25538914.30
2024-06-05,840.40,840.40,809.00,809.00,,-1.82,,32658718.30
2024-06-06,808.10,825.00,805.10,807.00,,-0.25,,39541510.30
2024-06-09,811.00,819.00,807.00,808.50,,0.19,,27021722.40
2024-06-10,809.90,821.00,808.00,812.10,,0.45,,28227180.50
2024-06-11,815.00,828.00,810.00,825.00,,1.59,,22467546.00
2024-06-12,830.10,846.00,826.00,827.00,,0.24,,45015528.90
2024-06-13,827.00,838.90,812.10,815.00,,-1.45,,28283399.60
2024-06-16,812.00,820.00,801.00,803.50,,-1.41,,29805163.10
2024-06-18,801.10,810.00,788.50,793.00,,-1.31,,36364749.30
2024-06-19,796.00,803.00,781.00,789.00,,-0.5,,20707072.40
2024-06-20,800.00,800.00,780.00,784.00,,-0.63,,17634932.40
2024-06-23,776.00,789.90,770.10,779.80,,-0.54,,14538614.40
2024-06-24,795.30,795.30,775.10,778.00,,-0.23,,18102101.40
