Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,1250.00,1250.00,1220.00,1226.00,,-1.92,,6643051.00
2014-08-04,1250.00,1266.00,1245.00,1250.00,,0,,6643051.00
2014-08-04,1282.00,1278.00,1271.00,1275.00,,-0.55,,6643051.00
2014-08-04,1275.00,1275.00,1265.00,1269.00,,-0.47,,6643051.00
2014-08-05,1226.00,1250.00,1210.00,1240.00,,1.14,,6638647.00
2014-08-06,1240.00,1240.00,1220.00,1234.00,,-0.48,,3313166.00
2014-08-07,1234.00,1240.00,1200.00,1225.00,,-0.73,,6845919.00
2014-08-12,1225.00,1210.00,1189.00,1200.00,,-2.04,,3221007.00
2014-08-13,1200.00,1224.00,1190.00,1190.00,,-0.83,,7520379.00
2014-08-14,1190.00,1210.00,1190.00,1210.00,,1.68,,5281289.00
2014-08-18,1210.00,1195.00,1169.00,1172.00,,-3.14,,3130931.00
2014-08-19,1172.00,1190.00,1165.00,1182.00,,0.85,,6059549.00
2014-08-20,1182.00,1182.00,1156.00,1156.00,,-2.2,,2295701.00
2014-08-21,1156.00,1179.00,1110.00,1175.00,,1.64,,4870406.00
2014-08-24,1175.00,1180.00,1152.00,1175.00,,0,,2046725.00
2014-08-25,1175.00,1185.00,1100.00,1139.00,,-3.06,,8318383.00
2014-08-26,1139.00,1125.00,1082.00,1082.00,,-5,,1905908.00
2014-08-27,1082.00,1155.00,1075.00,1098.00,,1.48,,8423518.00
2014-08-28,1098.00,1119.00,1095.00,1100.00,,0.18,,9692130.00
2014-08-31,1100.00,1122.00,1080.00,1099.00,,-0.09,,9967618.00
2014-09-01,1099.00,1085.00,1060.00,1085.00,,-1.27,,3626529.00
2014-09-03,1085.00,1087.00,1068.00,1068.00,,-1.57,,2263835.00
2014-09-04,1068.00,1069.00,1020.00,1030.00,,-3.56,,1881486.00
2014-09-07,1030.00,1050.00,936.00,936.00,,-9.13,,6945001.00
2014-09-09,936.00,1008.00,952.00,1008.00,,7.69,,3151246.00
2014-09-10,1008.00,1089.00,983.00,1001.00,,-0.69,,10124053.00
2014-09-11,1001.00,1015.00,992.00,1015.00,,1.4,,1369521.00
2014-09-14,1015.00,1030.00,1000.00,1020.00,,0.49,,4489779.00
2014-09-15,1020.00,1034.00,1020.00,1034.00,,1.37,,495255.00
2014-09-16,1034.00,1065.00,1040.00,1058.00,,2.32,,2711738.00
2014-09-17,1058.00,1079.00,1056.00,1056.00,,-0.19,,2558310.00
2014-09-21,1020.00,1020.00,990.00,990.00,,-2.94,,718760.00
2014-09-22,990.00,975.00,970.00,975.00,,-1.52,,1762190.00
2014-09-23,975.00,1010.00,990.00,1004.00,,2.97,,1187384.00
2014-09-24,1004.00,1055.00,990.00,1055.00,,5.08,,1408714.00
2014-09-28,1055.00,1034.00,1020.00,1020.00,,-3.32,,201978.00
2014-09-29,1020.00,1081.00,1040.00,1080.00,,5.88,,431654.00
2014-09-30,1080.00,1089.00,1070.00,1070.00,,-0.93,,1481453.00
2014-10-08,1070.00,1050.00,1050.00,1050.00,,-1.87,,152250.00
2014-10-09,1050.00,1045.00,1020.00,1021.00,,-2.76,,1188074.00
2014-10-12,1021.00,1030.00,986.00,987.00,,-3.33,,1070917.00
2014-10-13,987.00,995.00,976.00,986.00,,-0.1,,2189002.00
2014-10-14,986.00,995.00,995.00,995.00,,0.91,,247755.00
2014-10-15,995.00,1020.00,995.00,1015.00,,2.01,,2570094.00
2014-10-16,1015.00,1010.00,992.00,992.00,,-2.27,,661560.00
2014-10-19,992.00,1035.00,990.00,1035.00,,4.33,,3476881.00
2014-10-20,1035.00,1045.00,1009.00,1010.00,,-2.42,,1754185.00
2014-10-21,1010.00,1012.00,1005.00,1005.00,,-0.5,,2326509.00
2014-10-22,1005.00,1010.00,980.00,980.00,,-2.49,,1269700.00
2014-10-26,980.00,1020.00,980.00,1015.00,,3.57,,2335434.00
2014-10-27,1015.00,1013.00,1000.00,1000.00,,-1.48,,1171893.00
2014-10-28,1000.00,1005.00,995.00,1002.00,,0.2,,519209.00
2014-10-30,1002.00,1006.00,990.00,1006.00,,0.4,,1662252.00
2014-11-02,1006.00,1010.00,981.00,990.00,,-1.59,,2533039.00
2014-11-03,990.00,985.00,980.00,980.00,,-1.01,,1120545.00
2014-11-04,980.00,990.00,971.00,975.00,,-0.51,,493680.00
2014-11-05,975.00,991.00,985.00,991.00,,1.64,,317244.00
2014-11-06,991.00,1000.00,995.00,1000.00,,0.91,,704075.00
2014-11-09,1000.00,1000.00,981.00,983.00,,-1.7,,1293953.00
2014-11-10,983.00,983.00,960.00,970.00,,-1.32,,1200715.00
2014-11-11,970.00,976.00,932.00,971.00,,0.1,,2322317.00
2014-11-12,971.00,965.00,952.00,965.00,,-0.62,,839490.00
2014-11-13,965.00,955.00,945.00,950.00,,-1.55,,2443940.00
2014-11-16,950.00,960.00,930.00,930.00,,-2.11,,3222865.00
2014-11-17,930.00,925.00,915.00,925.00,,-0.54,,2702693.00
2014-11-18,925.00,940.00,879.00,918.00,,-0.76,,8215003.00
2014-11-19,918.00,917.00,900.00,912.00,,-0.65,,7548642.00
2014-11-20,912.00,933.00,900.00,926.00,,1.54,,2166470.00
2014-11-24,936.00,969.00,938.00,954.00,,1.92,,11588715.00
2014-11-24,926.00,963.00,930.00,936.00,,1.08,,11588715.00
2014-11-25,954.00,954.00,930.00,954.00,,0,,3735223.00
2014-11-30,954.00,979.00,940.00,952.00,,-0.21,,1643815.00
2014-12-01,952.00,954.00,950.00,954.00,,0.21,,919910.00
2014-12-02,954.00,954.00,938.00,954.00,,0,,3405734.00
2014-12-03,954.00,968.00,950.00,950.00,,-0.42,,1462387.00
2014-12-04,950.00,962.00,954.00,962.00,,1.26,,1543669.00
2014-12-07,962.00,975.00,955.00,965.00,,0.31,,3814837.00
2014-12-08,965.00,965.00,956.00,960.00,,-0.52,,1958965.00
2014-12-09,960.00,958.00,949.00,955.00,,-0.52,,6890334.00
2014-12-10,955.00,974.00,925.00,955.00,,0,,4770738.00
2014-12-11,955.00,969.00,960.00,969.00,,1.47,,520059.00
2014-12-14,969.00,1000.00,975.00,1000.00,,3.2,,3217406.00
2014-12-15,1000.00,1038.00,995.00,1007.00,,0.7,,3951366.00
2014-12-16,1007.00,1027.00,1000.00,1024.00,,1.69,,3015219.00
2014-12-17,1024.00,1010.00,1003.00,1010.00,,-1.37,,1525893.00
2014-12-18,1010.00,1022.00,1000.00,1022.00,,1.19,,4596565.00
2014-12-21,1022.00,1010.00,985.00,1010.00,,-1.17,,2224042.00
2014-12-22,1010.00,1028.00,1001.00,1007.00,,-0.3,,2263426.00
2014-12-23,1007.00,1000.00,999.00,1000.00,,-0.7,,378896.00
2014-12-24,1000.00,1001.00,992.00,992.00,,-0.8,,2464040.00
2014-12-28,992.00,1045.00,1005.00,1045.00,,5.34,,28210213.00
2014-12-29,1045.00,1060.00,1020.00,1057.00,,1.15,,21361071.00
2014-12-31,1057.00,1069.00,1025.00,1069.00,,1.14,,26078319.00
2015-01-01,930.00,960.00,914.00,960.00,,3.23,,784914.00
2015-01-04,960.00,960.00,950.00,950.00,,-1.04,,639511.00
2015-01-05,950.00,956.00,951.00,951.00,,0.11,,992296.00
2015-01-06,951.00,955.00,945.00,950.00,,-0.11,,3081019.00
2015-01-07,950.00,942.00,906.00,934.00,,-1.68,,984872.00
2015-01-08,934.00,954.00,950.00,954.00,,2.14,,1399312.00
2015-01-11,954.00,950.00,941.00,946.00,,-0.84,,1903366.00
2015-01-12,946.00,935.00,932.00,932.00,,-1.48,,625094.00
2015-01-13,932.00,944.00,935.00,944.00,,1.29,,962509.00
2015-01-14,944.00,960.00,950.00,950.00,,0.64,,943030.00
2015-01-18,950.00,969.00,952.00,952.00,,0.21,,1214187.00
