Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,851.00,851.00,825.00,835.00,,-1.88,,9133539.00
2014-08-04,883.00,883.00,860.00,860.00,,-2.6,,9133539.00
2014-08-04,860.00,870.00,850.00,851.00,,-1.05,,9133539.00
2014-08-04,865.00,900.00,880.00,881.00,,1.85,,9133539.00
2014-08-04,881.00,887.00,870.00,870.00,,-1.25,,9133539.00
2014-08-04,870.00,895.00,865.00,883.00,,1.49,,9133539.00
2014-08-05,835.00,864.00,836.00,837.00,,0.24,,6257139.00
2014-08-06,837.00,899.00,853.00,870.00,,3.94,,40362840.00
2014-08-07,870.00,884.00,850.00,877.00,,0.8,,29077155.00
2014-08-12,877.00,874.00,855.00,870.00,,-0.8,,16550583.00
2014-08-13,870.00,910.00,850.00,882.00,,1.38,,17817317.00
2014-08-14,882.00,900.00,880.00,885.00,,0.34,,13264123.00
2014-08-18,885.00,897.00,850.00,865.00,,-2.26,,15572664.00
2014-08-19,865.00,885.00,861.00,880.00,,1.73,,23761270.00
2014-08-20,880.00,878.00,855.00,855.00,,-2.84,,12453833.00
2014-08-21,855.00,875.00,826.00,868.00,,1.52,,14857873.00
2014-08-24,868.00,875.00,860.00,860.00,,-0.92,,12562462.00
2014-08-25,860.00,855.00,809.00,829.00,,-3.6,,11279511.00
2014-08-26,829.00,879.00,792.00,800.00,,-3.5,,23709486.00
2014-08-27,800.00,855.00,816.00,851.00,,6.38,,17050778.00
2014-08-28,851.00,871.00,830.00,840.00,,-1.29,,25379067.00
2014-08-31,840.00,841.00,815.00,821.00,,-2.26,,10902176.00
2014-09-01,821.00,812.00,776.00,809.00,,-1.46,,12171944.00
2014-09-03,809.00,805.00,780.00,785.00,,-2.97,,10950781.00
2014-09-04,785.00,780.00,750.00,772.00,,-1.66,,31676453.00
2014-09-07,772.00,784.00,716.00,716.00,,-7.25,,7547671.00
2014-09-09,716.00,773.00,715.00,773.00,,7.96,,14904303.00
2014-09-10,773.00,803.00,740.00,760.00,,-1.68,,13130823.00
2014-09-11,760.00,756.00,720.00,756.00,,-0.53,,11183938.00
2014-09-14,756.00,763.00,748.00,748.00,,-1.06,,6452338.00
2014-09-15,748.00,749.00,726.00,745.00,,-0.4,,6394719.00
2014-09-16,745.00,731.00,683.00,705.00,,-5.37,,18874190.00
2014-09-17,705.00,714.00,700.00,702.00,,-0.43,,9663647.00
2014-09-21,672.00,663.00,644.00,655.00,,-2.53,,6299419.00
2014-09-22,655.00,660.00,640.00,645.00,,-1.53,,5718580.00
2014-09-23,645.00,683.00,657.00,660.00,,2.33,,3811717.00
2014-09-24,660.00,690.00,650.00,690.00,,4.55,,5335739.00
2014-09-28,690.00,709.00,691.00,709.00,,2.75,,3259778.00
2014-09-29,709.00,720.00,691.00,714.00,,0.71,,2775669.00
2014-09-30,714.00,730.00,710.00,710.00,,-0.56,,4184415.00
2014-10-09,710.00,701.00,685.00,690.00,,-2.82,,1986295.00
2014-10-12,690.00,690.00,685.00,685.00,,-0.72,,2284761.00
2014-10-13,685.00,690.00,680.00,690.00,,0.73,,3242635.00
2014-10-14,690.00,705.00,682.00,702.00,,1.74,,8766867.00
2014-10-15,702.00,709.00,691.00,709.00,,1,,3397631.00
2014-10-16,709.00,718.00,700.00,701.00,,-1.13,,6122474.00
