Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,2732.00,2750.00,2700.00,2700.00,,-1.17,,15579942.00
2014-08-04,2830.00,2828.00,2790.00,2800.00,,-1.06,,15579942.00
2014-08-04,2800.00,2805.00,2732.00,2732.00,,-2.43,,15579942.00
2014-08-04,2950.00,2980.00,2910.00,2920.00,,-1.02,,15579942.00
2014-08-04,2920.00,2900.00,2840.00,2865.00,,-1.88,,15579942.00
2014-08-04,2865.00,2875.00,2820.00,2830.00,,-1.22,,15579942.00
2014-08-05,2700.00,2775.00,2700.00,2705.00,,0.19,,5505927.00
2014-08-06,2705.00,2725.00,2690.00,2725.00,,0.74,,4465311.00
2014-08-07,2725.00,2700.00,2652.00,2696.00,,-1.06,,8397983.00
2014-08-12,2696.00,2715.00,2620.00,2630.00,,-2.45,,4286321.00
2014-08-13,2630.00,2681.00,2510.00,2600.00,,-1.14,,13043258.00
2014-08-14,2600.00,2701.00,2650.00,2701.00,,3.88,,3338016.00
2014-08-18,2701.00,2710.00,2600.00,2610.00,,-3.37,,7297826.00
2014-08-19,2610.00,2650.00,2580.00,2591.00,,-0.73,,7093709.00
2014-08-20,2591.00,2605.00,2499.00,2520.00,,-2.74,,8780851.00
2014-08-21,2520.00,2715.00,2400.00,2715.00,,7.74,,6979524.00
2014-08-24,2715.00,2700.00,2550.00,2554.00,,-5.93,,10367680.00
2014-08-25,2554.00,2604.00,2400.00,2448.00,,-4.15,,8912451.00
2014-08-26,2448.00,2488.00,2290.00,2298.00,,-6.13,,14466709.00
2014-08-27,2298.00,2430.00,2343.00,2410.00,,4.87,,6994826.00
2014-08-28,2410.00,2500.00,2445.00,2500.00,,3.73,,9429879.00
2014-08-31,2500.00,2550.00,2400.00,2430.00,,-2.8,,12131375.00
2014-09-01,2430.00,2435.00,2188.00,2330.00,,-4.12,,7139040.00
2014-09-03,2330.00,2420.00,2330.00,2335.00,,0.21,,6738219.00
2014-09-04,2335.00,2330.00,2260.00,2300.00,,-1.5,,4063044.00
2014-09-07,2300.00,2260.00,2120.00,2120.00,,-7.83,,2996211.00
2014-09-09,2120.00,2299.00,2100.00,2299.00,,8.44,,6294876.00
2014-09-10,2299.00,2380.00,2250.00,2255.00,,-1.91,,10156813.00
2014-09-11,2255.00,2285.00,2212.00,2285.00,,1.33,,6225975.00
2014-09-14,2285.00,2255.00,2210.00,2221.00,,-2.8,,5281497.00
2014-09-15,2221.00,2340.00,2250.00,2251.00,,1.35,,10004164.00
2014-09-16,2251.00,2295.00,2240.00,2295.00,,1.95,,6301489.00
2014-09-17,2295.00,2300.00,2260.00,2280.00,,-0.65,,5467753.00
2014-09-21,2270.00,2230.00,2150.00,2210.00,,-2.64,,2067978.00
2014-09-22,2210.00,2210.00,2151.00,2160.00,,-2.26,,1348191.00
2014-09-23,2160.00,2230.00,2185.00,2205.00,,2.08,,2721542.00
2014-09-24,2205.00,2293.00,2205.00,2290.00,,3.85,,2791045.00
2014-09-28,2290.00,2250.00,2061.00,2061.00,,-10,,5539546.00
2014-09-29,2061.00,2100.00,2000.00,2099.00,,1.84,,11251295.00
2014-09-30,2099.00,2140.00,2090.00,2095.00,,-0.19,,7015416.00
2014-10-08,2095.00,2100.00,2055.00,2090.00,,-0.24,,1206078.00
2014-10-09,2090.00,2114.00,2070.00,2114.00,,1.15,,1542584.00
2014-10-12,2114.00,2116.00,2065.00,2065.00,,-2.32,,711185.00
2014-10-13,2065.00,2106.00,2065.00,2068.00,,0.15,,1588340.00
2014-10-14,2068.00,2108.00,2080.00,2100.00,,1.55,,2342338.00
2014-10-15,2100.00,2110.00,2070.00,2075.00,,-1.19,,4868431.00
2014-10-16,2075.00,2110.00,2078.00,2095.00,,0.96,,4970763.00
