Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2019-11-28,91.00,91.00,90.00,90.00,,-2.17,,18010.00
2019-12-09,91.00,91.00,91.00,91.00,,1.11,,910.00
2019-12-12,92.00,96.00,92.00,96.00,,5.49,,22956.00
2019-12-15,97.00,98.00,97.00,98.00,,2.08,,37610.00
2019-12-17,106.00,108.00,106.00,106.00,,1.92,,26732.00
2019-12-23,108.00,110.00,108.00,108.00,,1.89,,38100.00
2019-12-24,110.00,114.00,108.00,108.00,,0,,67290.00
2019-12-25,108.00,108.00,100.00,100.00,,-7.41,,106480.00
2019-12-26,99.00,99.00,99.00,99.00,,-1,,16830.00
2019-12-29,99.00,99.00,98.00,98.00,,-1.01,,71160.00
2019-12-31,97.00,98.00,97.00,98.00,,0,,11740.00
2020-01-01,99.00,100.00,99.00,100.00,,2.04,,1990.00
2020-01-02,101.00,101.00,98.00,98.00,,-2,,17510.00
2020-01-05,98.00,98.00,97.00,97.00,,-1.02,,11740.00
2020-01-06,98.00,98.00,98.00,98.00,,1.03,,9800.00
2020-01-07,97.00,98.00,97.00,98.00,,0,,215400.00
2020-01-09,99.00,102.00,99.00,102.00,,4.08,,21190.00
2020-01-13,104.00,104.00,102.00,102.00,,0,,22460.00
2020-01-15,102.00,102.00,102.00,102.00,,0,,10200.00
2020-01-16,104.00,106.00,104.00,105.00,,2.94,,132698.00
2020-01-19,107.00,113.00,107.00,109.00,,3.81,,359357.00
2020-01-20,111.00,113.00,105.00,105.00,,-3.67,,460585.00
2020-01-21,105.00,105.00,103.00,103.00,,-1.9,,149200.00
2020-01-22,105.00,105.00,101.00,101.00,,-1.94,,156320.00
2020-01-23,103.00,105.00,103.00,105.00,,3.96,,23060.00
2020-01-27,103.00,103.00,103.00,103.00,,-1.9,,50779.00
2020-01-28,105.00,109.00,105.00,108.00,,4.85,,229273.00
2020-01-29,106.00,106.00,104.00,104.00,,-3.7,,34420.00
2020-01-30,106.00,106.00,103.00,104.00,,0,,41850.00
2020-02-03,104.00,104.00,101.00,101.00,,-2.88,,282740.00
2020-02-04,101.00,103.00,100.00,103.00,,1.98,,198730.00
2020-02-05,105.00,105.00,100.00,100.00,,-2.91,,82750.00
2020-02-06,100.00,110.00,100.00,110.00,,10,,928728.00
2020-02-09,111.00,113.00,109.00,110.00,,0,,506866.00
2020-02-10,110.00,110.00,108.00,108.00,,-1.82,,39156.00
2020-02-11,108.00,108.00,106.00,106.00,,-1.85,,226600.00
2020-02-12,104.00,104.00,104.00,104.00,,-1.89,,62400.00
2020-02-13,102.00,105.00,102.00,104.00,,0,,85612.00
2020-02-16,106.00,106.00,106.00,106.00,,1.92,,10600.00
2020-02-17,108.00,108.00,104.00,104.00,,-1.89,,57440.00
2020-02-18,104.00,104.00,102.00,102.00,,-1.92,,73998.00
2020-02-19,101.00,110.00,101.00,108.00,,5.88,,264426.00
2020-02-20,108.00,109.00,104.00,104.00,,-3.7,,527331.00
2020-02-23,106.00,108.00,104.00,104.00,,0,,44308.00
2020-02-24,104.00,105.00,104.00,105.00,,0.96,,46205.00
2020-02-25,105.00,111.00,103.00,111.00,,5.71,,278808.00
2020-02-26,112.00,115.00,112.00,113.00,,1.8,,134320.00
2020-02-27,111.00,111.00,106.00,106.00,,-6.19,,103903.00
2020-03-01,106.00,105.00,104.00,104.00,,-1.89,,66818.00
2020-03-02,102.00,102.00,100.00,100.00,,-3.85,,10024.00
2020-03-03,100.00,102.00,101.00,101.00,,1,,207300.00
2020-03-05,100.00,102.00,99.00,102.00,,2,,139210.00
2020-03-05,101.00,100.00,99.00,100.00,,-0.99,,139210.00
2020-03-11,104.00,104.00,104.00,104.00,,1.96,,23296.00
2020-03-12,106.00,106.00,102.00,102.00,,-1.92,,160360.00
2020-03-15,100.00,100.00,98.00,98.00,,-3.92,,113700.00
2020-03-16,98.00,98.00,97.00,98.00,,0,,41548.00
2020-03-17,97.00,97.00,97.00,97.00,,-1.02,,19400.00
2020-07-07,98.00,106.00,98.00,106.00,,9.28,,16930.00
2020-07-08,108.00,108.00,106.00,106.00,,0,,11680.00
2020-07-09,106.00,106.00,105.00,105.00,,-0.94,,9775.00
2020-07-12,104.00,104.00,103.00,103.00,,-1.9,,15342.00
2020-07-13,105.00,107.00,105.00,105.00,,1.94,,5805.00
2020-07-14,105.00,105.00,98.00,98.00,,-6.67,,227104.00
2020-07-15,98.00,98.00,97.00,97.00,,-1.02,,38900.00
2020-07-16,97.00,97.00,96.00,97.00,,0,,42742.00
2020-07-21,98.00,106.00,98.00,106.00,,9.28,,164420.00
2020-07-22,108.00,110.00,106.00,106.00,,0,,34835.00
2020-07-23,104.00,104.00,104.00,104.00,,-1.89,,9672.00
2020-07-27,100.00,100.00,99.00,99.00,,-1.98,,143269.00
2020-07-28,99.00,99.00,98.00,99.00,,0,,410808.00
2020-07-29,100.00,102.00,100.00,102.00,,3.03,,7820.00
2020-07-30,104.00,108.00,104.00,107.00,,4.9,,158480.00
2020-08-02,105.00,105.00,101.00,101.00,,-5.61,,27787.00
2020-08-03,102.00,102.00,102.00,102.00,,0.99,,20400.00
2020-08-05,100.00,100.00,100.00,100.00,,-1.96,,69990.00
2020-08-06,100.00,104.00,100.00,104.00,,2.97,,118950.00
2020-08-09,102.00,113.00,102.00,106.00,,1.92,,827275.00
2020-08-10,107.00,113.00,107.00,113.00,,6.6,,425858.00
2020-08-11,118.00,124.00,114.00,116.00,,2.65,,3209831.00
2020-08-12,118.00,118.00,110.00,114.00,,-1.72,,1823709.00
2020-08-13,112.00,115.00,105.00,109.00,,-4.39,,492732.00
2020-08-16,107.00,108.00,105.00,108.00,,-0.92,,232821.00
2020-08-17,106.00,110.00,104.00,110.00,,1.85,,213862.00
2020-08-18,111.00,111.00,108.00,110.00,,0,,195800.00
2020-08-19,115.00,121.00,115.00,121.00,,10,,3488820.00
2020-08-20,123.00,133.00,123.00,133.00,,9.92,,106616.00
2020-08-23,135.00,146.00,135.00,146.00,,9.77,,13402709.00
2020-08-24,153.00,160.00,150.00,153.00,,4.79,,4166513.00
2020-08-25,156.00,156.00,139.00,143.00,,-6.54,,3183164.00
2020-08-27,131.00,137.00,122.00,125.00,,-3.1,,7254181.00
2020-08-31,114.00,114.00,110.00,110.00,,-1.79,,545832.00
2020-09-02,112.00,114.00,110.00,111.00,,0.91,,1163000.00
2020-09-03,112.00,113.00,109.00,110.00,,-0.9,,273895.00
2020-09-06,110.00,112.00,110.00,112.00,,1.82,,465741.00
2020-09-07,112.00,112.00,111.00,112.00,,0,,213565.00
2020-09-08,111.00,113.00,111.00,112.00,,0,,111405.00
2020-09-09,117.00,117.00,110.00,110.00,,-1.79,,116122.00
2020-09-10,112.00,114.00,109.00,109.00,,-0.91,,314049.00
2020-09-13,109.00,114.00,109.00,113.00,,3.67,,723065.00
2020-09-14,115.00,115.00,111.00,113.00,,0,,480941.00
2020-09-15,111.00,113.00,110.00,112.00,,-0.88,,493938.00
2020-09-16,110.00,113.00,110.00,112.00,,0,,414660.00
2020-09-17,114.00,123.00,114.00,123.00,,9.82,,2512578.00
2020-09-20,125.00,135.00,124.00,127.00,,3.25,,1717991.00
2020-09-21,133.00,133.00,118.00,121.00,,-4.72,,856073.00
2020-09-22,127.00,130.00,121.00,123.00,,1.65,,2142934.00
