Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2022-08-17,269.00,295.90,269.00,295.90,,0,,162675.90
2022-08-18,301.80,325.40,301.80,325.40,,9.97,,1740310.00
2022-08-21,331.90,357.00,331.90,337.00,,3.56,,26831205.80
2022-08-22,343.70,349.00,320.10,323.00,,-4.15,,17262964.80
2022-08-23,318.00,323.50,315.00,320.00,,-0.93,,9082151.20
2022-08-24,318.00,344.50,318.00,332.00,,3.75,,9879602.90
2022-08-25,332.00,334.00,322.60,323.00,,-2.71,,4287002.60
2022-08-26,318.00,320.00,313.10,319.00,,-1.24,,3508977.50
2022-08-28,312.90,315.00,300.00,301.00,,-5.64,,6275687.20
2022-08-29,295.00,307.00,295.00,305.00,,1.33,,2822373.00
2022-08-30,311.10,311.10,298.00,299.90,,-1.67,,1918764.60
2022-08-31,299.00,303.00,283.60,286.00,,-4.63,,3301243.80
2022-09-01,280.30,291.70,276.20,283.20,,-0.98,,4656190.10
2022-09-02,279.00,297.00,279.00,279.10,,-1.73,,1200953.50
2022-09-04,274.00,297.00,274.00,295.00,,5.7,,5345549.00
2022-09-05,295.00,300.00,290.10,290.10,,-1.66,,2347770.40
2022-09-06,287.00,290.00,283.00,284.10,,-2.07,,2623327.00
2022-09-07,278.80,293.00,278.80,283.20,,-0.32,,2433713.00
2022-09-08,280.00,296.00,277.80,287.00,,1.34,,2665548.00
2022-09-11,282.00,292.70,282.00,284.00,,-1.05,,2293237.00
2022-09-12,279.20,285.00,279.20,281.00,,-1.06,,1144579.50
2022-09-13,276.00,291.70,276.00,284.00,,1.07,,2150173.50
2022-09-14,284.00,293.90,281.00,288.30,,1.51,,3980817.50
2022-09-15,288.30,290.00,267.70,268.00,,-7.04,,4002798.00
2022-09-16,262.70,264.00,255.10,260.10,,-2.95,,1099898.50
2022-09-18,256.00,258.00,247.50,248.10,,-4.61,,2338990.50
2022-09-20,243.20,243.20,227.10,240.00,,-3.26,,2166757.30
2022-09-21,235.20,244.80,235.20,242.00,,0.83,,700186.00
2022-09-22,237.20,237.50,227.20,230.00,,-4.96,,2288484.20
2022-09-25,225.50,226.00,219.20,223.00,,-3.04,,721777.00
2022-09-27,223.00,228.50,217.20,224.00,,0.45,,607763.00
2022-09-28,220.00,230.00,220.00,224.00,,0,,256170.40
2022-09-29,219.80,225.00,219.80,224.00,,0,,292165.40
2022-10-09,220.10,230.90,220.10,230.90,,3.08,,317490.10
2022-10-10,235.00,235.00,217.40,223.00,,-3.42,,1404382.20
2022-10-11,219.00,232.00,215.00,232.00,,4.04,,814127.30
2022-10-12,228.50,232.50,216.10,230.50,,-0.65,,1279411.90
