Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-01-23,374.80,404.20,374.80,404.20,,9.99,,536641.00
2023-01-24,412.20,444.60,412.20,444.60,,10,,772175.00
2023-01-25,436.10,489.00,436.10,489.00,,9.99,,21878498.00
2023-01-26,498.70,537.90,492.00,495.00,,1.23,,31627247.00
2023-01-29,485.10,514.00,476.00,498.00,,0.61,,11462529.50
2023-01-30,507.90,507.90,473.00,477.00,,-4.22,,6871107.70
2023-01-31,467.50,492.50,459.00,469.90,,-1.49,,7931206.20
2023-02-01,475.00,493.60,467.50,493.00,,4.92,,13742595.70
2023-02-02,500.00,502.80,484.00,488.00,,-1.01,,16141878.80
2023-02-05,487.00,495.00,479.00,485.00,,-0.61,,5661837.10
2023-02-06,478.00,492.00,475.40,484.90,,-0.02,,5991748.50
2023-02-07,494.00,513.80,488.00,499.90,,3.09,,10255740.90
2023-02-08,505.00,515.10,496.10,503.90,,0.8,,18532203.20
2023-02-09,495.00,500.00,490.00,496.00,,-1.57,,2706662.90
2023-02-12,500.00,500.00,475.90,485.00,,-2.22,,7103010.20
2023-02-14,481.00,485.00,471.40,479.20,,-1.2,,4780320.00
2023-02-15,470.70,484.00,470.70,473.00,,-1.29,,3233557.30
2023-02-16,465.00,470.00,461.10,463.00,,-2.11,,4327035.80
2023-02-20,455.00,471.80,446.10,455.00,,-1.73,,8675259.80
2023-02-22,446.50,479.00,446.50,474.90,,4.37,,3537106.50
2023-02-23,468.00,470.00,451.00,465.00,,-2.08,,4756579.70
2023-02-26,455.70,471.00,438.00,471.00,,1.29,,3129676.70
2023-02-27,462.00,478.90,456.00,466.00,,-1.06,,4218142.10
2023-02-28,460.10,472.00,460.00,463.00,,-0.64,,1048032.50
2023-03-01,458.00,467.00,454.00,454.00,,-1.94,,2664022.90
2023-03-02,446.10,454.00,446.10,453.90,,-0.02,,2181328.50
2023-03-05,445.30,459.10,445.30,459.00,,1.12,,2304151.50
2023-03-07,450.00,461.00,442.00,459.00,,0,,1908109.00
2023-03-09,468.10,468.10,452.10,468.00,,1.96,,3368778.50
2023-03-12,471.00,475.00,455.10,456.00,,-2.56,,2836584.00
2023-03-13,448.70,456.00,448.70,455.00,,-0.22,,1687993.00
2023-03-14,450.00,467.00,450.00,455.00,,0,,1167952.00
2023-03-15,448.00,462.00,448.00,457.20,,0.48,,2322596.50
2023-03-16,450.00,462.00,450.00,458.00,,0.17,,2110671.90
2023-03-19,451.00,457.50,451.00,454.00,,-0.87,,1111053.00
2023-03-20,450.20,463.00,450.20,463.00,,1.98,,1630337.60
2023-03-22,456.00,466.30,455.00,456.00,,-1.51,,2670456.50
2023-03-23,450.10,459.00,449.00,451.00,,-1.1,,2924820.00
2023-03-26,443.10,446.00,438.50,439.00,,-2.66,,2580035.50
2023-03-27,431.50,449.90,431.50,449.00,,2.28,,1427957.70
2023-03-28,442.00,455.00,442.00,451.00,,0.45,,2017218.10
2023-03-29,443.00,460.00,443.00,456.00,,1.11,,1870042.10
2023-03-30,456.00,463.00,454.00,458.00,,0.44,,5063194.80
2023-04-02,458.00,460.00,442.00,450.00,,-1.75,,10965515.70
2023-04-03,441.20,458.00,437.40,447.00,,-0.67,,1553366.00
2023-04-04,438.10,445.00,432.40,432.40,,-3.27,,8701447.90
2023-04-05,430.00,448.00,427.00,442.00,,2.22,,3845331.00
2023-04-06,435.00,443.00,435.00,440.00,,-0.45,,1936345.80
2023-04-09,431.30,433.00,418.10,424.00,,-3.64,,5340767.80
2023-04-10,420.00,426.00,413.00,425.00,,0.24,,1168703.60
2023-04-11,425.00,430.40,420.00,429.00,,0.94,,1459303.50
2023-04-12,437.00,451.80,433.00,446.30,,4.03,,9361415.80
2023-04-13,450.00,457.90,438.00,450.00,,0.83,,6233312.00
