Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2021-04-28,306.00,330.00,306.00,330.00,,7.84,,209700.00
2021-04-29,340.00,363.00,340.00,363.00,,10,,1791898.00
2021-05-02,381.00,399.00,381.00,399.00,,9.92,,8489786.00
2021-05-03,418.00,438.00,390.00,438.00,,9.77,,58890385.00
2021-05-04,459.00,481.00,459.00,481.00,,9.82,,17322350.00
2021-05-05,505.00,529.00,463.00,529.00,,9.98,,43925687.00
2021-05-06,550.00,554.00,480.00,481.00,,-9.07,,46234923.00
2021-05-09,481.00,481.00,434.00,435.00,,-9.56,,23698433.00
2021-05-10,427.00,427.00,411.00,425.00,,-2.3,,11244097.00
2021-05-11,420.00,456.00,420.00,439.00,,3.29,,6911867.00
2021-05-12,418.00,448.00,418.00,435.00,,-0.91,,6919228.00
2021-05-13,456.00,456.00,426.00,442.00,,1.61,,9312800.00
2021-05-16,435.00,450.00,434.00,435.00,,-1.58,,9616862.00
2021-05-17,422.00,459.00,422.00,450.00,,3.45,,11659609.00
2021-05-18,450.00,467.00,433.00,460.00,,2.22,,12000268.00
2021-05-19,470.00,470.00,438.00,441.00,,-4.13,,10124190.00
2021-05-20,441.00,441.00,430.00,434.00,,-1.59,,6525469.00
2021-05-23,440.00,445.00,425.00,434.00,,0,,9582733.00
2021-05-24,455.00,455.00,430.00,436.00,,0.46,,5869880.00
2021-05-25,431.00,445.00,429.00,436.00,,0,,9228248.00
2021-05-27,433.00,461.00,433.00,451.00,,3.68,,19953874.00
2021-05-30,460.00,469.00,438.00,439.00,,-2.66,,12108481.00
2021-05-31,438.00,440.00,428.00,428.00,,-2.51,,9335241.00
2021-06-01,449.00,449.00,413.00,425.00,,-0.7,,4389586.00
2021-06-02,425.00,449.00,413.00,430.00,,1.18,,3272914.00
2021-06-03,428.00,430.00,420.00,421.00,,-2.09,,5608755.00
2021-06-06,429.00,429.00,410.00,417.00,,-0.95,,5642240.00
2021-06-07,417.00,445.00,412.00,435.00,,4.32,,17760986.00
2021-06-08,435.00,457.00,433.00,437.00,,0.46,,6584120.00
2021-06-09,440.00,448.00,425.00,430.00,,-1.6,,4298622.00
2021-06-10,438.00,438.00,422.00,429.00,,0.7,,8747847.00
2021-06-13,435.00,448.00,432.00,462.00,,6.76,,33700383.00
2021-06-14,471.00,480.00,449.00,451.00,,-2.38,,17434170.00
2021-06-15,442.00,445.00,435.00,444.00,,-1.55,,8256192.00
