Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,485.00,485.00,476.00,476.00,,-1.86,,738472.00
2014-08-04,505.00,506.00,492.00,493.00,,-2.38,,738472.00
2014-08-04,493.00,500.00,478.00,485.00,,-1.62,,738472.00
2014-08-04,465.00,479.00,465.00,472.00,,1.51,,738472.00
2014-08-04,472.00,504.00,475.00,494.00,,4.66,,738472.00
2014-08-04,494.00,520.00,500.00,505.00,,2.23,,738472.00
2014-08-05,476.00,477.00,476.00,476.00,,0,,158048.00
2014-08-06,476.00,494.00,467.00,485.00,,1.89,,958713.00
2014-08-07,485.00,480.00,478.00,478.00,,-1.44,,148856.00
2014-08-12,478.00,469.00,469.00,469.00,,-1.88,,5628.00
2014-08-13,469.00,460.00,452.00,452.00,,-3.62,,173780.00
2014-08-14,452.00,451.00,443.00,451.00,,-0.22,,3427426.00
2014-08-18,451.00,460.00,442.00,450.00,,-0.22,,925927.00
2014-08-19,450.00,468.00,450.00,468.00,,4,,899192.00
2014-08-20,468.00,469.00,460.00,460.00,,-1.71,,135997.00
2014-08-21,460.00,452.00,451.00,452.00,,-1.74,,209220.00
2014-08-24,452.00,455.00,455.00,455.00,,0.66,,45500.00
2014-09-03,455.00,450.00,430.00,430.00,,-5.49,,317108.00
2014-09-04,430.00,425.00,425.00,425.00,,-1.16,,29750.00
2014-09-10,425.00,420.00,420.00,420.00,,-1.18,,43680.00
2014-09-14,420.00,415.00,412.00,415.00,,-1.19,,59706.00
2014-09-15,415.00,410.00,401.00,403.00,,-2.89,,1229321.00
2014-09-16,403.00,406.00,390.00,400.00,,-0.74,,516774.00
2014-09-17,400.00,408.00,395.00,401.00,,0.25,,784808.00
2014-09-21,390.00,383.00,373.00,373.00,,-4.36,,560203.00
2014-09-22,373.00,367.00,352.00,353.00,,-5.36,,719216.00
2014-09-23,353.00,369.00,340.00,365.00,,3.4,,1986302.00
2014-09-24,365.00,365.00,355.00,360.00,,-1.37,,468850.00
2014-09-28,360.00,360.00,342.00,355.00,,-1.39,,860539.00
2014-09-29,355.00,360.00,355.00,355.00,,0,,81350.00
2014-09-30,355.00,370.00,362.00,369.00,,3.94,,208911.00
2014-10-08,369.00,378.00,363.00,363.00,,-1.63,,423019.00
2014-10-09,363.00,372.00,362.00,366.00,,0.83,,2239754.00
2014-10-12,366.00,366.00,360.00,360.00,,-1.64,,47314.00
2014-10-13,360.00,361.00,360.00,360.00,,0,,317902.00
2014-10-14,360.00,360.00,342.00,342.00,,-5,,208072.00
2014-10-15,342.00,360.00,343.00,355.00,,3.8,,308893.00
2014-10-16,355.00,359.00,349.00,359.00,,1.13,,1233397.00
2014-10-19,359.00,365.00,352.00,365.00,,1.67,,363350.00
2014-10-20,365.00,368.00,360.00,368.00,,0.82,,431826.00
2014-10-21,368.00,368.00,356.00,368.00,,0,,1647874.00
2014-10-22,368.00,365.00,358.00,365.00,,-0.82,,106055.00
2014-10-26,365.00,360.00,359.00,360.00,,-1.37,,322543.00
2014-10-27,360.00,360.00,350.00,355.00,,-1.39,,548723.00
2014-10-28,355.00,363.00,348.00,356.00,,0.28,,375375.00
2014-10-30,356.00,363.00,352.00,362.00,,1.69,,591962.00
2014-11-02,362.00,372.00,355.00,366.00,,1.1,,1625990.00
2014-11-03,366.00,364.00,357.00,357.00,,-2.46,,1155457.00
2014-11-04,357.00,363.00,349.00,353.00,,-1.12,,3622105.00
2014-11-05,353.00,371.00,349.00,371.00,,5.1,,1974408.00
2014-11-06,371.00,378.00,366.00,378.00,,1.89,,4014970.00
