Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2019-03-24,464.00,464.00,418.00,418.00,,-9.91,,1737870.00
2019-03-25,398.00,398.00,377.00,377.00,,-9.81,,34350.00
2019-03-26,359.00,359.00,340.00,340.00,,-9.81,,173150.00
2019-03-28,323.00,353.00,323.00,333.00,,-2.06,,26284816.00
2019-03-31,335.00,335.00,323.00,325.00,,-2.4,,10604541.00
2019-04-01,323.00,332.00,321.00,330.00,,1.54,,10489900.00
2019-04-02,327.00,336.00,325.00,329.00,,-0.3,,12774320.00
2019-04-03,327.00,329.00,324.00,325.00,,-1.22,,5866565.00
2019-04-04,330.00,330.00,320.00,321.00,,-1.23,,10775400.00
2019-04-07,319.00,322.00,318.00,320.00,,-0.31,,4577205.00
2019-04-09,323.00,323.00,308.00,310.00,,-5.78,,4621118.00
2019-04-10,305.00,311.00,305.00,308.00,,-0.65,,4560692.00
2019-04-11,307.00,310.00,306.00,306.00,,-0.65,,4957450.00
2019-04-15,304.00,308.00,304.00,308.00,,0.65,,1329135.00
2019-04-16,308.00,312.00,307.00,311.00,,0.97,,4613575.00
2019-04-18,305.00,310.00,300.00,309.00,,1.31,,5411860.00
2019-04-21,311.00,311.00,303.00,305.00,,-1.29,,5510580.00
2019-04-22,305.00,311.00,304.00,305.00,,0,,6140385.00
2019-04-23,306.00,311.00,305.00,310.00,,1.64,,7136660.00
2019-04-24,306.00,311.00,305.00,307.00,,-0.97,,7033530.00
2019-04-25,306.00,311.00,306.00,310.00,,0.98,,6451663.00
2019-04-28,310.00,332.00,310.00,324.00,,4.52,,14748598.00
2019-04-29,323.00,328.00,316.00,320.00,,-1.23,,9281354.00
2019-04-30,319.00,330.00,316.00,328.00,,2.5,,7140259.00
2019-05-02,322.00,349.00,322.00,344.00,,4.88,,25217282.00
2019-05-05,346.00,372.00,338.00,358.00,,4.07,,46349732.00
2019-05-06,375.00,393.00,355.00,388.00,,8.38,,49438432.00
2019-05-07,390.00,395.00,378.00,379.00,,-2.32,,49075597.00
2019-05-08,375.00,398.00,375.00,390.00,,2.9,,41260320.00
2019-05-09,384.00,420.00,384.00,411.00,,5.38,,50358651.00
2019-05-12,413.00,452.00,410.00,452.00,,9.98,,67374635.00
2019-05-13,455.00,497.00,455.00,497.00,,9.96,,114601645.00
2019-05-14,506.00,546.00,506.00,546.00,,9.86,,84136700.00
2019-05-15,573.00,590.00,514.00,520.00,,-4.76,,130907229.00
2019-05-16,520.00,572.00,501.00,572.00,,10,,134108415.00
2019-05-19,600.00,629.00,570.00,629.00,,9.97,,187090883.00
2019-05-20,660.00,678.00,580.00,595.00,,-5.41,,255012475.00
2019-05-21,600.00,608.00,557.00,585.00,,-1.68,,68834324.00
2019-05-22,575.00,584.00,545.00,550.00,,-5.98,,62108861.00
2019-05-23,550.00,579.00,532.00,547.00,,-0.55,,40130406.00
2019-05-26,550.00,589.00,542.00,560.00,,2.38,,47573271.00
2019-05-27,560.00,597.00,556.00,588.00,,5,,73178243.00
2019-05-28,588.00,646.00,586.00,646.00,,9.86,,164404083.00
2019-05-29,678.00,710.00,650.00,679.00,,5.11,,204068471.00
2019-05-30,712.00,712.00,640.00,661.00,,-2.65,,171965149.00
2019-06-02,665.00,687.00,640.00,671.00,,1.51,,93766128.00
2019-06-03,673.00,675.00,650.00,655.00,,-2.38,,60726185.00
2019-06-04,650.00,688.00,643.00,675.00,,3.05,,121311889.00
2019-06-06,685.00,688.00,672.00,678.00,,0.44,,77697287.00
2019-06-10,678.00,684.00,669.00,671.00,,-1.03,,39050435.00
2019-06-11,670.00,676.00,662.00,667.00,,-0.6,,37824527.00
2019-06-12,662.00,670.00,656.00,665.00,,-0.3,,42543343.00
2019-06-13,665.00,671.00,657.00,664.00,,-0.15,,26232350.00
2019-06-16,656.00,659.00,646.00,646.00,,-2.71,,25516578.00
2019-06-17,646.00,671.00,644.00,656.00,,1.55,,32278481.00
2019-06-18,665.00,665.00,652.00,656.00,,0,,19482215.00
2019-06-19,663.00,663.00,652.00,653.00,,-0.46,,10290555.00
2019-06-20,652.00,659.00,651.00,655.00,,0.31,,30313299.00
2019-06-23,650.00,660.00,647.00,651.00,,-0.61,,17116693.00
2019-06-24,650.00,669.00,647.00,660.00,,1.38,,51833819.00
2019-06-25,666.00,668.00,657.00,658.00,,-0.3,,19192309.00
2019-06-26,650.00,657.00,650.00,653.00,,-0.76,,11333430.00
2019-06-27,662.00,664.00,644.00,644.00,,-1.38,,29917510.00
2019-06-30,641.00,644.00,616.00,616.00,,-4.35,,58071455.00
2019-07-01,617.00,627.00,607.00,619.00,,0.49,,17932612.00
2019-07-02,610.00,622.00,610.00,618.00,,-0.16,,10896154.00
2019-07-03,620.00,627.00,616.00,620.00,,0.32,,19085010.00
2019-07-04,624.00,624.00,611.00,615.00,,-0.81,,11255840.00
2019-07-07,615.00,616.00,610.00,616.00,,0.16,,9197851.00
2019-07-08,608.00,614.00,607.00,612.00,,-0.65,,10089630.00
2019-07-09,607.00,613.00,605.00,610.00,,-0.33,,8808480.00
2019-07-10,602.00,608.00,600.00,601.00,,-1.48,,15571455.00
2019-07-11,600.00,602.00,578.00,588.00,,-2.16,,32002189.00
2019-07-14,590.00,590.00,582.00,588.00,,0,,6994830.00
2019-07-15,599.00,607.00,579.00,607.00,,3.23,,35906625.00
2019-07-16,637.00,637.00,601.00,608.00,,0.16,,14969934.00
2019-07-17,610.00,628.00,606.00,627.00,,3.12,,24010358.00
2019-07-18,627.00,645.00,626.00,630.00,,0.48,,26155362.00
2019-07-21,661.00,661.00,617.00,623.00,,-1.11,,15856685.00
2019-07-22,616.00,630.00,616.00,625.00,,0.32,,14859603.00
2019-07-23,625.00,637.00,623.00,625.00,,0,,11086203.00
2019-07-24,634.00,634.00,622.00,622.00,,-0.48,,6922355.00
2019-07-25,620.00,625.00,611.00,614.00,,-1.29,,11149165.00
2019-07-28,610.00,610.00,597.00,600.00,,-2.28,,20668157.00
2019-07-29,611.00,611.00,597.00,599.00,,-0.17,,18417078.00
2019-07-30,603.00,605.00,597.00,597.00,,-0.33,,9869519.00
2019-07-31,600.00,617.00,597.00,602.00,,0.84,,12793460.00
2019-08-01,602.00,610.00,598.00,598.00,,-0.66,,7147563.00
2019-08-04,600.00,600.00,590.00,590.00,,-1.34,,7729400.00
2019-08-05,590.00,600.00,580.00,583.00,,-1.19,,16030568.00
2019-08-06,589.00,589.00,574.00,577.00,,-1.03,,7949938.00
2019-08-07,577.00,596.00,574.00,588.00,,1.91,,10633256.00
2019-08-08,585.00,588.00,575.00,580.00,,-1.36,,7986340.00
2019-08-11,570.00,585.00,570.00,575.00,,-0.86,,6001240.00
2019-08-12,575.00,581.00,573.00,580.00,,0.87,,3365960.00
2019-08-13,580.00,580.00,574.00,577.00,,-0.52,,2628515.00
2019-08-14,571.00,579.00,571.00,573.00,,-0.69,,2657670.00
2019-08-15,582.00,597.00,576.00,581.00,,1.4,,16073670.00
2019-08-18,581.00,585.00,578.00,582.00,,0.17,,13833318.00
2019-08-19,582.00,594.00,581.00,588.00,,1.03,,11705665.00
2019-08-20,583.00,589.00,583.00,583.00,,-0.85,,2771325.00
2019-08-21,576.00,584.00,576.00,582.00,,-0.17,,7124830.00
2019-08-22,582.00,586.00,575.00,577.00,,-0.86,,6214325.00
2019-08-25,573.00,578.00,567.00,578.00,,0.17,,5388302.00
2019-08-26,571.00,574.00,570.00,573.00,,-0.87,,6246270.00
2019-08-27,573.00,580.00,573.00,575.00,,0.35,,4530105.00
2019-08-28,575.00,575.00,570.00,573.00,,-0.35,,2445746.00
2019-08-29,575.00,580.00,560.00,563.00,,-1.75,,8915920.00
2019-09-01,563.00,565.00,545.00,545.00,,-3.2,,11967460.00
2019-09-02,555.00,555.00,527.00,530.00,,-2.75,,15151211.00
2019-09-03,529.00,552.00,515.00,552.00,,4.15,,13596337.00
2019-09-04,550.00,558.00,540.00,544.00,,-1.45,,11271938.00
2019-09-05,540.00,554.00,540.00,542.00,,-0.37,,5937914.00
2019-09-08,545.00,545.00,527.00,535.00,,-1.29,,8116588.00
