Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,637.00,628.00,628.00,628.00,,-1.41,,1256000.00
2014-08-04,642.00,652.00,636.00,646.00,,0.62,,1256000.00
2014-08-04,646.00,640.00,625.00,637.00,,-1.39,,1256000.00
2014-08-04,629.00,617.00,605.00,605.00,,-3.82,,1256000.00
2014-08-04,605.00,618.00,610.00,610.00,,0.83,,1256000.00
2014-08-04,610.00,642.00,622.00,642.00,,5.25,,1256000.00
2014-08-05,628.00,650.00,627.00,628.00,,0,,4004876.00
2014-08-06,628.00,635.00,629.00,630.00,,0.32,,5706741.00
2014-08-07,630.00,637.00,625.00,630.00,,0,,189200.00
2014-08-12,630.00,625.00,601.00,615.00,,-2.38,,884183.00
2014-08-13,615.00,615.00,603.00,615.00,,0,,2269830.00
2014-08-14,615.00,623.00,623.00,623.00,,1.3,,155750.00
2014-08-18,623.00,611.00,600.00,600.00,,-3.69,,365500.00
2014-08-19,600.00,608.00,590.00,608.00,,1.33,,15459485.00
2014-08-20,608.00,610.00,600.00,600.00,,-1.32,,848200.00
2014-08-21,600.00,588.00,570.00,576.00,,-4,,7810613.00
2014-08-24,576.00,600.00,544.00,600.00,,4.17,,11088690.00
2014-08-25,600.00,612.00,575.00,603.00,,0.5,,8788300.00
2014-08-26,603.00,608.00,590.00,598.00,,-0.83,,2953280.00
2014-08-27,598.00,610.00,595.00,595.00,,-0.5,,2560476.00
2014-08-28,595.00,612.00,599.00,605.00,,1.68,,1088855.00
2014-08-31,605.00,603.00,591.00,591.00,,-2.31,,1727049.00
2014-09-03,591.00,602.00,589.00,590.00,,-0.17,,1106496.00
2014-09-04,590.00,579.00,570.00,570.00,,-3.39,,726153.00
2014-09-07,570.00,559.00,559.00,559.00,,-1.93,,55900.00
2014-09-09,559.00,570.00,560.00,570.00,,1.97,,1804853.00
2014-09-10,570.00,581.00,570.00,570.00,,0,,1160409.00
2014-09-14,570.00,576.00,565.00,575.00,,0.88,,1088675.00
2014-09-15,575.00,590.00,585.00,590.00,,2.61,,3199885.00
2014-09-17,590.00,610.00,590.00,601.00,,1.86,,6114594.00
2014-09-21,585.00,597.00,575.00,583.00,,-0.34,,8252806.00
2014-09-22,583.00,584.00,584.00,584.00,,0.17,,282072.00
2014-09-23,584.00,595.00,586.00,586.00,,0.34,,791812.00
2014-09-24,586.00,597.00,594.00,597.00,,1.88,,713300.00
2014-09-28,597.00,600.00,595.00,600.00,,0.5,,724735.00
2014-09-29,600.00,630.00,610.00,630.00,,5,,3331002.00
2014-09-30,630.00,618.00,602.00,602.00,,-4.44,,2275848.00
2014-10-09,602.00,612.00,600.00,600.00,,-0.33,,1048690.00
2014-10-12,600.00,606.00,600.00,605.00,,0.83,,4576840.00
2014-10-13,605.00,610.00,600.00,600.00,,-0.83,,1513500.00
2014-10-15,600.00,602.00,577.00,600.00,,0,,16017181.00
2014-10-16,600.00,600.00,588.00,600.00,,0,,1984808.00
2014-10-19,600.00,600.00,595.00,600.00,,0,,6010000.00
2014-10-20,600.00,600.00,575.00,600.00,,0,,24255500.00
2014-10-22,600.00,610.00,595.00,600.00,,0,,1625300.00
2014-10-26,600.00,609.00,595.00,595.00,,-0.83,,1796500.00
2014-10-27,595.00,595.00,575.00,590.00,,-0.84,,47916520.00
2014-10-28,590.00,605.00,594.00,605.00,,2.54,,7413500.00
2014-10-30,605.00,605.00,600.00,600.00,,-0.83,,8588900.00
2014-11-02,600.00,605.00,591.00,602.00,,0.33,,3563100.00
2014-11-03,602.00,594.00,591.00,594.00,,-1.33,,2625940.00
2014-11-04,594.00,597.00,586.00,591.00,,-0.51,,1999254.00
2014-11-05,591.00,596.00,585.00,596.00,,0.85,,704200.00
2014-11-06,596.00,600.00,596.00,600.00,,0.67,,6380000.00
2014-11-09,600.00,600.00,600.00,600.00,,0,,660000.00
2014-11-11,600.00,595.00,595.00,595.00,,-0.83,,59500.00
2014-11-12,595.00,604.00,592.00,604.00,,1.51,,597900.00
2014-11-13,604.00,603.00,591.00,599.00,,-0.83,,8165019.00
2014-11-16,599.00,600.00,590.00,590.00,,-1.5,,7211535.00
2014-11-17,590.00,590.00,590.00,590.00,,0,,590000.00
2014-11-18,590.00,585.00,569.00,580.00,,-1.69,,5217320.00
2014-11-19,580.00,605.00,588.00,598.00,,3.1,,23394612.00
2014-11-20,598.00,609.00,593.00,600.00,,0.33,,12655318.00
2014-11-24,600.00,608.00,593.00,598.00,,-0.33,,9343602.00
2014-11-24,600.00,609.00,594.00,600.00,,0,,9343602.00
2014-11-25,598.00,605.00,593.00,598.00,,0,,12153948.00
2014-11-30,598.00,602.00,596.00,602.00,,0.67,,1902708.00
2014-12-01,602.00,604.00,596.00,601.00,,-0.17,,4023725.00
2014-12-02,601.00,606.00,598.00,606.00,,0.83,,2806067.00
2014-12-03,606.00,615.00,602.00,608.00,,0.33,,6577620.00
2014-12-04,608.00,610.00,600.00,610.00,,0.33,,2814700.00
2014-12-07,610.00,617.00,605.00,606.00,,-0.66,,9908431.00
2014-12-08,606.00,609.00,600.00,605.00,,-0.17,,4310766.00
2014-12-09,605.00,608.00,600.00,601.00,,-0.66,,10266594.00
2014-12-10,601.00,607.00,599.00,599.00,,-0.33,,8526770.00
2014-12-11,599.00,620.00,601.00,615.00,,2.67,,27265609.00
2014-12-14,439.00,482.00,447.00,482.00,,9.79,,493700.00
2014-12-15,482.00,495.00,480.00,481.00,,-0.21,,2125354.00
2014-12-16,481.00,485.00,472.00,485.00,,0.83,,641376.00
2014-12-17,485.00,484.00,475.00,475.00,,-2.06,,429000.00
2014-12-18,475.00,481.00,465.00,480.00,,1.05,,1254694.00
2014-12-21,480.00,480.00,480.00,480.00,,0,,240000.00
2014-12-22,480.00,473.00,466.00,466.00,,-2.92,,564600.00
2014-12-23,466.00,457.00,457.00,457.00,,-1.93,,224844.00
2014-12-28,457.00,466.00,460.00,465.00,,1.75,,691600.00
2014-12-29,465.00,475.00,470.00,475.00,,2.15,,240530.00
2014-12-31,475.00,475.00,470.00,471.00,,-0.84,,594340.00
2015-01-01,471.00,471.00,466.00,470.00,,-0.21,,1125000.00
2015-01-04,470.00,470.00,470.00,470.00,,0,,235000.00
2015-01-05,470.00,488.00,475.00,475.00,,1.06,,888068.00
2015-01-06,475.00,475.00,470.00,475.00,,0,,94500.00
2015-01-07,475.00,475.00,475.00,475.00,,0,,532000.00
2015-01-08,475.00,484.00,470.00,480.00,,1.05,,1110094.00
2015-01-11,480.00,481.00,475.00,481.00,,0.21,,760600.00
2015-01-12,481.00,485.00,475.00,475.00,,-1.25,,580061.00
2015-01-13,475.00,483.00,479.00,480.00,,1.05,,1536400.00
