Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2022-12-20,906.00,996.60,906.00,996.60,,0,,163662.80
2022-12-21,978.30,1096.20,978.30,1096.20,,9.99,,137509.90
2022-12-22,1075.00,1205.80,1075.00,1205.80,,10,,260500.50
2022-12-26,1205.80,1326.30,1205.80,1326.30,,9.99,,168153.50
2022-12-27,1352.80,1458.90,1352.80,1458.90,,10,,216232.00
2022-12-28,1488.00,1604.70,1488.00,1604.70,,9.99,,269937.00
2022-12-29,1604.60,1765.10,1604.60,1765.10,,10,,436517.00
2023-01-01,1800.00,1941.60,1800.00,1941.60,,10,,676084.00
2023-01-02,1980.40,2135.70,1980.40,2135.70,,10,,7471146.00
2023-01-03,2178.40,2349.20,2075.00,2203.00,,3.15,,43365012.60
2023-01-04,2203.00,2215.00,2150.00,2215.00,,0.54,,26763013.00
2023-01-05,2215.00,2436.50,2215.00,2436.50,,10,,12260149.00
2023-01-08,2485.20,2485.20,2332.00,2336.50,,-4.1,,26441196.00
2023-01-09,2292.20,2355.00,2292.20,2312.00,,-1.05,,27792911.00
2023-01-10,2281.00,2356.00,2210.00,2244.00,,-2.94,,18017095.00
2023-01-12,2280.00,2302.00,2231.00,2289.00,,2.01,,17532512.20
2023-01-17,2329.90,2329.90,2257.00,2265.00,,-1.05,,15613871.20
2023-01-18,2265.00,2345.00,2252.00,2298.00,,1.46,,12140742.50
2023-01-19,2255.00,2299.00,2255.00,2270.00,,-1.22,,10376397.00
2023-01-23,2270.00,2366.00,2250.00,2320.10,,2.21,,18091506.00
2023-01-24,2281.00,2350.00,2281.00,2340.00,,0.86,,6886153.00
2023-01-25,2321.20,2420.00,2321.20,2405.00,,2.78,,12679239.00
2023-01-26,2400.00,2414.00,2365.00,2365.00,,-1.66,,5852304.50
2023-01-29,2355.00,2404.00,2353.50,2359.00,,-0.25,,8166067.50
2023-01-30,2400.00,2400.00,2278.10,2310.00,,-2.08,,11782066.00
2023-01-31,2264.00,2309.00,2263.00,2300.00,,-0.43,,5731641.50
2023-02-01,2260.10,2300.00,2260.00,2267.00,,-1.43,,3350527.50
2023-02-02,2267.00,2289.90,2220.00,2222.00,,-1.99,,7805912.50
2023-02-05,2222.00,2266.00,2220.00,2221.00,,-0.05,,6374105.60
2023-02-06,2201.10,2240.00,2200.50,2240.00,,0.86,,3794406.00
2023-02-07,2225.20,2310.00,2225.20,2299.90,,2.67,,4231172.00
2023-02-08,2318.90,2330.00,2254.00,2269.00,,-1.34,,4112763.00
2023-02-09,2270.00,2280.00,2235.10,2265.00,,-0.18,,2890962.70
2023-02-12,2221.00,2244.00,2141.00,2200.00,,-2.87,,5824218.00
2023-02-14,2165.00,2190.00,2157.30,2172.00,,-1.27,,3468158.00
2023-02-15,2172.00,2190.00,2130.00,2130.00,,-1.93,,4365471.50
2023-02-16,2100.10,2110.00,2055.00,2090.00,,-1.88,,5146728.00
2023-02-20,2051.00,2072.00,2015.50,2040.00,,-2.39,,2717505.00
2023-02-22,2020.00,2020.00,1917.00,1920.00,,-5.88,,6403828.60
2023-02-23,1882.00,1882.00,1728.00,1728.00,,-10,,12002636.00
2023-02-26,1693.50,1769.00,1555.20,1701.00,,-1.56,,7572111.00
2023-02-27,1735.00,1735.00,1620.10,1679.00,,-1.29,,2572284.00
2023-02-28,1651.00,1708.00,1650.00,1675.00,,-0.24,,2414455.10
2023-03-01,1653.00,1705.50,1601.00,1608.10,,-3.99,,4659563.10
2023-03-02,1600.00,1600.00,1560.10,1569.00,,-2.43,,3033282.00
2023-03-05,1537.70,1610.00,1508.00,1510.00,,-3.76,,1674702.60
2023-03-07,1510.00,1538.00,1452.40,1474.90,,-2.32,,1956137.00
2023-03-09,1474.90,1533.00,1474.90,1515.00,,2.72,,1357810.00
2023-03-12,1530.00,1540.00,1485.00,1525.00,,0.66,,1702694.00
2023-03-13,1505.00,1524.00,1465.00,1519.00,,-0.39,,991290.30
2023-03-14,1490.00,1515.00,1490.00,1495.00,,-1.58,,733230.00
2023-03-15,1470.20,1477.00,1470.00,1471.00,,-1.61,,710657.00
2023-03-16,1475.00,1500.00,1420.00,1500.00,,1.97,,1679835.00
2023-03-19,1470.00,1470.00,1350.00,1390.00,,-7.33,,11148561.00
2023-03-20,1390.00,1409.00,1375.50,1380.00,,-0.72,,762357.00
2023-03-22,1380.00,1405.00,1315.10,1376.00,,-0.29,,2433032.50
2023-03-23,1348.50,1375.00,1250.00,1282.00,,-6.83,,2612993.50
2023-03-26,1256.40,1256.40,1190.00,1190.00,,-7.18,,3477962.70
2023-03-27,1167.00,1194.00,1102.00,1194.00,,0.34,,2263591.90
2023-03-28,1180.00,1313.30,1126.20,1313.30,,9.99,,2301544.60
2023-03-29,1290.00,1290.00,1241.00,1270.00,,-3.3,,953097.60
2023-03-30,1265.00,1265.00,1221.10,1230.00,,-3.15,,1343826.00
