Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,770.00,783.00,756.00,772.00,,0.26,,3280922.00
2014-08-04,777.00,801.00,777.00,798.00,,2.7,,3280922.00
2014-08-04,798.00,800.00,731.00,770.00,,-3.51,,3280922.00
2014-08-04,812.00,819.00,800.00,802.00,,-1.23,,3280922.00
2014-08-04,802.00,805.00,775.00,800.00,,-0.25,,3280922.00
2014-08-04,800.00,810.00,770.00,777.00,,-2.88,,3280922.00
2014-08-05,772.00,781.00,752.00,754.00,,-2.33,,2916159.00
2014-08-06,754.00,768.00,745.00,745.00,,-1.19,,3067176.00
2014-08-07,745.00,765.00,740.00,765.00,,2.68,,5119310.00
2014-08-12,765.00,770.00,750.00,750.00,,-1.96,,1020784.00
2014-08-13,750.00,763.00,735.00,735.00,,-2,,1950109.00
2014-08-14,735.00,750.00,730.00,750.00,,2.04,,17171128.00
2014-08-18,750.00,745.00,725.00,730.00,,-2.67,,1023476.00
2014-08-19,730.00,763.00,716.00,731.00,,0.14,,2847591.00
2014-08-20,731.00,731.00,715.00,716.00,,-2.05,,2183600.00
2014-08-21,716.00,702.00,655.00,690.00,,-3.63,,2777255.00
2014-08-24,690.00,690.00,680.00,685.00,,-0.72,,2042712.00
2014-08-25,685.00,685.00,617.00,641.00,,-6.42,,1600299.00
2014-08-26,641.00,703.00,653.00,682.00,,6.4,,5037237.00
2014-08-27,682.00,718.00,667.00,693.00,,1.61,,7428686.00
2014-08-28,693.00,708.00,685.00,705.00,,1.73,,7401890.00
2014-08-31,705.00,697.00,670.00,682.00,,-3.26,,1053877.00
2014-09-01,682.00,680.00,660.00,680.00,,-0.29,,2499288.00
2014-09-03,680.00,680.00,666.00,675.00,,-0.74,,899314.00
2014-09-04,675.00,675.00,650.00,670.00,,-0.74,,1373020.00
2014-09-07,670.00,665.00,610.00,610.00,,-8.96,,584480.00
2014-09-09,610.00,647.00,603.00,640.00,,4.92,,7056233.00
2014-09-10,640.00,652.00,612.00,645.00,,0.78,,4504111.00
2014-09-11,645.00,673.00,615.00,673.00,,4.34,,2908645.00
2014-09-14,673.00,665.00,616.00,640.00,,-4.9,,1096869.00
2014-09-15,640.00,649.00,622.00,640.00,,0,,7543109.00
2014-09-16,640.00,646.00,623.00,635.00,,-0.78,,2777369.00
2014-09-17,635.00,648.00,630.00,631.00,,-0.63,,2671874.00
2014-09-18,631.00,643.00,617.00,628.00,,-0.48,,6237506.00
2014-09-21,625.00,615.00,600.00,610.00,,-2.4,,3610426.00
2014-09-22,610.00,622.00,595.00,622.00,,1.97,,3256523.00
2014-09-23,622.00,649.00,610.00,620.00,,-0.32,,10941290.00
2014-09-24,620.00,630.00,613.00,624.00,,0.65,,1002287.00
2014-09-28,624.00,665.00,615.00,665.00,,6.57,,2611602.00
2014-09-29,665.00,682.00,640.00,670.00,,0.75,,1726119.00
2014-09-30,670.00,680.00,655.00,670.00,,0,,4491156.00
2014-10-08,670.00,690.00,645.00,645.00,,-3.73,,4775273.00
2014-10-09,645.00,663.00,645.00,650.00,,0.78,,3678551.00
2014-10-12,650.00,665.00,643.00,648.00,,-0.31,,2068791.00
2014-10-13,648.00,651.00,640.00,651.00,,0.46,,1691655.00
2014-10-14,651.00,665.00,642.00,665.00,,2.15,,2186711.00
2014-10-15,665.00,671.00,648.00,671.00,,0.9,,1104824.00
2014-10-16,671.00,678.00,665.00,677.00,,0.89,,4150734.00
2014-10-19,677.00,672.00,665.00,670.00,,-1.03,,3619426.00
2014-10-20,670.00,684.00,670.00,670.00,,0,,8281348.00
2014-10-21,670.00,688.00,670.00,688.00,,2.69,,7728279.00
2014-10-22,688.00,718.00,688.00,705.00,,2.47,,6216354.00
2014-10-26,705.00,743.00,705.00,731.00,,3.69,,3856067.00
2014-10-27,731.00,755.00,731.00,750.00,,2.6,,9585739.00
2014-10-28,750.00,750.00,721.00,740.00,,-1.33,,3727458.00
2014-10-30,740.00,735.00,716.00,723.00,,-2.3,,2909650.00
2014-11-02,723.00,732.00,695.00,732.00,,1.24,,4642936.00
2014-11-03,732.00,718.00,694.00,697.00,,-4.78,,2882288.00
2014-11-04,697.00,696.00,680.00,693.00,,-0.57,,2773924.00
2014-11-05,693.00,711.00,687.00,706.00,,1.88,,2583707.00
2014-11-06,706.00,718.00,700.00,703.00,,-0.42,,2020163.00
