Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,900.00,910.00,866.00,883.00,,-1.89,,448148.00
2014-08-04,930.00,915.00,882.00,905.00,,-2.69,,448148.00
2014-08-04,905.00,900.00,900.00,900.00,,-0.55,,448148.00
2014-08-04,936.00,930.00,930.00,930.00,,-0.64,,448148.00
2014-08-05,883.00,866.00,866.00,866.00,,-1.93,,320420.00
2014-08-06,866.00,852.00,850.00,851.00,,-1.73,,396562.00
2014-08-07,851.00,850.00,833.00,833.00,,-2.12,,872980.00
2014-08-13,833.00,840.00,818.00,840.00,,0.84,,249098.00
2014-08-14,840.00,861.00,845.00,861.00,,2.5,,383300.00
2014-08-18,861.00,860.00,855.00,855.00,,-0.7,,3791860.00
2014-08-19,855.00,872.00,855.00,860.00,,0.58,,354540.00
2014-08-20,860.00,850.00,831.00,831.00,,-3.37,,2113626.00
2014-08-21,831.00,815.00,814.00,814.00,,-2.05,,203600.00
2014-08-24,814.00,800.00,733.00,733.00,,-9.95,,661614.00
2014-08-25,733.00,720.00,682.00,682.00,,-6.96,,1006087.00
2014-08-26,682.00,722.00,682.00,722.00,,5.87,,362250.00
2014-08-27,722.00,794.00,736.00,794.00,,9.97,,1872472.00
2014-08-28,794.00,840.00,790.00,790.00,,-0.5,,5336751.00
2014-08-31,790.00,815.00,789.00,799.00,,1.14,,2880138.00
2014-09-01,799.00,785.00,769.00,780.00,,-2.38,,886579.00
2014-09-03,780.00,780.00,770.00,770.00,,-1.28,,429200.00
2014-09-04,770.00,770.00,732.00,732.00,,-4.94,,377974.00
2014-09-07,732.00,720.00,692.00,700.00,,-4.37,,325037.00
2014-09-09,700.00,739.00,710.00,739.00,,5.57,,463746.00
2014-09-10,739.00,753.00,739.00,739.00,,0,,278525.00
2014-09-14,739.00,726.00,725.00,725.00,,-1.89,,90000.00
2014-09-15,725.00,720.00,720.00,720.00,,-0.69,,144000.00
2014-09-17,720.00,741.00,720.00,720.00,,0,,955382.00
2014-09-21,720.00,706.00,675.00,675.00,,-6.25,,380022.00
2014-09-22,675.00,662.00,639.00,645.00,,-4.44,,573561.00
2014-09-23,645.00,709.00,657.00,709.00,,9.92,,656008.00
2014-09-24,709.00,705.00,705.00,705.00,,-0.56,,352500.00
2014-09-28,705.00,730.00,719.00,730.00,,3.55,,514412.00
2014-09-29,730.00,760.00,741.00,760.00,,4.11,,1434816.00
2014-09-30,760.00,790.00,765.00,785.00,,3.29,,2228411.00
2014-10-08,785.00,800.00,759.00,759.00,,-3.31,,1598472.00
2014-10-09,759.00,775.00,750.00,775.00,,2.11,,2402460.00
2014-10-12,775.00,792.00,780.00,789.00,,1.81,,835728.00
2014-10-13,789.00,790.00,784.00,790.00,,0.13,,784885.00
2014-10-14,790.00,790.00,775.00,790.00,,0,,346480.00
2014-10-15,790.00,810.00,780.00,809.00,,2.41,,2538475.00
2014-10-16,809.00,819.00,802.00,803.00,,-0.74,,1416508.00
2014-10-19,803.00,810.00,800.00,810.00,,0.87,,345200.00
2014-10-20,810.00,804.00,800.00,800.00,,-1.23,,1503756.00
2014-10-21,800.00,816.00,793.00,816.00,,2,,3202570.00
2014-10-22,816.00,844.00,825.00,840.00,,2.94,,702190.00
2014-10-26,840.00,869.00,856.00,869.00,,3.45,,606330.00
2014-10-27,869.00,875.00,852.00,860.00,,-1.04,,4333124.00
2014-10-28,860.00,855.00,846.00,846.00,,-1.63,,1055910.00
2014-10-30,846.00,845.00,836.00,836.00,,-1.18,,1505421.00
2014-11-02,836.00,836.00,814.00,824.00,,-1.44,,1481531.00
2014-11-03,824.00,808.00,798.00,805.00,,-2.31,,804745.00
2014-11-04,805.00,802.00,785.00,802.00,,-0.37,,754000.00
2014-11-05,802.00,818.00,810.00,818.00,,2,,532812.00
2014-11-06,818.00,825.00,815.00,825.00,,0.86,,493080.00
2014-11-09,825.00,809.00,809.00,809.00,,-1.94,,56630.00
2014-11-10,809.00,794.00,794.00,794.00,,-1.85,,93692.00
2014-11-11,794.00,780.00,780.00,780.00,,-1.76,,324480.00
2014-11-12,780.00,785.00,780.00,782.00,,0.26,,268934.00
2014-11-13,782.00,772.00,772.00,772.00,,-1.28,,65620.00
2014-11-16,772.00,802.00,786.00,786.00,,1.81,,385640.00
2014-11-17,786.00,790.00,762.00,762.00,,-3.05,,272652.00
2014-11-18,762.00,790.00,760.00,770.00,,1.05,,682380.00
2014-11-19,770.00,801.00,780.00,801.00,,4.03,,1317634.00
2014-11-20,801.00,801.00,795.00,796.00,,-0.62,,1096018.00
2014-11-24,820.00,804.00,804.00,804.00,,-1.95,,301500.00
2014-11-24,796.00,820.00,800.00,820.00,,3.02,,301500.00
2014-11-25,804.00,795.00,788.00,795.00,,-1.12,,318140.00
2014-11-30,795.00,794.00,782.00,782.00,,-1.64,,432456.00
2014-12-03,782.00,785.00,737.00,750.00,,-4.09,,803564.00
2014-12-04,750.00,736.00,735.00,735.00,,-2,,361918.00
2014-12-08,735.00,721.00,707.00,715.00,,-2.72,,1297800.00
2014-12-09,715.00,706.00,705.00,706.00,,-1.26,,225021.00
2014-12-10,706.00,720.00,706.00,718.00,,1.7,,746081.00
2014-12-11,718.00,730.00,730.00,730.00,,1.67,,73000.00
2014-12-15,730.00,785.00,744.00,770.00,,5.48,,1705672.00
2014-12-16,770.00,774.00,745.00,774.00,,0.52,,1541163.00
2014-12-17,774.00,765.00,761.00,761.00,,-1.68,,236270.00
2014-12-18,761.00,800.00,750.00,800.00,,5.12,,777645.00
2014-12-21,800.00,795.00,792.00,793.00,,-0.88,,330643.00
2014-12-22,793.00,780.00,777.00,780.00,,-1.64,,534853.00
2014-12-23,780.00,780.00,766.00,768.00,,-1.54,,184044.00
2014-12-24,768.00,784.00,755.00,784.00,,2.08,,1472988.00
2014-12-28,784.00,816.00,790.00,813.00,,3.7,,980061.00
2014-12-29,813.00,800.00,797.00,797.00,,-1.97,,703804.00
2014-12-31,797.00,790.00,790.00,790.00,,-0.88,,184070.00
2015-01-01,790.00,808.00,795.00,808.00,,2.28,,72200.00
2015-01-04,808.00,820.00,805.00,820.00,,1.49,,467854.00
2015-01-05,820.00,811.00,804.00,811.00,,-1.1,,781261.00
2015-01-06,811.00,809.00,800.00,809.00,,-0.25,,1129543.00
2015-01-07,809.00,810.00,795.00,809.00,,0,,1498377.00
2015-01-08,809.00,825.00,820.00,824.00,,1.85,,458058.00
2015-01-11,824.00,830.00,830.00,830.00,,0.73,,207500.00
2015-01-12,830.00,839.00,815.00,839.00,,1.08,,1353412.00
2015-01-13,839.00,865.00,810.00,865.00,,3.1,,1755291.00
2015-01-14,865.00,866.00,840.00,840.00,,-2.89,,414155.00
2015-01-18,840.00,840.00,840.00,840.00,,0,,28560.00
2015-01-19,840.00,883.00,850.00,860.00,,2.38,,673341.00
2015-01-25,860.00,845.00,812.00,840.00,,-2.33,,1616311.00
2015-01-26,840.00,872.00,855.00,872.00,,3.81,,259060.00
2015-01-27,872.00,855.00,833.00,833.00,,-4.47,,1133584.00
2015-01-28,833.00,840.00,829.00,835.00,,0.24,,873070.00
2015-01-29,835.00,851.00,840.00,845.00,,1.2,,3300325.00
2015-02-01,845.00,850.00,842.00,850.00,,0.59,,525124.00
2015-02-02,850.00,848.00,840.00,845.00,,-0.59,,1491738.00
2015-02-03,845.00,850.00,844.00,844.00,,-0.12,,729079.00
2015-02-04,844.00,855.00,844.00,850.00,,0.71,,1592755.00
2015-02-05,850.00,858.00,858.00,858.00,,0.94,,378378.00
2015-02-08,858.00,841.00,818.00,818.00,,-4.66,,1845894.00
2015-02-09,818.00,820.00,790.00,790.00,,-3.42,,1299334.00
2015-02-10,790.00,817.00,775.00,817.00,,3.42,,2655640.00
2015-02-11,817.00,865.00,833.00,838.00,,2.57,,2319988.00
2015-02-12,838.00,860.00,845.00,848.00,,1.19,,1819251.00
2015-02-15,848.00,865.00,850.00,860.00,,1.42,,2690638.00
2015-02-16,860.00,865.00,827.00,835.00,,-2.91,,5095948.00
2015-02-18,835.00,846.00,835.00,840.00,,0.6,,5225904.00
2015-02-22,700.00,686.00,686.00,686.00,,-2,,329966.00
2015-02-23,686.00,687.00,687.00,687.00,,0.15,,96180.00
2015-02-25,687.00,674.00,674.00,674.00,,-1.89,,107840.00
2015-03-01,674.00,741.00,687.00,741.00,,9.94,,321923.00
2015-03-02,741.00,756.00,742.00,756.00,,2.02,,1162794.00
2015-03-03,756.00,756.00,742.00,756.00,,0,,169914.00
2015-03-04,756.00,755.00,745.00,745.00,,-1.45,,245720.00
2015-03-10,745.00,774.00,759.00,774.00,,3.89,,264558.00
2015-03-11,774.00,775.00,770.00,770.00,,-0.52,,330365.00
2015-03-12,770.00,755.00,755.00,755.00,,-1.95,,15855.00
2015-03-15,755.00,740.00,740.00,740.00,,-1.99,,77700.00
2015-03-16,740.00,730.00,726.00,726.00,,-1.89,,63326.00
2015-03-17,726.00,740.00,740.00,740.00,,1.93,,7400.00
2015-03-22,740.00,726.00,726.00,726.00,,-1.89,,34848.00
2015-03-23,726.00,712.00,712.00,712.00,,-1.93,,342472.00
2015-03-24,712.00,710.00,700.00,710.00,,-0.28,,498954.00
2015-03-25,710.00,710.00,705.00,710.00,,0,,373480.00
2015-03-26,710.00,707.00,695.00,695.00,,-2.11,,683316.00
2015-03-29,695.00,695.00,690.00,690.00,,-0.72,,209630.00
2015-03-31,690.00,698.00,698.00,698.00,,1.16,,698000.00
2015-04-02,698.00,705.00,685.00,688.00,,-1.43,,351374.00
2015-04-06,676.00,676.00,676.00,676.00,,0,,94640.00
2015-04-08,676.00,683.00,670.00,683.00,,1.04,,329904.00
2015-04-09,683.00,699.00,675.00,699.00,,2.34,,682554.00
2015-04-12,699.00,712.00,712.00,712.00,,1.86,,11392.00
2015-04-13,712.00,715.00,715.00,715.00,,0.42,,28600.00
2015-04-15,715.00,701.00,674.00,674.00,,-5.73,,292361.00
2015-04-16,674.00,677.00,671.00,677.00,,0.45,,416908.00
2015-05-25,677.00,664.00,610.00,610.00,,-9.9,,64200.00
2015-05-26,610.00,598.00,576.00,576.00,,-5.57,,35220.00
2015-05-27,576.00,565.00,523.00,523.00,,-9.2,,44366.00
2015-05-28,523.00,513.00,490.00,495.00,,-5.35,,219396.00
2015-05-31,495.00,500.00,495.00,500.00,,1.01,,59900.00
2015-06-02,500.00,510.00,510.00,510.00,,2,,76500.00
2015-06-07,511.00,521.00,521.00,521.00,,1.96,,5210.00
2015-06-07,510.00,511.00,511.00,511.00,,0.2,,5210.00
2015-06-11,521.00,572.00,531.00,572.00,,9.79,,291044.00
2015-06-15,572.00,602.00,583.00,602.00,,5.24,,710976.00
2015-06-16,602.00,613.00,600.00,609.00,,1.16,,840810.00
2015-06-17,609.00,603.00,601.00,603.00,,-0.99,,293591.00
2015-06-18,603.00,615.00,610.00,610.00,,1.16,,596760.00
2015-06-21,610.00,615.00,615.00,615.00,,0.82,,307500.00
2015-06-22,620.00,630.00,620.00,622.00,,1.14,,3441780.00
2015-06-23,634.00,646.00,634.00,646.00,,3.86,,281548.00
2015-06-24,653.00,687.00,653.00,687.00,,6.35,,256597.00
2015-06-25,675.00,675.00,674.00,674.00,,-1.89,,148450.00
2015-06-28,680.00,697.00,680.00,697.00,,3.41,,563780.00
2015-06-29,710.00,726.00,710.00,725.00,,4.02,,646956.00
2015-06-30,711.00,711.00,695.00,695.00,,-4.14,,258470.00
2015-07-01,690.00,695.00,682.00,695.00,,0,,3471959.00
2015-07-02,703.00,708.00,694.00,705.00,,1.44,,1820102.00
2015-07-05,700.00,705.00,700.00,705.00,,0,,1567900.00
2015-07-06,704.00,704.00,700.00,700.00,,-0.71,,474700.00
2015-07-07,701.00,705.00,701.00,703.00,,0.71,,576800.00
2015-07-08,719.00,719.00,705.00,705.00,,0,,100100.00
2015-07-09,691.00,705.00,691.00,705.00,,0,,384700.00
2015-07-12,696.00,700.00,690.00,690.00,,-2.13,,826800.00
