Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2015-05-31,424.00,416.00,416.00,416.00,,-1.89,,4160.00
2015-06-02,416.00,408.00,408.00,408.00,,-1.92,,4080.00
2015-06-08,408.00,400.00,386.00,386.00,,-5.39,,106706.00
2015-06-09,386.00,408.00,379.00,379.00,,-1.81,,2075460.00
2015-06-10,379.00,386.00,373.00,374.00,,-1.32,,1348166.00
2015-06-11,374.00,370.00,365.00,365.00,,-2.41,,662100.00
2015-06-16,365.00,365.00,365.00,365.00,,0,,17885.00
2015-06-18,365.00,362.00,346.00,346.00,,-5.21,,174119.00
2015-06-21,346.00,340.00,340.00,340.00,,-1.73,,62220.00
2015-06-22,345.00,350.00,344.00,344.00,,1.18,,460571.00
2015-06-23,338.00,338.00,338.00,338.00,,-1.74,,66586.00
2015-06-25,338.00,338.00,338.00,338.00,,0,,121680.00
2015-06-29,344.00,344.00,338.00,344.00,,1.78,,267854.00
2015-06-30,350.00,350.00,350.00,350.00,,1.74,,3500.00
2015-07-12,343.00,343.00,325.00,325.00,,-7.14,,89526.00
2015-07-13,320.00,320.00,320.00,320.00,,-1.54,,31360.00
2015-07-14,320.00,327.00,320.00,321.00,,0.31,,311013.00
2015-07-15,327.00,327.00,327.00,327.00,,1.87,,3270.00
2015-07-23,327.00,321.00,321.00,321.00,,-1.83,,18939.00
2015-07-28,327.00,339.00,333.00,339.00,,3.67,,90114.00
2015-07-29,339.00,372.00,344.00,372.00,,9.73,,92938.00
2015-07-30,390.00,390.00,369.00,369.00,,-0.81,,151292.00
2015-08-04,369.00,376.00,376.00,376.00,,1.9,,3760.00
2015-08-05,376.00,369.00,369.00,369.00,,-1.86,,18081.00
2015-08-09,383.00,383.00,379.00,379.00,,-1.04,,1944839.00
2015-08-10,379.00,372.00,345.00,345.00,,-8.97,,314446.00
2015-08-11,345.00,364.00,350.00,364.00,,5.51,,110110.00
2015-08-12,357.00,357.00,335.00,346.00,,-4.95,,221956.00
2015-08-13,0.00,340.00,334.00,340.00,,-1.73,,416050.00
2015-08-17,340.00,340.00,340.00,340.00,,0,,27880.00
2015-08-18,340.00,345.00,340.00,345.00,,1.47,,67130.00
2015-08-19,351.00,358.00,351.00,351.00,,1.74,,268533.00
2015-08-20,346.00,346.00,345.00,345.00,,-1.71,,364094.00
2015-08-23,351.00,351.00,351.00,351.00,,1.74,,17199.00
2015-08-24,351.00,358.00,351.00,358.00,,1.99,,168901.00
2015-08-25,352.00,352.00,351.00,351.00,,-1.96,,244492.00
2015-08-31,350.00,350.00,350.00,350.00,,-0.28,,28350.00
2015-09-01,350.00,363.00,356.00,360.00,,2.86,,195699.00
2015-09-02,367.00,367.00,360.00,367.00,,1.94,,153940.00
2015-09-03,360.00,360.00,360.00,360.00,,-1.91,,70920.00
2015-09-08,353.00,353.00,353.00,353.00,,-1.94,,69541.00
2015-09-10,350.00,355.00,350.00,355.00,,0.57,,999126.00
2015-09-13,355.00,355.00,350.00,350.00,,-1.41,,807160.00
2015-09-14,345.00,346.00,345.00,346.00,,-1.14,,725300.00
2015-09-17,345.00,345.00,345.00,345.00,,-0.29,,17250.00
2015-09-22,341.00,351.00,341.00,345.00,,0,,249756.00
2015-09-23,309.00,309.00,309.00,309.00,,0,,22866.00
2015-10-01,309.00,315.00,305.00,315.00,,1.94,,140215.00
2015-10-04,321.00,333.00,321.00,333.00,,5.71,,508653.00
2015-10-14,333.00,333.00,333.00,333.00,,0,,196803.00
2015-11-15,333.00,339.00,333.00,339.00,,1.8,,29568.00
2015-11-18,333.00,333.00,327.00,330.00,,-2.65,,123078.00
2015-11-19,330.00,330.00,330.00,330.00,,0,,9570.00
2015-11-22,324.00,324.00,324.00,324.00,,-1.82,,97200.00
2015-11-25,328.00,328.00,325.00,325.00,,0.31,,114506.00
2015-12-01,325.00,319.00,319.00,319.00,,-1.85,,4147.00
2015-12-08,313.00,313.00,310.00,310.00,,-2.82,,30527.00
2015-12-13,311.00,311.00,311.00,311.00,,0.32,,49138.00
2017-04-24,281.00,309.00,286.00,309.00,,9.96,,50040.00
2017-04-25,315.00,339.00,315.00,339.00,,9.71,,22830.00
2017-04-26,345.00,372.00,345.00,372.00,,9.73,,3161310.00
2017-04-27,379.00,409.00,376.00,377.00,,1.34,,3652836.00
2017-04-30,382.00,382.00,366.00,366.00,,-2.92,,623258.00
2017-05-02,359.00,359.00,359.00,359.00,,-1.91,,39490.00
2017-05-03,366.00,366.00,359.00,366.00,,1.95,,459283.00
2017-05-04,373.00,373.00,357.00,357.00,,-2.46,,1088342.00
2017-05-08,352.00,352.00,339.00,339.00,,-5.04,,191402.00
2017-05-09,339.00,346.00,340.00,340.00,,0.29,,262368.00
2017-05-11,346.00,348.00,346.00,348.00,,2.35,,22928.00
2017-05-16,354.00,354.00,354.00,354.00,,1.72,,28320.00
2017-05-17,348.00,348.00,342.00,342.00,,-3.39,,40764.00
2017-05-18,342.00,336.00,336.00,336.00,,-1.75,,1001280.00
2017-05-21,340.00,340.00,340.00,340.00,,1.19,,638860.00
2017-05-22,334.00,334.00,334.00,334.00,,-1.76,,66800.00
2017-05-23,340.00,367.00,340.00,360.00,,7.78,,639339.00
2017-05-28,347.00,355.00,347.00,354.00,,3.51,,1057710.00
2017-05-31,354.00,354.00,354.00,354.00,,0,,123546.00
2017-06-01,355.00,355.00,336.00,336.00,,-5.08,,1086800.00
2017-06-05,335.00,341.00,335.00,338.00,,0.6,,1556680.00
2017-06-06,340.00,344.00,338.00,338.00,,0,,1186792.00
2017-06-07,341.00,360.00,341.00,360.00,,6.51,,113923.00
2017-06-08,353.00,353.00,346.00,350.00,,-2.78,,1650778.00
2017-06-11,343.00,349.00,343.00,349.00,,-0.29,,311970.00
2017-06-12,343.00,343.00,340.00,340.00,,-2.58,,1012933.00
2017-06-13,334.00,345.00,334.00,344.00,,1.18,,1241860.00
2017-06-14,344.00,344.00,338.00,344.00,,0,,1058948.00
2017-06-15,350.00,357.00,350.00,354.00,,2.91,,1129240.00
2017-06-18,354.00,350.00,347.00,350.00,,-1.13,,178470.00
2017-06-19,356.00,356.00,344.00,344.00,,-1.71,,270585.00
2017-06-20,350.00,350.00,343.00,349.00,,1.45,,225323.00
2017-06-21,352.00,352.00,350.00,350.00,,0.86,,54460.00
2017-06-22,359.00,359.00,359.00,359.00,,1.99,,71800.00
2017-06-25,360.00,386.00,360.00,380.00,,5.85,,5238760.00
2017-06-27,380.00,380.00,364.00,374.00,,-1.58,,1341122.00
2017-06-28,367.00,374.00,367.00,374.00,,0,,248253.00
2017-07-02,374.00,377.00,374.00,377.00,,0.8,,225900.00
2017-07-03,382.00,382.00,373.00,373.00,,-1.06,,1236961.00
2017-07-04,380.00,380.00,379.00,379.00,,1.61,,545909.00
2017-07-05,375.00,375.00,368.00,374.00,,-1.06,,991032.00
2017-07-06,382.00,389.00,370.00,383.00,,3.73,,1008169.00
2017-07-09,389.00,411.00,374.00,392.00,,0.77,,5055961.00
2017-07-10,388.00,388.00,380.00,381.00,,-2.81,,1347713.00
2017-07-11,375.00,388.00,375.00,388.00,,1.84,,509915.00
2017-07-12,394.00,400.00,391.00,392.00,,0.77,,1198424.00
2017-07-13,398.00,398.00,383.00,384.00,,-2.05,,1952949.00
2017-07-16,390.00,390.00,382.00,382.00,,-0.26,,909623.00
2017-07-17,389.00,391.00,389.00,391.00,,2.36,,59803.00
2017-07-20,395.00,400.00,394.00,398.00,,2.05,,839281.00
2017-07-23,400.00,400.00,392.00,395.00,,-0.75,,2287864.00
2017-07-24,395.00,400.00,392.00,394.00,,-0.25,,5474208.00
2017-07-25,400.00,405.00,398.00,404.00,,2.79,,2017639.00
2017-07-26,405.00,430.00,405.00,430.00,,6.17,,3229291.00
2017-07-27,422.00,424.00,420.00,424.00,,-1.4,,1363180.00
2017-07-30,425.00,427.00,417.00,424.00,,0,,1191324.00
2017-07-31,430.00,466.00,430.00,466.00,,9.91,,14741376.00
2017-08-01,475.00,490.00,461.00,470.00,,0.86,,5458407.00
2017-08-02,464.00,467.00,459.00,462.00,,-1.7,,3750130.00
2017-08-03,462.00,487.00,470.00,472.00,,2.16,,4814320.00
2017-08-06,481.00,519.00,481.00,499.00,,5.72,,10185730.00
2017-08-07,508.00,508.00,491.00,498.00,,-0.2,,1536938.00
2017-08-09,491.00,495.00,491.00,494.00,,-0.6,,1169989.00
2017-08-10,495.00,495.00,476.00,476.00,,-3.84,,681520.00
2017-08-13,482.00,482.00,480.00,480.00,,0.84,,721600.00
2017-08-15,475.00,479.00,470.00,479.00,,-0.21,,342110.00
2017-08-16,472.00,472.00,470.00,471.00,,-1.67,,3497766.00
2017-08-17,466.00,473.00,463.00,473.00,,0.42,,1719750.00
2017-08-20,468.00,471.00,468.00,471.00,,-0.42,,52980.00
2017-08-21,464.00,464.00,464.00,464.00,,-1.49,,32016.00
2017-08-22,455.00,473.00,455.00,466.00,,0.43,,144550.00
2017-08-23,475.00,486.00,470.00,471.00,,0.86,,637729.00
2017-08-27,486.00,499.00,490.00,496.00,,2.06,,272656.00
2017-08-28,496.00,499.00,483.00,490.00,,-1.21,,910410.00
2017-08-30,490.00,486.00,481.00,484.00,,-1.22,,907106.00
2017-09-04,470.00,470.00,461.00,461.00,,-3.56,,342560.00
2017-09-06,470.00,488.00,470.00,475.00,,3.04,,922890.00
2017-09-07,484.00,484.00,470.00,470.00,,-1.05,,321190.00
2017-09-10,470.00,470.00,463.00,464.00,,-1.28,,255522.00
2017-09-11,472.00,472.00,472.00,472.00,,1.72,,151040.00
2017-09-12,465.00,465.00,463.00,463.00,,-1.91,,524250.00
2017-09-13,463.00,463.00,455.00,455.00,,-1.73,,1321790.00
2017-09-14,464.00,470.00,464.00,470.00,,3.3,,229210.00
2017-09-17,472.00,472.00,463.00,465.00,,-1.49,,800450.00
2017-09-18,472.00,472.00,472.00,472.00,,1.94,,23600.00
2017-09-20,464.00,464.00,457.00,462.00,,-3.18,,729950.00
2017-09-24,466.00,466.00,460.00,460.00,,0.66,,81940.00
2017-09-25,460.00,465.00,460.00,465.00,,1.09,,220960.00
2017-09-26,470.00,474.00,470.00,474.00,,1.93,,46710.00
2017-10-09,470.00,470.00,456.00,457.00,,-3.8,,456528.00
2017-10-10,447.00,460.00,420.00,460.00,,0.88,,11530263.00
2017-10-11,460.00,460.00,447.00,448.00,,-2.61,,480304.00
2017-10-12,450.00,450.00,435.00,438.00,,-2.9,,2935420.00
2017-10-15,443.00,443.00,440.00,440.00,,1.15,,445930.00
2017-10-16,435.00,440.00,432.00,440.00,,0,,2530382.00
2017-10-18,432.00,448.00,432.00,448.00,,1.82,,259210.00
2017-10-22,440.00,460.00,440.00,455.00,,2.68,,1879080.00
2017-10-23,460.00,468.00,468.00,468.00,,1.74,,4680.00
2017-10-24,468.00,470.00,467.00,470.00,,0.43,,269300.00
2017-10-25,466.00,466.00,456.00,456.00,,-2.98,,248350.00
2017-10-31,447.00,447.00,447.00,447.00,,-1.97,,223500.00
2017-11-01,441.00,441.00,440.00,440.00,,-1.57,,220200.00
2017-11-02,432.00,432.00,429.00,429.00,,-2.5,,253054.00
2017-11-06,429.00,435.00,428.00,428.00,,-0.23,,242820.00
2017-11-07,430.00,430.00,430.00,430.00,,0.47,,264020.00
2017-11-08,422.00,428.00,420.00,425.00,,-1.16,,148956.00
2017-11-09,417.00,425.00,415.00,415.00,,-2.35,,352500.00
2017-11-12,415.00,431.00,423.00,431.00,,3.86,,8540.00
2017-11-13,423.00,423.00,423.00,423.00,,-1.86,,211500.00
2017-11-14,431.00,439.00,431.00,431.00,,1.89,,28526.00
2017-11-15,439.00,445.00,439.00,445.00,,3.25,,101290.00
2017-11-16,444.00,444.00,444.00,444.00,,-0.22,,8880.00
2017-11-20,436.00,436.00,426.00,426.00,,-4.05,,1496200.00
2017-11-22,419.00,430.00,419.00,430.00,,0.94,,957041.00
2017-11-23,430.00,454.00,438.00,454.00,,5.58,,162960.00
2017-11-26,454.00,450.00,440.00,445.00,,-1.98,,1132360.00
2017-11-27,444.00,449.00,440.00,449.00,,0.9,,1087179.00
2017-11-28,457.00,457.00,448.00,448.00,,-0.22,,193120.00
2017-11-29,456.00,456.00,441.00,441.00,,-1.56,,923368.00
2017-11-30,448.00,449.00,448.00,449.00,,1.81,,119735.00
2017-12-04,455.00,455.00,441.00,442.00,,-1.78,,215665.00
2017-12-05,449.00,450.00,442.00,449.00,,1.81,,249672.00
2017-12-06,457.00,457.00,440.00,441.00,,-2,,1328903.00
2017-12-10,434.00,435.00,434.00,434.00,,-1.36,,52130.00
2017-12-11,442.00,442.00,442.00,442.00,,1.84,,4420.00
2017-12-13,434.00,434.00,434.00,434.00,,-1.81,,9685578.00
2017-12-14,439.00,439.00,439.00,439.00,,1.15,,63216.00
2017-12-17,444.00,444.00,439.00,439.00,,0,,52780.00
2017-12-18,440.00,442.00,435.00,436.00,,-0.91,,357800.00
2017-12-19,430.00,430.00,422.00,425.00,,-2.3,,350595.00
2017-12-20,418.00,418.00,410.00,410.00,,-3.53,,166200.00
2017-12-21,405.00,405.00,400.00,405.00,,-1.22,,872745.00
2017-12-24,413.00,429.00,413.00,421.00,,3.95,,164270.00
2017-12-27,396.00,396.00,396.00,396.00,,-1.49,,23760.00
2017-12-27,421.00,415.00,402.00,402.00,,-4.51,,23760.00
2017-12-28,392.00,392.00,392.00,392.00,,-1.01,,78400.00
2017-12-31,390.00,390.00,365.00,366.00,,-6.89,,1400505.00
2018-01-01,372.00,372.00,372.00,372.00,,1.92,,3720.00
2018-01-02,379.00,399.00,379.00,399.00,,7.26,,15570.00
2018-01-04,406.00,406.00,398.00,398.00,,-0.25,,8040.00
2018-01-07,405.00,421.00,397.00,397.00,,-0.25,,201669.00
2018-01-08,390.00,390.00,374.00,378.00,,-4.79,,400960.00
2018-01-09,378.00,410.00,385.00,392.00,,3.7,,1483610.00
2018-01-10,395.00,395.00,383.00,385.00,,-1.79,,3505709.00
2018-01-14,256.00,251.00,234.00,240.00,,-6.25,,636600.00
2018-01-16,236.00,240.00,233.00,233.00,,-2.92,,158940.00
2018-01-17,229.00,229.00,229.00,229.00,,-1.72,,10305.00
2018-01-21,227.00,227.00,226.00,227.00,,-1.31,,45250.00
2018-01-22,223.00,230.00,222.00,230.00,,1.77,,113272.00
2018-01-23,226.00,228.00,222.00,228.00,,-0.87,,36424.00
2018-01-24,232.00,232.00,230.00,230.00,,1.75,,25320.00
2018-01-25,236.00,240.00,236.00,240.00,,3.45,,46840.00
2018-01-29,244.00,248.00,244.00,248.00,,3.33,,58332.00
2018-01-31,252.00,252.00,243.00,243.00,,-2.02,,12320.00
2018-02-01,239.00,243.00,235.00,243.00,,0,,194630.00
2018-02-04,247.00,247.00,240.00,240.00,,-1.23,,361482.00
2018-02-05,244.00,244.00,232.00,232.00,,-3.33,,366200.00
2018-02-07,230.00,236.00,230.00,232.00,,0,,188488.00
