Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2022-11-15,350.50,364.60,315.50,321.00,,0,,118241.00
2022-11-16,327.40,353.10,327.40,353.10,,10,,8310349.00
2022-11-17,360.10,388.40,360.10,388.40,,10,,1221660.00
2022-11-22,396.10,396.10,355.10,371.00,,-4.48,,18526392.30
2022-11-23,365.00,371.00,365.00,369.00,,-0.54,,6342255.60
2022-11-24,364.00,370.00,357.10,369.00,,0,,6426020.00
2022-11-27,369.00,372.00,362.10,368.70,,-0.08,,5684490.70
2022-11-28,365.00,376.40,365.00,365.00,,-1,,3405085.10
2022-11-29,362.60,366.80,362.60,365.00,,0,,2757514.00
2022-11-30,362.60,369.00,358.00,360.00,,-1.37,,2026370.00
2022-12-01,360.00,360.30,354.00,360.30,,0.08,,2270793.00
2022-12-04,361.00,382.00,361.00,373.30,,3.61,,5380183.00
2022-12-05,366.00,382.00,366.00,370.10,,-0.86,,7524640.20
2022-12-06,364.00,372.00,361.30,365.00,,-1.38,,2923689.00
2022-12-07,360.10,372.30,359.00,365.00,,0,,4468939.00
2022-12-11,359.10,370.90,358.00,364.00,,-0.27,,6348353.20
2022-12-12,357.00,373.00,357.00,373.00,,2.47,,4471228.70
2022-12-13,370.00,379.90,370.00,378.00,,1.34,,4662339.00
2022-12-14,370.50,380.00,370.50,379.00,,0.26,,6392751.00
2022-12-15,375.00,382.00,373.40,374.30,,-1.24,,2520092.40
2022-12-18,367.00,370.20,359.80,370.00,,-1.15,,2462241.00
2022-12-19,364.00,370.00,360.10,370.00,,0,,2154564.00
2022-12-20,363.00,375.00,363.00,371.90,,0.51,,2117527.30
2022-12-21,364.50,369.00,364.50,366.00,,-1.59,,756321.00
2022-12-22,361.00,368.00,361.00,367.00,,0.27,,2090017.00
2022-12-26,362.10,380.00,362.10,376.00,,2.45,,2242297.00
2022-12-27,376.00,388.50,371.40,376.70,,0.19,,6238980.00
2022-12-28,371.20,384.20,371.20,378.00,,0.35,,2621414.80
2022-12-29,385.00,403.90,377.30,402.80,,6.56,,6509954.00
2023-01-01,408.00,441.00,402.00,425.00,,5.51,,9424720.80
2023-01-02,416.50,445.00,410.00,437.00,,2.82,,5000563.40
2023-01-03,429.00,445.00,423.10,427.00,,-2.29,,6012699.00
2023-01-04,420.60,448.00,420.60,441.00,,3.28,,5837090.60
2023-01-05,433.00,460.00,426.30,452.00,,2.49,,12570871.40
2023-01-08,449.90,469.00,437.00,452.00,,0,,5958321.50
2023-01-09,445.00,470.20,445.00,460.00,,1.77,,10613260.00
2023-01-10,460.00,477.00,436.10,452.80,,-1.57,,19234346.00
2023-01-12,451.00,470.00,424.40,432.00,,-4.59,,10911178.40
2023-01-17,430.00,472.00,427.00,462.00,,6.94,,7034880.50
2023-01-18,455.00,490.00,455.00,467.00,,1.08,,22599006.00
2023-01-19,461.00,477.00,458.00,467.00,,0,,8572910.00
2023-01-23,460.00,476.30,450.20,457.00,,-2.14,,9815709.50
2023-01-24,447.90,454.00,443.00,451.00,,-1.31,,3639859.00
2023-01-25,450.00,479.00,450.00,471.00,,4.43,,12926880.40
2023-01-26,480.40,487.00,465.00,485.00,,2.97,,10289429.00
2023-01-29,477.00,487.50,460.90,487.00,,0.41,,9928210.00
2023-01-30,477.30,485.00,465.90,470.00,,-3.49,,8241328.50
2023-01-31,461.00,479.00,456.10,470.00,,0,,7699636.00
2023-02-01,461.10,473.00,461.10,471.00,,0.21,,2375564.10
2023-02-02,462.00,469.00,454.00,457.00,,-2.97,,5509936.60
2023-02-05,457.00,473.00,450.00,472.00,,3.28,,4131068.00
2023-02-06,463.00,472.00,460.00,470.00,,-0.42,,3203172.30
2023-02-07,470.00,488.00,465.00,487.90,,3.81,,9534354.00
2023-02-08,490.00,497.50,470.40,483.00,,-1,,8777663.00
2023-02-09,475.00,510.00,475.00,490.00,,1.45,,8140163.00
2023-02-12,481.00,492.00,471.40,487.00,,-0.61,,11252987.20
2023-02-14,477.30,490.00,472.10,488.00,,0.21,,4070173.60
2023-02-15,480.00,494.70,477.00,486.70,,-0.27,,4019184.00
2023-02-16,480.00,488.00,471.10,477.00,,-1.99,,3101438.50
2023-02-20,475.00,480.00,468.10,474.00,,-0.63,,3421088.00
2023-02-22,470.00,488.00,470.00,488.00,,2.95,,2580682.00
2023-02-23,478.30,478.30,461.60,478.00,,-2.05,,1463521.50
2023-02-26,473.00,477.00,460.00,473.30,,-0.98,,3477370.00
2023-02-27,470.00,474.00,458.00,466.00,,-1.54,,1967628.00
2023-02-28,461.00,476.00,461.00,471.00,,1.07,,994311.00
2023-03-01,480.00,480.00,455.50,465.00,,-1.27,,4486333.10
2023-03-02,456.00,466.00,452.00,466.00,,0.22,,683061.00
2023-03-05,465.00,465.00,446.60,450.00,,-3.43,,975243.00
2023-03-07,446.00,459.90,446.00,459.90,,2.2,,705185.00
2023-03-09,459.00,468.00,452.10,467.10,,1.57,,1374865.00
2023-03-12,465.50,470.00,452.00,467.40,,0.06,,763596.00
2023-03-13,458.20,460.00,450.00,460.00,,-1.58,,1415007.00
2023-03-14,469.20,469.20,450.00,456.00,,-0.87,,1033335.00
2023-03-15,465.10,465.10,447.10,449.00,,-1.54,,616838.00
2023-03-16,445.00,460.00,444.00,459.00,,2.23,,1212975.00
2023-03-19,450.00,459.00,443.00,459.00,,0,,1137514.00
2023-03-20,456.50,469.00,455.00,469.00,,2.18,,1727136.90
2023-03-22,462.00,478.10,460.30,475.00,,1.28,,2129026.00
2023-03-23,465.50,481.00,460.00,465.90,,-1.92,,1361026.80
2023-03-26,456.60,467.00,456.00,456.00,,-2.12,,2374177.00
2023-03-27,446.90,455.00,440.00,451.00,,-1.1,,2093218.00
2023-03-28,460.00,460.00,438.20,455.00,,0.89,,975628.50
2023-03-29,446.00,456.10,438.00,456.10,,0.24,,579271.00
2023-03-30,448.00,457.00,445.00,453.90,,-0.48,,920990.00
2023-04-02,453.90,472.00,435.20,435.20,,-4.12,,892703.00
2023-04-03,426.50,439.00,426.50,430.00,,-1.19,,790372.00
2023-04-04,422.00,440.00,422.00,440.00,,2.33,,1011866.60
2023-04-05,431.20,448.80,425.00,445.00,,1.14,,835570.00
2023-04-06,437.00,440.00,428.30,429.00,,-3.6,,1251491.50
2023-04-09,421.00,429.00,415.00,423.00,,-1.4,,975720.00
2023-04-10,417.00,426.30,410.20,426.30,,0.78,,639488.00
2023-04-11,417.80,439.50,415.10,439.50,,3.1,,691944.00
2023-04-12,439.00,455.00,435.00,455.00,,3.53,,2914682.00
2023-04-13,455.00,455.00,438.00,450.00,,-1.1,,421871.00
2023-04-16,441.00,449.80,430.00,440.10,,-2.2,,345519.00
2023-04-17,434.00,434.00,424.10,424.40,,-3.57,,1278029.00
2023-04-18,420.00,428.40,417.20,426.00,,0.38,,456252.00
2023-04-19,421.00,434.70,421.00,434.70,,2.04,,600112.00
2023-04-20,426.10,438.00,424.10,425.00,,-2.23,,455579.00
2023-04-23,417.00,421.00,415.30,415.30,,-2.28,,1188381.00
2023-04-24,410.00,422.00,410.00,420.00,,1.13,,797390.00
2023-04-25,411.60,426.00,411.60,426.00,,1.43,,663098.00
2023-04-26,420.00,420.00,418.00,418.00,,-1.88,,527561.00
2023-04-27,409.70,425.00,409.70,414.20,,-0.91,,552959.00
2023-04-30,407.00,412.00,394.00,399.00,,-3.67,,2838217.00
2023-05-02,391.20,406.70,391.20,406.00,,1.75,,1206940.00
2023-05-03,400.00,408.00,400.00,401.00,,-1.23,,907881.00
2023-05-04,393.10,417.00,383.00,417.00,,3.99,,381075.00
2023-05-07,408.70,408.70,390.20,400.00,,-4.08,,341140.50
2023-05-08,395.00,401.20,392.00,400.00,,0,,430890.00
2023-05-09,392.00,413.00,375.40,412.00,,3,,4498601.50
2023-05-10,406.00,406.00,391.00,399.00,,-3.16,,930600.00
2023-05-11,391.60,394.00,375.00,394.00,,-1.25,,2232698.00
2023-05-14,386.30,386.30,376.20,382.00,,-3.05,,316836.00
2023-05-15,377.30,396.70,377.00,389.70,,2.02,,775825.00
2023-05-16,383.00,393.00,383.00,390.80,,0.28,,371434.00
2023-05-17,383.20,397.00,383.20,393.00,,0.56,,154832.00
2023-05-18,385.20,406.90,385.20,406.90,,3.54,,917617.00
2023-05-21,401.00,409.00,399.20,407.00,,0.02,,1482918.50
2023-05-22,398.90,406.80,391.30,406.80,,-0.05,,621155.50
2023-05-23,399.50,428.40,399.50,425.00,,4.47,,1295865.00
2023-05-24,416.50,427.90,414.00,420.00,,-1.18,,752717.00
2023-05-28,412.20,418.00,404.10,404.10,,-3.79,,1228343.70
2023-05-30,396.10,404.00,389.00,400.00,,-1.01,,1059891.00
2023-05-31,395.00,396.00,379.00,392.70,,-1.82,,823120.90
2023-06-01,392.00,395.00,385.00,388.00,,-1.2,,1102816.00
2023-06-04,388.00,411.00,388.00,410.00,,5.67,,286078.00
2023-06-05,403.00,423.00,395.00,414.00,,0.98,,693486.00
2023-06-06,405.80,425.00,392.00,425.00,,2.66,,394661.00
2023-06-07,416.50,425.00,408.30,417.00,,-1.88,,1348669.00
2023-06-08,425.30,425.30,416.80,418.20,,0.29,,1540126.00
2023-06-11,409.90,431.70,409.90,428.50,,2.46,,1402378.00
2023-06-12,437.00,437.00,419.90,423.90,,-1.07,,990293.00
2023-06-13,415.60,440.00,415.60,425.10,,0.28,,1865546.00
2023-06-14,423.00,440.00,414.00,429.00,,0.92,,2274874.00
2023-06-15,425.00,425.20,416.00,424.00,,-1.17,,743542.00
2023-06-18,432.00,438.00,420.00,438.00,,3.3,,2825660.00
2023-06-19,429.30,463.00,428.00,430.30,,-1.76,,1436680.00
2023-06-20,421.70,438.00,420.00,429.00,,-0.3,,1007785.00
2023-06-21,421.00,425.00,412.70,418.00,,-2.56,,1328527.90
2023-06-22,410.00,416.00,393.20,404.00,,-3.35,,2602293.50
2023-06-25,412.00,420.00,385.00,410.00,,1.49,,3791483.00
2023-06-26,418.00,434.00,406.30,415.00,,1.22,,2105556.00
2023-06-27,407.00,425.00,398.90,398.90,,-3.88,,3901428.00
2023-06-28,406.80,416.00,398.90,400.00,,0.28,,5730614.50
2023-07-02,401.00,416.10,395.00,406.00,,1.5,,2155483.00
2023-07-03,398.00,405.00,388.00,391.00,,-3.69,,2381275.60
2023-07-04,390.00,402.90,383.50,394.00,,0.77,,1563240.00
2023-07-05,388.10,401.80,385.00,392.00,,-0.51,,790981.00
2023-07-06,384.20,399.60,377.00,386.00,,-1.53,,951291.00
2023-07-09,380.00,393.70,379.00,379.00,,-1.81,,1999353.00
2023-07-10,376.00,400.00,373.00,397.80,,4.96,,1032852.00
2023-07-11,389.90,393.00,375.00,393.00,,-1.21,,1175799.50
2023-07-12,392.00,409.00,385.30,404.00,,2.8,,1858861.00
2023-07-13,400.00,407.90,395.10,400.00,,-0.99,,1524855.00
2023-07-16,392.00,392.10,384.30,387.00,,-3.25,,461208.00
2023-07-17,380.00,402.00,380.00,402.00,,3.88,,1029579.00
2023-07-18,402.00,402.00,387.00,390.20,,-2.94,,608413.80
2023-07-19,383.00,409.00,383.00,388.50,,-0.44,,328225.00
2023-07-20,381.00,397.00,381.00,390.00,,0.39,,921390.00
2023-07-23,383.00,401.00,383.00,399.00,,2.31,,691719.00
2023-07-24,391.10,405.90,387.20,400.00,,0.25,,1768189.00
2023-07-25,393.00,403.10,393.00,395.20,,-1.2,,800146.40
2023-07-26,387.30,395.00,387.30,389.00,,-1.57,,205291.00
2023-07-27,383.00,404.90,383.00,404.90,,4.09,,726392.00
2023-07-30,397.00,400.00,385.30,399.00,,-1.46,,729299.00
2023-07-31,391.10,396.00,382.50,388.20,,-2.71,,669985.00
2023-08-01,380.50,395.70,377.10,395.70,,1.93,,592804.00
2023-08-02,388.00,392.00,378.00,392.00,,-0.94,,292237.00
2023-08-03,384.20,390.00,379.00,382.20,,-2.5,,870318.00
2023-08-06,375.00,377.00,368.00,375.00,,-1.88,,470164.00
2023-08-07,370.00,381.90,360.00,381.90,,1.84,,1313199.00
2023-08-08,375.00,377.00,361.00,377.00,,-1.28,,391876.00
2023-08-09,377.00,384.00,362.00,372.00,,-1.33,,402435.00
2023-08-10,365.00,389.00,358.00,363.20,,-2.37,,1365302.80
2023-08-13,358.00,371.20,356.20,370.00,,1.87,,569040.00
2023-08-14,363.00,370.00,357.10,364.00,,-1.62,,442385.50
2023-08-15,357.20,378.60,348.70,378.00,,3.85,,1593413.50
2023-08-16,370.50,370.50,356.00,367.20,,-2.86,,561958.00
2023-08-17,365.00,365.00,351.00,364.80,,-0.65,,1425902.20
2023-08-20,357.60,364.00,343.10,357.00,,-2.14,,1055787.60
2023-08-21,357.00,360.00,336.30,360.00,,0.84,,643609.90
2023-08-22,352.80,359.70,341.30,359.70,,-0.08,,192048.00
2023-08-23,352.60,378.00,347.00,371.00,,3.14,,770756.40
2023-08-24,363.60,370.00,350.30,363.80,,-1.94,,422441.00
2023-08-27,358.00,358.00,345.00,357.00,,-1.87,,558846.00
2023-08-28,349.90,362.00,343.20,350.00,,-1.96,,322618.00
2023-08-29,350.00,351.90,339.00,350.00,,0,,474676.00
2023-08-30,350.00,357.00,335.00,340.00,,-2.86,,380350.00
2023-09-03,333.50,366.10,327.10,358.90,,5.56,,332158.50
2023-09-04,355.90,356.00,329.00,337.00,,-6.1,,452000.00
2023-09-05,330.30,343.00,324.00,343.00,,1.78,,558144.00
2023-09-07,337.00,349.70,325.00,325.00,,-5.25,,420877.00
2023-09-10,318.50,338.00,315.00,330.00,,1.54,,183418.00
2023-09-11,330.00,351.00,325.00,351.00,,6.36,,548905.00
