Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2014-08-04,260.00,265.00,255.00,255.00,,-1.92,,310000.00
2014-08-04,238.00,261.00,240.00,261.00,,9.66,,310000.00
2014-08-04,261.00,260.00,255.00,260.00,,-0.38,,310000.00
2014-08-04,180.00,198.00,183.00,198.00,,10,,310000.00
2014-08-04,198.00,217.00,201.00,217.00,,9.6,,310000.00
2014-08-04,217.00,238.00,221.00,238.00,,9.68,,310000.00
2014-08-05,255.00,253.00,247.00,247.00,,-3.14,,100100.00
2014-08-06,247.00,243.00,243.00,243.00,,-1.62,,24300.00
2014-08-13,243.00,239.00,239.00,239.00,,-1.65,,222270.00
2014-09-01,239.00,235.00,235.00,235.00,,-1.67,,235000.00
2014-09-03,235.00,231.00,231.00,231.00,,-1.7,,231000.00
2014-10-09,231.00,227.00,223.00,223.00,,-3.46,,1137700.00
2014-12-02,219.00,215.00,215.00,215.00,,-1.83,,10750.00
2015-01-07,215.00,211.00,207.00,207.00,,-3.72,,54260.00
2015-01-11,207.00,203.00,203.00,203.00,,-1.93,,121800.00
2015-01-12,203.00,199.00,199.00,199.00,,-1.97,,39800.00
2015-01-14,199.00,200.00,190.00,196.00,,-1.51,,4514500.00
2015-01-26,182.00,192.00,180.00,192.00,,5.49,,367500.00
2015-01-27,192.00,201.00,195.00,201.00,,4.69,,104430.00
2015-01-28,201.00,221.00,205.00,221.00,,9.95,,188450.00
2015-01-29,221.00,243.00,225.00,242.00,,9.5,,1698660.00
2015-02-01,242.00,255.00,245.00,245.00,,1.24,,277530.00
2015-02-02,245.00,241.00,236.00,236.00,,-3.67,,1104800.00
2015-02-08,236.00,232.00,224.00,224.00,,-5.08,,345200.00
2015-02-09,224.00,220.00,216.00,216.00,,-3.57,,56500.00
2015-02-10,216.00,216.00,212.00,212.00,,-1.85,,318700.00
2015-02-11,212.00,220.00,212.00,220.00,,3.77,,750940.00
2015-02-12,220.00,242.00,224.00,242.00,,10,,321040.00
2015-02-15,242.00,266.00,242.00,266.00,,9.92,,4537650.00
2015-02-16,266.00,265.00,251.00,251.00,,-5.64,,476000.00
2015-02-18,251.00,248.00,245.00,245.00,,-2.39,,607780.00
2015-02-22,245.00,249.00,242.00,242.00,,-1.22,,911370.00
2015-02-23,242.00,242.00,238.00,242.00,,0,,828800.00
2015-02-24,242.00,238.00,238.00,238.00,,-1.65,,23800.00
2015-02-25,238.00,234.00,229.00,230.00,,-3.36,,600200.00
2015-03-01,234.00,238.00,230.00,238.00,,1.71,,1354690.00
2015-03-02,238.00,257.00,240.00,257.00,,7.98,,986570.00
2015-03-03,257.00,253.00,253.00,253.00,,-1.56,,506000.00
2015-03-04,253.00,252.00,248.00,252.00,,-0.4,,126520.00
2015-03-09,252.00,252.00,245.00,245.00,,-2.78,,918400.00
2015-03-10,245.00,242.00,240.00,242.00,,-1.22,,2297400.00
2015-03-11,242.00,238.00,238.00,238.00,,-1.65,,2380.00
2015-03-12,238.00,250.00,236.00,250.00,,5.04,,1851860.00
2015-03-15,250.00,246.00,246.00,246.00,,-1.6,,246000.00
2015-03-17,246.00,242.00,242.00,242.00,,-1.63,,96800.00
2015-03-22,242.00,238.00,234.00,234.00,,-3.31,,424400.00
2015-03-23,234.00,241.00,237.00,239.00,,2.14,,250150.00
2015-03-25,239.00,235.00,231.00,231.00,,-3.35,,126310.00
2015-03-31,231.00,239.00,235.00,239.00,,3.46,,538486.00
2015-04-01,239.00,236.00,235.00,235.00,,-1.67,,143650.00
2015-04-07,235.00,231.00,231.00,231.00,,-1.7,,231000.00
2015-04-08,231.00,235.00,235.00,235.00,,1.73,,23500.00
2015-04-09,235.00,234.00,230.00,230.00,,-2.13,,253400.00
2015-04-12,230.00,232.00,232.00,232.00,,0.87,,232000.00
2015-04-20,232.00,235.00,227.00,227.00,,-2.16,,285150.00
2015-07-27,235.00,231.00,222.00,222.00,,-5.53,,115500.00
2015-07-27,227.00,235.00,231.00,235.00,,3.52,,115500.00
2015-07-28,222.00,220.00,208.00,208.00,,-6.31,,538640.00
2015-07-29,208.00,211.00,205.00,209.00,,0.48,,1240424.00
2015-07-30,209.00,213.00,213.00,213.00,,1.91,,213000.00
2015-08-03,213.00,209.00,209.00,209.00,,-1.88,,78375.00
2015-08-05,209.00,210.00,210.00,210.00,,0.48,,189000.00
2015-08-09,210.00,210.00,210.00,210.00,,0,,57750.00
2015-08-10,210.00,210.00,206.00,206.00,,-1.9,,170612.00
2015-08-11,206.00,209.00,209.00,209.00,,1.46,,19228.00
2015-08-13,206.00,206.00,205.00,205.00,,-1.91,,107032.00
2015-08-16,205.00,206.00,204.00,204.00,,-0.49,,301470.00
2015-08-19,203.00,204.00,203.00,204.00,,0,,632440.00
2015-08-20,200.00,200.00,200.00,200.00,,-1.96,,200000.00
2015-08-24,204.00,204.00,200.00,204.00,,2,,25304.00
2015-08-25,202.00,202.00,200.00,200.00,,-1.96,,45430.00
2015-08-27,196.00,196.00,196.00,196.00,,-2,,182280.00
2015-08-31,193.00,193.00,193.00,193.00,,-1.53,,20651.00
2015-09-01,193.00,190.00,190.00,190.00,,-1.55,,20330.00
2015-09-02,187.00,187.00,187.00,187.00,,-1.58,,26554.00
2015-09-03,184.00,184.00,180.00,183.00,,-2.14,,627810.00
2015-09-06,186.00,186.00,186.00,186.00,,1.64,,13950.00
2015-09-07,189.00,189.00,189.00,189.00,,1.61,,30429.00
2015-09-08,192.00,200.00,192.00,200.00,,5.82,,280710.00
2015-09-09,204.00,212.00,204.00,205.00,,2.5,,445652.00
