Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2019-08-06,289.00,294.00,260.10,261.00,,0,,3183701.10
2019-08-07,248.00,248.00,235.00,235.00,,-9.96,,489290.00
2019-08-08,231.00,247.00,212.00,224.00,,-4.68,,51307537.00
2019-08-11,220.00,233.00,218.00,233.00,,4.02,,27997114.00
2019-08-12,233.00,233.00,227.00,228.00,,-2.15,,14853070.00
2019-08-13,226.00,230.00,225.00,225.00,,-1.32,,9667375.00
2019-08-14,224.00,227.00,222.00,222.00,,-1.33,,9913750.00
2019-08-15,220.00,226.00,220.00,222.00,,0,,5135680.00
2019-08-18,222.00,225.00,217.00,217.00,,-2.25,,9371116.00
2019-08-19,217.00,228.00,213.00,222.00,,2.3,,8152520.00
2019-08-20,222.00,222.00,216.00,217.00,,-2.25,,7458280.00
2019-08-21,218.00,222.00,216.00,217.00,,0,,4520780.00
2019-08-22,216.00,219.00,216.00,217.00,,0,,4223655.00
2019-08-25,217.00,217.00,210.00,214.00,,-1.38,,6348040.00
2019-08-26,211.00,213.00,206.00,206.00,,-3.74,,6780320.00
2019-08-27,206.00,214.00,201.00,209.00,,1.46,,3891326.00
2019-08-28,208.00,211.00,205.00,206.00,,-1.44,,2550695.00
2019-08-29,206.00,208.00,203.00,203.00,,-1.46,,3383848.00
2019-09-01,203.00,203.00,189.00,190.00,,-6.4,,6743910.00
2019-09-02,188.00,192.00,185.00,188.00,,-1.05,,4592165.00
2019-09-03,190.00,194.00,180.00,191.00,,1.6,,5893474.00
2019-09-04,194.00,194.00,187.00,192.00,,0.52,,4256443.00
2019-09-05,192.00,196.00,188.00,190.00,,-1.04,,4030325.00
2019-09-08,190.00,191.00,184.00,184.00,,-3.16,,2018260.00
2019-09-09,186.00,189.00,180.00,181.00,,-1.63,,3039030.00
2019-09-10,181.00,182.00,173.00,177.00,,-2.21,,4776875.00
2019-09-11,177.00,180.00,175.00,177.00,,0,,2081248.00
2019-09-15,173.00,174.00,163.00,168.00,,-2.89,,5062080.00
2019-09-16,165.00,171.00,163.00,167.00,,-0.6,,2798380.00
2019-09-17,167.00,178.00,164.00,178.00,,6.59,,8616750.00
2019-09-18,178.00,183.00,173.00,182.00,,2.25,,8450328.00
2019-09-19,183.00,183.00,174.00,175.00,,-3.85,,4775720.00
2019-09-22,175.00,176.00,165.00,166.00,,-5.14,,3621480.00
2019-09-23,166.00,170.00,164.00,164.00,,-1.2,,1831470.00
2019-09-24,164.00,166.00,163.00,166.00,,1.22,,1230760.00
2019-09-25,166.00,166.00,163.00,164.00,,-1.2,,1482844.00
2019-09-26,162.00,166.00,162.00,164.00,,0,,2420965.00
2019-09-29,162.00,168.00,162.00,163.00,,-0.61,,1824310.00
2019-09-30,163.00,172.00,161.00,172.00,,5.52,,1193375.00
2019-10-01,168.00,171.00,166.00,170.00,,-2.86,,1547540.00
2019-10-02,172.00,172.00,166.00,169.00,,-0.59,,815620.00
2019-10-03,171.00,171.00,168.00,169.00,,0,,1723665.00
2019-10-10,169.00,170.00,167.00,170.00,,0.59,,201090.00
2019-10-14,167.00,170.00,167.00,168.00,,-1.18,,705170.00
2019-10-15,168.00,170.00,166.00,170.00,,1.19,,509670.00
2019-10-16,170.00,171.00,168.00,169.00,,-0.59,,1274500.00
2019-10-17,169.00,170.00,168.00,170.00,,0.59,,848544.00
2019-10-20,170.00,170.00,166.00,170.00,,0,,1082785.00
2019-10-21,171.00,171.00,166.00,167.00,,-1.76,,917420.00
2019-10-22,167.00,176.00,165.00,170.00,,1.8,,1881410.00
2019-10-23,170.00,178.00,168.00,176.00,,3.53,,1636530.00
2019-10-24,177.00,180.00,172.00,176.00,,0,,2359480.00
2019-10-31,175.00,178.00,172.00,172.00,,-2.27,,969975.00
2019-11-03,173.00,173.00,167.00,167.00,,-2.91,,1490970.00
2019-11-05,167.00,171.00,167.00,171.00,,2.4,,975750.00
2019-11-06,168.00,168.00,166.00,168.00,,0,,1326890.00
2019-11-07,168.00,168.00,165.00,165.00,,-1.79,,1045050.00
2019-11-10,170.00,170.00,161.00,167.00,,1.21,,4492000.00
2019-11-11,167.00,170.00,162.00,168.00,,0.6,,2323410.00
2019-11-12,165.00,170.00,162.00,164.00,,-2.38,,952650.00
2019-11-13,163.00,166.00,162.00,164.00,,0,,1471310.00
2019-11-14,164.00,165.00,162.00,165.00,,0.61,,1556090.00
2019-11-17,165.00,165.00,160.00,161.00,,-2.42,,4102490.00
2019-11-18,160.00,160.00,157.00,157.00,,-2.48,,1972597.00
2019-11-19,160.00,160.00,157.00,157.00,,0,,1718160.00
2019-11-20,157.00,162.00,156.00,157.00,,0,,2222248.00
2019-11-21,157.00,159.00,153.00,156.00,,-0.64,,1780850.00
2019-11-24,157.00,157.00,153.00,155.00,,-0.64,,646482.00
2019-11-25,154.00,161.00,152.00,153.00,,-1.29,,1261970.00
2019-11-26,153.00,158.00,153.00,153.00,,0,,504660.00
2019-11-27,153.00,158.00,152.00,154.00,,0.65,,1157232.00
2019-11-28,155.00,156.00,153.00,153.00,,-0.65,,701980.00
2019-12-01,153.00,156.00,152.00,152.00,,-0.65,,714540.00
2019-12-02,154.00,155.00,152.00,154.00,,1.32,,1052900.00
2019-12-03,155.00,158.00,152.00,156.00,,1.3,,2669442.00
2019-12-04,156.00,160.00,154.00,158.00,,1.28,,2460660.00
2019-12-05,158.00,159.00,157.00,159.00,,0.63,,1010828.00
2019-12-08,159.00,159.00,155.00,158.00,,-0.63,,731150.00
2019-12-09,157.00,165.00,156.00,159.00,,0.63,,2976872.00
2019-12-10,162.00,164.00,158.00,159.00,,0,,1578672.00
2019-12-11,158.00,164.00,158.00,161.00,,1.26,,1251799.00
2019-12-12,161.00,172.00,160.00,164.00,,1.86,,2837040.00
2019-12-15,162.00,166.00,161.00,162.00,,-1.22,,1586600.00
2019-12-16,158.00,162.00,158.00,159.00,,-1.24,,1119618.00
2019-12-17,157.00,161.00,157.00,159.00,,0,,1113590.00
2019-12-18,160.00,160.00,157.00,159.00,,0,,628490.00
2019-12-19,159.00,160.00,157.00,159.00,,0,,1173920.00
2019-12-22,162.00,162.00,156.00,157.00,,-1.26,,540747.00
2019-12-23,158.00,161.00,158.00,161.00,,2.55,,1934350.00
2019-12-24,162.00,162.00,159.00,159.00,,-1.24,,1189600.00
2019-12-25,159.00,160.00,155.00,158.00,,-0.63,,2801711.00
2019-12-26,155.00,158.00,155.00,156.00,,-1.27,,659480.00
2019-12-29,157.00,157.00,155.00,155.00,,-0.64,,1109120.00
2019-12-30,156.00,156.00,154.00,155.00,,0,,679800.00
2019-12-31,155.00,157.00,155.00,155.00,,0,,820715.00
2020-01-01,155.00,158.00,155.00,155.00,,0,,897170.00
2020-01-02,155.00,158.00,154.00,154.00,,-0.65,,1200970.00
2020-01-05,153.00,158.00,153.00,156.00,,1.3,,2123280.00
2020-01-06,156.00,160.00,156.00,157.00,,0.64,,1280335.00
2020-01-07,160.00,163.00,157.00,161.00,,2.55,,4884778.00
2020-01-08,155.00,165.00,155.00,160.00,,-0.62,,1384562.00
2020-01-09,155.00,162.00,155.00,162.00,,1.25,,1783525.00
2020-01-12,159.00,165.00,159.00,163.00,,0.62,,2670189.00
2020-01-13,165.00,176.00,162.00,168.00,,3.7,,8781065.00
2020-01-14,171.00,171.00,164.00,164.00,,-2.38,,2334124.00
2020-01-15,165.00,169.00,163.00,165.00,,0.61,,2567260.00
2020-01-16,165.00,169.00,165.00,166.00,,0.61,,3199810.00
2020-01-19,167.00,175.00,166.00,170.00,,2.41,,5739364.00
2020-01-20,169.00,173.00,164.00,164.00,,-3.53,,2728815.00
2020-01-21,163.00,167.00,162.00,163.00,,-0.61,,2087038.00
2020-01-22,163.00,164.00,160.00,160.00,,-1.84,,1814780.00
2020-01-23,159.00,160.00,155.00,155.00,,-3.12,,2721914.00
2020-01-26,158.00,158.00,153.00,156.00,,0.65,,869660.00
2020-01-27,158.00,164.00,155.00,164.00,,3.14,,765180.00
2020-01-28,161.00,164.00,157.00,159.00,,-3.05,,1271383.00
2020-01-29,157.00,161.00,157.00,157.00,,-1.26,,1467326.00
2020-01-30,155.00,159.00,155.00,157.00,,0,,1595160.00
2020-02-02,157.00,158.00,155.00,156.00,,-0.64,,1812365.00
2020-02-03,156.00,166.00,156.00,162.00,,3.85,,3890565.00
2020-02-04,161.00,168.00,158.00,160.00,,-1.23,,3694273.00
2020-02-05,158.00,161.00,158.00,159.00,,-0.62,,923450.00
2020-02-06,157.00,161.00,157.00,159.00,,0,,899310.00
2020-02-09,160.00,160.00,154.00,154.00,,-3.14,,2893822.00
2020-02-10,156.00,157.00,155.00,156.00,,1.3,,2773340.00
2020-02-11,155.00,161.00,155.00,159.00,,1.92,,1450564.00
2020-02-12,159.00,160.00,156.00,156.00,,-1.89,,2153415.00
2020-02-13,155.00,158.00,155.00,155.00,,-0.64,,1401755.00
2020-02-16,154.00,157.00,154.00,157.00,,1.29,,1059390.00
2020-02-17,156.00,161.00,156.00,159.00,,1.27,,1997390.00
2020-02-18,158.00,160.00,157.00,158.00,,-0.63,,1470960.00
2020-02-19,156.00,159.00,154.00,155.00,,-1.9,,1931960.00
2020-02-23,161.00,164.00,156.00,158.00,,0,,4740510.00
2020-02-24,158.00,165.00,159.00,161.00,,1.9,,3056215.00
2020-02-25,161.00,165.00,158.00,165.00,,2.48,,4178920.00
2020-02-26,167.00,168.00,163.00,166.00,,0.61,,5281454.00
2020-02-27,166.00,168.00,161.00,164.00,,-1.2,,1838653.00
2020-03-01,164.00,165.00,158.00,159.00,,-3.05,,2734008.00
2020-03-02,156.00,160.00,155.00,155.00,,-2.52,,955310.00
2020-03-03,155.00,158.00,152.00,156.00,,0.65,,2507158.00
2020-03-05,156.00,156.00,152.00,153.00,,-1.92,,1566238.00
2020-03-05,156.00,159.00,153.00,156.00,,0,,1566238.00
2020-03-10,152.00,153.00,143.00,148.00,,-3.27,,927090.00
2020-03-11,150.00,155.00,147.00,153.00,,3.38,,2548953.00
2020-03-12,150.00,153.00,147.00,148.00,,-3.27,,2049405.00
2020-03-15,142.00,149.00,142.00,147.00,,-0.68,,1479683.00
2020-03-16,141.00,150.00,141.00,149.00,,1.36,,1582654.00
2020-03-17,147.00,147.00,143.00,143.00,,-4.03,,1697187.00
2020-03-18,141.00,143.00,139.00,141.00,,-1.4,,1094372.00
2020-03-19,141.00,144.00,139.00,140.00,,-0.71,,624950.00
2020-03-22,142.00,142.00,141.00,141.00,,0.71,,70700.00
2020-05-12,139.00,139.00,137.00,137.00,,-2.84,,31690.00
2020-06-29,135.00,135.00,125.00,125.00,,-8.76,,150700.00
2020-06-30,126.00,130.00,125.00,130.00,,2.36,,107390.00
2020-07-01,132.00,134.00,130.00,134.00,,3.08,,62820.00
2020-07-02,135.00,138.00,135.00,135.00,,0.75,,672250.00
2020-07-05,130.00,132.00,128.00,130.00,,-1.52,,501040.00
2020-07-06,127.00,134.00,125.00,131.00,,1.55,,882680.00
2020-07-07,129.00,140.00,129.00,140.00,,6.87,,1191013.00
2020-07-08,138.00,139.00,134.00,139.00,,-0.71,,1317870.00
2020-07-09,137.00,139.00,131.00,139.00,,0,,1036135.00
2020-07-12,137.00,141.00,135.00,137.00,,-1.44,,1275020.00
2020-07-13,135.00,140.00,134.00,138.00,,0.73,,1528129.00
2020-07-14,140.00,140.00,132.00,135.00,,-2.17,,2667086.00
2020-07-15,133.00,137.00,133.00,134.00,,-0.74,,558590.00
2020-07-16,133.00,140.00,133.00,135.00,,0.75,,853798.00
2020-07-19,137.00,139.00,137.00,139.00,,2.96,,2760.00
2020-07-20,145.00,152.00,134.00,141.00,,1.44,,1568786.00
2020-07-21,139.00,140.00,133.00,136.00,,-3.55,,1282077.00
2020-07-22,142.00,142.00,133.00,135.00,,-0.74,,1224920.00
2020-07-23,134.00,140.00,133.00,140.00,,3.7,,2128780.00
2020-07-27,139.00,139.00,134.00,134.00,,-2.19,,1378310.00
2020-07-28,134.00,138.00,131.00,134.00,,-1.47,,2106155.00
