Date,Open,High,Low,Close,Change,Percent_Change,Volume,Turnover
2023-01-25,387.00,408.70,379.00,408.70,,9.99,,800489.60
2023-01-26,408.70,449.50,408.70,449.50,,9.98,,515974.00
2023-01-29,458.40,494.40,458.40,494.40,,9.99,,894162.10
2023-01-30,504.20,543.80,504.20,519.80,,5.14,,176540086.60
2023-01-31,525.00,525.00,502.00,509.10,,-2.06,,67135356.60
2023-02-01,503.50,512.90,500.20,505.00,,-0.81,,19455974.10
2023-02-02,512.00,512.00,490.20,495.00,,-1.98,,26632738.30
2023-02-05,500.00,503.00,490.00,490.30,,-0.95,,22592256.70
2023-02-06,490.00,491.90,481.20,483.00,,-1.49,,13609416.70
2023-02-07,480.00,509.40,480.00,507.00,,4.97,,25216231.80
2023-02-08,517.10,519.00,503.80,503.80,,-0.63,,26372943.10
2023-02-09,500.00,509.00,500.00,506.00,,0.44,,13696291.40
2023-02-12,495.90,504.00,487.00,491.30,,-2.91,,19881638.00
2023-02-14,490.00,495.00,487.00,488.10,,-0.65,,17721487.80
2023-02-15,494.90,494.90,486.00,487.00,,-0.23,,14081006.60
2023-02-16,485.00,489.80,480.40,481.20,,-1.19,,13567725.80
2023-02-20,480.00,487.90,480.00,486.00,,1,,11480410.60
2023-02-22,486.00,503.80,485.10,496.20,,2.1,,16416565.30
2023-02-23,491.10,494.90,483.00,485.10,,-2.24,,17928977.20
2023-02-26,477.00,490.00,462.00,489.00,,0.8,,23522808.50
2023-02-27,493.00,493.00,477.60,491.00,,0.41,,13371533.90
2023-02-28,491.00,493.00,481.30,485.00,,-1.22,,10303848.50
2023-03-01,484.00,487.00,477.20,477.20,,-1.61,,11405793.20
2023-03-02,471.00,476.00,467.00,467.00,,-2.14,,16927049.20
2023-03-05,467.00,475.70,461.30,462.00,,-1.07,,10672185.20
2023-03-07,462.00,472.00,460.00,467.00,,1.08,,7979467.70
2023-03-09,467.00,479.90,467.00,478.80,,2.53,,7639464.40
